SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
79	0.77	0	0.23	0	0	0.26
80	0.68	0	0.32	0	0	0.26
81	0.37	0	0.63	0	2	0.31
82	1	0	0.0019	0	0	0.26
83	0.87	0	0.13	0	0	0.26
84	0.97	0	0.03	0	0	0.26
85	0.76	0	0.24	0	0	0.26
86	0.24	0	0.76	0	2	0.31
87	0.92	0	0.082	0	0	0.26
88	0.95	0	0.053	0	0	0.26
89	0.95	0	0.054	0	0	0.26
90	0.94	0	0.063	0	0	0.26
91	0.8	0	0.2	0	0	0.26
92	0.83	0	0.17	0	0	0.26
93	0.9	0	0.1	0	0	0.26
94	0.97	0	0.034	0	0	0.26
95	0	0.0013	0	1	3	0
96	0.96	0	0.038	0	0	0.26
97	0.94	0	0.058	0	0	0.26
98	0.73	0	0.27	0	0	0.26
99	0.95	0	0.05	0	0	0.26
100	0.47	0	0.53	0	2	0.31
101	0.7	0	0.3	0	0	0.26
102	0.24	0	0.76	0	2	0.31
103	0.86	0	0.14	0	0	0.26
104	0	1	0	0	1	0.029
105	0.97	0	0.026	0	0	0.26
106	0.8	0	0	0.2	0	0.26
107	1	0	0.00022	0	0	0.26
108	1	0	0.00089	0	0	0.26
109	1	0	4.6e-06	0	0	0.26
110	0	1	0.0027	0	1	0.029
111	1	0	0.002	0	0	0.26
112	0.98	0	0.022	0	0	0.26
113	0.59	0	0.41	0	0	0.26
114	0.84	0	0.16	0	0	0.26
115	0.99	0	0.011	0	0	0.26
116	0.8	1.7e-05	0	0.2	0	0.26
117	0	0.91	0.094	0	1	0.029
118	0.81	0	0.19	0	0	0.26
119	0.98	0	0.015	0	0	0.26
120	0.98	0	0.018	0	0	0.26
121	0	0.99	0.0091	0	1	0.029
122	0.049	0	0.95	0	2	0.31
123	0	0.88	0.12	0	1	0.029
124	0.99	0	0.0089	0	0	0.26
125	0.85	0	0.15	0	0	0.26
126	0.99	0	0.012	0	0	0.26
127	0	1	1.7e-05	0	1	0.029
128	0	0.95	0.047	0	1	0.029
129	0.97	0	0.035	0	0	0.26
130	0	0.94	0.063	0	1	0.029
131	0	0.98	0.017	0	1	0.029
132	0	0.9	0.1	0	1	0.029
133	0	0.98	0.021	0	1	0.029
134	0.92	0	0.083	0	0	0.26
135	0	0.83	0.17	0	1	0.029
136	0.0012	0	1	0	2	0.31
137	0	0.0017	1	0	2	0.31
138	0	1	5.1e-06	0	1	0.029
139	1	0	0.00041	0	0	0.26
140	0.0005	4.4e-05	1	0	2	0.31
141	0.8	0	0	0.2	0	0.26
142	0.2	0	0.8	0	2	0.31
143	0.8	0.00096	3.7e-05	0.2	0	0.26
144	1	0	0.0011	0	0	0.26
145	0	0.78	0.22	0	1	0.029
146	0.96	0	0.037	0	0	0.26
147	0	0.91	0.095	0	1	0.029
148	0	0.84	0.16	0	1	0.029
149	0.84	0	0.16	0	0	0.26
150	0.26	0	0.74	0	2	0.31
151	1	0	0.0006	0	0	0.26
152	1	0	0.00019	0	0	0.26
153	0.8	0	0	0.2	0	0.26
154	0.9	0	0.1	0	0	0.26
155	0.83	0	0.17	0	0	0.26
156	0	1	0.0031	0	1	0.029
157	1	0	3e-05	0	0	0.26
158	0	1	2e-06	0	1	0.029
159	1	0	0.00057	0	0	0.26
160	0.8	0	0	0.2	0	0.26
161	0.96	0	0.04	0	0	0.26
162	0	1	0.004	0	1	0.029
163	0	0.97	0.029	0	1	0.029
164	0.93	0	0.073	0	0	0.26
165	1	0	0.0028	0	0	0.26
166	0.95	0	0.05	0	0	0.26
167	0.26	0	0.74	0	2	0.31
168	0.95	0	0.051	0	0	0.26
169	0.091	0	0.91	0	2	0.31
170	0.95	0	0.047	0	0	0.26
171	0.78	0	0.22	0	0	0.26
172	0.47	0	0.53	0	2	0.31
173	0.98	0	0.017	0	0	0.26
174	0.6	0	0.4	0	0	0.26
175	1	8.4e-06	0.0015	0	0	0.26
176	0.9	0	0.1	0	0	0.26
177	0.7	0	0.3	0	0	0.26
178	0.69	0	0.31	0	0	0.26
179	0	0.072	0	0.93	3	0
180	0	0	1	0	2	0.31
181	0.3	0	0.7	0	2	0.31
182	0.85	0	0.15	0	0	0.26
183	0.95	0	0.055	0	0	0.26
184	0	0.0058	0	0.99	3	0
185	0.94	0	0.058	0	0	0.26
186	0	0	1	0	2	0.31
187	0.96	0	0.038	0	0	0.26
188	1	0	0.00084	0	0	0.26
189	0.42	0	0.58	0	2	0.31
190	1	0	0.00083	0	0	0.26
191	0.99	0	0.01	0	0	0.26
192	0	1	0	0	1	0.029
193	0.98	0	0.024	0	0	0.26
194	0.72	0	0.28	0	0	0.26
195	0.8	0.00022	2.3e-06	0.2	0	0.26
196	0	0.92	0.077	0	1	0.029
197	0.94	0	0.06	0	0	0.26
198	0	1	3.1e-06	0	1	0.029
199	0	1	1.1e-05	0	1	0.029
200	0.77	0	0.23	0	0	0.26
201	0.0039	0	1	0	2	0.31
202	0.98	0	0.024	0	0	0.26
203	0.92	0	0.081	0	0	0.26
204	0.95	0	0.046	0	0	0.26
205	0.38	0	0.62	0	2	0.31
206	0.21	0	0.79	0	2	0.31
207	0.96	0	0.038	0	0	0.26
208	0.96	0	0.041	0	0	0.26
209	0.86	0	0.14	0	0	0.26
210	0.92	0	0.077	0	0	0.26
211	0.75	0	0.25	0	0	0.26
212	0.92	0	0.082	0	0	0.26
213	0.65	0	0.35	0	0	0.26
214	0.97	0	0.03	0	0	0.26
215	0.017	0	0.98	0	2	0.31
216	0.97	0	0.032	0	0	0.26
217	0	0.014	0.99	0	2	0.31
218	0.9	0	0.1	0	0	0.26
219	0.84	0	0.16	0	0	0.26
220	0.98	0	0.021	0	0	0.26
221	0	1	0	0	1	0.029
222	0.99	0	0.0079	0	0	0.26
223	0	0.99	0.0087	0	1	0.029
224	0.031	0	0.97	0	2	0.31
225	0.96	0	0.037	0	0	0.26
226	0.99	0	0.0076	0	0	0.26
227	0	0.97	0.03	0	1	0.029
228	1	0	0.0049	0	0	0.26
229	0.71	0	0.29	0	0	0.26
230	1	0	0.0039	0	0	0.26
231	0.02	0	0.98	0	2	0.31
232	0	1	0.0046	0	1	0.029
233	0.79	0	0.21	0	0	0.26
234	0.8	0.0041	0.00054	0.19	0	0.26
235	0.93	0	0.072	0	0	0.26
236	0	0.99	0.0052	0	1	0.029
237	1	0	0.0025	0	0	0.26
238	0.98	0	0.021	0	0	0.26
239	0.94	0	0.059	0	0	0.26
240	0.48	0	0.52	0	2	0.31
241	0.68	0	0.32	0	0	0.26
242	1	0	0.00049	0	0	0.26
243	0.93	0	0.068	0	0	0.26
244	0.83	0	0.17	0	0	0.26
245	0.84	0	0.16	0	0	0.26
246	0.39	0	0.61	0	2	0.31
247	0.87	0	0.13	0	0	0.26
248	0.69	0	0.31	0	0	0.26
249	0.3	0	0.7	0	2	0.31
250	1	0	0	0	0	0.26
251	1	0	0.00013	0	0	0.26
252	1	0	0	0	0	0.26
253	1	0	2.1e-06	0	0	0.26
254	0.82	0	0.18	0	0	0.26
255	0.99	0	0.0093	0	0	0.26
256	0.9	0	0.1	0	0	0.26
257	0.8	6.6e-05	0	0.2	0	0.26
258	0.98	0	0.015	0	0	0.26
259	0.99	0	0.0082	0	0	0.26
260	0.94	0	0.065	0	0	0.26
261	0	8.4e-06	0	1	3	0
262	0.8	6.9e-05	0	0.2	0	0.26
263	0.91	0	0.092	0	0	0.26
264	0.99	0	0.014	0	0	0.26
265	0.99	0	0.0079	0	0	0.26
266	0	0	0	1	3	0
267	0.98	0	0.022	0	0	0.26
268	0.9	0	0.1	0	0	0.26
269	0.94	0	0.056	0	0	0.26
270	0.93	0	0.07	0	0	0.26
271	0.73	0	0.27	0	0	0.26
272	0.88	0	0.12	0	0	0.26
273	0.52	0	0.48	0	0	0.26
274	0.8	0	0	0.2	0	0.26
275	1	0	0.00027	0	0	0.26
276	0.85	0	0.15	0	0	0.26
277	0.94	0	0.055	0	0	0.26
278	0.67	0	0.33	0	0	0.26
279	0.2	0	0.8	0	2	0.31
280	0.93	0	0.074	0	0	0.26
281	0.96	0	0.038	0	0	0.26
282	0.8	2.1e-06	0	0.2	0	0.26
283	0.96	0	0.036	0	0	0.26
284	0.59	0	0.41	0	0	0.26
285	0.3	0	0.7	0	2	0.31
286	0.36	0	0.64	0	2	0.31
287	0.91	0	0.087	0	0	0.26
288	0.79	0	0.21	0	0	0.26
289	0.39	0	0.61	0	2	0.31
290	0.99	0	0.015	0	0	0.26
291	0.96	0	0.036	0	0	0.26
292	0.52	0	0.48	0	0	0.26
293	0.79	0	0.21	0	0	0.26
294	0.62	0	0.38	0	0	0.26
295	0.86	0	0.14	0	0	0.26
296	0.99	0	0.0099	0	0	0.26
297	0.69	0	0.31	0	0	0.26
298	0.54	0	0.46	0	0	0.26
299	0.98	0	0.017	0	0	0.26
300	1	0	0.0022	0	0	0.26
301	0.97	0	0.029	0	0	0.26
302	0.91	0	0.089	0	0	0.26
303	0.53	0	0.47	0	0	0.26
304	0.16	0	0.84	0	2	0.31
305	0.99	0	0.01	0	0	0.26
306	0.27	0	0.73	0	2	0.31
307	0.85	0	0.15	0	0	0.26
308	0.99	0	0.0094	0	0	0.26
309	0.95	0	0.046	0	0	0.26
310	0	1	0	0	1	0.029
311	0.99	0	0.0063	0	0	0.26
312	0.6	0	0.4	0	0	0.26
313	0	0	0	1	3	0
314	0.94	0	0.06	0	0	0.26
315	0.99	0	0.0058	0	0	0.26
316	0.87	0	0.13	0	0	0.26
317	0.85	0	0.15	0	0	0.26
318	0.96	0	0.043	0	0	0.26
319	1	0	2.5e-05	0	0	0.26
320	0	0.005	0	1	3	0
321	0	6e-05	0	1	3	0
322	0.97	0	0.026	0	0	0.26
323	0.82	0	0.18	0	0	0.26
324	1	0	4.4e-05	0	0	0.26
325	1	0	0.0012	0	0	0.26
326	0.93	0	0.075	0	0	0.26
327	1	0	0.0032	0	0	0.26
328	0	0.00013	0	1	3	0
329	0	0.00024	0	1	3	0
330	0.84	0	0.16	0	0	0.26
331	0.96	0	0.043	0	0	0.26
332	0.94	0	0.057	0	0	0.26
333	0.99	0	0.0099	0	0	0.26
334	0.97	0	0.033	0	0	0.26
335	1	0	0.0045	0	0	0.26
336	0	0.0028	0	1	3	0
337	0.14	0	0.86	0	2	0.31
338	0	0.0032	0	1	3	0
339	0.96	0	0.043	0	0	0.26
340	0.042	0	0.96	0	2	0.31
341	0.87	0	0.13	0	0	0.26
342	0.38	0	0.62	0	2	0.31
343	0.94	0	0.06	0	0	0.26
344	0.77	0	0.23	0	0	0.26
345	0.88	0	0.12	0	0	0.26
346	0	0.0027	0	1	3	0
347	0.81	0	0.19	0	0	0.26
348	0.86	0	0.14	0	0	0.26
349	0	2.8e-05	0	1	3	0
350	0.99	0	0.011	0	0	0.26
351	0.86	0	0.14	0	0	0.26
352	0.98	0	0.016	0	0	0.26
353	0	0.0063	0	0.99	3	0
354	0	1	0	0	1	0.029
355	0.9	0	0.1	0	0	0.26
356	0.8	0	0.2	0	0	0.26
357	0.97	0	0.028	0	0	0.26
358	0.54	0	0.46	0	0	0.26
359	0.54	0	0.46	0	0	0.26
360	0	3.3e-06	0	1	3	0
361	0.98	0	0.016	0	0	0.26
362	0.89	0	0.11	0	0	0.26
363	0.96	0	0.044	0	0	0.26
364	0.98	0	0.023	0	0	0.26
365	0.99	0	0.0054	0	0	0.26
366	0.92	0	0.08	0	0	0.26
367	0.23	0	0.77	0	2	0.31
368	0	4.5e-06	0	1	3	0
369	0.91	0	0.089	0	0	0.26
370	1	0	0.00033	0	0	0.26
371	0.91	0	0.093	0	0	0.26
372	0.96	9.1e-05	0.042	0	0	0.26
373	0.99	0	0.0061	0	0	0.26
374	0.79	0	0.21	0	0	0.26
375	0.93	0	0.069	0	0	0.26
376	0.98	0	0.017	0	0	0.26
377	0.86	0	0.14	0	0	0.26
378	0.86	0	0.14	0	0	0.26
379	0.99	0	0.0064	0	0	0.26
380	0.97	0	0.034	0	0	0.26
381	0	0.0012	0	1	3	0
382	0.99	0	0.014	0	0	0.26
383	0	1.6e-05	0	1	3	0
384	0.96	0	0.045	0	0	0.26
385	1	0	0.00077	0	0	0.26
386	0.88	0	0.12	0	0	0.26
387	0.67	0	0.33	0	0	0.26
388	0.97	0	0.028	0	0	0.26
389	0.78	0	0.22	0	0	0.26
390	0.89	0	0.11	0	0	0.26
391	0.5	0	0.5	0	0	0.26
392	0	0.005	0	1	3	0
393	0.93	0	0.065	0	0	0.26
394	0.98	0	0.024	0	0	0.26
395	0.86	0	0.14	0	0	0.26
396	0	1.1e-05	0	1	3	0
397	1	0	0.0038	0	0	0.26
398	0.91	0	0.091	0	0	0.26
399	0.99	0	0.0067	0	0	0.26
400	0.93	0	0.069	0	0	0.26
401	0.69	0	0.31	0	0	0.26
402	0.8	0	0.2	0	0	0.26
403	1	0	0.004	0	0	0.26
404	0.73	0	0.27	0	0	0.26
405	0.15	0	0.85	0	2	0.31
406	0.65	0	0.35	0	0	0.26
407	0.93	0	0.072	0	0	0.26
408	0.99	0	0.0089	0	0	0.26
409	0.85	0	0.15	0	0	0.26
410	0.92	0	0.081	0	0	0.26
411	0.0012	1	1.8e-05	0	1	0.029
412	0.94	0	0.057	0	0	0.26
413	0.92	0	0.08	0	0	0.26
414	0.95	0	0.047	0	0	0.26
415	1	0	0.001	0	0	0.26
416	1	0	0.0016	0	0	0.26
417	0.99	0	0.014	0	0	0.26
418	0.81	0	0.19	0	0	0.26
419	1	0	7.7e-06	0	0	0.26
420	0.89	1.6e-06	0.11	0	0	0.26
421	0.91	0	0.089	0	0	0.26
422	0.93	0	0.067	0	0	0.26
423	0.43	0	0.57	0	2	0.31
424	0.62	0	0.38	0	0	0.26
425	1	0	0.00092	0	0	0.26
426	0	0.00023	0	1	3	0
427	0.91	0	0.086	0	0	0.26
428	0.94	0	0.063	0	0	0.26
429	0.98	0	0.024	0	0	0.26
430	0	1	0	0	1	0.029
431	0	0	0	1	3	0
432	0.29	0	0.71	0	2	0.31
433	0.58	0	0.42	0	0	0.26
434	1	0	0.0021	0	0	0.26
435	0.96	0	0.041	0	0	0.26
436	0.023	0	0.98	0	2	0.31
437	0.016	0	0.98	0	2	0.31
438	0.99	0	0.014	0	0	0.26
439	0.98	0	0.016	0	0	0.26
440	0.7	0	0.3	0	0	0.26
441	0.99	0	0.0097	0	0	0.26
442	0.77	0	0.23	0	0	0.26
443	0.94	0	0.062	0	0	0.26
444	0.38	0	0.62	0	2	0.31
445	0.9	0	0.1	0	0	0.26
446	1	0	0.0042	0	0	0.26
447	0.33	0	0.67	0	2	0.31
448	0.96	0	0.043	0	0	0.26
449	0.91	0	0.087	0	0	0.26
450	0.99	0	0.0071	0	0	0.26
451	0.93	0	0.068	0	0	0.26
452	0.83	0	0.17	0	0	0.26
453	0	0.0057	0	0.99	3	0
454	0.75	0	0.25	0	0	0.26
455	0.61	0	0.39	0	0	0.26
456	0.97	0	0.025	0	0	0.26
457	0.43	0	0.57	0	2	0.31
458	0.74	0	0.26	0	0	0.26
459	0.5	0	0.5	0	2	0.31
460	0.71	0	0.29	0	0	0.26
461	1	0	3.8e-05	0	0	0.26
462	0.96	0	0.044	0	0	0.26
463	1	0	0.00038	0	0	0.26
464	0.97	0	0.031	0	0	0.26
465	0.93	0	0.069	0	0	0.26
466	0.99	0	0.01	0	0	0.26
467	0.77	0	0.23	0	0	0.26
468	0.92	0	0.076	0	0	0.26
469	0.9	0	0.1	0	0	0.26
470	0.73	0	0.27	0	0	0.26
471	0.97	0	0.028	0	0	0.26
472	0.22	0	0.78	0	2	0.31
473	0.89	0	0.11	0	0	0.26
474	0.77	0	0.23	0	0	0.26
475	0.96	0	0.043	0	0	0.26
476	0.97	0	0.026	0	0	0.26
477	0	0.035	0	0.97	3	0
478	1	0	0.00022	0	0	0.26
479	0.52	0	0.48	0	0	0.26
480	0	0	0	1	3	0
481	1	0	0.0045	0	0	0.26
482	0.4	0	0.6	0	2	0.31
483	0.94	0	0.061	0	0	0.26
484	0.82	0	0.18	0	0	0.26
485	0.82	0	0.18	0	0	0.26
486	0.83	0	0.17	0	0	0.26
487	0	0.0082	0	0.99	3	0
488	0.98	0	0.018	0	0	0.26
489	0.65	0	0.35	0	0	0.26
490	0.57	0	0.43	0	0	0.26
491	0	0.0035	0	1	3	0
492	0.88	0	0.12	0	0	0.26
493	0	9e-05	0	1	3	0
494	0.78	0	0.22	0	0	0.26
495	0.84	0	0.16	0	0	0.26
496	0.89	0	0.11	0	0	0.26
497	0.27	0	0.73	0	2	0.31
498	0.98	0	0.017	0	0	0.26
499	1	0	0	0	0	0.26
500	0	1	0	0	1	0.029
501	1	0	0.0025	0	0	0.26
502	0.81	0	0.19	0	0	0.26
503	0.33	0	0.67	0	2	0.31
504	0.95	0	0.05	0	0	0.26
505	2e-05	0.11	0	0.89	3	0
506	0	0.0052	0	0.99	3	0
507	0	4.4e-06	0	1	3	0
508	0.81	0	0.19	0	0	0.26
509	0.4	0	0.6	0	2	0.31
510	0	2.5e-06	0	1	3	0
511	0.78	0	0.22	0	0	0.26
512	0	0.032	0	0.97	3	0
513	0.94	0	0.06	0	0	0.26
514	0	8.2e-06	0	1	3	0
515	0.57	0	0.43	0	0	0.26
516	0	0.034	0	0.97	3	0
517	0.99	0	0.013	0	0	0.26
518	1	0	0.0038	0	0	0.26
519	0.65	0	0.35	0	0	0.26
520	0.99	0	0.0065	0	0	0.26
521	0.47	0	0.53	0	2	0.31
522	0.35	0	0.65	0	2	0.31
523	0.63	0	0.37	0	0	0.26
524	0	0.0093	0	0.99	3	0
525	0.99	0	0.011	0	0	0.26
526	1	0	0.0017	0	0	0.26
527	1	0	0	0	0	0.26
528	0.63	0	0.37	0	0	0.26
529	0.043	0	0.96	0	2	0.31
530	0.83	0	0.17	0	0	0.26
531	0.91	0	0.086	0	0	0.26
532	0.81	0	0.19	0	0	0.26
533	0.6	0	0.4	0	0	0.26
534	1	0	0.0032	0	0	0.26
535	0.33	0	0.67	0	2	0.31
536	0.98	0	0.02	0	0	0.26
537	0.54	0	0.46	0	0	0.26
538	0.16	0	0.84	0	2	0.31
539	0.98	0	0.022	0	0	0.26
540	0.95	0	0.05	0	0	0.26
541	0.92	0	0.077	0	0	0.26
542	0.97	0	0.027	0	0	0.26
543	0.96	0	0.04	0	0	0.26
544	0.24	0	0.76	0	2	0.31
545	0	0.011	0	0.99	3	0
546	0.79	0	0.21	0	0	0.26
547	0.12	0	0.88	0	2	0.31
548	1	0	0.0013	0	0	0.26
549	0.99	0	0.014	0	0	0.26
550	0.93	0	0.071	0	0	0.26
551	0	0.00013	0	1	3	0
552	0.75	0	0.25	0	0	0.26
553	0	1.5e-05	0	1	3	0
554	0.95	0	0.054	0	0	0.26
555	0.77	0	0.23	0	0	0.26
556	0.92	0	0.076	0	0	0.26
557	0.74	0	0.26	0	0	0.26
558	0.95	0	0.052	0	0	0.26
559	0.87	0	0.13	0	0	0.26
560	0.3	0	0.7	0	2	0.31
561	0.68	0	0.32	0	0	0.26
562	0.95	0	0.053	0	0	0.26
563	0.68	0	0.32	0	0	0.26
564	0.96	0	0.04	0	0	0.26
565	0.81	0	0.19	0	0	0.26
566	0.98	0	0.023	0	0	0.26
567	0.92	0	0.081	0	0	0.26
568	0.98	0	0.016	0	0	0.26
569	0.25	0	0.75	0	2	0.31
570	0.76	0	0.24	0	0	0.26
571	0.98	0	0.021	0	0	0.26
572	0.78	0	0.22	0	0	0.26
573	0	7.8e-06	0	1	3	0
574	0.94	0	0.065	0	0	0.26
575	0.73	0	0.27	0	0	0.26
576	0.96	0	0.037	0	0	0.26
577	0.99	0	0.0068	0	0	0.26
578	0.81	0	0.19	0	0	0.26
579	0.85	0	0.15	0	0	0.26
580	0.63	0	0.37	0	0	0.26
581	0	0.0036	0	1	3	0
582	0.89	0	0.11	0	0	0.26
583	0.27	0	0.73	0	2	0.31
584	1	0	5.6e-05	0	0	0.26
585	0.98	0	0.022	0	0	0.26
586	0.85	0	0.15	0	0	0.26
587	0	0.025	0	0.98	3	0
588	0	1	0	0	1	0.029
589	0.56	0	0.44	0	0	0.26
590	0	0.021	0	0.98	3	0
591	0.16	0	0.84	0	2	0.31
592	0	0	0	1	3	0
593	0.0098	0	0.99	0	2	0.31
594	0.99	0	0.015	0	0	0.26
595	0.77	0	0.23	0	0	0.26
596	0.00098	1	0	0	1	0.029
597	0	4.5e-06	0	1	3	0
598	1	0	4.2e-05	0	0	0.26
599	0.76	0	0.24	0	0	0.26
600	0.93	0	0.073	0	0	0.26
601	0.59	0	0.41	0	0	0.26
602	0.85	0	0.15	0	0	0.26
603	0	2.1e-06	0	1	3	0
604	0.88	0	0.12	0	0	0.26
605	1	0	0.0016	0	0	0.26
606	0.98	0	0.021	0	0	0.26
607	0.94	0	0.057	0	0	0.26
608	0.99	0	0.012	0	0	0.26
609	0	0.00039	0	1	3	0
610	1	0	0.00066	0	0	0.26
611	0.96	0	0.044	0	0	0.26
612	0.99	0	0.0084	0	0	0.26
613	0.97	0	0.032	0	0	0.26
614	0	1	0	0	1	0.029
615	0.95	0	0.046	0	0	0.26
616	0.99	0	0.015	0	0	0.26
617	0.99	0	0.012	0	0	0.26
618	0.9	0	0.1	0	0	0.26
619	0.73	0	0.27	0	0	0.26
620	0.88	0	0.12	0	0	0.26
621	0.83	0	0.17	0	0	0.26
622	0.96	0	0.039	0	0	0.26
623	0.97	0	0.032	0	0	0.26
624	0.97	0	0.03	0	0	0.26
625	0.88	0	0.12	0	0	0.26
626	1	0	0.00027	0	0	0.26
627	0.87	0	0.13	0	0	0.26
628	0.96	0	0.045	0	0	0.26
629	0.98	0	0.017	0	0	0.26
630	0.99	0	0.015	0	0	0.26
631	0.99	0	0.012	0	0	0.26
632	0.76	0	0.24	0	0	0.26
633	0.92	0	0.084	0	0	0.26
634	0.99	0	0.014	0	0	0.26
635	0.97	0	0.026	0	0	0.26
636	0.9	0	0.1	0	0	0.26
637	0.9	0	0.1	0	0	0.26
638	0.93	0	0.07	0	0	0.26
639	0.95	0	0.051	0	0	0.26
640	0.95	0	0.05	0	0	0.26
641	1	0	0.0011	0	0	0.26
642	1	0	0.00058	0	0	0.26
643	0.99	0	0.0093	0	0	0.26
644	0.9	0	0.098	0	0	0.26
645	0.39	0	0.61	0	2	0.31
646	0.088	0	0.91	0	2	0.31
647	0	1	0	0	1	0.029
648	0	1	0	0	1	0.029
649	0.32	0	0.68	0	2	0.31
650	0.97	0	0.031	0	0	0.26
651	0.8	0	0.2	0	0	0.26
652	0.98	0	0.019	0	0	0.26
653	0.9	0	0.1	0	0	0.26
654	0.92	0	0.08	0	0	0.26
655	0.98	0	0.018	0	0	0.26
656	0.98	0	0.018	0	0	0.26
657	0.92	0	0.078	0	0	0.26
658	0.16	0	0.84	0	2	0.31
659	0.78	0	0.22	0	0	0.26
660	0.95	0	0.054	0	0	0.26
661	0.99	0	0.0091	0	0	0.26
662	0.99	0	0.0065	0	0	0.26
663	0.83	0	0.17	0	0	0.26
664	0	0.0039	0	1	3	0
665	0.38	0	0.62	0	2	0.31
666	1	0	0.0022	0	0	0.26
667	0.83	0	0.17	0	0	0.26
668	1	0	8.4e-05	0	0	0.26
669	0.63	0	0.37	0	0	0.26
670	0.81	0	0.19	0	0	0.26
671	0.89	0	0.11	0	0	0.26
672	0.83	0	0.17	0	0	0.26
673	0.93	0	0.073	0	0	0.26
674	0.86	0	0.14	0	0	0.26
675	1	0	0.0011	0	0	0.26
676	0.99	0	0.0078	0	0	0.26
677	0.97	0	0.026	0	0	0.26
678	0.95	0	0.048	0	0	0.26
679	0.95	0	0.046	0	0	0.26
680	0.72	0	0.28	0	0	0.26
681	1	0	0.0001	0	0	0.26
682	1	0	0.00032	0	0	0.26
683	0.99	0	0.012	0	0	0.26
684	0	2.8e-05	0	1	3	0
685	0.95	0	0.052	0	0	0.26
686	0.69	0	0.31	0	0	0.26
687	0.18	0	0.82	0	2	0.31
688	0.68	0	0.32	0	0	0.26
689	0.62	0	0.38	0	0	0.26
690	0.88	0	0.12	0	0	0.26
691	0.98	0	0.016	0	0	0.26
692	0	9.7e-05	0	1	3	0
693	0.89	0	0.11	0	0	0.26
694	0.98	0	0.018	0	0	0.26
695	0.99	0	0.0056	0	0	0.26
696	0.96	0	0.039	0	0	0.26
697	0.94	0	0.061	0	0	0.26
698	0.87	0	0.13	0	0	0.26
699	0.83	0	0.17	0	0	0.26
700	0.99	0	0.0089	0	0	0.26
701	1	0	0.00032	0	0	0.26
702	0	0.0024	0	1	3	0
703	0.99	0	0.01	0	0	0.26
704	0.91	0	0.089	0	0	0.26
