SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
27	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
28	0	0	0	0	1	1.3e-06	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
29	0	0	0.0011	0	1	0.0025	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
30	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
31	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
32	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
33	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
34	0	0	0.0031	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
35	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
36	0	0	0.012	0	0.99	0.0016	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
37	0	0	0.29	0	0.62	0.089	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
38	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
39	0	0	0.0023	0	1	0.00074	0	0	4.2e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
40	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
41	0	1	0	0	0	0	0	0	0	0	1	0	0.032	0.026	0.11	0.014	0.029
42	0	0	0.01	0	0.99	0.00065	0	0	0.0042	0	4	0.17	0.29	0.23	0.34	0.13	0.26
43	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
44	0	0	0.099	0	0.9	0	0	0	0.0047	0	4	0.17	0.29	0.23	0.34	0.13	0.26
45	0	0	0.0012	0	1	0	0	0	1.2e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
46	0	0	0.048	0	0.95	0.00079	0	0	4.6e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
47	0	0	0.82	0	0.14	0.035	0	0	0	0	2	0.17	0.38	0.29	0.34	0.13	0.26
48	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
49	0	0	2e-06	0	0.013	0	0	0.99	0	0	7	0	0.29	0.18	0.11	0.029	0.17
50	0	0	0	0	0	0	0	1.3e-05	1	0	8	0.17	0.38	0.35	0.38	0.21	0.31
51	0	0	0.13	0	0.84	0	0	0	0.027	0	4	0.17	0.29	0.23	0.34	0.13	0.26
52	0	0	0.00088	0	0.35	0.65	0	0	0	0	5	0.24	0.34	0.23	0.34	0.13	0.25
53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0.058	0.087
54	0	0	0.0021	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
55	0	0	0.0024	0	1	0	0	0	5.8e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
56	0	0	0	0	0.19	0.81	0	0	0	0	5	0.24	0.34	0.23	0.34	0.13	0.25
57	0	0	0.1	0	0.9	0	0	0	0.0007	0	4	0.17	0.29	0.23	0.34	0.13	0.26
58	0	0	0	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
59	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
60	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
61	0	0	6.3e-05	0	0.38	0.62	0	0	0	0	5	0.24	0.34	0.23	0.34	0.13	0.25
62	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
63	0	0	0	0	0	0	0	0	1	0	8	0.17	0.38	0.35	0.38	0.21	0.31
64	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
65	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
66	0	0	0.0046	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
67	0	0	0.021	0	0.98	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
68	0	0	0.079	0	0.0051	0.92	0	0	0	0	5	0.24	0.34	0.23	0.34	0.13	0.25
69	0	0	0.039	0	0.92	0.00086	0	0	0.037	0	4	0.17	0.29	0.23	0.34	0.13	0.26
70	0	0	0.43	0	0.52	0	0	0	0.049	0	4	0.17	0.29	0.23	0.34	0.13	0.26
71	0	0	0	0	9.2e-06	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
72	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
73	0	0	0.041	0	0.85	0.098	0	0	0.007	0	4	0.17	0.29	0.23	0.34	0.13	0.26
74	0	0	0.00011	0	0.99	0.0074	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
75	0	0	0.00029	0	1	2.1e-06	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
76	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
77	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
78	0	0	6e-05	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0.058	0.087
80	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
81	0	0	0	0	0	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
82	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
83	0	0	0.012	0	0.99	0.00012	0	0	5e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
84	0	0	0.0011	0	0.88	0.11	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
85	0	0	0	0	0.00052	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
86	0	0	0	0	0.0067	0.99	0	0	0	0	5	0.24	0.34	0.23	0.34	0.13	0.25
87	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
88	0	0	0.094	0	0.85	0	0	0	0.055	0	4	0.17	0.29	0.23	0.34	0.13	0.26
89	0	0	0.00084	0	0.43	0.57	0	0	0	0	5	0.24	0.34	0.23	0.34	0.13	0.25
90	0	0	0.58	0	0.42	0	0	0	0.0051	0	2	0.17	0.38	0.29	0.34	0.13	0.26
91	0	0	0.00018	0	1	0.0001	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
92	0	0	3.7e-05	0	1	0	0.003	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
93	0	1	0	0	0	0	0	0	0	0	1	0	0.032	0.026	0.11	0.014	0.029
94	0	0	0.021	0	0.97	0.0018	0.011	0	0.00019	0	4	0.17	0.29	0.23	0.34	0.13	0.26
95	0	0	0.033	0	0.92	0.014	0	0	0.036	0	4	0.17	0.29	0.23	0.34	0.13	0.26
96	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
97	0	0	0.031	0	0.94	0.0037	0.029	0	6.4e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
98	0	0	1	0	0	0	0	0	0	0	2	0.17	0.38	0.29	0.34	0.13	0.26
99	0	0	0.0001	0	0.99	0.01	0.00024	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
100	0	0	0.042	0	0.94	0.00013	0.021	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
101	0	0	0.0013	0	0.97	0.00069	0.033	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
102	0	0	0.19	0	0.81	0	0.0062	0	0.00036	0	4	0.17	0.29	0.23	0.34	0.13	0.26
103	0	0	0.0026	0	0.99	0.0056	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0.058	0.087
105	0	0.00012	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
106	0	0	0.022	0	0.96	0	0.011	0	0.0054	0	4	0.17	0.29	0.23	0.34	0.13	0.26
107	0	0	0.051	0	0.94	0.0083	0.00031	0	8.9e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
108	0	0	0.0085	0	0.99	0.00063	1.9e-05	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
109	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
110	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
111	1	0	0	0	0	0	0	2.3e-06	0	0	0	0	0	0	0.038	0.058	0.087
112	0	0	0.017	0	0.93	0.038	0.0039	0	0.0071	0	4	0.17	0.29	0.23	0.34	0.13	0.26
113	0	0	0	0	0.0017	0	1	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
114	0	0	0.022	0	0.94	0	0.034	0	4.2e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
115	0	0	0.06	0	0.93	0.011	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
116	0	0	6.3e-05	0	0.99	4.7e-05	0.002	0	0.0067	0	4	0.17	0.29	0.23	0.34	0.13	0.26
117	0	0	5.8e-05	0	0.99	0.0059	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
118	0	0	0.0065	0	0.95	0.044	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
119	0	0	0.0053	0	0.99	0.0039	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
120	0	0	0.17	0	0.61	0	0.076	0	0.14	0	4	0.17	0.29	0.23	0.34	0.13	0.26
121	0	0	0.031	0	0.94	0.02	0	0	0.0044	0	4	0.17	0.29	0.23	0.34	0.13	0.26
122	0	0	0.001	0	0.95	0.0011	0.05	0	3.2e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
123	0	1	0	5.6e-05	0	0	0	0	0	0	1	0	0.032	0.026	0.11	0.014	0.029
124	0	0	2.6e-06	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
125	0	0	0.00024	0	1	0.00032	0	0	6e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
126	0	0	0.00019	0	0.79	0	0.21	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
127	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
128	0	0	0.00061	0	0.95	0.046	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
129	0	0	0.093	0	0.84	0	0.068	0	0.0017	0	4	0.17	0.29	0.23	0.34	0.13	0.26
130	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
131	0	0	4.7e-06	0	1	8.2e-06	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
132	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
133	0	0	0	0	2.5e-05	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
134	0	0	0.032	0	0.93	0.034	0	0	0.0013	0	4	0.17	0.29	0.23	0.34	0.13	0.26
135	0	0	0.0086	0	0.97	0.018	0	0	6.5e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
136	0	0	0.00051	0	1	0.00029	0	0	2.4e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
137	0	0	7.8e-05	0	1	0.0028	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
138	0	1	0	0	0	0	0	0	0	0	1	0	0.032	0.026	0.11	0.014	0.029
139	0	0	0	0	1	3.5e-05	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
140	0	0	0.24	0	0.74	0.0061	0	0	0.0092	0	4	0.17	0.29	0.23	0.34	0.13	0.26
141	0	0	2.4e-05	0	1	0.002	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
142	0	0	0.00026	0	1	1.2e-05	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
143	0	0	2.5e-06	0	1	3.1e-06	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
144	0	0	1.3e-05	0	1	0.00077	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
145	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
146	0	0	0.0019	0	1	0.00028	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
147	0	0	0.034	0	0.94	0.026	0	0	0.00093	0	4	0.17	0.29	0.23	0.34	0.13	0.26
148	1	3.5e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0.058	0.087
149	0	1	0	0.0041	0	0	0	6.9e-06	0	0	1	0	0.032	0.026	0.11	0.014	0.029
150	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
151	0	0	1.2e-05	0	1	0.00012	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
152	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
153	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
154	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
155	0	0	0.015	0	0.98	0.00087	0	0	7.1e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
156	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
157	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
158	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
159	0	0	0.025	0	0.97	0.0032	0	0	0.00012	0	4	0.17	0.29	0.23	0.34	0.13	0.26
160	0	0	3.2e-06	0	1	0.00036	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
161	0	0	0.0008	0	0.97	0.034	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
162	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
163	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
164	0	0	0.19	0	0.19	0	0.0019	0	0.62	0	8	0.17	0.38	0.35	0.38	0.21	0.31
165	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
166	0	0	0.0057	0	0.96	0.037	0.00048	0	5.5e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
167	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
168	0	0	1	0	0	0	0	0	0	0	2	0.17	0.38	0.29	0.34	0.13	0.26
169	0	0	0.0064	0	0.9	0.017	0.075	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
170	0	0	0.0032	0	0.99	0.00072	0.0061	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
171	0	0	0.017	0	0.89	0.012	0.085	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
172	0	0	0.04	0	0.93	0.022	0	0	0.0079	0	4	0.17	0.29	0.23	0.34	0.13	0.26
173	0	0	0.0037	0	0.98	0.011	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
174	0	0	2.6e-05	0	1	0.00059	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
175	0	0	3.2e-05	0	0.94	0.062	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
176	0	0	0.047	0	0.66	1.3e-05	0	0	0.29	0	4	0.17	0.29	0.23	0.34	0.13	0.26
177	0	0	0.066	0	0.82	0	0	0	0.11	0	4	0.17	0.29	0.23	0.34	0.13	0.26
178	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
179	0	0	0.0008	0	0.9	1.7e-05	0.091	0	0.0064	0	4	0.17	0.29	0.23	0.34	0.13	0.26
180	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
181	0	1	0	0	0	0	0	0	0	0	1	0	0.032	0.026	0.11	0.014	0.029
182	0	0	0.0086	0	0.98	0.00014	0	0	0.016	0	4	0.17	0.29	0.23	0.34	0.13	0.26
183	0	0	0.0004	0	0.99	5.9e-05	0	0	0.0053	0	4	0.17	0.29	0.23	0.34	0.13	0.26
184	0	0	0	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
185	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
186	0	0	0	0	1	0	0	0	2.3e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
187	0	0	0	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
188	0	0	0.055	0	0.94	0.0011	0	0	5.3e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
189	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
190	0	0	0.0018	0	0.99	0	0	0	0.0082	0	4	0.17	0.29	0.23	0.34	0.13	0.26
191	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
192	0	0	0.031	0	0.96	0.0089	0	0	1.9e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
193	0	0	0.00072	0	0.99	0.0062	0	0	5.2e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
194	0	0	0.002	0	1	3.2e-06	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
195	0	1	0	0	0	0	0	0	0	0	1	0	0.032	0.026	0.11	0.014	0.029
196	0	0	0.047	0	0.03	0	0.64	0	0.28	0	6	0.39	0.57	0.47	0.66	0.21	0.47
197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0.058	0.087
198	0	1	0	0	0	0	0	0	0	0	1	0	0.032	0.026	0.11	0.014	0.029
199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0.058	0.087
200	0	0	0.0014	0	0.99	0.0078	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
201	0	0	0.00038	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
202	0	0	2.3e-06	0.96	0.041	8.7e-05	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
203	0	0	0.00052	0	0	0	0	0	1	0	8	0.17	0.38	0.35	0.38	0.21	0.31
204	0	0	0.31	0	0.61	0.015	0	0	0.066	0	4	0.17	0.29	0.23	0.34	0.13	0.26
205	0.00024	1	0	0	0	0	0	0	0	0	1	0	0.032	0.026	0.11	0.014	0.029
206	0	0	0.015	0	0.00083	0	0	0	0.98	0	8	0.17	0.38	0.35	0.38	0.21	0.31
207	0	0	0.052	0	0.93	0.016	0	0	0.0012	0	4	0.17	0.29	0.23	0.34	0.13	0.26
208	0	0	0	0	0.52	0	0	0	0.48	0	4	0.17	0.29	0.23	0.34	0.13	0.26
209	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
210	0	0	0	0	0	0	0	0	1	0	8	0.17	0.38	0.35	0.38	0.21	0.31
211	0	0	0.0017	0	1	0.0011	0	0	0.00043	0	4	0.17	0.29	0.23	0.34	0.13	0.26
212	0	0	4.4e-05	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
213	0	0	0	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
214	0	0	0.71	0	0.2	0.015	0	0	0.076	0	2	0.17	0.38	0.29	0.34	0.13	0.26
215	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
216	0	0	0.00021	0	0.9	0	0.099	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
217	0	0	0.17	0	0.82	0	0.012	0	0.0016	0	4	0.17	0.29	0.23	0.34	0.13	0.26
218	0	0	0.037	0	0.45	0.003	3.2e-05	0	0.51	0	8	0.17	0.38	0.35	0.38	0.21	0.31
219	0	0	0.35	0	0.65	0.0059	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
220	0	0	0.019	0	0.98	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
221	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
222	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
223	0	0	0.0054	0	0.99	0.0021	0	0	8.2e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
224	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
225	0	0	0	0	0	0	0	1	0	0	7	0	0.29	0.18	0.11	0.029	0.17
226	0	0	0	0	0	0	0	0	1	0	8	0.17	0.38	0.35	0.38	0.21	0.31
227	0	0	0.044	0	0.94	0.0059	0.00047	0	0.0058	0	4	0.17	0.29	0.23	0.34	0.13	0.26
228	0	0	0.0011	0	0	0	0	0	1	0	8	0.17	0.38	0.35	0.38	0.21	0.31
229	0	0	0.29	0	0.69	0	0.0044	0	0.012	0	4	0.17	0.29	0.23	0.34	0.13	0.26
230	0	0	1.4e-05	0	1	0	0	0	0.0048	0	4	0.17	0.29	0.23	0.34	0.13	0.26
231	0	0	0.015	0	0.99	0	0	0	3.6e-06	0	4	0.17	0.29	0.23	0.34	0.13	0.26
232	0	0	5e-05	0	1	0.0011	0	0	1.7e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
233	0	0	2.3e-06	0	1	0.004	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
234	0	0	0.028	0	0.094	0.0023	0.0075	0	0.87	0	8	0.17	0.38	0.35	0.38	0.21	0.31
235	0	0	0.00086	0	0.013	0	0.027	0	0.96	0	8	0.17	0.38	0.35	0.38	0.21	0.31
236	0	0	0.00017	0	0.22	0	0.78	0	0	0	6	0.39	0.57	0.47	0.66	0.21	0.47
237	0	0	0.11	0	0.42	0	0.46	0	8.4e-05	0	6	0.39	0.57	0.47	0.66	0.21	0.47
238	0	0	0	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
239	0	0	0.47	0	0.52	0	0.00039	0	0.0084	0	4	0.17	0.29	0.23	0.34	0.13	0.26
240	0	0	0.53	0	0.41	0.0031	0.06	0	5.3e-05	0	2	0.17	0.38	0.29	0.34	0.13	0.26
241	0	0	0.00028	0	6.6e-06	0	0	0	1	0	8	0.17	0.38	0.35	0.38	0.21	0.31
242	0	0	0.066	0	0.93	0.0031	0.0015	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
243	0	0	0	0	1	0	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
244	0	0	0.015	0	0.0017	0	1.4e-05	0	0.98	0	8	0.17	0.38	0.35	0.38	0.21	0.31
245	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
246	0	0	0.0036	0	0.88	0.0052	0.11	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
247	0	0	0.0003	0	1	7.4e-05	0.0013	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
248	0	0	0.035	0	0.83	0.062	0.077	0	0.00069	0	4	0.17	0.29	0.23	0.34	0.13	0.26
249	0	0	4e-05	0	1	3.8e-06	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
250	0	0	0.013	0	0.96	0.02	0.0051	0	1.6e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
251	0	0	0.078	0	0.62	0	0.3	0	0.0015	0	4	0.17	0.29	0.23	0.34	0.13	0.26
252	0	0	0.0082	0	0.98	0.0084	0	0	2e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
253	0	0	0.011	0	0.99	0.0014	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
254	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0.15	0	0
255	0	0	0	0	1	2.1e-06	0.00023	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
256	0	0	0	0	1	3.4e-05	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
257	0	0	0.00032	0	1	0.00074	0	0	0	0	4	0.17	0.29	0.23	0.34	0.13	0.26
258	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0.058	0.087
259	0	0	0	1	0	0	0	0	0	0	3	0.11	0.032	0.026	0.038	0.043	0.029
260	0	0	0.02	0	0.96	0	0.016	0	2.9e-05	0	4	0.17	0.29	0.23	0.34	0.13	0.26
261	0	0	0.023	0	0.7	0.019	0.26	0	0.00086	0	4	0.17	0.29	0.23	0.34	0.13	0.26
