SNV	cluster0	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
115	1	0	0.62	0.56	0.45	0.44	0.51
116	1	0	0.62	0.56	0.45	0.44	0.51
117	1	0	0.62	0.56	0.45	0.44	0.51
118	1	0	0.62	0.56	0.45	0.44	0.51
119	1	0	0.62	0.56	0.45	0.44	0.51
120	1	0	0.62	0.56	0.45	0.44	0.51
121	1	0	0.62	0.56	0.45	0.44	0.51
122	1	0	0.62	0.56	0.45	0.44	0.51
123	1	0	0.62	0.56	0.45	0.44	0.51
124	1	0	0.62	0.56	0.45	0.44	0.51
125	1	0	0.62	0.56	0.45	0.44	0.51
126	1	0	0.62	0.56	0.45	0.44	0.51
127	1	0	0.62	0.56	0.45	0.44	0.51
128	1	0	0.62	0.56	0.45	0.44	0.51
129	1	0	0.62	0.56	0.45	0.44	0.51
130	1	0	0.62	0.56	0.45	0.44	0.51
131	1	0	0.62	0.56	0.45	0.44	0.51
132	1	0	0.62	0.56	0.45	0.44	0.51
133	1	0	0.62	0.56	0.45	0.44	0.51
134	1	0	0.62	0.56	0.45	0.44	0.51
135	1	0	0.62	0.56	0.45	0.44	0.51
136	1	0	0.62	0.56	0.45	0.44	0.51
137	1	0	0.62	0.56	0.45	0.44	0.51
138	1	0	0.62	0.56	0.45	0.44	0.51
139	1	0	0.62	0.56	0.45	0.44	0.51
140	1	0	0.62	0.56	0.45	0.44	0.51
141	1	0	0.62	0.56	0.45	0.44	0.51
142	1	0	0.62	0.56	0.45	0.44	0.51
143	1	0	0.62	0.56	0.45	0.44	0.51
144	1	0	0.62	0.56	0.45	0.44	0.51
145	1	0	0.62	0.56	0.45	0.44	0.51
146	1	0	0.62	0.56	0.45	0.44	0.51
147	1	0	0.62	0.56	0.45	0.44	0.51
148	1	0	0.62	0.56	0.45	0.44	0.51
149	1	0	0.62	0.56	0.45	0.44	0.51
150	1	0	0.62	0.56	0.45	0.44	0.51
151	1	0	0.62	0.56	0.45	0.44	0.51
152	1	0	0.62	0.56	0.45	0.44	0.51
153	1	0	0.62	0.56	0.45	0.44	0.51
154	1	0	0.62	0.56	0.45	0.44	0.51
155	1	0	0.62	0.56	0.45	0.44	0.51
156	1	0	0.62	0.56	0.45	0.44	0.51
157	1	0	0.62	0.56	0.45	0.44	0.51
158	1	0	0.62	0.56	0.45	0.44	0.51
159	1	0	0.62	0.56	0.45	0.44	0.51
160	1	0	0.62	0.56	0.45	0.44	0.51
161	1	0	0.62	0.56	0.45	0.44	0.51
162	1	0	0.62	0.56	0.45	0.44	0.51
163	1	0	0.62	0.56	0.45	0.44	0.51
164	1	0	0.62	0.56	0.45	0.44	0.51
165	1	0	0.62	0.56	0.45	0.44	0.51
166	1	0	0.62	0.56	0.45	0.44	0.51
167	1	0	0.62	0.56	0.45	0.44	0.51
168	1	0	0.62	0.56	0.45	0.44	0.51
169	1	0	0.62	0.56	0.45	0.44	0.51
170	1	0	0.62	0.56	0.45	0.44	0.51
171	1	0	0.62	0.56	0.45	0.44	0.51
172	1	0	0.62	0.56	0.45	0.44	0.51
173	1	0	0.62	0.56	0.45	0.44	0.51
174	1	0	0.62	0.56	0.45	0.44	0.51
175	1	0	0.62	0.56	0.45	0.44	0.51
176	1	0	0.62	0.56	0.45	0.44	0.51
177	1	0	0.62	0.56	0.45	0.44	0.51
178	1	0	0.62	0.56	0.45	0.44	0.51
179	1	0	0.62	0.56	0.45	0.44	0.51
180	1	0	0.62	0.56	0.45	0.44	0.51
181	1	0	0.62	0.56	0.45	0.44	0.51
182	1	0	0.62	0.56	0.45	0.44	0.51
183	1	0	0.62	0.56	0.45	0.44	0.51
184	1	0	0.62	0.56	0.45	0.44	0.51
185	1	0	0.62	0.56	0.45	0.44	0.51
186	1	0	0.62	0.56	0.45	0.44	0.51
187	1	0	0.62	0.56	0.45	0.44	0.51
188	1	0	0.62	0.56	0.45	0.44	0.51
189	1	0	0.62	0.56	0.45	0.44	0.51
190	1	0	0.62	0.56	0.45	0.44	0.51
191	1	0	0.62	0.56	0.45	0.44	0.51
192	1	0	0.62	0.56	0.45	0.44	0.51
193	1	0	0.62	0.56	0.45	0.44	0.51
194	1	0	0.62	0.56	0.45	0.44	0.51
195	1	0	0.62	0.56	0.45	0.44	0.51
196	1	0	0.62	0.56	0.45	0.44	0.51
197	1	0	0.62	0.56	0.45	0.44	0.51
198	1	0	0.62	0.56	0.45	0.44	0.51
199	1	0	0.62	0.56	0.45	0.44	0.51
200	1	0	0.62	0.56	0.45	0.44	0.51
201	1	0	0.62	0.56	0.45	0.44	0.51
202	1	0	0.62	0.56	0.45	0.44	0.51
203	1	0	0.62	0.56	0.45	0.44	0.51
204	1	0	0.62	0.56	0.45	0.44	0.51
205	1	0	0.62	0.56	0.45	0.44	0.51
206	1	0	0.62	0.56	0.45	0.44	0.51
207	1	0	0.62	0.56	0.45	0.44	0.51
208	1	0	0.62	0.56	0.45	0.44	0.51
209	1	0	0.62	0.56	0.45	0.44	0.51
