SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
68	0	0.001	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
69	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
70	0	0	0	0	0	0	0.018	0	0.98	0	8	0.73	0.69	0.49	0.56	0.58	0.66
71	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
72	0	0	0	0	0	0	0.044	0	0.96	0	8	0.73	0.69	0.49	0.56	0.58	0.66
73	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
74	0	0	0	0	0	0	6.7e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
75	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
76	0	0	0	0	0	0	0.0057	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
77	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
78	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
79	0	0	0	0	0	0	4.3e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
80	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
81	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
82	0	0	0	0	0	0	4.8e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
83	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
84	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
85	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
86	0	0	0	0	0	0	0.0096	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
87	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
88	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
89	0	0	0	0	0	0	0.0057	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
90	0	0	0	0.2	0	0	0.4	0	0.4	0	6	0.73	0.69	0.49	0.67	0.58	0.66
91	0	0	0	0	0	0	0.0015	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
92	0	0	0	0	0	0	0.0016	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
93	0	0	0	0	0	0	0.00019	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
94	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
95	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
96	0	0	0	0	1	0	0	0	0	0	4	0.03	0	0.054	0.51	0.28	0.66
97	0	0	0	0	0	0	0.13	0	0.87	0	8	0.73	0.69	0.49	0.56	0.58	0.66
98	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
99	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
100	0	0.0007	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
101	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
102	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
103	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
104	0	0	0	0	0	0	0.00063	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
105	0	0	0	0	0	0	7e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
106	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
107	0	1.3e-05	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
108	0	0	0	0	0	0	8.4e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
109	0	0	0	0	0	0	0.00023	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
110	0	0.005	0	0	0	0	0	0.99	0	0	7	0	0.034	0.054	0	0	0
111	0	0	0	0	0	0	0.00037	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
112	0	0	1	0	2e-05	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
113	4.2e-05	0.0064	0	0	0	0	0	0.99	0	0	7	0	0.034	0.054	0	0	0
114	0	0	0	0	0	1	0	0	0	0.0014	5	0.57	0.46	0.054	0	0	0
115	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
116	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
117	0	0.0022	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
118	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
119	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
120	0	0	0	0	0	0	0.014	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
121	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
122	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
123	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
124	0	0	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
125	0	0	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
126	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
127	0	0	0	0	0	0	0.0004	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
128	0	0	0	0	0	1	0	0	0	0	5	0.57	0.46	0.054	0	0	0
129	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
130	0	0.003	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
131	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
132	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
133	0	0	0	0	0	0	0.00014	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
134	0	0	0	0	0	0	7.1e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
135	0	2.5e-05	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
136	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
137	0	0	0.98	0.019	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
138	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
139	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
140	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
141	0	0	0	0	0	0	0.00014	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
142	0	0	0	0	0	0	2e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
143	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
144	0	0	0	0	0	0	0.097	0	0.9	0	8	0.73	0.69	0.49	0.56	0.58	0.66
145	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
146	0	0	0	0	0	0	0.032	0	0.97	0	8	0.73	0.69	0.49	0.56	0.58	0.66
147	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
148	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
149	0	0	0	0	0	0	0.0039	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
150	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
151	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
152	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
153	0	0	0	0	0	0	0.1	0	0.9	0	8	0.73	0.69	0.49	0.56	0.58	0.66
154	0	0	0	0	0	0	1.8e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
155	0	0	0	0	1	0	0	0	0	0	4	0.03	0	0.054	0.51	0.28	0.66
156	0	0.011	0	0	0	0	0	0.99	0	0	7	0	0.034	0.054	0	0	0
157	0	0	0	0	0	0	0.0076	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
158	0	0	0	0	0	0	0.0005	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
159	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
160	0	0	0	0	0	0	1.1e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
161	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
162	0	6.7e-06	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
163	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
164	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
165	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
166	0	0	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
167	0	0	0	0	0	0	0.0011	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
168	0	0	0	0	0	0	5.8e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
169	0	0	0	0	0	0	6.4e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
170	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
171	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
172	0	0	0	0	0	0	7.4e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
173	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
174	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
175	0	0.00024	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
176	0	0	0	0	0	1	0	0	0	0	5	0.57	0.46	0.054	0	0	0
177	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
178	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
179	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
180	0	4.9e-05	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
181	1.6e-05	0.011	0	0	0	0	0	0.99	0	0	7	0	0.034	0.054	0	0	0
182	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
183	0	0.0026	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
184	0	0	0	0	0	0	0.0049	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
185	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
186	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
187	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
188	0	0	0	0	0	0	4.8e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
189	0	0	0	0	0	0	3.5e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
190	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
191	0	0	0	0	0	0	8.2e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
192	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
193	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
194	0	0	0	0	0	0	0.0012	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
195	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
196	0	0	1	0.00097	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
197	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
198	0	0	0	0	0	0	4.4e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
199	0	0.004	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
200	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
201	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
202	0	0	0	0	0	0	6.5e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
203	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
204	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
205	0	0	0	0	0	0	5.4e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
206	0	0	0	0	0	0	0.00078	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
207	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
208	0	0	0	0	0	0	0.012	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
209	0	0	0	0	0	0	0.037	0	0.96	0	8	0.73	0.69	0.49	0.56	0.58	0.66
210	0	0	0	0	0	0	4.8e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
211	0	0	0	0	0	1	0	0	0	0	5	0.57	0.46	0.054	0	0	0
212	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
213	0	0.0035	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
214	0	0	0.035	0.96	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
215	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
216	0	3.6e-05	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
217	0	0	0	0	0	0	2.3e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
218	0	0.0047	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
219	0	0	0	0	0	0	0.0024	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
220	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
221	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
222	0	0	0	0	1	0	0	0	0	0	4	0.03	0	0.054	0.51	0.28	0.66
223	0	0.00033	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
224	0	0	0	0	0	0	0.0011	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
225	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
226	0	0	0	0	0	0	0.0043	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
227	0	0	0	0	0	0	0.00039	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
228	0	0	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
229	0	0	0	0	0	0	0.0032	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
230	0	0	0	0	0	0	0.0089	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
231	0	6.6e-05	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
232	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
233	0	0.00059	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
234	0	0	0	0	0	0	0.00014	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
235	0	0	0	0	0	0	1.7e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
236	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
237	0	0.0039	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
238	0	1.4e-05	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
239	0	0	0.87	0	0	0	0	0	0	0.13	2	0.03	0	0.054	0.054	0.047	0.11
240	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
241	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
242	0	0.00014	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
243	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
244	0	0	0	0	0	0	0.0016	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
245	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
246	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
247	0	1.2e-05	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
248	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
249	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
250	0	0.004	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
251	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
252	0	0	0.0054	0.99	0	0	0	0	0	0.0096	3	0.03	0.034	0.11	0.11	0.23	0.15
253	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
254	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
255	0	0	0	0	0	0	0.01	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
256	0	0	0	0	0	0	0.00011	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
257	0	0	0	0	0	0	0.00011	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
258	0	0	0	0	1	0	0	0	0	0	4	0.03	0	0.054	0.51	0.28	0.66
259	0	0	0	0	1	0	0	0	0	0	4	0.03	0	0.054	0.51	0.28	0.66
260	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
261	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
262	0	0	0	0	1	0	0	0	0	0	4	0.03	0	0.054	0.51	0.28	0.66
263	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
264	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
265	0	0.93	0.075	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
266	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
267	0	0	0	0	0	0	5.7e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
268	0	0	0	0	0	0	0.0084	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
269	0	0	0	0	0	0	0.28	0	0.72	0	8	0.73	0.69	0.49	0.56	0.58	0.66
270	0	0	0	0	0	0	0.0048	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
271	0	0	0	0	0	0	0.0016	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
272	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
273	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
274	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
275	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
276	0	0	0	0	0	0	0.0039	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
277	0	0	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
278	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
279	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
280	0	0	0	0	0	0	0	0	0	1	9	0.73	0.69	0.22	0.054	0.093	0.038
281	0	0	0	0	0	0	0.0071	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
282	0	0	0.0037	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
283	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
284	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
285	0	0.0049	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
286	0	0	0	0	0	0	0.0001	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
287	0	0.00097	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
288	0	0	0.88	0.12	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
289	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
