SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
24	0	0	0	0	1	0	0	0	0	0	0	4.9e-06	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
26	0	0	0	0	3.2e-05	0	0	0	0	0	0	1	0	0	0	0	11	0.73	0.31	0.49	0.51	0.33	0.7
27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
29	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.03	0	0	0	0	0
30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
31	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
33	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.73	0.31	0.49	0.51	0.33	0.7
35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
36	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2.4e-05	0	8	0.27	0	0	0	0	0.038
39	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
40	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
41	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
46	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
47	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.73	0.31	0.49	0.51	0.33	0.7
48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
49	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
51	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
52	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
53	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
54	0	0	0	0	0.86	0	0	0	0	0	0	0.14	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
55	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
56	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0.21	0	0	0	0
57	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
58	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
59	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
62	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
63	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
64	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
65	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
66	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0.21	0	0	0	0
67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
69	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0.047	0.34
70	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
71	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
72	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
73	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
74	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
75	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
76	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
77	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
78	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
79	0	0	0	0	1	0	0	0	0	0	0	0.00088	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
80	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
81	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
82	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
83	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
84	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
85	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
87	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
88	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
89	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
90	0	0	0	0	0.4	0	0	0	0	0	0.2	0.4	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
91	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
92	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
93	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
94	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
95	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
96	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
97	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
98	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
99	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
101	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
102	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
103	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
104	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
105	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
106	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
107	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
108	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
109	0	0	0	0	2.2e-05	1	0	0.0016	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
110	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
111	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
112	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0.047	0.34
113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
115	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
116	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
117	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
118	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
119	0	0	0	0	0.94	0	0	0.059	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
120	0	0	0	0	0.93	8.6e-06	0	0.074	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
121	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
122	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
123	0	0	0	0	1	0	0	0.00018	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
124	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0.21	0	0	0	0
125	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0.21	0	0	0	0
126	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
127	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
128	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.41	0.38	0.054	0	0	0
129	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0.047	0.34
130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
131	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
132	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
133	0	0	0	0	1	0	0	0.00026	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
134	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.03	0	0	0	0	0
136	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
137	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
138	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.001	0	8	0.27	0	0	0	0	0.038
139	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
140	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
141	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
142	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
143	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
144	0	0	0	0	1	0	0	6.2e-05	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
145	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
146	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
147	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
148	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
149	0	0	0	0	1.5e-06	1	0	4.9e-05	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
150	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
151	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
152	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
153	0	0	0	0	1	0	0	0.00013	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
154	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
155	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
156	1	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
157	0	0	0	0	1	0	0	0.0027	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
158	0	0	0	0	1	0	0	1.2e-06	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
159	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
160	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
161	0	0	0	0	1	0	0	1.7e-06	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
162	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
163	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
165	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
167	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
168	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
169	0	0	0	0	7.5e-06	0	0	1	0	0	0	0	0	0	0	0	7	0.73	0.69	0.33	0.51	0.58	0.66
170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
172	0	0	0	0	1	0	0	4.1e-05	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
175	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
176	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0.27	0	0	0	0	0.038
177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
178	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0.047	0.34
179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
180	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
181	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
183	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
184	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
187	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
188	0	0	0	0	0.98	0	0	0.024	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
189	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
191	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
192	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
194	0	0	0	0	1	0	0	1.2e-05	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
195	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
196	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
197	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0.96	0	14	0.03	0	0	0	0	0
198	0	0	0	0	0.99	0	0	0.015	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
199	5.6e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.03	0	0	0	0	0
200	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
201	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
202	0	0	0	0	0.82	0	0	0.18	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
203	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
204	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
205	0	0	0	0	1	0	0	0.00019	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
206	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0.73	0.69	0.16	0.054	0.047	0.038
208	0	0	0	0	0.99	0	0	0.011	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
209	0	0	0	0	1	0	0	2.3e-06	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
210	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.73	0.69	0.27	0.38	0.33	0.59
211	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.41	0.38	0.054	0	0	0
212	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.41	0.38	0.054	0	0	0
213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
214	0	1	0	0	0	0	0	0	0	0	1.9e-06	0	0	0	0	0	1	0.03	0	0.11	0.054	0.14	0
215	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
216	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
217	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
218	6.4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.03	0	0	0	0	0
219	0	0	0	0	1	0	0	4.1e-05	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
220	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.054	0.11	0	0
221	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
222	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.03	0.034	0.054	0.16	0.19	0.26
223	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
224	0	0	0	0	0.69	0.055	0	0.25	0	0	0	0.00052	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
225	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.054	0	0.14	0
226	0	0	0	0	1	0	0	8.7e-05	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
227	0	0	0	0	1	0	0	2.7e-06	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.03	0	0	0	0	0
229	0	0	0	0	0.98	9.2e-06	0	0.017	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
230	0	0	0	0	1	2.9e-05	0	0.0014	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
232	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0.047	0.34
233	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
234	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
235	0	0	0	0	1	0	0	2.2e-06	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
236	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.73	0.69	0.49	0.56	0.58	0.66
237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
