SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0
242	0.0011	0	0	0.33	0.63	0.046	4	0.071
243	0.046	0	0	0.019	0.83	0.11	4	0.071
244	0.44	0.18	0.11	0.019	0.22	0.033	0	0.11
245	0.0002	0	0	0.63	0.35	0.021	3	0.053
246	0.22	0.00011	6.7e-05	0.028	0.66	0.092	4	0.071
247	0.057	2.3e-05	1.4e-05	0.14	0.73	0.077	4	0.071
248	0.11	7.6e-06	4.5e-06	0.037	0.76	0.098	4	0.071
249	0.061	0.00019	0.00011	0.23	0.65	0.065	4	0.071
250	0.31	0.00011	6.5e-05	0.013	0.59	0.091	4	0.071
251	0.012	0	0	0.19	0.73	0.067	4	0.071
252	0.17	0.002	0.0012	0.12	0.64	0.073	4	0.071
253	0.03	4.6e-06	0	0.18	0.72	0.07	4	0.071
254	0.19	0.5	0.3	9.7e-05	0.0084	0.0073	1	0.16
255	0.53	0.21	0.12	0.004	0.12	0.02	0	0.11
256	0.55	0.029	0.017	0.016	0.34	0.052	0	0.11
257	0.16	0.49	0.29	0.00072	0.019	0.042	1	0.16
258	0.3	0.0036	0.0021	0.05	0.57	0.075	4	0.071
259	0.86	0.026	0.016	0.00035	0.078	0.018	0	0.11
260	0.19	0.0015	0.00087	0.089	0.64	0.077	4	0.071
261	0.5	0.16	0.095	0.012	0.2	0.031	0	0.11
262	0.24	0.0021	0.0013	0.069	0.62	0.077	4	0.071
263	0.12	0.00045	0.00027	0.12	0.68	0.076	4	0.071
264	0.43	0.0017	0.00098	0.015	0.48	0.073	4	0.071
265	0.005	0	0	0.23	0.7	0.059	4	0.071
266	0.6	0.014	0.0081	0.0088	0.32	0.052	0	0.11
267	0.0037	0	0	0.048	0.86	0.087	4	0.071
268	0.082	0.00015	8.8e-05	0.15	0.69	0.074	4	0.071
269	0.3	0.0034	0.002	0.051	0.57	0.075	4	0.071
270	0.34	0.4	0.24	0.0001	0.014	0.0037	1	0.16
271	0.031	0.58	0.35	0	7.1e-05	0.041	1	0.16
272	0.55	0.17	0.099	0.009	0.17	0.00078	0	0.11
273	0.26	0.42	0.25	0.0015	0.037	0.035	1	0.16
274	0.87	0.078	0.047	4.3e-06	0.0075	0	0	0.11
275	0.98	0.0081	0.0048	1.4e-06	0.0073	0	0	0.11
276	0.54	0.23	0.14	0.0025	0.088	0.00098	0	0.11
277	0.42	0.36	0.21	3.5e-06	0.003	7.8e-05	0	0.11
278	0.13	0.54	0.32	0	1.5e-05	1.2e-05	1	0.16
279	0.49	0.31	0.18	0.00019	0.023	0.00053	0	0.11
280	0.14	0.54	0.32	0	0.00014	0.00026	1	0.16
281	0.16	0.48	0.28	0.00029	0.012	0.064	1	0.16
282	0.57	0.086	0.051	0.018	0.28	0.00015	0	0.11
283	0.074	0.00014	8.6e-05	0.22	0.71	0	4	0.071
284	0.17	0.49	0.29	0.00018	0.0095	0.04	1	0.16
285	0.0018	0.63	0.37	0	0	0.00078	1	0.16
286	0.26	9.6e-06	5.7e-06	0.011	0.73	0	4	0.071
287	0.00044	0.62	0.37	0	0	0.005	1	0.16
288	0.41	0.37	0.22	0	0.00046	5.7e-06	0	0.11
289	0.0002	0.21	0.12	0	0	0.67	5	0.24
290	0.034	0.61	0.36	0	2.3e-06	0.00022	1	0.16
291	0.083	0.57	0.34	0	0.00031	0.0075	1	0.16
292	0.13	0.55	0.33	0	5.1e-05	8.5e-05	1	0.16
293	0.0085	0.62	0.37	0	0	0	1	0.16
294	0.068	0.56	0.33	2.2e-06	0.0006	0.042	1	0.16
295	0.55	0.12	0.073	0.016	0.24	0.00046	0	0.11
296	0.11	7.3e-06	4.4e-06	0.052	0.84	0	4	0.071
297	0.14	0.49	0.29	0.00016	0.008	0.066	1	0.16
298	0.49	8.2e-05	4.9e-05	0.0049	0.51	0	4	0.071
299	0.46	0.023	0.014	0.043	0.46	7.6e-06	4	0.071
300	0.0014	0.44	0.26	0	0	0.3	1	0.16
301	0.74	0.029	0.017	0.0044	0.21	0	0	0.11
302	0.48	0.29	0.17	0.0012	0.054	0.0017	0	0.11
303	0.011	0.4	0.24	0	4.1e-05	0.34	1	0.16
304	0.62	0.17	0.1	0.0025	0.1	0.00025	0	0.11
305	0.42	0.0097	0.0058	0.045	0.52	0	4	0.071
306	0.015	0.54	0.32	0	2.6e-05	0.12	1	0.16
307	0.14	0.54	0.32	0	5.4e-06	2.1e-06	1	0.16
308	0.56	0.083	0.05	0.018	0.28	0.00014	0	0.11
309	0.71	0.16	0.095	0.00024	0.037	2.6e-05	0	0.11
310	0	0.00071	0.00042	0	0	1	5	0.24
311	0.93	0.043	0.025	0	0.00012	0	0	0.11
312	0.38	0.32	0.19	0.0057	0.095	0.012	0	0.11
313	0.56	0.25	0.15	0.00057	0.044	0.00039	0	0.11
314	0.55	0.27	0.16	0.00011	0.02	0.00018	0	0.11
315	0.73	0.062	0.037	0.0037	0.17	8.4e-06	0	0.11
316	0.053	0.51	0.3	6.8e-06	0.00087	0.13	1	0.16
317	0.043	0.0003	0.00018	0.4	0.56	0	4	0.071
318	0.91	0.028	0.017	0.00014	0.049	0	0	0.11
319	0.011	0.62	0.37	0	0	0.00036	1	0.16
320	0.94	0.03	0.018	7.1e-06	0.012	0	0	0.11
321	0.72	0.17	0.099	1.6e-05	0.011	4.3e-06	0	0.11
322	0.64	0.022	0.013	0.011	0.31	0	0	0.11
323	0.16	1.8e-05	1.1e-05	0.036	0.8	0	4	0.071
324	0.58	0.19	0.11	0.0036	0.11	0.00053	0	0.11
325	0.29	0.44	0.26	3.4e-06	0.0022	0.00043	1	0.16
326	0.39	0.28	0.17	0.012	0.14	0.013	0	0.11
327	0.0026	0.62	0.37	0	0	0.0002	1	0.16
328	0.48	0.32	0.19	1.3e-05	0.0062	9.1e-05	0	0.11
329	0.79	0.086	0.051	0.00071	0.076	6e-06	0	0.11
330	0.062	0.59	0.35	0	1.8e-05	0.00011	1	0.16
331	0.0045	0.62	0.37	0	0	0.002	1	0.16
332	0.82	0.1	0.061	1.4e-05	0.013	0.0039	0	0.11
333	0.16	0.52	0.31	1.4e-05	0.0029	0.0036	1	0.16
334	0.039	4.9e-05	2.9e-05	0.26	0.64	0.061	4	0.071
335	0.0042	0	0	0.08	0.84	0.08	4	0.071
336	0.033	0.61	0.36	0	2.1e-06	5.2e-05	1	0.16
337	0.48	0.18	0.11	0.012	0.19	0.029	0	0.11
338	0.0026	0.62	0.37	0	0	0.0015	1	0.16
339	0.39	0.37	0.22	8.2e-05	0.013	0.0034	0	0.11
340	0.00073	0.61	0.36	0	0	0.026	1	0.16
341	0.34	0.41	0.25	2.1e-06	0.0021	0.00073	1	0.16
342	0.27	0.45	0.27	7.4e-06	0.0032	0.0012	1	0.16
343	2.2e-06	0.15	0.087	0	0	0.77	5	0.24
344	0.0022	0.62	0.37	0	0	0.0056	1	0.16
345	0.21	0.46	0.28	0.00038	0.016	0.032	1	0.16
346	0.17	2.1e-06	1.2e-06	0.015	0.82	0	4	0.071
347	0.94	0.034	0.02	2.6e-06	0.0072	0	0	0.11
348	0.035	0.58	0.34	0	9.9e-05	0.042	1	0.16
349	0.099	0.56	0.34	0	0.00013	0.0011	1	0.16
350	0.25	0.44	0.26	0.00056	0.022	0.022	1	0.16
351	0.16	0.52	0.31	0	0.00028	0.00035	1	0.16
352	0.037	0.56	0.33	0	0.00017	0.068	1	0.16
353	0.2	0.48	0.29	0.00018	0.011	0.025	1	0.16
354	0.46	0.25	0.15	0.0077	0.13	0.0042	0	0.11
355	0.22	0.49	0.29	0	0.00097	0.00054	1	0.16
356	0.56	0.15	0.092	0.0099	0.19	0.00064	0	0.11
357	0.17	2.2e-06	1.3e-06	0.015	0.82	0	4	0.071
358	0.52	0.015	0.0089	0.025	0.43	0	0	0.11
359	1.7e-05	0.3	0.18	0	0	0.52	5	0.24
360	0.87	0.049	0.029	0.00024	0.055	0	0	0.11
361	0.00047	0.29	0.17	0	0	0.54	5	0.24
362	0.12	0.00099	0.00059	0.16	0.65	0.07	4	0.071
363	0.11	0.00029	0.00017	0.13	0.69	0.076	4	0.071
364	0.0023	0	0	0.35	0.6	0.046	4	0.071
365	0.48	0.23	0.13	0.0092	0.15	0.0031	0	0.11
366	0.23	0.48	0.29	0	0.00074	0.00034	1	0.16
367	0.89	0.069	0.041	0	0.0026	0.0011	0	0.11
368	0.34	0.35	0.21	0.0033	0.072	0.016	1	0.16
369	0.0011	0.6	0.36	0	0	0.041	1	0.16
370	0.29	0.0016	0.00097	0.041	0.59	0.079	4	0.071
371	0.49	0.32	0.19	5.5e-06	0.0045	0.0014	0	0.11
372	0.086	0.57	0.34	0	0	1.1e-06	1	0.16
373	0.75	0.0023	0.0014	0.002	0.24	0	0	0.11
374	0.0042	0.58	0.34	0	0	0.077	1	0.16
375	0.67	0.099	0.059	0.0049	0.17	5.7e-05	0	0.11
376	2.8e-05	0.29	0.17	0	0	0.53	5	0.24
377	0.24	0.46	0.27	0.00011	0.01	0.0091	1	0.16
378	0.2	0.44	0.26	0.0011	0.025	0.074	1	0.16
379	0.33	1.6e-05	9.4e-06	0.0048	0.57	0.098	4	0.071
380	0.0026	0	0	0.41	0.58	0	4	0.071
381	0	0.11	0.065	0	0	0.83	5	0.24
382	0.6	0.25	0.15	0	0.00046	0	0	0.11
383	0.47	0.003	0.0018	0.022	0.5	0	4	0.071
384	0.83	0.092	0.055	5e-05	0.022	1e-06	0	0.11
385	0.13	0.54	0.32	5.8e-06	0.0015	0.013	1	0.16
386	0.31	0.43	0.26	0	3.6e-05	0	1	0.16
387	0.51	0.26	0.15	0.002	0.074	0.0014	0	0.11
388	0.27	0.0011	0.00068	0.062	0.67	0	4	0.071
389	0.59	0.0066	0.004	0.012	0.39	0	0	0.11
390	0.45	0.32	0.19	0.00097	0.046	0.0022	0	0.11
391	0.03	0.6	0.35	0	3.6e-05	0.02	1	0.16
392	0.094	8e-05	4.8e-05	0.14	0.77	0	4	0.071
393	1	0.001	0.00061	0	6.6e-05	0	0	0.11
394	0.3	0.0013	0.0008	0.05	0.64	0	4	0.071
395	0.04	0.59	0.35	0	5.8e-05	0.013	1	0.16
396	0.00047	0.49	0.29	0	0	0.21	1	0.16
397	0	0.61	0.37	0	0	0.022	1	0.16
398	5e-05	0.52	0.31	0	0	0.17	1	0.16
399	0.15	0.00047	0.00028	0.12	0.73	0	4	0.071
400	0.56	0.17	0.1	0.005	0.13	0.022	0	0.11
401	0.052	0.59	0.35	0	0.00012	0.013	1	0.16
402	0.32	0.42	0.25	1.9e-05	0.0053	0.00093	1	0.16
403	0.098	0.57	0.34	0	1.9e-06	2.2e-06	1	0.16
404	0.76	0.002	0.0012	0.0017	0.23	0	0	0.11
405	0.84	0.037	0.022	0.00074	0.096	0	0	0.11
406	0.48	0.051	0.031	0.039	0.4	7.9e-05	0	0.11
407	0.28	0.44	0.26	6.3e-05	0.0085	0.0036	1	0.16
408	0.0069	0	0	0.39	0.61	0	4	0.071
409	0.93	0.02	0.012	8.2e-05	0.041	0	0	0.11
410	0.22	0.47	0.28	0.00012	0.0099	0.013	1	0.16
411	0.03	0.6	0.36	0	2.7e-05	0.014	1	0.16
412	0.44	0.35	0.21	1.2e-06	0.0019	3e-05	0	0.11
413	0.37	0.39	0.23	0	0.00087	2.7e-05	1	0.16
414	0.19	0.5	0.3	1e-05	0.0026	0.0047	1	0.16
415	1.9e-06	0.021	0.013	0	0	0.97	5	0.24
416	0.54	0.18	0.11	0.0082	0.16	0.00095	0	0.11
417	0.17	0.51	0.3	2.1e-05	0.0035	0.01	1	0.16
418	0.76	0.0024	0.0014	0.0019	0.24	0	0	0.11
419	0.76	0.0038	0.0023	0.0023	0.23	0	0	0.11
420	0.36	0.33	0.2	0.0065	0.095	0.018	0	0.11
