SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster	dcf0
65	0.0003	0.087	0.076	0	0.0003	0.0079	0	0.83	0	7	0.16
66	0.09	9.9e-05	8.6e-05	1.4e-06	0.09	0.25	0.0032	0.57	0.0015	7	0.16
67	0.34	0	0	0	0.34	0.29	0.019	0.013	0.0047	0	0.11
68	0.00088	0.0093	0.0081	0	0.00088	0.019	2.5e-06	0.96	0	7	0.16
69	5e-05	0.24	0.21	0	5e-05	0.0022	0	0.55	0	7	0.16
70	0.17	0	0	0	0.17	0.55	0.0014	0.12	2.4e-05	5	0.12
71	0.00075	0.094	0.082	0	0.00075	0.012	3.9e-06	0.81	0	7	0.16
72	0.0021	0.024	0.021	0	0.0021	0.026	1.4e-05	0.92	0	7	0.16
73	0.037	0	0	0.091	0.037	0.0059	0.035	0.0001	0.79	8	0.071
74	0.14	1.3e-06	1.1e-06	0.043	0.14	0.075	0.049	0.022	0.53	8	0.071
75	0.036	0	0	0.21	0.036	0.011	0.024	0.0017	0.68	8	0.071
76	0.0044	0	0	0.25	0.0044	0.00026	0.011	0	0.73	8	0.071
77	0.062	0	0	0.076	0.062	0.015	0.042	0.00067	0.74	8	0.071
78	0.18	0	0	0.017	0.18	0.08	0.06	0.011	0.47	8	0.071
79	0.068	0.0065	0.0056	8.1e-05	0.068	0.16	0.0047	0.68	0.0083	7	0.16
80	0.012	0.00043	0.00037	0	0.012	0.097	0.00011	0.88	8.1e-06	7	0.16
81	0.27	0	0	0.0021	0.27	0.088	0.078	0.0027	0.3	8	0.071
82	0.023	0.047	0.041	0.08	0.023	0.0026	0.029	2.7e-05	0.75	8	0.071
83	0.00071	0.018	0.016	0	0.00071	0.012	3.1e-06	0.95	0	7	0.16
84	0.19	0.035	0.03	0.0088	0.19	0.08	0.062	0.011	0.39	8	0.071
85	0.11	0.04	0.035	0.049	0.11	0.046	0.045	0.012	0.56	8	0.071
86	0.1	0.0034	0.003	0.0003	0.1	0.17	0.0095	0.58	0.023	7	0.16
87	0.21	0.00061	0.00053	0	0.21	0.35	0.0085	0.23	0.0029	5	0.12
88	0.28	0	0	0.0004	0.28	0.25	0.036	0.079	0.074	0	0.11
89	0.28	0	0	3.8e-06	0.28	0.34	0.017	0.072	0.0083	5	0.12
90	0.22	4.2e-06	3.7e-06	0.0077	0.22	0.17	0.048	0.071	0.26	8	0.071
91	0.014	0	0	0.13	0.014	0.0013	0.023	5.9e-06	0.82	8	0.071
92	0.053	0.0074	0.0064	2.5e-05	0.053	0.14	0.0029	0.73	0.0039	7	0.16
93	0.00046	0.31	0.27	0	0.00046	0.0059	4.1e-06	0.42	0	7	0.16
94	0.072	2.9e-05	2.6e-05	0	0.072	0.25	0.0016	0.6	0.00033	7	0.16
95	0.031	0.0025	0.0022	0	0.031	0.13	0.00086	0.81	0.00037	7	0.16
96	0.17	6.9e-05	6e-05	8e-05	0.17	0.27	0.013	0.36	0.018	7	0.16
97	0.31	0	0	0.00027	0.31	0.23	0.041	0.041	0.074	0	0.11
98	0.0085	0.03	0.027	0	0.0085	0.049	0.00019	0.88	8.5e-05	7	0.16
99	0.072	0.0034	0.0029	6.9e-05	0.072	0.17	0.0048	0.67	0.0081	7	0.16
100	0.054	0.028	0.024	0.00022	0.054	0.12	0.0044	0.7	0.011	7	0.16
101	0.23	1.1e-06	0	0.0064	0.23	0.16	0.051	0.05	0.26	8	0.071
102	0.32	0	0	8.5e-05	0.32	0.24	0.037	0.032	0.046	0	0.11
103	0.15	2.5e-05	2.2e-05	6.8e-06	0.15	0.3	0.0072	0.4	0.0049	7	0.16
104	0.0015	0.03	0.026	0	0.0015	0.022	8.7e-06	0.92	0	7	0.16
105	0.063	0.0018	0.0015	8.4e-06	0.063	0.17	0.0029	0.69	0.0027	7	0.16
106	0.0036	0.0032	0.0028	0	0.0036	0.043	2.1e-05	0.94	0	7	0.16
107	0.091	9.4e-05	8.2e-05	1.5e-06	0.091	0.25	0.0033	0.56	0.0016	7	0.16
108	0.3	0	0	0.0008	0.3	0.097	0.079	0.0021	0.22	0	0.11
109	0.026	0.0018	0.0016	0	0.026	0.12	0.00059	0.82	0.00018	7	0.16
110	0.25	3.1e-06	2.7e-06	0.00033	0.25	0.27	0.028	0.14	0.055	5	0.12
111	0.27	0	0	0.0027	0.27	0.12	0.066	0.01	0.26	0	0.11
112	0.076	0	0	0.047	0.076	0.017	0.05	0.00049	0.73	8	0.071
113	0.1	0	0	0.029	0.1	0.022	0.059	0.00055	0.69	8	0.071
114	0.014	0.017	0.015	0	0.014	0.072	0.00035	0.87	0.00015	7	0.16
115	0.26	1e-06	0	0.0024	0.26	0.2	0.046	0.067	0.17	0	0.11
116	0.047	0	0	0.053	0.047	0.0066	0.044	6.6e-05	0.8	8	0.071
117	0.2	0	0	0.012	0.2	0.098	0.061	0.014	0.41	8	0.071
118	0.12	0.0023	0.002	0.00055	0.12	0.2	0.012	0.52	0.032	7	0.16
119	0.16	0	0	0.032	0.16	0.081	0.052	0.02	0.5	8	0.071
120	0.042	0	0	0.098	0.042	0.008	0.035	0.00023	0.77	8	0.071
121	0.15	3.6e-06	3.2e-06	1.1e-06	0.15	0.34	0.0058	0.34	0.0022	7	0.16
122	0.016	7.5e-05	6.5e-05	0	0.016	0.13	0.00012	0.84	5.5e-06	7	0.16
123	0.14	0.0011	0.00096	0.00096	0.14	0.21	0.016	0.44	0.049	7	0.16
124	0.35	0	0	0	0.35	0.28	0.015	0.0058	0.0018	0	0.11
125	0.11	1.9e-06	1.6e-06	0.078	0.11	0.053	0.042	0.017	0.6	8	0.071
126	0.047	0	0	0.018	0.047	0.0033	0.059	3.7e-06	0.83	8	0.071
127	0.015	3.5e-05	3e-05	0	0.015	0.13	9.1e-05	0.83	2.9e-06	7	0.16
128	0.0007	0	0	0.32	0.0007	1.3e-05	0.0049	0	0.67	8	0.071
129	0.21	4.8e-05	4.2e-05	0.0057	0.21	0.2	0.037	0.15	0.19	0	0.11
130	0.29	0	0	0.0012	0.29	0.17	0.057	0.02	0.17	0	0.11
131	0.031	0	0	0.11	0.031	0.0048	0.031	8.6e-05	0.79	8	0.071
132	0.028	0	0	0.11	0.028	0.0039	0.031	5.2e-05	0.8	8	0.071
133	0.00025	0	0	0.46	0.00025	3.3e-06	0.0025	0	0.54	8	0.071
134	0.13	0.0012	0.0011	0.00058	0.13	0.21	0.013	0.47	0.036	7	0.16
135	0.00086	0.014	0.012	0	0.00086	0.018	2.7e-06	0.95	0	7	0.16
136	0.00077	0.042	0.037	0	0.00077	0.015	3e-06	0.91	0	7	0.16
137	0.0079	0	0	0.3	0.0079	0.00095	0.012	1.6e-05	0.67	8	0.071
138	0.19	2.3e-06	2e-06	3.7e-06	0.19	0.34	0.009	0.27	0.0048	5	0.12
139	0.16	0.00048	0.00042	0.023	0.16	0.15	0.035	0.18	0.29	8	0.071
140	0.21	5.4e-06	4.7e-06	4.6e-05	0.21	0.31	0.016	0.23	0.018	5	0.12
141	0.17	0.00025	0.00022	0.022	0.17	0.15	0.037	0.16	0.29	8	0.071
142	0.13	0	0	0	0.13	0.39	0.0023	0.35	0.00026	5	0.12
143	0.16	0	0	0	0.16	0.44	0.0029	0.24	0.00026	5	0.12
144	0.12	0.0056	0.0049	0.0026	0.12	0.18	0.015	0.49	0.068	7	0.16
145	0.19	6.6e-06	5.8e-06	1.7e-05	0.19	0.32	0.012	0.28	0.01	5	0.12
146	0.086	0.002	0.0017	5.7e-05	0.086	0.19	0.0056	0.62	0.0085	7	0.16
147	0.18	4.8e-06	4.2e-06	0.024	0.18	0.11	0.049	0.046	0.41	8	0.071
148	0.057	0	0	0.12	0.057	0.017	0.035	0.0017	0.72	8	0.071
149	0.0044	0.012	0.011	0	0.0044	0.042	4.1e-05	0.93	4.3e-06	7	0.16
150	0.029	0.0065	0.0057	1.2e-06	0.029	0.11	0.00097	0.82	0.0006	7	0.16
151	0.0066	0	0	0.11	0.0066	0.00026	0.019	0	0.86	8	0.071
152	0.0041	3e-06	2.6e-06	0	0.0041	0.088	5.1e-06	0.9	0	7	0.16
153	0.25	0	0	3.4e-06	0.25	0.35	0.014	0.12	0.0066	5	0.12
154	0.13	0.0046	0.004	0.0071	0.13	0.17	0.02	0.41	0.12	7	0.16
155	0.046	0.018	0.015	4.6e-05	0.046	0.12	0.0028	0.75	0.0047	7	0.16
156	0.1	0.00013	0.00011	4.9e-06	0.1	0.25	0.0047	0.53	0.0031	7	0.16
157	0.13	0.0043	0.0037	0.0032	0.13	0.18	0.017	0.46	0.08	7	0.16
158	0.0074	0.00028	0.00025	0	0.0074	0.078	4.1e-05	0.91	1.4e-06	7	0.16
159	0.069	0.015	0.013	0.0013	0.069	0.12	0.008	0.67	0.034	7	0.16
160	0.22	0.014	0.012	0.0025	0.22	0.2	0.035	0.17	0.14	0	0.11
161	0	0.52	0.45	0	0	4e-06	0	0.024	0	1	0.24
162	0.043	0.053	0.047	0.031	0.043	0.0047	0.044	2.1e-05	0.73	8	0.071
163	0.024	0.037	0.032	0.2	0.024	0.0056	0.02	0.0006	0.65	8	0.071
164	0.025	0.066	0.057	0.0057	0.025	0.0006	0.057	0	0.76	8	0.071
165	0.081	0	0	0	0.081	0.51	0.00026	0.33	0	5	0.12
166	9.2e-06	3.5e-05	3.1e-05	0.00077	9.2e-06	0	1.2e-05	1	0.00077	7	0.16
167	0.0084	0.001	0.00091	0	0.0084	0.059	0.0001	0.92	1.2e-05	7	0.16
168	0	0	0	0	0	0	0	1	0	7	0.16
169	0.16	0.0044	0.0039	0.0004	0.16	0.22	0.016	0.41	0.038	7	0.16
170	0.16	0.023	0.02	0.017	0.16	0.14	0.037	0.16	0.28	8	0.071
171	0.16	0	0	0	0.16	0.37	0.0048	0.31	0.0012	5	0.12
172	0.096	4.1e-05	3.6e-05	0	0.096	0.27	0.0031	0.54	0.0012	7	0.16
173	1.8e-05	0.00014	0.00012	0	1.8e-05	0.0037	0	1	0	7	0.16
174	0.012	0.046	0.04	0	0.012	0.059	0.00035	0.83	0.00021	7	0.16
175	0.0016	0.019	0.017	0	0.0016	0.023	8.2e-06	0.94	0	7	0.16
176	0.089	0.00025	0.00022	4.4e-06	0.089	0.23	0.0039	0.59	0.0026	7	0.16
177	0.19	0.00019	0.00017	0.0043	0.19	0.21	0.03	0.23	0.14	7	0.16
178	0.0047	0.077	0.068	0	0.0047	0.033	8.1e-05	0.81	2.5e-05	7	0.16
179	0.024	0.0033	0.0029	0	0.024	0.11	0.00058	0.84	0.00021	7	0.16
180	0.0025	0.17	0.15	0	0.0025	0.018	4.8e-05	0.66	2e-05	7	0.16
181	0.024	0.035	0.031	6.3e-06	0.024	0.084	0.001	0.8	0.0011	7	0.16
182	0.0095	0.13	0.11	1.6e-06	0.0095	0.043	0.00034	0.7	0.00031	7	0.16
183	0.2	4e-05	3.4e-05	0.00027	0.2	0.27	0.02	0.27	0.038	7	0.16
184	0.11	0.002	0.0017	0.00024	0.11	0.2	0.0091	0.55	0.02	7	0.16
185	2e-06	0.05	0.044	0	2e-06	0.00063	0	0.91	0	7	0.16
186	0.2	1.1e-06	0	0.016	0.2	0.12	0.053	0.035	0.38	8	0.071
187	0.035	9.9e-05	8.6e-05	0	0.035	0.18	0.00051	0.75	6.5e-05	7	0.16
188	0.092	0.00022	0.00019	4.8e-06	0.092	0.23	0.0041	0.57	0.0028	7	0.16
189	0.27	0	0	0.00011	0.27	0.29	0.026	0.11	0.036	5	0.12
190	0.25	3.9e-06	3.4e-06	0.0014	0.25	0.23	0.037	0.11	0.12	0	0.11
191	0.1	5.3e-06	4.6e-06	0	0.1	0.32	0.0023	0.48	0.00045	7	0.16
192	0.077	0.031	0.027	0.0023	0.077	0.13	0.0094	0.6	0.045	7	0.16
193	0.00089	0.058	0.05	0	0.00089	0.015	4.4e-06	0.88	0	7	0.16
194	0.33	0	0	6.7e-06	0.33	0.27	0.027	0.022	0.016	0	0.11
195	0.16	0.00075	0.00066	0.0029	0.16	0.21	0.023	0.34	0.097	7	0.16
196	0.16	0.00096	0.00084	0.0038	0.16	0.2	0.023	0.34	0.11	7	0.16
197	0.15	0.0016	0.0014	0.0027	0.15	0.2	0.019	0.4	0.083	7	0.16
198	0.12	9e-06	7.8e-06	0	0.12	0.32	0.004	0.43	0.0013	7	0.16
199	0.00019	0.1	0.088	0	0.00019	0.006	0	0.8	0	7	0.16
200	0.3	0	0	0.00031	0.3	0.24	0.04	0.047	0.076	0	0.11
201	0.32	0.0081	0.007	0.00012	0.32	0.22	0.041	0.033	0.057	0	0.11
202	0.072	0.045	0.04	0.058	0.072	0.02	0.042	0.0017	0.65	8	0.071
203	0.11	0.011	0.0096	0.005	0.11	0.15	0.018	0.48	0.098	7	0.16
204	0.004	0.04	0.035	0.14	0.004	0.00014	0.013	0	0.77	8	0.071
205	0.063	0.02	0.018	0.0015	0.063	0.11	0.0075	0.68	0.034	7	0.16
206	0.00039	0.013	0.011	0	0.00039	0.0094	0	0.97	0	7	0.16
207	0.0026	0.033	0.029	0.23	0.0026	0.0001	0.009	0	0.69	8	0.071
208	0.004	0.033	0.028	0.25	0.004	0.00025	0.01	0	0.67	8	0.071
209	0.012	0.04	0.035	0.15	0.012	0.0011	0.018	1.2e-05	0.73	8	0.071
210	0.12	0.0052	0.0045	0.00085	0.12	0.18	0.014	0.52	0.043	7	0.16
211	0.061	0.065	0.056	0.0033	0.061	0.0026	0.082	0	0.67	8	0.071
212	0.075	0	0	0.076	0.075	0.023	0.043	0.0018	0.71	8	0.071
213	0.29	0	0	0	0.29	0.35	0.014	0.05	0.0041	5	0.12
214	0.019	0.036	0.032	2.2e-06	0.019	0.075	0.00068	0.82	0.00057	7	0.16
215	0.07	7.7e-05	6.7e-05	0	0.07	0.23	0.0018	0.62	0.00055	7	0.16
216	0.25	3.6e-06	3.2e-06	0.0014	0.25	0.23	0.038	0.11	0.12	0	0.11
217	0.0045	0	0	0.25	0.0045	0.00027	0.011	0	0.73	8	0.071
218	0.03	0	0	0.069	0.03	0.0033	0.036	2e-05	0.83	8	0.071
219	0.013	0.0026	0.0023	0	0.013	0.084	0.00019	0.88	3.2e-05	7	0.16
220	0.0025	0.0013	0.0011	0	0.0025	0.039	9e-06	0.95	0	7	0.16
221	0.02	0.0082	0.0071	0	0.02	0.093	0.00053	0.85	0.00024	7	0.16
222	0.00019	0.13	0.11	0	0.00019	0.0057	0	0.75	0	7	0.16
223	0	0.51	0.44	0	0	1.7e-06	0	0.054	0	1	0.24
224	0.013	0.041	0.036	0	0.013	0.063	0.00039	0.83	0.00024	7	0.16
225	0.016	0.084	0.073	5.8e-06	0.016	0.061	0.0007	0.75	0.00083	7	0.16
226	0.084	0.0071	0.0062	0.00033	0.084	0.17	0.0074	0.62	0.019	7	0.16
227	0.12	0	0	0	0.12	0.51	0.00091	0.25	1.7e-05	5	0.12
228	0.23	0	0	1.6e-05	0.23	0.33	0.015	0.18	0.012	5	0.12
229	0.086	0	0	0.033	0.086	0.017	0.056	0.00036	0.72	8	0.071
230	0.2	9.6e-05	8.4e-05	0.0028	0.2	0.22	0.03	0.22	0.12	5	0.12
231	0.19	0.00014	0.00012	0.001	0.19	0.24	0.023	0.29	0.068	7	0.16
232	0.16	0.0011	0.00097	0.011	0.16	0.18	0.028	0.28	0.18	7	0.16
233	0.25	0	0	0.0027	0.25	0.074	0.081	0.0019	0.34	8	0.071
234	0.084	0.0021	0.0018	5.4e-05	0.084	0.19	0.0055	0.63	0.0081	7	0.16
235	0.24	0	0	0	0.24	0.4	0.008	0.12	0.0017	5	0.12
236	0.013	0	0	0.16	0.013	0.0013	0.02	9.8e-06	0.79	8	0.071
237	0.13	0.0029	0.0025	0.0018	0.13	0.19	0.016	0.47	0.06	7	0.16
238	0.047	0.051	0.045	0.041	0.047	0.0066	0.043	9.1e-05	0.72	8	0.071
239	0.004	0.042	0.037	0.11	0.004	0.00012	0.014	0	0.79	8	0.071
240	0.12	0.043	0.038	0.027	0.12	0.04	0.053	0.0044	0.55	8	0.071
241	0.0042	0.031	0.027	0.27	0.0042	0.00031	0.0098	0	0.65	8	0.071
242	0.00033	0.026	0.022	0.3	0.00033	3.3e-06	0.0036	0	0.64	8	0.071
243	0.014	0.059	0.052	0.017	0.014	0.00036	0.037	0	0.81	8	0.071
244	0.14	0.019	0.016	0.018	0.14	0.14	0.029	0.27	0.23	7	0.16
245	6.5e-05	0.012	0.01	0.6	6.5e-05	0	0.001	0	0.37	3	0.053
246	0.068	0.052	0.045	0.026	0.068	0.011	0.052	0.00016	0.68	8	0.071
247	0.018	0.043	0.037	0.13	0.018	0.0021	0.023	3.3e-05	0.73	8	0.071
248	0.032	0.054	0.047	0.034	0.032	0.0028	0.04	1.1e-05	0.76	8	0.071
249	0.019	0.036	0.032	0.21	0.019	0.0038	0.019	0.00027	0.66	8	0.071
250	0.098	0.052	0.046	0.012	0.098	0.015	0.066	0.00016	0.61	8	0.071
251	0.0037	0.037	0.032	0.18	0.0037	0.00015	0.012	0	0.74	8	0.071
252	0.052	0.041	0.036	0.11	0.052	0.016	0.032	0.0029	0.65	8	0.071
253	0.0092	0.039	0.034	0.17	0.0092	0.0008	0.016	6.5e-06	0.72	8	0.071
254	0.061	0.0041	0.0036	9.1e-05	0.061	0.13	0.0045	0.72	0.0087	7	0.16
255	0.17	0.012	0.01	0.0038	0.17	0.18	0.027	0.3	0.12	7	0.16
256	0.18	0.031	0.027	0.015	0.18	0.11	0.05	0.044	0.37	8	0.071
257	0.051	0.024	0.021	0.00069	0.051	0.099	0.0053	0.73	0.02	7	0.16
258	0.096	0.043	0.037	0.048	0.096	0.034	0.045	0.0053	0.6	8	0.071
259	0.3	0.011	0.0098	0.00036	0.3	0.2	0.044	0.043	0.089	0	0.11
260	0.06	0.043	0.038	0.083	0.06	0.018	0.036	0.0021	0.66	8	0.071
261	0.16	0.018	0.015	0.011	0.16	0.15	0.032	0.24	0.21	7	0.16
262	0.075	0.044	0.038	0.065	0.075	0.023	0.041	0.0031	0.64	8	0.071
263	0.039	0.043	0.037	0.11	0.039	0.0088	0.03	0.00065	0.69	8	0.071
264	0.14	0.043	0.038	0.014	0.14	0.041	0.062	0.0025	0.51	8	0.071
265	0.0015	0.033	0.029	0.22	0.0015	3.8e-05	0.0077	0	0.71	8	0.071
266	0.2	0.031	0.027	0.0088	0.2	0.099	0.057	0.021	0.35	8	0.071
267	0.0011	0.047	0.041	0.044	0.0011	6.5e-06	0.012	0	0.85	8	0.071
268	0.025	0.041	0.036	0.14	0.025	0.0046	0.024	0.00021	0.7	8	0.071
269	0.095	0.043	0.038	0.048	0.095	0.033	0.045	0.005	0.6	8	0.071
270	0.1	0.002	0.0018	9.6e-05	0.1	0.19	0.0081	0.58	0.014	7	0.16
271	0.01	0.024	0.021	0	0.01	0.059	0.00021	0.88	7.6e-05	7	0.16
272	0.17	0.00044	0.00039	0.0085	0.17	0.19	0.031	0.24	0.18	7	0.16
273	0.082	0.02	0.017	0.0014	0.082	0.15	0.0092	0.61	0.038	7	0.16
274	0.26	0	0	3.8e-06	0.26	0.35	0.015	0.11	0.0073	5	0.12
275	0.34	0	0	1.4e-06	0.34	0.27	0.023	0.013	0.0084	0	0.11
276	0.17	0.00055	0.00048	0.0023	0.17	0.21	0.023	0.33	0.09	7	0.16
277	0.12	4e-05	3.5e-05	3e-06	0.12	0.28	0.0051	0.47	0.0028	7	0.16
278	0.037	6.2e-06	5.4e-06	0	0.037	0.23	0.00031	0.7	1.4e-05	7	0.16
279	0.15	0.00029	0.00025	0.00017	0.15	0.24	0.012	0.43	0.023	7	0.16
280	0.041	0.00014	0.00012	0	0.041	0.18	0.00074	0.73	0.00013	7	0.16
281	0.051	0.036	0.032	0.00027	0.051	0.12	0.0043	0.7	0.012	7	0.16
282	0.18	8.5e-05	7.4e-05	0.017	0.18	0.16	0.04	0.13	0.29	8	0.071
283	0.023	0	0	0.2	0.023	0.0046	0.022	0.00021	0.73	8	0.071
284	0.054	0.023	0.02	0.00016	0.054	0.13	0.0042	0.71	0.0098	7	0.16
285	0.00061	0.00048	0.00042	0	0.00061	0.021	0	0.98	0	7	0.16
286	0.081	0	0	0.011	0.081	0.0075	0.075	1.4e-05	0.74	8	0.071
287	0.00015	0.0031	0.0027	0	0.00015	0.0084	0	0.99	0	7	0.16
288	0.11	2.7e-06	2.3e-06	0	0.11	0.34	0.0024	0.44	0.00039	7	0.16
289	6.2e-05	0.37	0.33	0	6.2e-05	0.0017	0	0.3	0	1	0.24
290	0.011	0.00012	0.00011	0	0.011	0.1	6.4e-05	0.88	2.3e-06	7	0.16
291	0.026	0.0043	0.0037	0	0.026	0.11	0.00072	0.83	0.00032	7	0.16
292	0.037	4.4e-05	3.9e-05	0	0.037	0.19	0.00048	0.73	4.8e-05	7	0.16
293	0.0027	0	0	0	0.0027	0.098	1.1e-06	0.9	0	7	0.16
294	0.022	0.024	0.021	2.1e-06	0.022	0.085	0.00078	0.83	0.00063	7	0.16
295	0.17	0.00027	0.00023	0.015	0.17	0.17	0.036	0.18	0.25	8	0.071
296	0.033	0	0	0.047	0.033	0.0031	0.041	1e-05	0.84	8	0.071
297	0.045	0.038	0.033	0.00015	0.045	0.11	0.0034	0.72	0.0083	7	0.16
298	0.16	0	0	0.0048	0.16	0.025	0.091	0.00013	0.55	8	0.071
299	0.15	4.4e-06	3.9e-06	0.042	0.15	0.087	0.047	0.034	0.49	8	0.071
300	0.00046	0.17	0.15	0	0.00046	0.0081	2.4e-06	0.66	0	7	0.16
301	0.25	0	0	0.0044	0.25	0.17	0.052	0.045	0.23	0	0.11
