SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
141	0.49	0.34	0.17	0.00042	0	0.11
142	0.5	0.0004	0.5	0	2	0.16
143	0.64	0.00042	0.36	0	0	0.11
144	0.36	0.082	0.55	0.0099	2	0.16
145	0.65	0.013	0.34	1.3e-05	0	0.11
146	0.27	0.011	0.72	0.0036	2	0.16
147	0.5	0.46	0.047	7.7e-06	0	0.11
148	0.17	0.83	0.0018	0	1	0.071
149	0.012	4.9e-06	0.97	0.02	2	0.16
150	0.089	0.00072	0.9	0.011	2	0.16
151	0.019	0.98	0	0	1	0.071
152	0.012	0	0.99	5.2e-06	2	0.16
153	0.85	0.0088	0.14	0	0	0.11
154	0.39	0.15	0.45	0.008	2	0.16
155	0.14	0.0057	0.82	0.031	2	0.16
156	0.35	0.0041	0.65	0.00024	2	0.16
157	0.38	0.097	0.51	0.0075	2	0.16
158	0.022	1.7e-06	0.98	0.00048	2	0.16
159	0.2	0.04	0.73	0.026	2	0.16
160	0.64	0.16	0.18	0.023	0	0.11
161	0	0	0.029	0.97	3	0.24
162	0.12	0.8	2.1e-05	0.084	1	0.071
163	0.077	0.85	0.00071	0.069	1	0.071
164	0.068	0.83	0	0.1	1	0.071
165	0.4	2.2e-06	0.6	2.4e-06	2	0.16
166	2.5e-05	0.00084	1	5.5e-05	2	0.16
167	0.024	1.4e-05	0.97	0.0017	2	0.16
168	0	0	1	0	2	0.16
169	0.48	0.047	0.46	0.008	0	0.11
170	0.48	0.32	0.17	0.038	0	0.11
171	0.58	0.0018	0.42	2.1e-06	0	0.11
172	0.33	0.0016	0.67	8.2e-05	2	0.16
173	5e-05	0	1	0.00022	2	0.16
174	0.036	0.00025	0.89	0.078	2	0.16
175	0.0044	0	0.96	0.032	2	0.16
176	0.29	0.0034	0.7	0.00047	2	0.16
177	0.57	0.17	0.26	0.00033	0	0.11
178	0.014	2.9e-05	0.86	0.13	2	0.16
179	0.073	0.00025	0.92	0.0057	2	0.16
180	0.0073	2.4e-05	0.71	0.28	2	0.16
181	0.07	0.0013	0.87	0.06	2	0.16
182	0.028	0.00037	0.76	0.21	2	0.16
183	0.64	0.048	0.32	7.3e-05	0	0.11
184	0.33	0.025	0.64	0.0036	2	0.16
185	5.6e-06	0	0.92	0.08	2	0.16
186	0.54	0.42	0.035	1.8e-06	0	0.11
187	0.11	8.3e-05	0.89	0.00018	2	0.16
188	0.3	0.0037	0.69	0.00042	2	0.16
189	0.83	0.044	0.13	0	0	0.11
190	0.74	0.14	0.12	6.6e-06	0	0.11
191	0.37	0.00065	0.63	1.1e-05	2	0.16
192	0.23	0.055	0.66	0.055	2	0.16
193	0.0025	0	0.9	0.094	2	0.16
194	0.96	0.018	0.023	0	0	0.11
195	0.5	0.12	0.38	0.0013	0	0.11
196	0.49	0.13	0.38	0.0017	0	0.11
197	0.44	0.1	0.45	0.0029	2	0.16
198	0.44	0.0019	0.56	1.8e-05	2	0.16
199	0.00055	0	0.83	0.17	2	0.16
200	0.86	0.086	0.05	0	0	0.11
201	0.89	0.064	0.034	0.013	0	0.11
202	0.2	0.72	0.0018	0.073	1	0.071
203	0.34	0.12	0.53	0.019	2	0.16
204	0.012	0.92	0	0.07	1	0.071
205	0.19	0.04	0.74	0.035	2	0.16
206	0.0011	0	0.98	0.021	2	0.16
207	0.0086	0.93	0	0.064	1	0.071
208	0.014	0.92	0	0.065	1	0.071
209	0.036	0.89	1.3e-05	0.072	1	0.071
210	0.36	0.052	0.58	0.0091	2	0.16
211	0.17	0.73	0	0.1	1	0.071
212	0.21	0.79	0.0019	0	1	0.071
213	0.94	0.0053	0.058	0	0	0.11
214	0.055	0.00067	0.88	0.062	2	0.16
215	0.23	0.00073	0.76	0.00015	2	0.16
216	0.74	0.14	0.12	6.2e-06	0	0.11
217	0.015	0.98	0	0	1	0.071
218	0.084	0.92	2e-05	0	1	0.071
219	0.039	3.7e-05	0.96	0.0045	2	0.16
220	0.007	0	0.99	0.0021	2	0.16
221	0.061	0.00028	0.93	0.014	2	0.16
222	0.00056	0	0.78	0.21	2	0.16
223	0	0	0.064	0.94	3	0.24
224	0.039	0.00028	0.89	0.069	2	0.16
225	0.047	0.00097	0.81	0.14	2	0.16
226	0.26	0.023	0.7	0.013	2	0.16
227	0.57	3.3e-05	0.43	0	0	0.11
228	0.77	0.016	0.21	1.7e-06	0	0.11
229	0.23	0.77	0.00035	0	1	0.071
230	0.61	0.15	0.24	0.00017	0	0.11
231	0.59	0.084	0.33	0.00025	0	0.11
232	0.47	0.22	0.31	0.0019	0	0.11
233	0.64	0.35	0.0018	0	0	0.11
234	0.26	0.01	0.72	0.0037	2	0.16
235	0.85	0.0024	0.15	0	0	0.11
236	0.04	0.96	1.1e-05	0	1	0.071
237	0.39	0.074	0.53	0.0052	2	0.16
238	0.13	0.79	9.1e-05	0.081	1	0.071
239	0.012	0.92	0	0.072	1	0.071
240	0.33	0.6	0.0044	0.068	1	0.071
241	0.015	0.92	0	0.064	1	0.071
242	0.0012	0.94	0	0.055	1	0.071
243	0.037	0.87	0	0.092	1	0.071
244	0.41	0.27	0.29	0.032	0	0.11
245	0.00042	0.95	0	0.045	1	0.071
246	0.19	0.73	0.00016	0.081	1	0.071
247	0.053	0.87	3.6e-05	0.074	1	0.071
248	0.089	0.83	1.1e-05	0.085	1	0.071
249	0.063	0.87	0.00033	0.069	1	0.071
250	0.26	0.66	0.00016	0.081	1	0.071
251	0.012	0.92	0	0.068	1	0.071
252	0.15	0.77	0.0031	0.07	1	0.071
253	0.029	0.9	7.5e-06	0.07	1	0.071
254	0.18	0.01	0.8	0.0072	2	0.16
255	0.5	0.15	0.33	0.02	0	0.11
256	0.5	0.4	0.045	0.049	0	0.11
257	0.15	0.023	0.79	0.041	2	0.16
258	0.27	0.66	0.0053	0.069	1	0.071
259	0.84	0.099	0.044	0.018	0	0.11
260	0.17	0.75	0.0022	0.072	1	0.071
261	0.47	0.24	0.25	0.03	0	0.11
262	0.21	0.72	0.0032	0.071	1	0.071
263	0.11	0.81	0.0007	0.073	1	0.071
264	0.38	0.55	0.0025	0.067	1	0.071
265	0.0051	0.93	0	0.063	1	0.071
266	0.55	0.38	0.021	0.049	0	0.11
267	0.003	0.92	0	0.074	1	0.071
268	0.077	0.85	0.00024	0.073	1	0.071
269	0.26	0.66	0.0051	0.069	1	0.071
270	0.32	0.017	0.66	0.0037	2	0.16
271	0.03	8.7e-05	0.93	0.04	2	0.16
272	0.52	0.21	0.26	0.00076	0	0.11
273	0.25	0.045	0.67	0.034	2	0.16
274	0.86	0.0096	0.13	0	0	0.11
275	0.98	0.0095	0.014	0	0	0.11
276	0.51	0.11	0.37	0.00098	0	0.11
277	0.41	0.0038	0.59	7.9e-05	2	0.16
278	0.13	1.9e-05	0.87	1.2e-05	2	0.16
279	0.47	0.029	0.5	0.00053	2	0.16
280	0.13	0.00017	0.87	0.00025	2	0.16
281	0.15	0.014	0.77	0.063	2	0.16
282	0.53	0.34	0.13	0.00014	0	0.11
283	0.074	0.93	0.00024	0	1	0.071
284	0.16	0.012	0.78	0.04	2	0.16
285	0.0017	0	1	0.00077	2	0.16
286	0.22	0.78	1.3e-05	0	1	0.071
287	0.00042	0	0.99	0.0049	2	0.16
288	0.4	0.00058	0.6	5.7e-06	2	0.16
289	0.00019	0	0.34	0.66	3	0.24
290	0.032	2.8e-06	0.97	0.00022	2	0.16
291	0.079	0.00038	0.91	0.0074	2	0.16
292	0.12	6.3e-05	0.88	8.4e-05	2	0.16
293	0.008	0	0.99	0	2	0.16
294	0.064	0.00074	0.89	0.041	2	0.16
295	0.51	0.29	0.19	0.00045	0	0.11
296	0.09	0.91	1e-05	0	1	0.071
297	0.14	0.0099	0.79	0.066	2	0.16
298	0.42	0.58	0.00012	0	1	0.071
299	0.41	0.55	0.035	7.2e-06	1	0.071
300	0.0013	0	0.71	0.29	2	0.16
301	0.69	0.26	0.046	0	0	0.11
302	0.46	0.067	0.47	0.0017	2	0.16
303	0.01	5.1e-05	0.65	0.34	2	0.16
304	0.59	0.13	0.28	0.00025	0	0.11
305	0.37	0.61	0.015	0	1	0.071
306	0.014	3.2e-05	0.87	0.12	2	0.16
307	0.13	6.7e-06	0.87	2.1e-06	2	0.16
308	0.53	0.34	0.13	0.00013	0	0.11
309	0.69	0.047	0.26	2.6e-05	0	0.11
310	0	0	0.0012	1	3	0.24
311	0.93	0.00015	0.072	0	0	0.11
312	0.36	0.12	0.51	0.012	2	0.16
313	0.54	0.056	0.4	0.00039	0	0.11
314	0.53	0.025	0.44	0.00018	0	0.11
315	0.69	0.21	0.099	8.3e-06	0	0.11
316	0.051	0.0011	0.82	0.13	2	0.16
317	0.056	0.94	0.00066	0	1	0.071
318	0.89	0.062	0.047	0	0	0.11
319	0.01	0	0.99	0.00036	2	0.16
320	0.93	0.016	0.05	0	0	0.11
321	0.71	0.014	0.27	4.4e-06	0	0.11
322	0.59	0.38	0.034	0	0	0.11
323	0.14	0.86	2.5e-05	0	1	0.071
324	0.55	0.14	0.3	0.00052	0	0.11
325	0.28	0.0027	0.72	0.00042	2	0.16
326	0.37	0.18	0.44	0.013	2	0.16
327	0.0025	0	1	0.00019	2	0.16
328	0.47	0.0078	0.52	9.2e-05	2	0.16
329	0.76	0.096	0.14	6.1e-06	0	0.11
330	0.058	2.3e-05	0.94	0.00011	2	0.16
331	0.0042	0	0.99	0.0019	2	0.16
332	0.81	0.016	0.17	0.004	0	0.11
333	0.15	0.0036	0.84	0.0036	2	0.16
334	0.041	0.89	8.7e-05	0.068	1	0.071
335	0.0036	0.93	0	0.071	1	0.071
336	0.031	2.6e-06	0.97	5.2e-05	2	0.16
337	0.45	0.23	0.29	0.029	0	0.11
338	0.0025	0	1	0.0015	2	0.16
339	0.37	0.017	0.61	0.0034	2	0.16
340	0.00069	0	0.97	0.026	2	0.16
341	0.32	0.0026	0.67	0.00073	2	0.16
342	0.26	0.004	0.74	0.0012	2	0.16
343	2.1e-06	0	0.24	0.76	3	0.24
344	0.002	0	0.99	0.0055	2	0.16
345	0.2	0.02	0.75	0.032	2	0.16
346	0.14	0.86	2.9e-06	0	1	0.071
347	0.93	0.0094	0.057	0	0	0.11
348	0.033	0.00012	0.93	0.041	2	0.16
349	0.094	0.00017	0.9	0.0011	2	0.16
350	0.24	0.028	0.71	0.022	2	0.16
351	0.16	0.00034	0.84	0.00035	2	0.16
352	0.035	0.0002	0.9	0.067	2	0.16
353	0.19	0.013	0.77	0.025	2	0.16
354	0.44	0.16	0.4	0.0041	0	0.11
355	0.21	0.0012	0.79	0.00054	2	0.16
356	0.53	0.23	0.25	0.00062	0	0.11
357	0.14	0.86	3e-06	0	1	0.071
358	0.47	0.51	0.023	0	1	0.071
359	1.6e-05	0	0.48	0.52	3	0.24
360	0.85	0.07	0.081	0	0	0.11
361	0.00045	0	0.47	0.53	3	0.24
362	0.11	0.81	0.0016	0.07	1	0.071
363	0.098	0.83	0.00045	0.073	1	0.071
364	0.0028	0.94	0	0.057	1	0.071
365	0.45	0.18	0.36	0.003	0	0.11
366	0.22	0.00092	0.78	0.00034	2	0.16
367	0.88	0.0033	0.11	0.0011	0	0.11
368	0.33	0.089	0.57	0.016	2	0.16
369	0.001	0	0.96	0.041	2	0.16
370	0.26	0.67	0.0024	0.072	1	0.071
371	0.47	0.0057	0.52	0.0014	2	0.16
372	0.082	0	0.92	1.1e-06	2	0.16
373	0.7	0.29	0.0037	0	0	0.11
374	0.004	0	0.92	0.076	2	0.16
375	0.64	0.21	0.16	5.6e-05	0	0.11
376	2.7e-05	0	0.47	0.53	3	0.24
377	0.23	0.012	0.74	0.0091	2	0.16
378	0.19	0.032	0.71	0.073	2	0.16
379	0.28	0.63	2.3e-05	0.087	1	0.071
380	0.0034	1	0	0	1	0.071
381	0	0	0.18	0.82	3	0.24
382	0.58	0.00058	0.42	0	0	0.11
383	0.42	0.58	0.0046	0	1	0.071
384	0.82	0.029	0.15	1.1e-06	0	0.11
385	0.12	0.0018	0.87	0.013	2	0.16
386	0.3	4.5e-05	0.7	0	2	0.16
387	0.49	0.092	0.42	0.0014	0	0.11
388	0.24	0.76	0.0017	0	1	0.071
389	0.54	0.45	0.01	0	0	0.11
390	0.43	0.058	0.51	0.0022	2	0.16
391	0.028	4.5e-05	0.95	0.02	2	0.16
392	0.086	0.91	0.00012	0	1	0.071
393	1	8.6e-05	0.0017	0	0	0.11
394	0.27	0.73	0.002	0	1	0.071
395	0.037	7.1e-05	0.95	0.013	2	0.16
396	0.00045	0	0.79	0.21	2	0.16
397	0	0	0.98	0.022	2	0.16
398	4.7e-05	0	0.83	0.17	2	0.16
399	0.14	0.86	0.00072	0	1	0.071
400	0.54	0.16	0.28	0.022	0	0.11
401	0.05	0.00015	0.94	0.013	2	0.16
402	0.31	0.0067	0.68	0.00093	2	0.16
403	0.093	2.3e-06	0.91	2.1e-06	2	0.16
404	0.71	0.28	0.0032	0	0	0.11
405	0.82	0.12	0.061	0	0	0.11
406	0.44	0.48	0.08	7.6e-05	1	0.071
407	0.27	0.011	0.72	0.0036	2	0.16
408	0.0087	0.99	0	0	1	0.071
409	0.91	0.053	0.033	0	0	0.11
410	0.21	0.012	0.76	0.013	2	0.16
411	0.028	3.3e-05	0.96	0.014	2	0.16
412	0.43	0.0024	0.57	3e-05	2	0.16
413	0.36	0.0011	0.64	2.7e-05	2	0.16
414	0.18	0.0033	0.81	0.0047	2	0.16
415	1.9e-06	0	0.035	0.97	3	0.24
416	0.51	0.2	0.28	0.00093	0	0.11
417	0.17	0.0043	0.82	0.01	2	0.16
418	0.71	0.29	0.0038	0	0	0.11
419	0.71	0.29	0.006	0	0	0.11
420	0.34	0.12	0.53	0.018	2	0.16
421	0.21	9.3e-05	0.79	1.3e-05	2	0.16
422	0.55	0.41	0.047	4.3e-06	0	0.11
423	0	0	0.02	0.98	3	0.24
424	0.15	0.013	0.77	0.069	2	0.16
425	0.0037	0.94	0	0.055	1	0.071
426	0.68	0.15	0.15	0.023	0	0.11
427	0.0082	0.92	0	0.075	1	0.071
428	0.00045	0.95	0	0.051	1	0.071
429	0.089	0.84	0.00028	0.074	1	0.071
430	4.1e-05	0.96	0	0.038	1	0.071
431	0.28	0.63	0.028	0.062	1	0.071
432	0.0088	0.93	0	0.061	1	0.071
433	0.063	0.87	0.00014	0.072	1	0.071
434	0.26	0.67	0.014	0.066	1	0.071
435	0.04	0.89	9.1e-06	0.074	1	0.071
436	0.53	0.32	0.11	0.039	0	0.11
437	0.38	0.023	0.6	0.0045	2	0.16
438	0.85	0.1	0.027	0.019	0	0.11
439	0.52	0.23	0.23	0.029	0	0.11
440	0.59	7.1e-06	0.41	7e-06	0	0.11
441	0.58	0.31	0.063	0.041	0	0.11
442	0.043	0.88	5.8e-06	0.077	1	0.071
443	0.011	0.92	0	0.072	1	0.071
444	0.54	0.27	0.16	0.034	0	0.11
445	0.091	0.84	0.00089	0.07	1	0.071
446	0.068	0.86	0.00026	0.071	1	0.071
447	0.028	0.9	1.7e-05	0.068	1	0.071
448	0.0047	0.94	0	0.057	1	0.071
449	0.0066	0.94	0	0.055	1	0.071
450	0.18	0.75	0.0037	0.07	1	0.071
451	6.2e-05	0.96	0	0.04	1	0.071
452	0.46	0.066	0.47	0.01	2	0.16
453	0.25	0.67	0.0055	0.069	1	0.071
454	0.011	0.93	0	0.059	1	0.071
455	0.91	0.056	0.022	0.012	0	0.11
456	0.2	0.73	0.0041	0.07	1	0.071
457	0.033	0.9	8.6e-06	0.072	1	0.071
458	0.07	0.86	0.00036	0.07	1	0.071
459	0.39	0.54	0.00069	0.071	1	0.071
460	0.003	0.94	0	0.059	1	0.071
461	0.058	0.86	1e-05	0.079	1	0.071
462	0.19	0.042	0.73	0.033	2	0.16
463	0.6	0.022	0.37	0.0045	0	0.11
464	0.26	0.66	0.0041	0.07	1	0.071
465	0.019	0.00024	0.65	0.33	2	0.16
466	8.8e-05	0	0.83	0.17	2	0.16
467	0.24	0.013	0.74	0.0086	2	0.16
468	0.00066	0	1	0.0025	2	0.16
469	0.0081	0	0.98	0.0073	2	0.16
470	0.32	0.67	0.0037	0	1	0.071
471	0.0067	1.8e-06	0.95	0.047	2	0.16
472	0.55	0.051	0.39	0.00028	0	0.11
473	0.87	0.012	0.11	0	0	0.11
474	0.00069	0	0.89	0.11	2	0.16
475	0.14	0.0072	0.84	0.013	2	0.16
476	0.00068	0	0.99	0.012	2	0.16
477	0.3	0.11	0.57	0.021	2	0.16
478	0.081	0.0044	0.86	0.053	2	0.16
479	0.42	0.0061	0.57	0.0015	2	0.16
480	0.075	0.84	5.5e-06	0.085	1	0.071
481	2e-05	0	0.25	0.75	3	0.24
482	0.005	0	0.99	0.0053	2	0.16
483	0.31	0.59	0.051	0.058	1	0.071
484	7.5e-05	0	0.51	0.49	2	0.16
485	0.021	0.00023	0.7	0.28	2	0.16
486	0.38	0.61	0.0022	0	1	0.071
487	0.49	0.00026	0.5	0	2	0.16
488	0.015	1.2e-05	0.95	0.034	2	0.16
489	0.42	0.52	0.062	4.4e-05	1	0.071
490	0.063	0.0021	0.8	0.14	2	0.16
491	0.26	0.0018	0.74	0.00033	2	0.16
492	0.17	0.00074	0.82	0.00065	2	0.16
493	0.33	0.06	0.6	0.011	2	0.16
494	0.06	8.1e-06	0.94	8.1e-05	2	0.16
495	0.34	0.66	0.0023	0	1	0.071
496	0.0056	0.99	0	0	1	0.071
497	0.27	0.025	0.69	0.011	2	0.16
498	0.95	0.048	0.0011	0	0	0.11
499	0.049	0.0003	0.92	0.035	2	0.16
500	0.95	0.0052	0.04	0	0	0.11
501	0.094	0.00039	0.9	0.0037	2	0.16
502	0.86	0.0064	0.13	0	0	0.11
503	0.53	0.25	0.22	0.00047	0	0.11
504	0.32	0.0027	0.68	0.0002	2	0.16
505	0.22	0.0027	0.77	0.0013	2	0.16
506	0.48	0.0031	0.51	2e-05	2	0.16
507	0.15	0.018	0.74	0.095	2	0.16
508	0.21	0.0092	0.77	0.009	2	0.16
509	0.49	0.19	0.32	0.0016	0	0.11
510	0.015	8.7e-06	0.96	0.023	2	0.16
511	0.15	0.85	0.0014	0	1	0.071
512	0.55	0.0016	0.45	2.6e-06	0	0.11
513	0.66	0.19	0.15	4.1e-05	0	0.11
514	0.2	6.6e-05	0.8	9.2e-06	2	0.16
515	0.51	0.47	0.016	0	0	0.11
516	0.31	0.0058	0.69	0.00077	2	0.16
517	0.071	1.1e-06	0.93	2.2e-06	2	0.16
518	0.038	4.1e-05	0.96	0.0057	2	0.16
519	0.64	0.35	0.0079	0	0	0.11
520	0.96	0.037	0.00044	0	0	0.11
521	0.25	0.00041	0.75	4.5e-05	2	0.16
522	8.5e-05	1	0	0	1	0.071
523	0.19	0.81	0.0001	0	1	0.071
524	0.55	0.28	0.17	0.00019	0	0.11
525	0.089	0.91	6.5e-06	0	1	0.071
526	0.0054	1.1e-06	0.94	0.051	2	0.16
527	0.15	0.00096	0.85	0.0021	2	0.16
528	0.47	0.17	0.36	0.0024	0	0.11
529	0.64	0.36	0.005	0	0	0.11
530	4.5e-06	0	0.1	0.9	3	0.24
531	0.33	0.082	0.57	0.015	2	0.16
532	0.036	8.7e-05	0.94	0.021	2	0.16
533	0.62	0.16	0.22	0.00013	0	0.11
534	0.98	0.01	0.012	0	0	0.11
535	0.052	0.95	4.9e-05	0	1	0.071
536	0.046	0.95	5.1e-06	0	1	0.071
537	0.4	0.00078	0.6	8.5e-06	2	0.16
538	0.39	0.017	0.59	0.00085	2	0.16
539	0.37	0.18	0.44	0.013	2	0.16
540	0.019	0.98	0	0	1	0.071
541	0.52	0.013	0.46	0.0028	0	0.11
542	0.077	0.00023	0.92	0.001	2	0.16
543	0.46	0.049	0.48	0.0081	2	0.16
544	0.52	0.42	0.00038	0.064	0	0.11
545	0.15	0.0087	0.83	0.011	2	0.16
546	0.64	0.017	0.34	0.0037	0	0.11
547	0.32	0.6	0.0096	0.066	1	0.071
548	0.83	0.00017	0.17	0	0	0.11
549	0.13	0.87	0.00022	0	1	0.071
550	0.21	0.033	0.71	0.051	2	0.16
551	0.068	0.93	0.00013	0	1	0.071
552	0.55	0.059	0.39	0.00034	0	0.11
553	0.052	0.95	1.7e-05	0	1	0.071
554	0.0027	0	0.95	0.05	2	0.16
555	0.4	0.12	0.47	0.0071	2	0.16
556	0.33	0.038	0.62	0.0065	2	0.16
557	0.49	0.49	0.021	0	1	0.071
558	3e-05	0	0.92	0.084	2	0.16
559	0.74	0.0017	0.26	0.00062	0	0.11
560	0.17	2.5e-05	0.83	1.4e-05	2	0.16
561	0.17	1.6e-05	0.83	0	2	0.16
562	0.013	0	0.99	0.00013	2	0.16
563	0.88	0.0031	0.12	0	0	0.11
564	0.016	0.98	0	0	1	0.071
565	0.11	0.0002	0.89	0.00016	2	0.16
