SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0
50	0.054	0.32	0.003	5.1e-06	0.003	5.1e-06	0.078	3.5e-06	0.062	0	0.003	0.00034	0	0.26	0.11	0	0.054	0.054	1	0.11
51	0.043	0.073	1.4e-05	0.0085	1.4e-05	0.0085	0.71	0.0058	0.049	0	1.4e-05	0.00091	0	0.0047	0.007	0	0.043	0.043	6	0.16
52	0.0055	0.00094	0	0.0039	0	0.0039	0.97	0.0027	0.0063	0	0	0.00052	0	0	2.9e-06	0	0.0055	0.0055	6	0.16
53	0.1	0.4	7.2e-06	0	7.2e-06	0	0.098	0	0.12	0	7.2e-06	0.00063	0	0.017	0.047	0	0.1	0.1	1	0.11
54	0.011	0.0042	0	0.0061	0	0.0061	0.93	0.0041	0.013	0	0	0.00066	0	1e-06	4.1e-05	0	0.011	0.011	6	0.16
55	0.053	0.42	0.00067	0	0.00067	0	0.022	0	0.061	0	0.00067	0.0002	0	0.2	0.13	0	0.053	0.053	1	0.11
56	0.011	0.0039	0	0.0054	0	0.0054	0.93	0.0037	0.013	0	0	0.00066	0	0	3.6e-05	0	0.011	0.011	6	0.16
57	0.083	0.28	0.00015	5e-05	0.00015	5e-05	0.28	3.4e-05	0.096	0	0.00015	0.00082	0	0.045	0.046	0	0.083	0.083	1	0.11
58	0.051	0.13	0.00048	0.0084	0.00048	0.0084	0.56	0.0058	0.059	0	0.00048	0.00083	0	0.04	0.024	0	0.051	0.051	6	0.16
59	0.053	0.33	0.0029	2.4e-06	0.0029	2.4e-06	0.064	1.7e-06	0.06	0	0.0029	0.0003	0	0.27	0.11	0	0.053	0.053	1	0.11
60	0.049	0.14	0.00095	0.011	0.00095	0.011	0.54	0.0076	0.057	0	0.00095	0.00079	0	0.056	0.027	0	0.049	0.049	6	0.16
61	0.0049	0.088	0.028	0	0.028	0	0.00077	0	0.0056	0	0.028	1e-05	0	0.71	0.091	0	0.0049	0.0049	13	0.071
62	0.0023	0.00017	0	0.0028	0	0.0028	0.98	0.0019	0.0027	0	0	0.00038	0	0	0	0	0.0023	0.0023	6	0.16
63	0.036	0.032	0	0.0012	0	0.0012	0.82	0.00081	0.041	0	0	0.001	0	9.6e-05	0.00093	0	0.036	0.036	6	0.16
64	0.053	0.4	0.00094	0	0.00094	0	0.026	0	0.06	0	0.00094	0.00021	0	0.22	0.13	0	0.053	0.053	1	0.11
65	0.0026	0.00045	0	0.063	0	0.063	0.82	0.043	0.003	0	0	0.0003	0	0	1.9e-06	0	0.0026	0.0026	6	0.16
66	0.078	0.13	0	6.8e-05	0	6.8e-05	0.54	4.7e-05	0.089	0	0	0.0012	0	0.0014	0.0071	0	0.078	0.078	6	0.16
67	0.099	0.53	0	0	0	0	0.013	0	0.11	0	0	0.00027	0	0.0049	0.046	0	0.099	0.099	1	0.11
68	0.0062	0.0013	0	0.0067	0	0.0067	0.95	0.0046	0.0071	0	0	0.00052	0	0	5.8e-06	0	0.0062	0.0062	6	0.16
69	0.00072	7.4e-05	0	0.17	0	0.17	0.54	0.12	0.00082	0	0	0.00013	0	0	0	0	0.00072	0.00072	6	0.16
70	0.16	0.22	0	0	0	0	0.11	0	0.18	0	0	0.0011	0	2.1e-05	0.0029	0	0.16	0.16	1	0.11
71	0.0041	0.0011	0	0.068	0	0.068	0.8	0.046	0.0047	0	0	0.00035	0	0	8.9e-06	0	0.0041	0.0041	6	0.16
72	0.0085	0.003	0	0.017	0	0.017	0.91	0.012	0.0098	0	0	0.00055	0	0	3.1e-05	0	0.0085	0.0085	6	0.16
73	0.0019	0.054	0.031	0	0.031	0	0.0001	0	0.0022	0	0.031	2.3e-06	0	0.77	0.079	0	0.0019	0.0019	13	0.071
74	0.024	0.21	0.015	0	0.015	0	0.021	0	0.028	0	0.015	0.00011	0	0.51	0.11	0	0.024	0.024	13	0.071
75	0.0036	0.052	0.072	0	0.072	0	0.0016	0	0.0042	0	0.072	1.2e-05	0	0.66	0.056	0	0.0036	0.0036	13	0.071
76	8.5e-05	0.0064	0.086	0	0.086	0	0	0	9.7e-05	0	0.086	0	0	0.71	0.026	0	8.5e-05	8.5e-05	13	0.071
77	0.0047	0.09	0.026	0	0.026	0	0.00065	0	0.0054	0	0.026	9.1e-06	0	0.72	0.094	0	0.0047	0.0047	13	0.071
78	0.026	0.27	0.006	0	0.006	0	0.011	0	0.03	0	0.006	8.8e-05	0	0.46	0.14	0	0.026	0.026	13	0.071
79	0.051	0.098	2.7e-05	0.0046	2.7e-05	0.0046	0.66	0.0031	0.058	0	2.7e-05	0.00095	0	0.008	0.011	0	0.051	0.051	6	0.16
80	0.031	0.018	0	0.0003	0	0.0003	0.85	0.00021	0.036	0	0	0.0011	0	7.8e-06	0.00025	0	0.031	0.031	6	0.16
81	0.029	0.4	0.00075	0	0.00075	0	0.0027	0	0.033	0	0.00075	5.3e-05	0	0.3	0.18	0	0.029	0.029	1	0.11
82	0.00084	0.034	0.027	0.033	0.027	0.033	2.6e-05	0.023	0.00096	0	0.027	0	0	0.73	0.065	0	0.00084	0.00084	13	0.071
83	0.0041	0.0011	0	0.013	0	0.013	0.95	0.009	0.0047	0	0	0.00033	0	0	7.1e-06	0	0.0041	0.0041	6	0.16
84	0.026	0.29	0.003	0.025	0.003	0.025	0.01	0.017	0.03	0	0.003	7.4e-05	0	0.38	0.14	0	0.026	0.026	13	0.071
85	0.015	0.16	0.017	0.029	0.017	0.029	0.012	0.02	0.017	0	0.017	5.5e-05	0	0.54	0.1	0	0.015	0.015	13	0.071
86	0.056	0.15	0.0001	0.0024	0.0001	0.0024	0.57	0.0017	0.064	0	0.0001	0.00076	0	0.022	0.022	0	0.056	0.056	6	0.16
87	0.11	0.3	0	0.00042	0	0.00042	0.22	0.00029	0.13	0	0	0.00084	0	0.0028	0.019	0	0.11	0.11	1	0.11
88	0.083	0.42	0.00014	0	0.00014	0	0.079	0	0.095	0	0.00014	0.00046	0	0.073	0.083	0	0.083	0.083	1	0.11
89	0.11	0.42	1.3e-06	0	1.3e-06	0	0.071	0	0.13	0	1.3e-06	0.00058	0	0.0082	0.039	0	0.11	0.11	1	0.11
90	0.054	0.33	0.0027	3e-06	0.0027	3e-06	0.07	2.1e-06	0.062	0	0.0027	0.00032	0	0.25	0.11	0	0.054	0.054	1	0.11
91	0.00041	0.021	0.044	0	0.044	0	5.8e-06	0	0.00047	0	0.044	0	0	0.79	0.052	0	0.00041	0.00041	13	0.071
92	0.045	0.076	8.5e-06	0.0052	8.5e-06	0.0052	0.71	0.0036	0.052	0	8.5e-06	0.00095	0	0.0038	0.0066	0	0.045	0.045	6	0.16
93	0.0019	0.00067	0	0.22	0	0.22	0.41	0.15	0.0022	0	0	0.00016	0	0	9.4e-06	0	0.0019	0.0019	6	0.16
94	0.079	0.1	0	2e-05	0	2e-05	0.56	1.4e-05	0.091	0	0	0.0013	0	0.00031	0.0035	0	0.079	0.079	6	0.16
95	0.04	0.045	0	0.0018	0	0.0018	0.78	0.0012	0.046	0	0	0.001	0	0.00036	0.0019	0	0.04	0.04	6	0.16
96	0.088	0.24	2.7e-05	4.8e-05	2.7e-05	4.8e-05	0.35	3.3e-05	0.1	0	2.7e-05	0.00098	0	0.017	0.028	0	0.088	0.088	6	0.16
97	0.078	0.46	9.7e-05	0	9.7e-05	0	0.041	0	0.089	0	9.7e-05	0.00034	0	0.075	0.097	0	0.078	0.078	1	0.11
98	0.016	0.012	0	0.022	0	0.022	0.86	0.015	0.018	0	0	0.00064	0	8.3e-05	0.00044	0	0.016	0.016	6	0.16
99	0.053	0.1	2.3e-05	0.0024	2.3e-05	0.0024	0.65	0.0016	0.061	0	2.3e-05	0.00097	0	0.0077	0.011	0	0.053	0.053	6	0.16
100	0.04	0.079	7.6e-05	0.02	7.6e-05	0.02	0.68	0.013	0.046	0	7.6e-05	0.00082	0	0.011	0.0099	0	0.04	0.04	6	0.16
101	0.052	0.35	0.0022	0	0.0022	0	0.05	0	0.06	0	0.0022	0.00027	0	0.26	0.12	0	0.052	0.052	1	0.11
102	0.083	0.49	3e-05	0	3e-05	0	0.033	0	0.095	0	3e-05	0.00032	0	0.047	0.087	0	0.083	0.083	1	0.11
103	0.094	0.21	2.3e-06	1.7e-05	2.3e-06	1.7e-05	0.38	1.2e-05	0.11	0	2.3e-06	0.0011	0	0.0046	0.016	0	0.094	0.094	6	0.16
104	0.0071	0.0023	0	0.021	0	0.021	0.91	0.015	0.0082	0	0	0.00051	0	0	2e-05	0	0.0071	0.0071	6	0.16
105	0.055	0.09	2.8e-06	0.0012	2.8e-06	0.0012	0.67	0.00084	0.063	0	2.8e-06	0.0011	0	0.0026	0.0066	0	0.055	0.055	6	0.16
106	0.014	0.0053	0	0.0023	0	0.0023	0.93	0.0016	0.016	0	0	0.00075	0	0	4.8e-05	0	0.014	0.014	6	0.16
107	0.078	0.13	0	6.5e-05	0	6.5e-05	0.54	4.4e-05	0.09	0	0	0.0012	0	0.0015	0.0073	0	0.078	0.078	6	0.16
108	0.032	0.46	0.00029	0	0.00029	0	0.0021	0	0.037	0	0.00029	5.2e-05	0	0.22	0.19	0	0.032	0.032	1	0.11
109	0.039	0.038	0	0.0013	0	0.0013	0.8	0.00088	0.044	0	0	0.001	0	0.00018	0.0013	0	0.039	0.039	6	0.16
110	0.089	0.37	0.00011	2.2e-06	0.00011	2.2e-06	0.14	1.5e-06	0.1	0	0.00011	0.00063	0	0.054	0.065	0	0.089	0.089	1	0.11
111	0.041	0.4	0.00094	0	0.00094	0	0.01	0	0.047	0	0.00094	0.00012	0	0.26	0.15	0	0.041	0.041	1	0.11
112	0.0053	0.11	0.016	0	0.016	0	0.00047	0	0.0061	0	0.016	8.6e-06	0	0.71	0.11	0	0.0053	0.0053	13	0.071
113	0.007	0.14	0.0099	0	0.0099	0	0.00053	0	0.008	0	0.0099	1.1e-05	0	0.66	0.13	0	0.007	0.007	13	0.071
114	0.023	0.021	0	0.012	0	0.012	0.85	0.0085	0.027	0	0	0.00079	0	0.00015	0.0008	0	0.023	0.023	6	0.16
115	0.065	0.39	0.00085	0	0.00085	0	0.067	0	0.075	0	0.00085	0.00036	0	0.17	0.11	0	0.065	0.065	1	0.11
116	0.0021	0.068	0.018	0	0.018	0	6.4e-05	0	0.0024	0	0.018	2e-06	0	0.77	0.099	0	0.0021	0.0021	13	0.071
117	0.032	0.3	0.0042	0	0.0042	0	0.014	0	0.037	0	0.0042	0.00011	0	0.4	0.14	0	0.032	0.032	13	0.071
118	0.064	0.17	0.00019	0.0016	0.00019	0.0016	0.5	0.0011	0.073	0	0.00019	0.00092	0	0.031	0.026	0	0.064	0.064	6	0.16
119	0.026	0.23	0.011	0	0.011	0	0.02	0	0.03	0	0.011	0.00012	0	0.49	0.12	0	0.026	0.026	13	0.071
120	0.0026	0.061	0.033	0	0.033	0	0.00023	0	0.003	0	0.033	4e-06	0	0.75	0.08	0	0.0026	0.0026	13	0.071
121	0.11	0.22	0	2.5e-06	0	2.5e-06	0.32	1.7e-06	0.12	0	0	0.0012	0	0.0021	0.013	0	0.11	0.11	6	0.16
122	0.041	0.023	0	5.2e-05	0	5.2e-05	0.81	3.6e-05	0.047	0	0	0.0013	0	5.3e-06	0.00027	0	0.041	0.041	6	0.16
123	0.069	0.21	0.00033	0.00078	0.00033	0.00078	0.42	0.00053	0.079	0	0.00033	0.00087	0	0.048	0.036	0	0.069	0.069	6	0.16
124	0.098	0.55	0	0	0	0	0.0061	0	0.11	0	0	0.0002	0	0.0018	0.036	0	0.098	0.098	1	0.11
125	0.017	0.15	0.027	1.3e-06	0.027	1.3e-06	0.016	0	0.02	0	0.027	8.1e-05	0	0.58	0.096	0	0.017	0.017	13	0.071
126	0.001	0.067	0.0059	0	0.0059	0	3.5e-06	0	0.0012	0	0.0059	0	0	0.78	0.13	0	0.001	0.001	13	0.071
127	0.043	0.022	0	2.4e-05	0	2.4e-05	0.8	1.7e-05	0.049	0	0	0.0013	0	2.7e-06	0.0002	0	0.043	0.043	6	0.16
128	4.1e-06	0.001	0.11	0	0.11	0	0	0	4.7e-06	0	0.11	0	0	0.65	0.011	0	4.1e-06	4.1e-06	13	0.071
129	0.064	0.31	0.002	3.4e-05	0.002	3.4e-05	0.15	2.4e-05	0.074	0	0.002	0.00051	0	0.18	0.086	0	0.064	0.064	1	0.11
130	0.056	0.44	0.00044	0	0.00044	0	0.02	0	0.064	0	0.00044	0.00019	0	0.17	0.13	0	0.056	0.056	1	0.11
131	0.0016	0.045	0.037	0	0.037	0	8.4e-05	0	0.0018	0	0.037	1.9e-06	0	0.77	0.071	0	0.0016	0.0016	13	0.071
132	0.0013	0.041	0.036	0	0.036	0	5.1e-05	0	0.0014	0	0.036	1.3e-06	0	0.78	0.069	0	0.0013	0.0013	13	0.071
133	1.1e-06	0.00036	0.16	0	0.16	0	0	0	1.2e-06	0	0.16	0	0	0.52	0.0058	0	1.1e-06	1.1e-06	13	0.071
134	0.068	0.19	0.0002	0.00085	0.0002	0.00085	0.46	0.00058	0.078	0	0.0002	0.00091	0	0.035	0.03	0	0.068	0.068	6	0.16
135	0.0058	0.0013	0	0.01	0	0.01	0.95	0.0071	0.0066	0	0	0.0005	0	0	6.2e-06	0	0.0058	0.0058	6	0.16
136	0.0048	0.0011	0	0.03	0	0.03	0.9	0.021	0.0055	0	0	0.00042	0	0	7e-06	0	0.0048	0.0048	6	0.16
137	0.00031	0.012	0.1	0	0.1	0	1.5e-05	0	0.00035	0	0.1	0	0	0.65	0.028	0	0.00031	0.00031	13	0.071
138	0.11	0.27	1.3e-06	1.6e-06	1.3e-06	1.6e-06	0.26	1.1e-06	0.12	0	1.3e-06	0.001	0	0.0046	0.02	0	0.11	0.11	1	0.11
139	0.049	0.23	0.0079	0.00034	0.0079	0.00034	0.18	0.00023	0.056	0	0.0079	0.00045	0	0.28	0.079	0	0.049	0.049	13	0.071
140	0.099	0.31	1.6e-05	3.8e-06	1.6e-05	3.8e-06	0.22	2.6e-06	0.11	0	1.6e-05	0.00086	0	0.017	0.036	0	0.099	0.099	1	0.11
141	0.049	0.25	0.0074	0.00018	0.0074	0.00018	0.16	0.00012	0.057	0	0.0074	0.00043	0	0.29	0.085	0	0.049	0.049	13	0.071
142	0.12	0.18	0	0	0	0	0.32	0	0.14	0	0	0.0014	0	0.00023	0.005	0	0.12	0.12	6	0.16
143	0.13	0.22	0	0	0	0	0.22	0	0.15	0	0	0.0013	0	0.00024	0.0062	0	0.13	0.13	6	0.16
144	0.057	0.17	0.00089	0.004	0.00089	0.004	0.48	0.0027	0.065	0	0.00089	0.00081	0	0.065	0.034	0	0.057	0.057	6	0.16
145	0.1	0.28	5.8e-06	4.6e-06	5.8e-06	4.6e-06	0.27	3.2e-06	0.12	0	5.8e-06	0.00097	0	0.0096	0.027	0	0.1	0.1	1	0.11
146	0.061	0.12	1.9e-05	0.0014	1.9e-05	0.0014	0.6	0.00094	0.07	0	1.9e-05	0.001	0	0.0081	0.013	0	0.061	0.061	6	0.16
147	0.037	0.26	0.0084	3.4e-06	0.0084	3.4e-06	0.046	2.3e-06	0.043	0	0.0084	0.00021	0	0.4	0.11	0	0.037	0.037	13	0.071
148	0.0056	0.084	0.04	0	0.04	0	0.0017	0	0.0064	0	0.04	1.5e-05	0	0.69	0.08	0	0.0056	0.0056	13	0.071
149	0.014	0.0064	0	0.0086	0	0.0086	0.91	0.0059	0.016	0	0	0.00068	0	4.2e-06	9.4e-05	0	0.014	0.014	6	0.16
150	0.036	0.043	0	0.0046	0	0.0046	0.79	0.0031	0.041	0	0	0.00094	0	0.00058	0.0022	0	0.036	0.036	6	0.16
151	8.6e-05	0.0096	0.037	0	0.037	0	0	0	9.8e-05	0	0.037	0	0	0.84	0.042	0	8.6e-05	8.6e-05	13	0.071
152	0.028	0.0059	0	2.1e-06	0	2.1e-06	0.87	1.5e-06	0.033	0	0	0.0014	0	0	1.2e-05	0	0.028	0.028	6	0.16
153	0.11	0.37	1.2e-06	0	1.2e-06	0	0.12	0	0.13	0	1.2e-06	0.00074	0	0.0064	0.031	0	0.11	0.11	1	0.11
154	0.055	0.19	0.0024	0.0033	0.0024	0.0033	0.4	0.0022	0.064	0	0.0024	0.00072	0	0.12	0.047	0	0.055	0.055	6	0.16
155	0.039	0.067	1.6e-05	0.012	1.6e-05	0.012	0.72	0.0085	0.045	0	1.6e-05	0.00087	0	0.0046	0.0064	0	0.039	0.039	6	0.16
156	0.079	0.15	1.6e-06	8.7e-05	1.6e-06	8.7e-05	0.51	6e-05	0.091	0	1.6e-06	0.0012	0	0.003	0.01	0	0.079	0.079	6	0.16
157	0.058	0.18	0.0011	0.003	0.0011	0.003	0.45	0.0021	0.067	0	0.0011	0.00079	0	0.077	0.039	0	0.058	0.058	6	0.16
158	0.025	0.011	0	0.0002	0	0.0002	0.88	0.00014	0.029	0	0	0.001	0	1.4e-06	9.4e-05	0	0.025	0.025	6	0.16
159	0.038	0.1	0.00046	0.011	0.00046	0.011	0.66	0.0073	0.044	0	0.00046	0.00063	0	0.033	0.018	0	0.038	0.038	6	0.16
160	0.065	0.32	0.00086	0.0098	0.00086	0.0098	0.17	0.0067	0.074	0	0.00086	0.00045	0	0.13	0.081	0	0.065	0.065	1	0.11
161	0	0	0	0.36	0	0.36	0.023	0.25	0	0	0	0	0	0	0	0	0	0	3	0.24
162	0.0015	0.062	0.011	0.037	0.011	0.037	2e-05	0.026	0.0017	0	0.011	0	0	0.7	0.1	0	0.0015	0.0015	13	0.071
163	0.0018	0.034	0.069	0.026	0.069	0.026	0.00058	0.018	0.0021	0	0.069	4.1e-06	0	0.63	0.046	0	0.0018	0.0018	13	0.071
164	0.00019	0.035	0.0019	0.045	0.0019	0.045	0	0.031	0.00021	0	0.0019	0	0	0.71	0.12	0	0.00019	0.00019	13	0.071
165	0.15	0.1	0	0	0	0	0.29	0	0.17	0	0	0.0016	0	0	0.00052	0	0.15	0.15	6	0.16
166	0	1.4e-05	0.00027	2.5e-05	0.00027	2.5e-05	1	1.7e-05	0	0	0.00027	0	0	0.00077	2.8e-05	0	0	0	6	0.16
167	0.019	0.012	0	0.00074	0	0.00074	0.91	0.00051	0.022	0	0	0.00067	0	1.2e-05	0.00023	0	0.019	0.019	6	0.16
168	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0.16
169	0.07	0.23	0.00014	0.0032	0.00014	0.0032	0.4	0.0022	0.08	0	0.00014	0.00073	0	0.037	0.037	0	0.07	0.07	6	0.16
170	0.045	0.24	0.0057	0.016	0.0057	0.016	0.16	0.011	0.051	0	0.0057	0.00034	0	0.27	0.085	0	0.045	0.045	13	0.071
171	0.11	0.22	0	0	0	0	0.29	0	0.13	0	0	0.0012	0	0.0011	0.01	0	0.11	0.11	6	0.16
172	0.084	0.14	0	2.8e-05	0	2.8e-05	0.51	1.9e-05	0.097	0	0	0.0013	0	0.0011	0.0068	0	0.084	0.084	6	0.16
173	0.0012	2.7e-05	0	0.0001	0	0.0001	0.99	6.8e-05	0.0014	0	0	0.00036	0	0	0	0	0.0012	0.0012	6	0.16
174	0.019	0.018	0	0.033	0	0.033	0.81	0.022	0.022	0	0	0.00067	0	0.00021	0.0008	0	0.019	0.019	6	0.16
175	0.0077	0.0023	0	0.014	0	0.014	0.93	0.0096	0.0088	0	0	0.00054	0	0	1.9e-05	0	0.0077	0.0077	6	0.16
176	0.072	0.13	1.5e-06	0.00017	1.5e-06	0.00017	0.56	0.00012	0.083	0	1.5e-06	0.0012	0	0.0025	0.0086	0	0.072	0.072	6	0.16
