SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0
64	0.12	0.12	0.0026	0	0.026	0.21	0	0.12	0	0	0	0.12	0.12	0.11	0.00065	0.032	0	5	0.071
65	0.00014	0.00014	0	0	0.83	0	0	0.00014	0.06	0	0.06	0.00014	0.00014	0.0057	0.00097	0	0.038	4	0.16
66	0.043	0.043	1.4e-06	0	0.59	0.0016	0	0.043	7.1e-05	0	7.1e-05	0.042	0.043	0.19	0.0042	0.0019	4.5e-05	4	0.16
67	0.15	0.15	0	0	0.013	0.0046	0	0.15	0	0	0	0.15	0.15	0.2	0.00081	0.01	0	13	0.12
68	0.00041	0.00041	0	0	0.97	0	0	0.00041	0.0064	0	0.0064	0.00039	0.00041	0.014	0.0017	1.4e-06	0.0041	4	0.16
69	2.4e-05	2.4e-05	0	0	0.56	0	0	2.4e-05	0.17	0	0.17	2.3e-05	2.4e-05	0.0016	0.00043	0	0.11	4	0.16
70	0.086	0.086	0	0	0.13	2.6e-05	0	0.086	0	0	0	0.083	0.086	0.44	0.0045	0.00086	0	13	0.12
71	0.00035	0.00035	0	0	0.82	0	0	0.00035	0.065	0	0.065	0.00033	0.00035	0.009	0.0011	2.2e-06	0.042	4	0.16
72	0.00095	0.00095	0	0	0.93	0	0	0.00095	0.017	0	0.017	0.00092	0.00095	0.019	0.0018	7.7e-06	0.011	4	0.16
73	0.017	0.017	0.093	0	0.00011	0.8	0	0.017	0	0	0	0.017	0.017	0.0043	7.7e-06	0.02	0	5	0.071
74	0.066	0.066	0.043	0	0.022	0.52	0	0.066	0	0	0	0.064	0.066	0.055	0.00037	0.028	0	5	0.071
75	0.017	0.017	0.21	0	0.0017	0.68	0	0.017	0	0	0	0.016	0.017	0.0082	3.8e-05	0.014	0	5	0.071
76	0.0021	0.0021	0.25	0	0	0.73	0	0.0021	0	0	0	0.002	0.0021	0.00019	0	0.0065	0	5	0.071
77	0.029	0.029	0.077	0	0.00068	0.74	0	0.029	0	0	0	0.028	0.029	0.011	3e-05	0.024	0	5	0.071
78	0.084	0.084	0.017	0	0.011	0.46	0	0.084	0	0	0	0.081	0.084	0.058	0.00029	0.034	0	5	0.071
79	0.032	0.032	8.2e-05	0	0.7	0.0083	0	0.032	0.0045	0	0.0045	0.031	0.032	0.12	0.0032	0.0027	0.0029	4	0.16
80	0.0058	0.0058	0	0	0.9	8.1e-06	0	0.0058	0.0003	0	0.0003	0.0056	0.0058	0.071	0.0035	6.4e-05	0.00019	4	0.16
81	0.12	0.12	0.0021	0	0.0027	0.29	0	0.12	0	0	0	0.12	0.12	0.062	0.00017	0.044	0	5	0.071
82	0.011	0.011	0.082	0	2.8e-05	0.76	0	0.011	0.033	0	0.033	0.011	0.011	0.0019	2.2e-06	0.017	0.021	5	0.071
83	0.00033	0.00033	0	0	0.96	0	0	0.00033	0.013	0	0.013	0.00032	0.00033	0.0089	0.001	0	0.0081	4	0.16
84	0.09	0.09	0.0088	0	0.011	0.38	0	0.09	0.024	0	0.024	0.087	0.09	0.058	0.00024	0.035	0.015	5	0.071
85	0.051	0.051	0.049	0	0.012	0.55	0	0.051	0.028	0	0.028	0.049	0.051	0.034	0.00018	0.026	0.018	5	0.071
86	0.048	0.048	0.00031	0	0.6	0.023	0	0.048	0.0024	0	0.0024	0.046	0.048	0.13	0.0025	0.0055	0.0015	4	0.16
87	0.099	0.099	0	0	0.24	0.003	0	0.099	0.00043	0	0.00043	0.095	0.099	0.26	0.0029	0.005	0.00028	13	0.12
88	0.13	0.13	0.0004	0	0.08	0.072	0	0.13	0	0	0	0.13	0.13	0.18	0.0015	0.02	0	13	0.12
89	0.13	0.13	3.8e-06	0	0.073	0.0083	0	0.13	0	0	0	0.13	0.13	0.25	0.0019	0.0097	0	13	0.12
90	0.1	0.1	0.0077	0	0.071	0.26	0	0.1	2.9e-06	0	2.9e-06	0.1	0.1	0.12	0.001	0.027	1.9e-06	5	0.071
91	0.0068	0.0068	0.13	0	6.1e-06	0.82	0	0.0068	0	0	0	0.0065	0.0068	0.00093	0	0.013	0	5	0.071
92	0.025	0.025	2.6e-05	0	0.75	0.0039	0	0.025	0.0052	0	0.0052	0.024	0.025	0.1	0.0032	0.0017	0.0033	4	0.16
93	0.00022	0.00022	0	0	0.43	0	0	0.00022	0.21	0	0.21	0.00021	0.00022	0.0043	0.00052	2.4e-06	0.14	4	0.16
94	0.035	0.035	0	0	0.63	0.00034	0	0.035	2.1e-05	0	2.1e-05	0.034	0.035	0.19	0.0047	0.00094	1.4e-05	4	0.16
95	0.015	0.015	0	0	0.83	0.00037	0	0.015	0.0018	0	0.0018	0.014	0.015	0.093	0.0034	0.0005	0.0011	4	0.16
96	0.079	0.079	8.2e-05	0	0.37	0.018	0	0.079	4.9e-05	0	4.9e-05	0.077	0.079	0.2	0.0033	0.0074	3.1e-05	4	0.16
97	0.14	0.14	0.00027	0	0.041	0.072	0	0.14	0	0	0	0.14	0.14	0.17	0.001	0.023	0	13	0.12
98	0.004	0.004	0	0	0.89	8.4e-05	0	0.004	0.021	0	0.021	0.0038	0.004	0.036	0.0021	0.00011	0.014	4	0.16
99	0.034	0.034	7e-05	0	0.69	0.0081	0	0.034	0.0024	0	0.0024	0.033	0.034	0.12	0.0033	0.0028	0.0015	4	0.16
100	0.025	0.025	0.00023	0	0.72	0.011	0	0.025	0.019	0	0.019	0.025	0.025	0.091	0.0027	0.0025	0.012	4	0.16
101	0.11	0.11	0.0064	0	0.05	0.26	0	0.11	0	0	0	0.1	0.11	0.11	0.00087	0.029	0	5	0.071
102	0.15	0.15	8.4e-05	0	0.032	0.045	0	0.15	0	0	0	0.14	0.15	0.17	0.00099	0.02	0	13	0.12
103	0.07	0.07	7.1e-06	0	0.42	0.005	0	0.07	1.8e-05	0	1.8e-05	0.067	0.07	0.22	0.0039	0.0042	1.2e-05	4	0.16
104	0.00071	0.00071	0	0	0.93	0	0	0.00071	0.02	0	0.02	0.00068	0.00071	0.016	0.0016	4.9e-06	0.013	4	0.16
105	0.03	0.03	8.6e-06	0	0.71	0.0027	0	0.03	0.0012	0	0.0012	0.029	0.03	0.13	0.0036	0.0017	0.0008	4	0.16
106	0.0017	0.0017	0	0	0.95	0	0	0.0017	0.0022	0	0.0022	0.0016	0.0017	0.031	0.0024	1.2e-05	0.0014	4	0.16
107	0.044	0.044	1.5e-06	0	0.59	0.0016	0	0.044	6.7e-05	0	6.7e-05	0.042	0.044	0.19	0.0042	0.0019	4.3e-05	4	0.16
108	0.14	0.14	0.00078	0	0.002	0.21	0	0.14	0	0	0	0.13	0.14	0.068	0.00016	0.044	0	5	0.071
109	0.012	0.012	0	0	0.84	0.00018	0	0.012	0.0013	0	0.0013	0.012	0.012	0.089	0.0034	0.00034	0.00082	4	0.16
110	0.12	0.12	0.00033	0	0.15	0.055	0	0.12	2.2e-06	0	2.2e-06	0.11	0.12	0.2	0.002	0.016	1.4e-06	13	0.12
111	0.12	0.12	0.0026	0	0.01	0.25	0	0.12	0	0	0	0.12	0.12	0.088	0.00037	0.037	0	5	0.071
112	0.036	0.036	0.048	0	0.0005	0.73	0	0.036	0	0	0	0.035	0.036	0.012	2.8e-05	0.029	0	5	0.071
113	0.047	0.047	0.03	0	0.00056	0.69	0	0.047	0	0	0	0.045	0.047	0.016	3.5e-05	0.034	0	5	0.071
114	0.0067	0.0067	0	0	0.88	0.00015	0	0.0067	0.012	0	0.012	0.0065	0.0067	0.053	0.0026	0.0002	0.0078	4	0.16
115	0.12	0.12	0.0024	0	0.067	0.17	0	0.12	0	0	0	0.12	0.12	0.14	0.0011	0.026	0	5	0.071
116	0.022	0.022	0.054	0	6.8e-05	0.8	0	0.022	0	0	0	0.022	0.022	0.0049	6.8e-06	0.025	0	5	0.071
117	0.094	0.094	0.012	0	0.014	0.4	0	0.094	0	0	0	0.091	0.094	0.07	0.00037	0.034	0	5	0.071
118	0.055	0.055	0.00056	0	0.53	0.032	0	0.055	0.0016	0	0.0016	0.053	0.055	0.15	0.0031	0.0066	0.001	4	0.16
119	0.073	0.073	0.032	0	0.02	0.49	0	0.073	0	0	0	0.071	0.073	0.059	0.00038	0.03	0	5	0.071
120	0.02	0.02	0.1	0	0.00024	0.78	0	0.02	0	0	0	0.019	0.02	0.0059	1.3e-05	0.02	0	5	0.071
121	0.075	0.075	1.2e-06	0	0.36	0.0023	0	0.075	2.6e-06	0	2.6e-06	0.072	0.075	0.26	0.0041	0.0034	1.7e-06	4	0.16
122	0.0077	0.0077	0	0	0.86	5.6e-06	0	0.0077	5.3e-05	0	5.3e-05	0.0074	0.0077	0.095	0.0042	6.9e-05	3.4e-05	4	0.16
123	0.067	0.067	0.00098	0	0.45	0.05	0	0.067	0.00078	0	0.00078	0.065	0.067	0.16	0.0029	0.0091	0.0005	4	0.16
124	0.16	0.16	0	0	0.0057	0.0017	0	0.16	0	0	0	0.15	0.16	0.2	0.00059	0.0081	0	13	0.12
125	0.05	0.05	0.079	0	0.017	0.6	0	0.05	1.3e-06	0	1.3e-06	0.048	0.05	0.039	0.00027	0.024	0	5	0.071
126	0.022	0.022	0.018	0	3.8e-06	0.83	0	0.022	0	0	0	0.022	0.022	0.0025	1.3e-06	0.034	0	5	0.071
127	0.0073	0.0073	0	0	0.86	2.9e-06	0	0.0073	2.5e-05	0	2.5e-05	0.007	0.0073	0.1	0.0045	5.3e-05	1.6e-05	4	0.16
128	0.00033	0.00033	0.33	0	0	0.67	0	0.00033	0	0	0	0.00032	0.00033	9.2e-06	0	0.0028	0	5	0.071
129	0.098	0.098	0.0058	0	0.16	0.18	0	0.098	3.4e-05	0	3.4e-05	0.095	0.098	0.14	0.0016	0.021	2.1e-05	5	0.071
130	0.13	0.13	0.0012	0	0.02	0.16	0	0.13	0	0	0	0.13	0.13	0.12	0.0006	0.032	0	5	0.071
131	0.015	0.015	0.11	0	8.8e-05	0.8	0	0.015	0	0	0	0.014	0.015	0.0036	6.3e-06	0.018	0	5	0.071
132	0.013	0.013	0.11	0	5.4e-05	0.81	0	0.013	0	0	0	0.013	0.013	0.0029	4.5e-06	0.018	0	5	0.071
133	0.00012	0.00012	0.46	0	0	0.53	0	0.00012	0	0	0	0.00011	0.00012	2.4e-06	0	0.0014	0	5	0.071
134	0.062	0.062	0.00059	0	0.48	0.036	0	0.062	0.00085	0	0.00085	0.06	0.062	0.16	0.003	0.0077	0.00054	4	0.16
135	0.0004	0.0004	0	0	0.96	0	0	0.0004	0.0099	0	0.0099	0.00038	0.0004	0.013	0.0016	1.5e-06	0.0063	4	0.16
136	0.00035	0.00035	0	0	0.91	0	0	0.00035	0.029	0	0.029	0.00034	0.00035	0.011	0.0013	1.7e-06	0.019	4	0.16
137	0.0037	0.0037	0.31	0	1.6e-05	0.67	0	0.0037	0	0	0	0.0036	0.0037	0.0007	1.1e-06	0.0072	0	5	0.071
138	0.09	0.09	3.9e-06	0	0.28	0.0049	0	0.09	1.6e-06	0	1.6e-06	0.087	0.09	0.26	0.0035	0.0053	1e-06	4	0.16
139	0.075	0.075	0.023	0	0.19	0.28	0	0.075	0.00033	0	0.00033	0.073	0.075	0.11	0.0015	0.02	0.00021	5	0.071
140	0.1	0.1	4.7e-05	0	0.24	0.018	0	0.1	3.8e-06	0	3.8e-06	0.098	0.1	0.23	0.0029	0.0093	2.4e-06	4	0.16
141	0.079	0.079	0.022	0	0.16	0.29	0	0.079	0.00017	0	0.00017	0.076	0.079	0.11	0.0014	0.021	0.00011	5	0.071
142	0.063	0.063	0	0	0.38	0.00027	0	0.063	0	0	0	0.061	0.063	0.3	0.0051	0.0014	0	4	0.16
143	0.079	0.079	0	0	0.26	0.00028	0	0.079	0	0	0	0.076	0.079	0.34	0.0046	0.0018	0	13	0.12
144	0.055	0.055	0.0027	0	0.5	0.067	0	0.055	0.004	0	0.004	0.053	0.055	0.13	0.0027	0.0087	0.0025	4	0.16
145	0.092	0.092	1.8e-05	0	0.29	0.01	0	0.092	4.7e-06	0	4.7e-06	0.089	0.092	0.24	0.0033	0.0069	3e-06	4	0.16
146	0.041	0.041	5.8e-05	0	0.64	0.0085	0	0.041	0.0014	0	0.0014	0.039	0.041	0.14	0.0034	0.0033	0.00088	4	0.16
147	0.083	0.083	0.024	0	0.047	0.41	0	0.083	3.3e-06	0	3.3e-06	0.08	0.083	0.083	0.00067	0.028	2.1e-06	5	0.071
148	0.027	0.027	0.12	0	0.0018	0.71	0	0.027	0	0	0	0.026	0.027	0.013	5.1e-05	0.02	0	5	0.071
149	0.002	0.002	0	0	0.94	4.3e-06	0	0.002	0.0083	0	0.0083	0.002	0.002	0.03	0.0022	2.3e-05	0.0053	4	0.16
150	0.014	0.014	1.2e-06	0	0.83	0.0006	0	0.014	0.0045	0	0.0045	0.013	0.014	0.083	0.0031	0.00056	0.0029	4	0.16
151	0.0031	0.0031	0.11	0	0	0.86	0	0.0031	0	0	0	0.003	0.0031	0.0002	0	0.011	0	5	0.071
152	0.0019	0.0019	0	0	0.92	0	0	0.0019	2.1e-06	0	2.1e-06	0.0018	0.0019	0.065	0.0045	2.9e-06	1.4e-06	4	0.16
153	0.12	0.12	3.4e-06	0	0.12	0.0067	0	0.12	0	0	0	0.12	0.12	0.26	0.0025	0.0079	0	13	0.12
154	0.061	0.061	0.0072	0	0.42	0.12	0	0.061	0.0032	0	0.0032	0.059	0.061	0.13	0.0024	0.012	0.0021	4	0.16
155	0.022	0.022	4.7e-05	0	0.76	0.0047	0	0.022	0.012	0	0.012	0.021	0.022	0.09	0.0029	0.0016	0.0079	4	0.16
156	0.05	0.05	5e-06	0	0.55	0.0032	0	0.05	9e-05	0	9e-05	0.048	0.05	0.19	0.004	0.0027	5.8e-05	4	0.16
157	0.059	0.059	0.0033	0	0.47	0.08	0	0.059	0.003	0	0.003	0.057	0.059	0.13	0.0026	0.0098	0.0019	4	0.16
158	0.0035	0.0035	0	0	0.92	1.4e-06	0	0.0035	0.0002	0	0.0002	0.0034	0.0035	0.057	0.0034	2.4e-05	0.00013	4	0.16
159	0.032	0.032	0.0013	0	0.69	0.034	0	0.032	0.011	0	0.011	0.031	0.032	0.086	0.0021	0.0046	0.0067	4	0.16
160	0.1	0.1	0.0025	0	0.17	0.13	0	0.1	0.0094	0	0.0094	0.098	0.1	0.14	0.0015	0.02	0.006	4	0.16
161	0	0	0	0	0.025	0	0	0	0.37	0	0.37	0	0	3e-06	4.4e-06	0	0.24	8	0.24
162	0.02	0.02	0.032	0	2.1e-05	0.74	0	0.02	0.038	0	0.038	0.02	0.02	0.0034	3.4e-06	0.026	0.024	5	0.071
163	0.011	0.011	0.21	0	0.00061	0.65	0	0.011	0.026	0	0.026	0.011	0.011	0.0041	1.3e-05	0.012	0.016	5	0.071
164	0.012	0.012	0.0059	0	0	0.78	0	0.012	0.047	0	0.047	0.011	0.012	0.00045	0	0.033	0.03	5	0.071
165	0.042	0.042	0	0	0.37	0	0	0.042	0	0	0	0.041	0.042	0.41	0.0065	0.00016	0	13	0.12
166	4.2e-06	4.2e-06	0.00076	0	1	0.00076	0	4.2e-06	2.4e-05	0	2.4e-05	4.1e-06	4.2e-06	0	0	6.7e-06	1.5e-05	4	0.16
167	0.0039	0.0039	0	0	0.93	1.2e-05	0	0.0039	0.00072	0	0.00072	0.0038	0.0039	0.043	0.0022	5.7e-05	0.00046	4	0.16
168	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0.16
169	0.073	0.073	0.00041	0	0.42	0.038	0	0.073	0.0031	0	0.0031	0.071	0.073	0.16	0.0024	0.0093	0.002	4	0.16
170	0.077	0.077	0.017	0	0.16	0.27	0	0.077	0.016	0	0.016	0.074	0.077	0.1	0.0011	0.021	0.01	5	0.071
171	0.077	0.077	0	0	0.33	0.0013	0	0.077	0	0	0	0.074	0.077	0.28	0.0043	0.0029	0	4	0.16
172	0.046	0.046	0	0	0.56	0.0012	0	0.046	3e-05	0	3e-05	0.045	0.046	0.2	0.0044	0.0018	1.9e-05	4	0.16
173	8.3e-06	8.3e-06	0	0	1	0	0	8.3e-06	9.5e-05	0	9.5e-05	8e-06	8.3e-06	0.0027	0.0011	0	6.1e-05	4	0.16
174	0.0057	0.0057	0	0	0.84	0.00021	0	0.0057	0.032	0	0.032	0.0055	0.0057	0.043	0.0022	0.0002	0.021	4	0.16
175	0.00073	0.00073	0	0	0.94	0	0	0.00073	0.013	0	0.013	0.00071	0.00073	0.017	0.0017	4.7e-06	0.0086	4	0.16
176	0.043	0.043	4.5e-06	0	0.61	0.0027	0	0.043	0.00018	0	0.00018	0.041	0.043	0.17	0.004	0.0023	0.00011	4	0.16
177	0.09	0.09	0.0043	0	0.24	0.14	0	0.09	0.00013	0	0.00013	0.087	0.09	0.15	0.0021	0.017	8.5e-05	4	0.16
178	0.0022	0.0022	0	0	0.82	2.5e-05	0	0.0022	0.054	0	0.054	0.0021	0.0022	0.024	0.0017	4.6e-05	0.034	4	0.16
179	0.011	0.011	0	0	0.85	0.00021	0	0.011	0.0023	0	0.0023	0.011	0.011	0.08	0.0032	0.00033	0.0015	4	0.16
180	0.0012	0.0012	0	0	0.67	2e-05	0	0.0012	0.12	0	0.12	0.0011	0.0012	0.013	0.0011	2.7e-05	0.075	4	0.16
181	0.011	0.011	6.3e-06	0	0.81	0.0011	0	0.011	0.024	0	0.024	0.011	0.011	0.062	0.0025	0.00059	0.016	4	0.16
182	0.0044	0.0044	1.6e-06	0	0.71	0.00031	0	0.0044	0.087	0	0.087	0.0043	0.0044	0.031	0.0016	0.00019	0.056	4	0.16
183	0.094	0.094	0.00028	0	0.28	0.038	0	0.094	2.8e-05	0	2.8e-05	0.091	0.094	0.2	0.0028	0.011	1.8e-05	4	0.16
184	0.05	0.05	0.00025	0	0.57	0.02	0	0.05	0.0014	0	0.0014	0.049	0.05	0.15	0.0032	0.0052	0.00091	4	0.16
