SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0
129	0.072	1.2e-05	0.072	0.16	1.2e-05	2.1e-05	2.1e-05	0.19	0.0054	0.14	0.072	0.071	0.072	0.072	0.072	2.1e-05	7	0.071
130	0.099	0	0.099	0.02	0	0	0	0.17	0.0011	0.12	0.099	0.097	0.099	0.099	0.099	0	7	0.071
131	0.011	0	0.011	8.8e-05	0	0	0	0.82	0.1	0.0035	0.011	0.011	0.011	0.011	0.011	0	7	0.071
132	0.0097	0	0.0097	5.3e-05	0	0	0	0.83	0.1	0.0028	0.0097	0.0095	0.0097	0.0097	0.0097	0	7	0.071
133	8.7e-05	0	8.7e-05	0	0	0	0	0.56	0.44	2.4e-06	8.7e-05	8.5e-05	8.7e-05	8.7e-05	8.7e-05	0	7	0.071
134	0.046	0.00031	0.046	0.48	0.00031	0.00054	0.00054	0.038	0.00055	0.16	0.046	0.045	0.046	0.046	0.046	0.00054	3	0.16
135	0.00029	0.0036	0.00029	0.96	0.0036	0.0063	0.0063	0	0	0.013	0.00029	0.00028	0.00029	0.00029	0.00029	0.0063	3	0.16
136	0.00026	0.011	0.00026	0.91	0.011	0.018	0.018	0	0	0.01	0.00026	0.00026	0.00026	0.00026	0.00026	0.018	3	0.16
137	0.0027	0	0.0027	1.6e-05	0	0	0	0.69	0.29	0.00069	0.0027	0.0027	0.0027	0.0027	0.0027	0	7	0.071
138	0.066	0	0.066	0.28	0	1e-06	1e-06	0.0051	3.6e-06	0.25	0.066	0.065	0.066	0.066	0.066	1e-06	3	0.16
139	0.055	0.00012	0.055	0.19	0.00012	0.00021	0.00021	0.29	0.022	0.11	0.055	0.054	0.055	0.055	0.055	0.00021	7	0.071
140	0.075	1.4e-06	0.075	0.23	1.4e-06	2.4e-06	2.4e-06	0.019	4.4e-05	0.23	0.075	0.073	0.075	0.075	0.075	2.4e-06	3	0.16
141	0.058	6.4e-05	0.058	0.16	6.4e-05	0.00011	0.00011	0.3	0.02	0.11	0.058	0.057	0.058	0.058	0.058	0.00011	7	0.071
142	0.047	0	0.047	0.38	0	0	0	0.00028	0	0.3	0.047	0.045	0.047	0.047	0.047	0	3	0.16
143	0.058	0	0.058	0.26	0	0	0	0.00029	0	0.33	0.058	0.056	0.058	0.058	0.058	0	9	0.12
144	0.041	0.0014	0.041	0.5	0.0014	0.0025	0.0025	0.07	0.0025	0.13	0.041	0.04	0.041	0.041	0.041	0.0025	3	0.16
145	0.068	1.7e-06	0.068	0.28	1.7e-06	3e-06	3e-06	0.01	1.6e-05	0.23	0.068	0.066	0.068	0.068	0.068	3e-06	3	0.16
146	0.03	0.0005	0.03	0.64	0.0005	0.00088	0.00088	0.0088	5.5e-05	0.14	0.03	0.029	0.03	0.03	0.03	0.00088	3	0.16
147	0.061	1.2e-06	0.061	0.047	1.2e-06	2.1e-06	2.1e-06	0.42	0.023	0.082	0.061	0.06	0.061	0.061	0.061	2.1e-06	7	0.071
148	0.02	0	0.02	0.0018	0	0	0	0.74	0.11	0.013	0.02	0.019	0.02	0.02	0.02	0	7	0.071
149	0.0015	0.003	0.0015	0.94	0.003	0.0053	0.0053	4.4e-06	0	0.03	0.0015	0.0015	0.0015	0.0015	0.0015	0.0053	3	0.16
150	0.01	0.0017	0.01	0.83	0.0017	0.0029	0.0029	0.00062	1.1e-06	0.082	0.01	0.01	0.01	0.01	0.01	0.0029	3	0.16
151	0.0023	0	0.0023	0	0	0	0	0.88	0.1	0.00019	0.0023	0.0022	0.0023	0.0023	0.0023	0	7	0.071
152	0.0014	0	0.0014	0.93	0	1.4e-06	1.4e-06	0	0	0.064	0.0014	0.0014	0.0014	0.0014	0.0014	1.4e-06	3	0.16
153	0.088	0	0.088	0.12	0	0	0	0.0069	3.2e-06	0.26	0.088	0.086	0.088	0.088	0.088	0	9	0.12
154	0.045	0.0012	0.045	0.42	0.0012	0.002	0.002	0.13	0.0067	0.12	0.045	0.044	0.045	0.045	0.045	0.002	3	0.16
155	0.016	0.0045	0.016	0.76	0.0045	0.0079	0.0079	0.0049	4.4e-05	0.089	0.016	0.016	0.016	0.016	0.016	0.0079	3	0.16
156	0.037	3.3e-05	0.037	0.55	3.3e-05	5.7e-05	5.7e-05	0.0033	4.7e-06	0.19	0.037	0.036	0.037	0.037	0.037	5.7e-05	3	0.16
157	0.044	0.0011	0.044	0.47	0.0011	0.0019	0.0019	0.082	0.0031	0.13	0.044	0.043	0.044	0.044	0.044	0.0019	3	0.16
158	0.0026	7.2e-05	0.0026	0.92	7.2e-05	0.00013	0.00013	1.5e-06	0	0.057	0.0026	0.0025	0.0026	0.0026	0.0026	0.00013	3	0.16
159	0.024	0.0038	0.024	0.69	0.0038	0.0067	0.0067	0.035	0.0013	0.085	0.024	0.023	0.024	0.024	0.024	0.0067	3	0.16
160	0.075	0.0034	0.075	0.17	0.0034	0.006	0.006	0.14	0.0023	0.14	0.075	0.073	0.075	0.075	0.075	0.006	3	0.16
161	0	0.13	0	0.025	0.13	0.24	0.24	0	0	2.9e-06	0	0	0	0	0	0.24	5	0.24
162	0.015	0.014	0.015	2.1e-05	0.014	0.024	0.024	0.76	0.03	0.0034	0.015	0.015	0.015	0.015	0.015	0.024	7	0.071
163	0.0082	0.0093	0.0082	0.00061	0.0093	0.016	0.016	0.68	0.19	0.004	0.0082	0.008	0.0082	0.0082	0.0082	0.016	7	0.071
164	0.0088	0.017	0.0088	0	0.017	0.03	0.03	0.81	0.0055	0.00044	0.0088	0.0086	0.0088	0.0088	0.0088	0.03	7	0.071
165	0.031	0	0.031	0.37	0	0	0	0	0	0.41	0.031	0.03	0.031	0.031	0.031	0	9	0.12
166	3.1e-06	8.7e-06	3.1e-06	1	8.7e-06	1.5e-05	1.5e-05	0.00078	0.00071	0	3.1e-06	3e-06	3.1e-06	3.1e-06	3.1e-06	1.5e-05	3	0.16
167	0.0029	0.00026	0.0029	0.94	0.00026	0.00046	0.00046	1.3e-05	0	0.042	0.0029	0.0028	0.0029	0.0029	0.0029	0.00046	3	0.16
168	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0.16
169	0.054	0.0011	0.054	0.42	0.0011	0.002	0.002	0.04	0.00038	0.16	0.054	0.053	0.054	0.054	0.054	0.002	3	0.16
170	0.057	0.0057	0.057	0.16	0.0057	0.01	0.01	0.28	0.016	0.099	0.057	0.055	0.057	0.057	0.057	0.01	7	0.071
171	0.056	0	0.056	0.33	0	0	0	0.0013	0	0.28	0.056	0.055	0.056	0.056	0.056	0	3	0.16
172	0.034	1.1e-05	0.034	0.56	1.1e-05	1.9e-05	1.9e-05	0.0012	0	0.2	0.034	0.033	0.034	0.034	0.034	1.9e-05	3	0.16
173	6.1e-06	3.4e-05	6.1e-06	1	3.4e-05	6e-05	6e-05	0	0	0.0026	6.1e-06	6e-06	6.1e-06	6.1e-06	6.1e-06	6e-05	3	0.16
174	0.0042	0.012	0.0042	0.84	0.012	0.02	0.02	0.00022	0	0.043	0.0042	0.0041	0.0042	0.0042	0.0042	0.02	3	0.16
175	0.00054	0.0049	0.00054	0.94	0.0049	0.0085	0.0085	0	0	0.017	0.00054	0.00053	0.00054	0.00054	0.00054	0.0085	3	0.16
176	0.031	6.4e-05	0.031	0.61	6.4e-05	0.00011	0.00011	0.0027	4.2e-06	0.17	0.031	0.031	0.031	0.031	0.031	0.00011	3	0.16
177	0.066	4.8e-05	0.066	0.24	4.8e-05	8.4e-05	8.4e-05	0.14	0.0041	0.15	0.066	0.065	0.066	0.066	0.066	8.4e-05	3	0.16
178	0.0016	0.02	0.0016	0.82	0.02	0.034	0.034	2.6e-05	0	0.024	0.0016	0.0016	0.0016	0.0016	0.0016	0.034	3	0.16
179	0.0084	0.00083	0.0084	0.86	0.00083	0.0015	0.0015	0.00022	0	0.08	0.0084	0.0082	0.0084	0.0084	0.0084	0.0015	3	0.16
180	0.00085	0.043	0.00085	0.67	0.043	0.075	0.075	2.1e-05	0	0.013	0.00085	0.00083	0.00085	0.00085	0.00085	0.075	3	0.16
