SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
10	0.0029	4.2e-05	0.0014	0.49	4.2e-05	0.49	4.2e-05	4.2e-05	0.0014	0.0014	0.0014	4.2e-05	4.2e-05	0	4.2e-05	0.0052	0	4.2e-05	4.2e-05	4.2e-05	3	0.16
11	0.00037	0.029	0.00017	0.28	0.029	0.28	0.029	0.029	0.00017	0.00017	0.00017	0.029	0.029	6.3e-05	0.029	0.14	0.012	0.029	0.029	0.029	3	0.16
12	4.9e-06	0.039	2.3e-06	0.023	0.039	0.023	0.039	0.039	2.3e-06	2.3e-06	2.3e-06	0.039	0.039	0.035	0.039	0.061	0.47	0.039	0.039	0.039	16	0.071
13	0.055	0.00013	0.025	0.42	0.00013	0.42	0.00013	0.00013	0.025	0.025	0.025	0.00013	0.00013	0	0.00013	0.0065	0	0.00013	0.00013	0.00013	3	0.16
14	0.012	0.017	0.0054	0.35	0.017	0.35	0.017	0.017	0.0054	0.0054	0.0054	0.017	0.017	0.00034	0.017	0.087	0.017	0.017	0.017	0.017	3	0.16
15	0	0.049	0	0.12	0.048	0.12	0.049	0.049	0	0	0	0.049	0.049	0	0.049	0.28	0.00069	0.049	0.049	0.049	15	0.12
16	2e-05	0.053	9.4e-06	0.067	0.052	0.067	0.053	0.053	9.4e-06	9.4e-06	9.4e-06	0.053	0.053	0.0066	0.053	0.12	0.21	0.053	0.053	0.053	16	0.071
17	1.5e-06	0.0077	0	0.39	0.0076	0.39	0.0077	0.0077	0	0	0	0.0077	0.0077	0	0.0077	0.15	3.6e-06	0.0077	0.0077	0.0077	3	0.16
18	0	0.0038	0	1.8e-05	0.0038	1.8e-05	0.0038	0.0038	0	0	0	0.0038	0.0038	0.2	0.0038	0.0013	0.77	0.0038	0.0038	0.0038	16	0.071
19	0.00016	0.044	7.4e-05	0.091	0.044	0.091	0.044	0.044	7.4e-05	7.4e-05	7.4e-05	0.044	0.044	0.015	0.044	0.1	0.26	0.044	0.044	0.044	16	0.071
20	0.0031	0.011	0.0015	0.4	0.011	0.4	0.011	0.011	0.0015	0.0015	0.0015	0.011	0.011	4.7e-06	0.011	0.085	0.0016	0.011	0.011	0.011	3	0.16
21	0.00014	0.048	6.3e-05	0.11	0.047	0.11	0.048	0.048	6.3e-05	6.3e-05	6.3e-05	0.048	0.048	0.0057	0.048	0.12	0.17	0.048	0.048	0.048	16	0.071
22	0.00016	0.046	7.5e-05	0.11	0.046	0.11	0.046	0.046	7.5e-05	7.5e-05	7.5e-05	0.046	0.046	0.0076	0.046	0.12	0.19	0.046	0.046	0.046	16	0.071
23	0	0.022	0	0.00012	0.022	0.00012	0.022	0.022	0	0	0	0.022	0.022	0.028	0.022	0.0096	0.74	0.022	0.022	0.022	16	0.071
24	0.00017	0.044	7.7e-05	0.18	0.043	0.18	0.044	0.044	7.7e-05	7.7e-05	7.7e-05	0.044	0.044	0.00069	0.044	0.15	0.053	0.044	0.044	0.044	3	0.16
25	0	0.0048	0	5e-06	0.0048	5e-06	0.0048	0.0048	0	0	0	0.0048	0.0048	0.1	0.0048	0.0011	0.85	0.0048	0.0048	0.0048	16	0.071
26	0.00034	0.042	0.00016	0.11	0.041	0.11	0.042	0.042	0.00016	0.00016	0.00016	0.042	0.042	0.015	0.042	0.1	0.24	0.042	0.042	0.042	16	0.071
27	0.0023	0.004	0.0011	0.45	0.0039	0.45	0.004	0.004	0.0011	0.0011	0.0011	0.004	0.004	0	0.004	0.055	6.6e-05	0.004	0.004	0.004	3	0.16
28	9e-05	0.0029	4.2e-05	0.45	0.0028	0.45	0.0029	0.0029	4.2e-05	4.2e-05	4.2e-05	0.0029	0.0029	0	0.0029	0.064	3.1e-06	0.0029	0.0029	0.0029	3	0.16
29	0.0013	0.034	0.00061	0.24	0.034	0.24	0.034	0.034	0.00061	0.00061	0.00061	0.034	0.034	0.0015	0.034	0.13	0.059	0.034	0.034	0.034	3	0.16
30	0	0.03	0	0.00098	0.03	0.00098	0.03	0.03	0	0	0	0.03	0.03	0.029	0.03	0.022	0.65	0.03	0.03	0.03	16	0.071
31	0	0.0035	0	1.2e-05	0.0034	1.2e-05	0.0035	0.0035	0	0	0	0.0035	0.0035	0.19	0.0035	0.001	0.77	0.0035	0.0035	0.0035	16	0.071
32	0	0.063	0	0.035	0.062	0.035	0.063	0.063	0	0	0	0.063	0.063	0.0029	0.063	0.12	0.18	0.063	0.063	0.063	16	0.071
33	3.8e-05	0.048	1.7e-05	0.063	0.047	0.063	0.048	0.048	1.7e-05	1.7e-05	1.7e-05	0.048	0.048	0.014	0.048	0.099	0.28	0.048	0.048	0.048	16	0.071
34	2.9e-05	0.053	1.4e-05	0.12	0.053	0.12	0.053	0.053	1.4e-05	1.4e-05	1.4e-05	0.053	0.053	0.00085	0.053	0.16	0.073	0.053	0.053	0.053	15	0.12
35	1.6e-06	0.064	0	0.052	0.063	0.052	0.064	0.064	0	0	0	0.064	0.064	0.0011	0.064	0.14	0.11	0.064	0.064	0.064	15	0.12
36	2.7e-05	0.054	1.3e-05	0.12	0.053	0.12	0.054	0.054	1.3e-05	1.3e-05	1.3e-05	0.054	0.054	0.00088	0.054	0.16	0.074	0.054	0.054	0.054	15	0.12
37	0	0.02	0	0.0017	0.019	0.0017	0.02	0.02	0	0	0	0.02	0.02	0.083	0.02	0.017	0.7	0.02	0.02	0.02	16	0.071
38	0	0.065	0	0.068	0.064	0.068	0.065	0.065	0	0	0	0.065	0.065	6e-05	0.065	0.19	0.027	0.065	0.065	0.065	15	0.12
39	0	0.063	0	0.0059	0.062	0.0059	0.063	0.063	0	0	0	0.063	0.063	0.0036	0.063	0.073	0.29	0.063	0.063	0.063	16	0.071
40	0	0.056	0	0.1	0.055	0.1	0.056	0.056	0	0	0	0.056	0.056	2.7e-06	0.056	0.23	0.005	0.056	0.056	0.056	15	0.12
41	0.045	0.00084	0.021	0.42	0.00083	0.42	0.00084	0.00084	0.021	0.021	0.021	0.00084	0.00084	0	0.00084	0.018	9.3e-06	0.00084	0.00084	0.00084	3	0.16
42	0.037	0.0087	0.017	0.37	0.0086	0.37	0.0087	0.0087	0.017	0.017	0.017	0.0087	0.0087	8.5e-05	0.0087	0.057	0.0053	0.0087	0.0087	0.0087	3	0.16
43	0.0059	0.016	0.0027	0.36	0.016	0.36	0.016	0.016	0.0027	0.0027	0.0027	0.016	0.016	9.2e-05	0.016	0.093	0.0087	0.016	0.016	0.016	3	0.16
44	0	0.052	0	0.00013	0.051	0.00013	0.052	0.052	0	0	0	0.052	0.052	0.0027	0.052	0.024	0.45	0.052	0.052	0.052	16	0.071
45	0.0099	0.021	0.0046	0.31	0.021	0.31	0.021	0.021	0.0046	0.0046	0.0046	0.021	0.021	0.0011	0.021	0.095	0.035	0.021	0.021	0.021	3	0.16
46	0.0023	0.031	0.0011	0.26	0.03	0.26	0.031	0.031	0.0011	0.0011	0.0011	0.031	0.031	0.0015	0.031	0.12	0.054	0.031	0.031	0.031	3	0.16
47	0.28	0	0.13	0.095	0	0.095	0	0	0.13	0.13	0.13	0	0	0	0	0.00016	0	0	0	0	0	0.24
48	0.014	0.00018	0.0065	0.47	0.00017	0.47	0.00018	0.00018	0.0065	0.0065	0.0065	0.00018	0.00018	0	0.00018	0.0093	0	0.00018	0.00018	0.00018	3	0.16
49	0.01	0.026	0.0049	0.26	0.026	0.26	0.026	0.026	0.0049	0.0049	0.0049	0.026	0.026	0.0063	0.026	0.093	0.096	0.026	0.026	0.026	3	0.16
50	4.5e-06	0.054	2.1e-06	0.04	0.054	0.04	0.054	0.054	2.1e-06	2.1e-06	2.1e-06	0.054	0.054	0.0084	0.054	0.1	0.27	0.054	0.054	0.054	16	0.071
51	0.0077	0.013	0.0036	0.38	0.013	0.38	0.013	0.013	0.0036	0.0036	0.0036	0.013	0.013	4.1e-05	0.013	0.083	0.005	0.013	0.013	0.013	3	0.16
52	0.0034	0.00016	0.0016	0.49	0.00015	0.49	0.00016	0.00016	0.0016	0.0016	0.0016	0.00016	0.00016	0	0.00016	0.01	0	0.00016	0.00016	0.00016	3	0.16
53	0	0.069	0	0.051	0.068	0.051	0.069	0.069	0	0	0	0.069	0.069	2e-05	0.069	0.2	0.017	0.069	0.069	0.069	15	0.12
54	0.0053	0.0007	0.0025	0.48	0.00069	0.48	0.0007	0.0007	0.0025	0.0025	0.0025	0.0007	0.0007	0	0.0007	0.021	1e-06	0.0007	0.0007	0.0007	3	0.16
55	0	0.069	0	0.011	0.068	0.011	0.069	0.069	0	0	0	0.069	0.069	0.0018	0.069	0.096	0.19	0.069	0.069	0.069	16	0.071
56	0.0047	0.00066	0.0022	0.48	0.00065	0.48	0.00066	0.00066	0.0022	0.0022	0.0022	0.00066	0.00066	0	0.00066	0.021	0	0.00066	0.00066	0.00066	3	0.16
57	4.5e-05	0.049	2.1e-05	0.15	0.049	0.15	0.049	0.049	2.1e-05	2.1e-05	2.1e-05	0.049	0.049	0.00044	0.049	0.16	0.048	0.049	0.049	0.049	15	0.12
58	0.0077	0.023	0.0036	0.3	0.023	0.3	0.023	0.023	0.0036	0.0036	0.0036	0.023	0.023	0.0014	0.023	0.1	0.042	0.023	0.023	0.023	3	0.16
59	2.1e-06	0.055	0	0.033	0.055	0.033	0.055	0.055	0	0	0	0.055	0.055	0.0079	0.055	0.098	0.27	0.055	0.055	0.055	16	0.071
60	0.01	0.024	0.0047	0.29	0.024	0.29	0.024	0.024	0.0047	0.0047	0.0047	0.024	0.024	0.0027	0.024	0.096	0.06	0.024	0.024	0.024	3	0.16
61	0	0.015	0	0.00041	0.015	0.00041	0.015	0.015	0	0	0	0.015	0.015	0.081	0.015	0.0094	0.76	0.015	0.015	0.015	16	0.071
62	0.0024	2.8e-05	0.0011	0.49	2.7e-05	0.49	2.8e-05	2.8e-05	0.0011	0.0011	0.0011	2.8e-05	2.8e-05	0	2.8e-05	0.0043	0	2.8e-05	2.8e-05	2.8e-05	3	0.16
63	0.0011	0.0055	0.0005	0.44	0.0055	0.44	0.0055	0.0055	0.0005	0.0005	0.0005	0.0055	0.0055	0	0.0055	0.07	0.0001	0.0055	0.0055	0.0055	3	0.16
64	0	0.066	0	0.013	0.065	0.013	0.066	0.066	0	0	0	0.066	0.066	0.0025	0.066	0.096	0.22	0.066	0.066	0.066	16	0.071
65	0.055	7.5e-05	0.025	0.42	7.4e-05	0.42	7.5e-05	7.5e-05	0.025	0.025	0.025	7.5e-05	7.5e-05	0	7.5e-05	0.0048	0	7.5e-05	7.5e-05	7.5e-05	3	0.16
66	6.5e-05	0.023	3e-05	0.3	0.023	0.3	0.023	0.023	3e-05	3e-05	3e-05	0.023	0.023	1.4e-06	0.023	0.16	0.0016	0.023	0.023	0.023	3	0.16
67	0	0.081	0	0.0063	0.08	0.0063	0.081	0.081	0	0	0	0.081	0.081	0	0.081	0.17	0.0046	0.081	0.081	0.081	15	0.12
68	0.0058	0.00022	0.0027	0.48	0.00021	0.48	0.00022	0.00022	0.0027	0.0027	0.0027	0.00022	0.00022	0	0.00022	0.011	0	0.00022	0.00022	0.00022	3	0.16
69	0.15	1.3e-05	0.07	0.28	1.3e-05	0.28	1.3e-05	1.3e-05	0.07	0.07	0.07	1.3e-05	1.3e-05	0	1.3e-05	0.0014	0	1.3e-05	1.3e-05	1.3e-05	3	0.16
70	0	0.048	0	0.069	0.047	0.069	0.048	0.048	0	0	0	0.048	0.048	0	0.048	0.38	2.7e-05	0.048	0.048	0.048	15	0.12
71	0.059	0.00019	0.028	0.41	0.00018	0.41	0.00019	0.00019	0.028	0.028	0.028	0.00019	0.00019	0	0.00019	0.0076	0	0.00019	0.00019	0.00019	3	0.16
72	0.015	0.00051	0.007	0.47	0.0005	0.47	0.00051	0.00051	0.007	0.007	0.007	0.00051	0.00051	0	0.00051	0.016	0	0.00051	0.00051	0.00051	3	0.16
73	0	0.0093	0	5.4e-05	0.0092	5.4e-05	0.0093	0.0093	0	0	0	0.0093	0.0093	0.089	0.0093	0.0037	0.81	0.0093	0.0093	0.0093	16	0.071
74	0	0.035	0	0.011	0.035	0.011	0.035	0.035	0	0	0	0.035	0.035	0.042	0.035	0.046	0.54	0.035	0.035	0.035	16	0.071
75	0	0.009	0	0.00085	0.0089	0.00085	0.009	0.009	0	0	0	0.009	0.009	0.2	0.009	0.007	0.7	0.009	0.009	0.009	16	0.071
76	0	0.0011	0	0	0.0011	0	0.0011	0.0011	0	0	0	0.0011	0.0011	0.24	0.0011	0.00016	0.75	0.0011	0.0011	0.0011	16	0.071
77	0	0.016	0	0.00034	0.015	0.00034	0.016	0.016	0	0	0	0.016	0.016	0.074	0.016	0.0092	0.76	0.016	0.016	0.016	16	0.071
78	0	0.045	0	0.0054	0.045	0.0054	0.045	0.045	0	0	0	0.045	0.045	0.017	0.045	0.049	0.47	0.045	0.045	0.045	16	0.071
79	0.0042	0.017	0.0019	0.35	0.017	0.35	0.017	0.017	0.0019	0.0019	0.0019	0.017	0.017	7.9e-05	0.017	0.099	0.0085	0.017	0.017	0.017	3	0.16
80	0.00028	0.0032	0.00013	0.45	0.0031	0.45	0.0032	0.0032	0.00013	0.00013	0.00013	0.0032	0.0032	0	0.0032	0.06	8.3e-06	0.0032	0.0032	0.0032	3	0.16
81	0	0.065	0	0.0014	0.064	0.0014	0.065	0.065	0	0	0	0.065	0.065	0.002	0.065	0.053	0.29	0.065	0.065	0.065	16	0.071
82	0.03	0.006	0.014	1.4e-05	0.0059	1.4e-05	0.006	0.006	0.014	0.014	0.014	0.006	0.006	0.078	0.006	0.0016	0.77	0.006	0.006	0.006	16	0.071
83	0.011	0.00018	0.0053	0.48	0.00017	0.48	0.00018	0.00018	0.0053	0.0053	0.0053	0.00018	0.00018	0	0.00018	0.0075	0	0.00018	0.00018	0.00018	3	0.16
84	0.022	0.048	0.01	0.0053	0.048	0.0053	0.048	0.048	0.01	0.01	0.01	0.048	0.048	0.0084	0.048	0.049	0.39	0.048	0.048	0.048	16	0.071
85	0.026	0.027	0.012	0.0062	0.027	0.0062	0.027	0.027	0.012	0.012	0.012	0.027	0.027	0.047	0.027	0.029	0.57	0.027	0.027	0.027	16	0.071
86	0.0022	0.026	0.001	0.3	0.026	0.3	0.026	0.026	0.001	0.001	0.001	0.026	0.026	0.0003	0.026	0.11	0.024	0.026	0.026	0.026	3	0.16
87	0.0004	0.053	0.00019	0.12	0.053	0.12	0.053	0.053	0.00019	0.00019	0.00019	0.053	0.053	0	0.053	0.22	0.0031	0.053	0.053	0.053	15	0.12
88	0	0.069	0	0.04	0.069	0.04	0.069	0.069	0	0	0	0.069	0.069	0.00038	0.069	0.15	0.074	0.069	0.069	0.069	15	0.12
89	0	0.071	0	0.037	0.07	0.037	0.071	0.071	0	0	0	0.071	0.071	3.6e-06	0.071	0.21	0.0085	0.071	0.071	0.071	15	0.12
90	2.7e-06	0.056	1.2e-06	0.036	0.055	0.036	0.056	0.056	1.2e-06	1.2e-06	1.2e-06	0.056	0.056	0.0073	0.056	0.1	0.26	0.056	0.056	0.056	16	0.071
91	0	0.0036	0	3.1e-06	0.0036	3.1e-06	0.0036	0.0036	0	0	0	0.0036	0.0036	0.12	0.0036	0.00078	0.84	0.0036	0.0036	0.0036	16	0.071
92	0.0048	0.013	0.0022	0.38	0.013	0.38	0.013	0.013	0.0022	0.0022	0.0022	0.013	0.013	2.5e-05	0.013	0.089	0.004	0.013	0.013	0.013	3	0.16
93	0.2	0.00012	0.091	0.22	0.00011	0.22	0.00012	0.00012	0.091	0.091	0.091	0.00012	0.00012	0	0.00012	0.0037	0	0.00012	0.00012	0.00012	3	0.16
94	2e-05	0.019	9.1e-06	0.32	0.019	0.32	0.019	0.019	9.1e-06	9.1e-06	9.1e-06	0.019	0.019	0	0.019	0.17	0.00035	0.019	0.019	0.019	3	0.16
95	0.0016	0.0079	0.00076	0.42	0.0078	0.42	0.0079	0.0079	0.00076	0.00076	0.00076	0.0079	0.0079	0	0.0079	0.079	0.00038	0.0079	0.0079	0.0079	3	0.16
96	4.5e-05	0.043	2.1e-05	0.19	0.042	0.19	0.043	0.043	2.1e-05	2.1e-05	2.1e-05	0.043	0.043	7.9e-05	0.043	0.17	0.018	0.043	0.043	0.043	3	0.16
97	0	0.075	0	0.02	0.074	0.02	0.075	0.075	0	0	0	0.075	0.075	0.00026	0.075	0.14	0.073	0.075	0.075	0.075	15	0.12
98	0.019	0.0021	0.009	0.45	0.0021	0.45	0.0021	0.0021	0.009	0.009	0.009	0.0021	0.0021	0	0.0021	0.03	8.6e-05	0.0021	0.0021	0.0021	3	0.16
99	0.0022	0.018	0.001	0.35	0.018	0.35	0.018	0.018	0.001	0.001	0.001	0.018	0.018	6.8e-05	0.018	0.1	0.0083	0.018	0.018	0.018	3	0.16
100	0.018	0.014	0.0082	0.36	0.014	0.36	0.014	0.014	0.0082	0.0082	0.0082	0.014	0.014	0.00022	0.014	0.077	0.012	0.014	0.014	0.014	3	0.16
101	0	0.058	0	0.025	0.057	0.025	0.058	0.058	0	0	0	0.058	0.058	0.0061	0.058	0.097	0.26	0.058	0.058	0.058	16	0.071
102	0	0.078	0	0.016	0.077	0.016	0.078	0.078	0	0	0	0.078	0.078	7.9e-05	0.078	0.15	0.045	0.078	0.078	0.078	15	0.12
103	1.7e-05	0.038	7.7e-06	0.21	0.037	0.21	0.038	0.038	7.7e-06	7.7e-06	7.7e-06	0.038	0.038	6.8e-06	0.038	0.19	0.0052	0.038	0.038	0.038	3	0.16
104	0.019	0.00038	0.0087	0.46	0.00037	0.46	0.00038	0.00038	0.0087	0.0087	0.0087	0.00038	0.00038	0	0.00038	0.013	0	0.00038	0.00038	0.00038	3	0.16
105	0.0011	0.016	0.00053	0.36	0.016	0.36	0.016	0.016	0.00053	0.00053	0.00053	0.016	0.016	8.3e-06	0.016	0.11	0.0028	0.016	0.016	0.016	3	0.16
106	0.002	0.0009	0.00093	0.48	0.00088	0.48	0.0009	0.0009	0.00093	0.00093	0.00093	0.0009	0.0009	0	0.0009	0.026	1e-06	0.0009	0.0009	0.0009	3	0.16
107	6.2e-05	0.024	2.9e-05	0.3	0.024	0.3	0.024	0.024	2.9e-05	2.9e-05	2.9e-05	0.024	0.024	1.5e-06	0.024	0.16	0.0017	0.024	0.024	0.024	3	0.16
108	0	0.073	0	0.001	0.072	0.001	0.073	0.073	0	0	0	0.073	0.073	0.00074	0.073	0.057	0.21	0.073	0.073	0.073	16	0.071
109	0.0012	0.0067	0.00055	0.43	0.0066	0.43	0.0067	0.0067	0.00055	0.00055	0.00055	0.0067	0.0067	0	0.0067	0.075	0.00019	0.0067	0.0067	0.0067	3	0.16
110	2e-06	0.063	0	0.073	0.062	0.073	0.063	0.063	0	0	0	0.063	0.063	0.00032	0.063	0.17	0.056	0.063	0.063	0.063	15	0.12
111	0	0.066	0	0.0051	0.065	0.0051	0.066	0.066	0	0	0	0.066	0.066	0.0025	0.066	0.074	0.26	0.066	0.066	0.066	16	0.071
112	0	0.019	0	0.00025	0.019	0.00025	0.019	0.019	0	0	0	0.019	0.019	0.046	0.019	0.01	0.75	0.019	0.019	0.019	16	0.071
113	0	0.025	0	0.00028	0.025	0.00028	0.025	0.025	0	0	0	0.025	0.025	0.028	0.025	0.014	0.71	0.025	0.025	0.025	16	0.071
114	0.011	0.0036	0.0052	0.44	0.0036	0.44	0.0036	0.0036	0.0052	0.0052	0.0052	0.0036	0.0036	0	0.0036	0.045	0.00016	0.0036	0.0036	0.0036	3	0.16
115	0	0.064	0	0.034	0.063	0.034	0.064	0.064	0	0	0	0.064	0.064	0.0023	0.064	0.12	0.17	0.064	0.064	0.064	16	0.071
116	0	0.012	0	3.4e-05	0.012	3.4e-05	0.012	0.012	0	0	0	0.012	0.012	0.051	0.012	0.0041	0.82	0.012	0.012	0.012	16	0.071
117	0	0.051	0	0.0073	0.05	0.0073	0.051	0.051	0	0	0	0.051	0.051	0.012	0.051	0.06	0.41	0.051	0.051	0.051	16	0.071
118	0.0015	0.03	0.00068	0.27	0.029	0.27	0.03	0.03	0.00068	0.00068	0.00068	0.03	0.03	0.00054	0.03	0.12	0.033	0.03	0.03	0.03	3	0.16
119	0	0.039	0	0.01	0.039	0.01	0.039	0.039	0	0	0	0.039	0.039	0.03	0.039	0.05	0.51	0.039	0.039	0.039	16	0.071
120	0	0.011	0	0.00012	0.011	0.00012	0.011	0.011	0	0	0	0.011	0.011	0.095	0.011	0.005	0.79	0.011	0.011	0.011	16	0.071
121	2.4e-06	0.041	1.1e-06	0.18	0.04	0.18	0.041	0.041	1.1e-06	1.1e-06	1.1e-06	0.041	0.041	1.1e-06	0.041	0.22	0.0024	0.041	0.041	0.041	15	0.12
122	4.8e-05	0.0042	2.3e-05	0.44	0.0041	0.44	0.0042	0.0042	2.3e-05	2.3e-05	2.3e-05	0.0042	0.0042	0	0.0042	0.081	5.7e-06	0.0042	0.0042	0.0042	3	0.16
123	0.00071	0.036	0.00033	0.23	0.036	0.23	0.036	0.036	0.00033	0.00033	0.00033	0.036	0.036	0.00094	0.036	0.13	0.051	0.036	0.036	0.036	3	0.16
124	0	0.083	0	0.0028	0.082	0.0028	0.083	0.083	0	0	0	0.083	0.083	0	0.083	0.16	0.0017	0.083	0.083	0.083	15	0.12
125	1.2e-06	0.027	0	0.0085	0.026	0.0085	0.027	0.027	0	0	0	0.027	0.027	0.075	0.027	0.033	0.61	0.027	0.027	0.027	16	0.071
126	0	0.012	0	1.9e-06	0.012	1.9e-06	0.012	0.012	0	0	0	0.012	0.012	0.017	0.012	0.0021	0.86	0.012	0.012	0.012	16	0.071
127	2.3e-05	0.0039	1.1e-05	0.44	0.0039	0.44	0.0039	0.0039	1.1e-05	1.1e-05	1.1e-05	0.0039	0.0039	0	0.0039	0.085	3e-06	0.0039	0.0039	0.0039	3	0.16
128	0	0.00018	0	0	0.00017	0	0.00018	0.00018	0	0	0	0.00018	0.00018	0.31	0.00018	7.8e-06	0.69	0.00018	0.00018	0.00018	16	0.071
129	3.1e-05	0.053	1.4e-05	0.079	0.052	0.079	0.053	0.053	1.4e-05	1.4e-05	1.4e-05	0.053	0.053	0.0055	0.053	0.12	0.19	0.053	0.053	0.053	16	0.071
130	0	0.071	0	0.0099	0.07	0.0099	0.071	0.071	0	0	0	0.071	0.071	0.0012	0.071	0.1	0.17	0.071	0.071	0.071	16	0.071
131	0	0.0079	0	4.4e-05	0.0078	4.4e-05	0.0079	0.0079	0	0	0	0.0079	0.0079	0.1	0.0079	0.003	0.81	0.0079	0.0079	0.0079	16	0.071
132	0	0.0071	0	2.7e-05	0.0071	2.7e-05	0.0071	0.0071	0	0	0	0.0071	0.0071	0.1	0.0071	0.0024	0.82	0.0071	0.0071	0.0071	16	0.071
133	0	6.3e-05	0	0	6.2e-05	0	6.3e-05	6.3e-05	0	0	0	6.3e-05	6.3e-05	0.45	6.3e-05	2.1e-06	0.55	6.3e-05	6.3e-05	6.3e-05	16	0.071
134	0.00078	0.034	0.00036	0.24	0.033	0.24	0.034	0.034	0.00036	0.00036	0.00036	0.034	0.034	0.00057	0.034	0.13	0.037	0.034	0.034	0.034	3	0.16
135	0.009	0.00021	0.0042	0.48	0.00021	0.48	0.00021	0.00021	0.0042	0.0042	0.0042	0.00021	0.00021	0	0.00021	0.011	0	0.00021	0.00021	0.00021	3	0.16
136	0.026	0.00019	0.012	0.46	0.00019	0.46	0.00019	0.00019	0.012	0.012	0.012	0.00019	0.00019	0	0.00019	0.0089	0	0.00019	0.00019	0.00019	3	0.16
137	0	0.002	0	8.1e-06	0.002	8.1e-06	0.002	0.002	0	0	0	0.002	0.002	0.29	0.002	0.0006	0.68	0.002	0.002	0.002	16	0.071
138	1.5e-06	0.049	0	0.14	0.048	0.14	0.049	0.049	0	0	0	0.049	0.049	3.8e-06	0.049	0.22	0.0051	0.049	0.049	0.049	15	0.12
139	0.0003	0.04	0.00014	0.095	0.04	0.095	0.04	0.04	0.00014	0.00014	0.00014	0.04	0.04	0.022	0.04	0.094	0.29	0.04	0.04	0.04	16	0.071
140	3.5e-06	0.055	1.6e-06	0.12	0.054	0.12	0.055	0.055	1.6e-06	1.6e-06	1.6e-06	0.055	0.055	4.6e-05	0.055	0.19	0.019	0.055	0.055	0.055	15	0.12
141	0.00016	0.042	7.4e-05	0.082	0.042	0.082	0.042	0.042	7.4e-05	7.4e-05	7.4e-05	0.042	0.042	0.021	0.042	0.094	0.3	0.042	0.042	0.042	16	0.071
142	0	0.035	0	0.19	0.034	0.19	0.035	0.035	0	0	0	0.035	0.035	0	0.035	0.26	0.00028	0.035	0.035	0.035	15	0.12
143	0	0.043	0	0.14	0.043	0.14	0.043	0.043	0	0	0	0.043	0.043	0	0.043	0.29	0.00029	0.043	0.043	0.043	15	0.12
144	0.0036	0.03	0.0017	0.26	0.029	0.26	0.03	0.03	0.0017	0.0017	0.0017	0.03	0.03	0.0025	0.03	0.11	0.069	0.03	0.03	0.03	3	0.16
145	4.3e-06	0.05	2e-06	0.15	0.049	0.15	0.05	0.05	2e-06	2e-06	2e-06	0.05	0.05	1.7e-05	0.05	0.2	0.01	0.05	0.05	0.05	15	0.12
146	0.0013	0.022	0.00059	0.32	0.022	0.32	0.022	0.022	0.00059	0.00059	0.00059	0.022	0.022	5.6e-05	0.022	0.12	0.0088	0.022	0.022	0.022	3	0.16
