SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0
65	0.00054	0.076	0	0.089	0	1.2e-06	0.0091	0.83	7	0.16
66	0.16	8.5e-05	1.4e-06	0.0001	0.0015	0.0047	0.28	0.56	7	0.16
67	0.62	0	0	0	0.0048	0.029	0.33	0.013	0	0.11
68	0.0016	0.0081	0	0.0095	0	3.8e-06	0.022	0.96	7	0.16
69	9e-05	0.21	0	0.24	0	0	0.0025	0.55	7	0.16
70	0.29	0	0	0	2.2e-05	0.002	0.6	0.11	6	0.12
71	0.0013	0.082	0	0.096	0	5.8e-06	0.014	0.81	7	0.16
72	0.0037	0.021	0	0.025	0	2e-05	0.03	0.92	7	0.16
73	0.066	0	0.092	0	0.78	0.052	0.0067	0.0001	4	0.071
74	0.25	1.1e-06	0.044	1.3e-06	0.52	0.072	0.086	0.022	4	0.071
75	0.063	0	0.21	0	0.67	0.036	0.013	0.0016	4	0.071
76	0.0078	0	0.25	0	0.72	0.017	0.0003	0	4	0.071
77	0.11	0	0.077	0	0.73	0.062	0.017	0.00066	4	0.071
78	0.32	0	0.018	0	0.47	0.09	0.092	0.011	4	0.071
79	0.12	0.0056	8.1e-05	0.0066	0.0082	0.0069	0.18	0.67	7	0.16
80	0.022	0.00037	0	0.00044	8e-06	0.00017	0.11	0.87	7	0.16
81	0.48	0	0.0022	0	0.3	0.12	0.1	0.0027	0	0.11
82	0.042	0.041	0.081	0.048	0.74	0.043	0.003	2.7e-05	4	0.071
83	0.0013	0.016	0	0.019	0	4.6e-06	0.014	0.95	7	0.16
84	0.35	0.03	0.0089	0.036	0.38	0.092	0.091	0.01	4	0.071
85	0.19	0.035	0.049	0.041	0.55	0.066	0.053	0.012	4	0.071
86	0.18	0.003	0.00031	0.0035	0.023	0.014	0.2	0.58	7	0.16
87	0.36	0.00052	0	0.00061	0.0029	0.013	0.4	0.22	6	0.12
88	0.5	0	0.00041	0	0.074	0.054	0.29	0.079	0	0.11
89	0.51	0	3.8e-06	0	0.0083	0.025	0.39	0.071	0	0.11
90	0.4	3.7e-06	0.0078	4.3e-06	0.26	0.071	0.19	0.071	0	0.11
91	0.026	0	0.13	0	0.81	0.034	0.0014	5.8e-06	4	0.071
92	0.094	0.0064	2.5e-05	0.0075	0.0039	0.0044	0.16	0.72	7	0.16
93	0.00082	0.27	0	0.31	0	6.2e-06	0.0067	0.42	7	0.16
94	0.13	2.5e-05	0	2.9e-05	0.00032	0.0023	0.29	0.58	7	0.16
95	0.055	0.0022	0	0.0026	0.00037	0.0013	0.14	0.8	7	0.16
96	0.3	6e-05	8e-05	7e-05	0.017	0.019	0.31	0.36	7	0.16
97	0.55	0	0.00028	0	0.075	0.062	0.27	0.041	0	0.11
98	0.015	0.027	0	0.031	8.4e-05	0.00029	0.056	0.87	7	0.16
99	0.13	0.0029	6.9e-05	0.0034	0.0079	0.0071	0.19	0.66	7	0.16
100	0.096	0.024	0.00022	0.028	0.011	0.0065	0.14	0.69	7	0.16
101	0.42	0	0.0066	1.1e-06	0.26	0.077	0.18	0.05	0	0.11
102	0.58	0	8.7e-05	0	0.047	0.056	0.28	0.032	0	0.11
103	0.26	2.2e-05	6.8e-06	2.5e-05	0.0048	0.011	0.34	0.39	7	0.16
104	0.0027	0.026	0	0.03	0	1.3e-05	0.025	0.92	7	0.16
105	0.11	0.0015	8.4e-06	0.0018	0.0026	0.0044	0.2	0.68	7	0.16
106	0.0064	0.0028	0	0.0032	0	3.1e-05	0.05	0.94	7	0.16
107	0.16	8.1e-05	1.5e-06	9.4e-05	0.0015	0.0049	0.28	0.55	7	0.16
108	0.55	0	0.00083	0	0.22	0.12	0.11	0.0021	0	0.11
109	0.047	0.0016	0	0.0019	0.00018	0.00087	0.14	0.81	7	0.16
110	0.45	2.7e-06	0.00033	3.2e-06	0.055	0.042	0.31	0.14	0	0.11
111	0.48	0	0.0027	0	0.26	0.099	0.14	0.01	0	0.11
112	0.14	0	0.048	0	0.72	0.074	0.019	0.00048	4	0.071
113	0.18	0	0.029	0	0.68	0.088	0.025	0.00054	4	0.071
114	0.026	0.015	0	0.018	0.00015	0.00052	0.083	0.86	7	0.16
115	0.47	0	0.0025	1.1e-06	0.17	0.069	0.23	0.067	0	0.11
116	0.084	0	0.053	0	0.79	0.065	0.0075	6.5e-05	4	0.071
117	0.36	0	0.012	0	0.41	0.091	0.11	0.014	4	0.071
118	0.21	0.002	0.00056	0.0023	0.032	0.017	0.23	0.51	7	0.16
119	0.28	0	0.032	0	0.5	0.078	0.093	0.02	4	0.071
120	0.075	0	0.099	0	0.76	0.052	0.0092	0.00023	4	0.071
121	0.27	3.1e-06	1.1e-06	3.7e-06	0.0022	0.0085	0.38	0.33	6	0.12
122	0.029	6.4e-05	0	7.5e-05	5.4e-06	0.00018	0.15	0.82	7	0.16
123	0.25	0.00096	0.00097	0.0011	0.049	0.023	0.24	0.43	7	0.16
124	0.64	0	0	0	0.0018	0.022	0.33	0.0059	0	0.11
125	0.19	1.6e-06	0.079	1.9e-06	0.59	0.063	0.06	0.016	4	0.071
126	0.083	0	0.018	0	0.81	0.087	0.0038	3.6e-06	4	0.071
127	0.027	3e-05	0	3.5e-05	2.8e-06	0.00013	0.15	0.82	7	0.16
128	0.0012	0	0.33	0	0.66	0.0073	1.4e-05	0	4	0.071
129	0.38	4.2e-05	0.0058	4.9e-05	0.18	0.056	0.23	0.15	0	0.11
130	0.53	0	0.0013	0	0.17	0.085	0.19	0.02	0	0.11
131	0.056	0	0.11	0	0.78	0.046	0.0055	8.5e-05	4	0.071
132	0.05	0	0.11	0	0.79	0.045	0.0045	5.2e-05	4	0.071
133	0.00044	0	0.46	0	0.53	0.0038	3.8e-06	0	4	0.071
134	0.23	0.001	0.00058	0.0012	0.036	0.02	0.24	0.46	7	0.16
135	0.0015	0.013	0	0.015	0	4e-06	0.02	0.95	7	0.16
136	0.0014	0.037	0	0.043	0	4.5e-06	0.017	0.9	7	0.16
137	0.014	0	0.31	0	0.66	0.019	0.0011	1.6e-05	4	0.071
138	0.33	1.9e-06	3.8e-06	2.3e-06	0.0047	0.013	0.39	0.26	6	0.12
139	0.29	0.00041	0.023	0.00049	0.28	0.052	0.17	0.18	0	0.11
140	0.38	4.6e-06	4.7e-05	5.5e-06	0.018	0.024	0.35	0.23	0	0.11
141	0.3	0.00022	0.022	0.00026	0.29	0.055	0.17	0.16	0	0.11
142	0.22	0	0	0	0.00025	0.0034	0.44	0.34	6	0.12
143	0.28	0	0	0	0.00025	0.0042	0.49	0.24	6	0.12
144	0.21	0.0049	0.0026	0.0057	0.067	0.022	0.2	0.49	7	0.16
145	0.34	5.7e-06	1.7e-05	6.7e-06	0.0098	0.017	0.36	0.27	6	0.12
146	0.15	0.0017	5.7e-05	0.002	0.0083	0.0083	0.22	0.61	7	0.16
147	0.32	4.1e-06	0.025	4.9e-06	0.41	0.073	0.13	0.046	4	0.071
148	0.1	0	0.12	0	0.71	0.053	0.02	0.0017	4	0.071
149	0.0078	0.01	0	0.012	4.3e-06	6.1e-05	0.048	0.92	7	0.16
150	0.052	0.0056	1.2e-06	0.0066	0.00059	0.0014	0.13	0.81	7	0.16
151	0.012	0	0.11	0	0.85	0.028	0.0003	0	4	0.071
152	0.0072	2.6e-06	0	3.1e-06	0	7.6e-06	0.1	0.89	7	0.16
153	0.45	0	3.4e-06	0	0.0065	0.02	0.4	0.12	0	0.11
154	0.23	0.004	0.0072	0.0047	0.12	0.03	0.2	0.4	7	0.16
155	0.082	0.015	4.7e-05	0.018	0.0047	0.0042	0.14	0.74	7	0.16
156	0.18	0.00011	4.9e-06	0.00013	0.0031	0.0069	0.28	0.52	7	0.16
157	0.22	0.0037	0.0033	0.0043	0.079	0.025	0.21	0.45	7	0.16
158	0.013	0.00025	0	0.00029	1.4e-06	6.2e-05	0.089	0.9	7	0.16
159	0.12	0.013	0.0014	0.015	0.034	0.012	0.13	0.67	7	0.16
160	0.39	0.012	0.0025	0.014	0.13	0.053	0.23	0.17	0	0.11
161	0	0.45	0	0.53	0	0	4.5e-06	0.024	3	0.24
162	0.076	0.046	0.031	0.054	0.72	0.066	0.0053	2e-05	4	0.071
163	0.042	0.032	0.21	0.037	0.65	0.03	0.0063	0.00059	4	0.071
164	0.044	0.056	0.0057	0.066	0.74	0.083	0.00067	0	4	0.071
165	0.14	0	0	0	0	0.00036	0.55	0.31	6	0.12
166	1.7e-05	3.1e-05	0.00079	3.6e-05	0.00077	1.8e-05	2e-06	1	7	0.16
167	0.015	0.00091	0	0.0011	1.2e-05	0.00015	0.067	0.92	7	0.16
168	0	0	0	0	0	0	0	1	7	0.16
169	0.28	0.0039	0.00041	0.0045	0.038	0.024	0.25	0.4	7	0.16
170	0.29	0.02	0.017	0.023	0.27	0.055	0.16	0.16	0	0.11
171	0.28	0	0	0	0.0012	0.007	0.41	0.3	6	0.12
172	0.17	3.5e-05	0	4.2e-05	0.0011	0.0045	0.3	0.52	7	0.16
173	3.3e-05	0.00012	0	0.00014	0	0	0.0043	1	7	0.16
174	0.022	0.04	0	0.047	0.00021	0.00052	0.067	0.82	7	0.16
175	0.0028	0.017	0	0.02	0	1.2e-05	0.027	0.93	7	0.16
176	0.16	0.00021	4.4e-06	0.00025	0.0026	0.0057	0.26	0.57	7	0.16
177	0.34	0.00016	0.0043	0.00019	0.14	0.045	0.24	0.23	0	0.11
178	0.0084	0.067	0	0.079	2.5e-05	0.00012	0.038	0.81	7	0.16
179	0.043	0.0028	0	0.0033	0.0002	0.00085	0.12	0.83	7	0.16
180	0.0044	0.15	0	0.17	2e-05	7.1e-05	0.021	0.66	7	0.16
181	0.042	0.03	6.3e-06	0.036	0.0011	0.0015	0.096	0.79	7	0.16
182	0.017	0.11	1.6e-06	0.13	0.00031	0.0005	0.049	0.7	7	0.16
183	0.36	3.4e-05	0.00028	4e-05	0.038	0.029	0.31	0.27	0	0.11
184	0.19	0.0017	0.00024	0.002	0.02	0.013	0.23	0.55	7	0.16
185	3.6e-06	0.044	0	0.051	0	0	0.00072	0.9	7	0.16
186	0.35	0	0.016	1.1e-06	0.38	0.079	0.14	0.035	4	0.071
187	0.061	8.5e-05	0	9.9e-05	6.4e-05	0.00075	0.2	0.74	7	0.16
188	0.16	0.00019	4.8e-06	0.00022	0.0028	0.006	0.26	0.56	7	0.16
189	0.48	0	0.00011	0	0.036	0.039	0.33	0.11	0	0.11
190	0.45	3.4e-06	0.0014	4e-06	0.11	0.056	0.27	0.11	0	0.11
191	0.18	4.5e-06	0	5.3e-06	0.00044	0.0034	0.36	0.46	7	0.16
192	0.14	0.027	0.0023	0.032	0.045	0.014	0.15	0.59	7	0.16
193	0.0016	0.05	0	0.059	0	6.5e-06	0.017	0.87	7	0.16
194	0.61	0	7e-06	0	0.016	0.041	0.31	0.022	0	0.11
195	0.29	0.00065	0.003	0.00076	0.096	0.034	0.24	0.34	7	0.16
196	0.28	0.00083	0.0038	0.00098	0.11	0.035	0.23	0.34	7	0.16
197	0.26	0.0014	0.0027	0.0017	0.082	0.029	0.23	0.4	7	0.16
198	0.22	7.7e-06	0	9e-06	0.0013	0.0058	0.36	0.42	7	0.16
199	0.00035	0.089	0	0.1	0	0	0.007	0.8	7	0.16
200	0.54	0	0.00032	0	0.076	0.06	0.27	0.048	0	0.11
201	0.58	0.0071	0.00012	0.0084	0.058	0.062	0.25	0.033	0	0.11
202	0.13	0.039	0.058	0.046	0.64	0.062	0.022	0.0017	4	0.071
203	0.2	0.0095	0.0051	0.011	0.097	0.026	0.17	0.48	7	0.16
204	0.0071	0.035	0.14	0.041	0.76	0.02	0.00017	0	4	0.071
205	0.11	0.018	0.0015	0.021	0.034	0.011	0.13	0.68	7	0.16
206	0.0007	0.011	0	0.013	0	0	0.011	0.96	7	0.16
207	0.0046	0.029	0.23	0.034	0.69	0.013	0.00012	0	4	0.071
208	0.0072	0.028	0.25	0.033	0.66	0.015	0.00029	0	4	0.071
209	0.021	0.035	0.15	0.041	0.72	0.027	0.0013	1.1e-05	4	0.071
210	0.21	0.0045	0.00086	0.0053	0.042	0.02	0.2	0.51	7	0.16
211	0.11	0.055	0.0032	0.065	0.65	0.12	0.0029	0	4	0.071
212	0.13	0	0.077	0	0.7	0.064	0.026	0.0018	4	0.071
213	0.52	0	0	0	0.0041	0.021	0.4	0.05	0	0.11
214	0.033	0.031	2.2e-06	0.037	0.00057	0.001	0.086	0.81	7	0.16
215	0.12	6.6e-05	0	7.7e-05	0.00053	0.0027	0.26	0.61	7	0.16
216	0.45	3.2e-06	0.0015	3.7e-06	0.12	0.056	0.26	0.11	0	0.11
217	0.008	0	0.25	0	0.72	0.017	0.00031	0	4	0.071
218	0.054	0	0.07	0	0.82	0.053	0.0038	2e-05	4	0.071
219	0.023	0.0023	0	0.0027	3.1e-05	0.00028	0.096	0.88	7	0.16
220	0.0044	0.0011	0	0.0013	0	1.4e-05	0.045	0.95	7	0.16
221	0.036	0.0071	0	0.0083	0.00024	0.00079	0.11	0.84	7	0.16
222	0.00035	0.11	0	0.13	0	0	0.0065	0.75	7	0.16
223	0	0.44	0	0.51	0	0	1.9e-06	0.053	3	0.24
224	0.024	0.035	0	0.042	0.00024	0.00059	0.072	0.83	7	0.16
225	0.029	0.073	5.8e-06	0.085	0.00082	0.001	0.069	0.74	7	0.16
226	0.15	0.0062	0.00033	0.0072	0.019	0.011	0.19	0.62	7	0.16
227	0.21	0	0	0	1.6e-05	0.0013	0.56	0.24	6	0.12
228	0.41	0	1.6e-05	0	0.012	0.023	0.38	0.17	0	0.11
229	0.15	0	0.034	0	0.71	0.083	0.02	0.00035	4	0.071
230	0.36	8.3e-05	0.0029	9.8e-05	0.12	0.045	0.25	0.22	0	0.11
231	0.34	0.00012	0.001	0.00014	0.067	0.034	0.27	0.29	0	0.11
232	0.28	0.00097	0.011	0.0011	0.18	0.042	0.2	0.28	0	0.11
233	0.45	0	0.0028	0	0.34	0.12	0.085	0.0019	0	0.11
234	0.15	0.0018	5.5e-05	0.0021	0.008	0.0081	0.21	0.62	7	0.16
235	0.42	0	0	0	0.0016	0.012	0.46	0.11	6	0.12
236	0.024	0	0.16	0	0.78	0.03	0.0015	9.7e-06	4	0.071
237	0.23	0.0025	0.0018	0.003	0.06	0.023	0.22	0.46	7	0.16
238	0.084	0.044	0.041	0.052	0.71	0.063	0.0075	8.9e-05	4	0.071
239	0.0071	0.037	0.11	0.043	0.78	0.021	0.00014	0	4	0.071
240	0.22	0.037	0.027	0.044	0.55	0.08	0.046	0.0043	4	0.071
241	0.0076	0.027	0.28	0.032	0.64	0.015	0.00035	0	4	0.071
242	0.00059	0.022	0.31	0.026	0.64	0.0054	3.8e-06	0	4	0.071
243	0.024	0.051	0.017	0.06	0.79	0.054	0.00041	0	4	0.071
244	0.25	0.016	0.018	0.019	0.23	0.044	0.16	0.27	7	0.16
245	0.00012	0.01	0.61	0.012	0.37	0.0015	0	0	2	0.053
246	0.12	0.045	0.026	0.052	0.67	0.077	0.012	0.00016	4	0.071
247	0.031	0.037	0.13	0.043	0.72	0.034	0.0024	3.2e-05	4	0.071
248	0.058	0.046	0.034	0.054	0.74	0.06	0.0032	1.1e-05	4	0.071
249	0.034	0.031	0.21	0.037	0.65	0.028	0.0043	0.00027	4	0.071
250	0.17	0.045	0.012	0.053	0.6	0.097	0.017	0.00016	4	0.071
251	0.0066	0.032	0.18	0.038	0.73	0.017	0.00018	0	4	0.071
252	0.093	0.036	0.12	0.042	0.65	0.047	0.019	0.0028	4	0.071
253	0.016	0.034	0.17	0.04	0.71	0.024	0.00091	6.5e-06	4	0.071
254	0.11	0.0036	9.2e-05	0.0042	0.0086	0.0068	0.15	0.72	7	0.16
255	0.3	0.01	0.0038	0.012	0.12	0.04	0.21	0.3	7	0.16
256	0.32	0.027	0.016	0.031	0.36	0.074	0.12	0.044	4	0.071
257	0.091	0.021	0.0007	0.025	0.02	0.0078	0.11	0.72	7	0.16
258	0.17	0.037	0.048	0.044	0.59	0.068	0.038	0.0052	4	0.071
259	0.54	0.0099	0.00037	0.012	0.089	0.067	0.24	0.043	0	0.11
260	0.11	0.038	0.084	0.044	0.65	0.054	0.02	0.0021	4	0.071
261	0.29	0.015	0.011	0.018	0.21	0.048	0.18	0.23	0	0.11
262	0.13	0.038	0.066	0.044	0.63	0.06	0.027	0.003	4	0.071
263	0.069	0.037	0.11	0.044	0.68	0.044	0.01	0.00064	4	0.071
264	0.25	0.038	0.014	0.044	0.51	0.093	0.047	0.0025	4	0.071
265	0.0028	0.029	0.22	0.034	0.7	0.012	4.4e-05	0	4	0.071
266	0.36	0.027	0.009	0.032	0.35	0.086	0.11	0.021	0	0.11
267	0.002	0.041	0.044	0.048	0.85	0.018	7.5e-06	0	4	0.071
268	0.045	0.036	0.14	0.042	0.69	0.036	0.0052	0.00021	4	0.071
269	0.17	0.037	0.049	0.044	0.59	0.067	0.037	0.005	4	0.071
270	0.19	0.0018	9.7e-05	0.0021	0.013	0.012	0.22	0.57	7	0.16
271	0.018	0.021	0	0.024	7.5e-05	0.00032	0.068	0.87	7	0.16
272	0.31	0.00038	0.0086	0.00045	0.18	0.046	0.21	0.24	0	0.11
273	0.15	0.017	0.0014	0.02	0.037	0.014	0.17	0.6	7	0.16
274	0.46	0	3.9e-06	0	0.0072	0.022	0.4	0.11	0	0.11
275	0.63	0	1.5e-06	0	0.0085	0.035	0.31	0.013	0	0.11
276	0.3	0.00048	0.0024	0.00056	0.088	0.034	0.25	0.33	7	0.16
277	0.21	3.4e-05	3e-06	4e-05	0.0027	0.0074	0.32	0.46	7	0.16
278	0.065	5.3e-06	0	6.2e-06	1.3e-05	0.00045	0.26	0.68	7	0.16
279	0.26	0.00025	0.00018	0.00029	0.022	0.018	0.28	0.42	7	0.16
280	0.072	0.00012	0	0.00014	0.00013	0.0011	0.21	0.72	7	0.16
281	0.091	0.032	0.00027	0.037	0.012	0.0063	0.13	0.69	7	0.16
282	0.33	7.4e-05	0.018	8.7e-05	0.29	0.06	0.18	0.13	0	0.11
283	0.041	0	0.2	0	0.72	0.033	0.0052	0.00021	4	0.071
284	0.097	0.02	0.00017	0.023	0.0097	0.0062	0.14	0.7	7	0.16
285	0.0011	0.00042	0	0.00049	0	0	0.024	0.97	7	0.16
286	0.14	0	0.011	0	0.73	0.11	0.0085	1.4e-05	4	0.071
287	0.00027	0.0027	0	0.0032	0	0	0.0096	0.98	7	0.16
288	0.19	2.3e-06	0	2.7e-06	0.00038	0.0034	0.38	0.43	7	0.16
289	0.00011	0.32	0	0.38	0	0	0.0019	0.29	3	0.24
290	0.019	0.00011	0	0.00013	2.3e-06	9.6e-05	0.11	0.87	7	0.16
291	0.047	0.0037	0	0.0043	0.00032	0.0011	0.13	0.82	7	0.16
292	0.066	3.8e-05	0	4.5e-05	4.7e-05	0.00071	0.22	0.71	7	0.16
293	0.0047	0	0	0	0	1.7e-06	0.11	0.88	7	0.16
294	0.039	0.021	2.1e-06	0.025	0.00062	0.0012	0.097	0.82	7	0.16
295	0.31	0.00023	0.015	0.00027	0.25	0.053	0.19	0.18	0	0.11
296	0.059	0	0.048	0	0.83	0.061	0.0035	1e-05	4	0.071
297	0.081	0.033	0.00015	0.038	0.0082	0.0051	0.13	0.71	7	0.16
298	0.29	0	0.0049	0	0.54	0.13	0.028	0.00012	4	0.071
299	0.26	3.8e-06	0.042	4.5e-06	0.49	0.07	0.1	0.034	4	0.071
300	0.00083	0.15	0	0.18	0	3.6e-06	0.0093	0.66	7	0.16
301	0.45	0	0.0045	0	0.23	0.078	0.19	0.045	0	0.11
302	0.26	0.00081	0.0011	0.00095	0.054	0.025	0.25	0.41	7	0.16
303	0.0062	0.17	0	0.2	4.3e-05	0.00012	0.025	0.59	7	0.16
304	0.35	0.00012	0.0024	0.00014	0.1	0.041	0.26	0.25	0	0.11
305	0.24	0	0.044	0	0.55	0.074	0.074	0.014	4	0.071
306	0.009	0.063	0	0.073	2.8e-05	0.00013	0.04	0.81	7	0.16
307	0.065	0	0	0	4.6e-06	0.00031	0.3	0.64	7	0.16
308	0.33	6.9e-05	0.018	8.1e-05	0.3	0.06	0.18	0.12	0	0.11
309	0.39	1.3e-05	0.00022	1.5e-05	0.037	0.031	0.32	0.22	0	0.11
310	0	0.46	0	0.54	0	0	0	0.00096	3	0.24
311	0.4	0	0	0	9.2e-05	0.0046	0.54	0.048	6	0.12
312	0.21	0.006	0.0054	0.007	0.096	0.026	0.19	0.45	7	0.16
313	0.3	0.00018	0.00053	0.00022	0.044	0.026	0.28	0.35	7	0.16
314	0.29	8.2e-05	0.0001	9.6e-05	0.019	0.019	0.3	0.37	7	0.16
315	0.43	4.4e-06	0.0037	5.1e-06	0.18	0.064	0.23	0.093	0	0.11
316	0.031	0.067	6.6e-06	0.079	0.00091	0.0011	0.073	0.75	7	0.16
317	0.024	0	0.38	0	0.57	0.019	0.004	0.00043	4	0.071
318	0.56	0	0.00015	0	0.054	0.055	0.29	0.044	0	0.11
319	0.0063	0.00019	0	0.00022	0	1.6e-05	0.063	0.93	7	0.16
320	0.56	0	7.1e-06	0	0.013	0.033	0.35	0.045	0	0.11
321	0.38	2e-06	1.4e-05	2.3e-06	0.0099	0.019	0.37	0.22	0	0.11
322	0.39	0	0.011	0	0.34	0.082	0.15	0.033	0	0.11
323	0.089	0	0.033	0	0.8	0.075	0.0064	2.5e-05	4	0.071
324	0.33	0.00026	0.0034	0.0003	0.12	0.04	0.24	0.27	0	0.11
325	0.15	0.00019	2.9e-06	0.00023	0.002	0.0051	0.26	0.58	7	0.16
326	0.22	0.0064	0.012	0.0075	0.15	0.031	0.18	0.4	7	0.16
327	0.0016	0.0001	0	0.00012	0	1.3e-06	0.033	0.97	7	0.16
328	0.25	4.1e-05	1.1e-05	4.8e-05	0.0057	0.011	0.32	0.42	7	0.16
329	0.45	3.1e-06	0.00069	3.6e-06	0.08	0.049	0.29	0.13	0	0.11
330	0.034	5.4e-05	0	6.4e-05	1.8e-05	0.00032	0.13	0.83	7	0.16
331	0.0027	0.001	0	0.0012	0	8.2e-06	0.028	0.97	7	0.16
332	0.46	0.0019	1.3e-05	0.0022	0.013	0.026	0.35	0.15	0	0.11
