SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6
34	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
35	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
36	0.88	0.12	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
37	0.87	0.12	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
38	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
39	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
40	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
41	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
42	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
43	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
44	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
45	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
46	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
47	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
48	0	7.1e-05	1	2	0.036	0.054	0	0	0	0.043	0.04
49	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
50	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
51	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
52	0	0.13	0.87	2	0.036	0.054	0	0	0	0.043	0.04
53	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
54	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
55	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
56	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
57	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
58	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
59	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
60	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
61	1	0	0.00065	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
62	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
63	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
64	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
65	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
66	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
67	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
68	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
69	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
70	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
71	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
72	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
73	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
74	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
75	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
76	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
77	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
78	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
79	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
80	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
81	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
82	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
83	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
84	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
85	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
86	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
87	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
88	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
89	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
90	0	0.86	0.14	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
91	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
92	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
93	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
94	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
95	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
96	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
97	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
98	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
99	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
100	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
101	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
102	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
103	0	0.011	0.99	2	0.036	0.054	0	0	0	0.043	0.04
104	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
105	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
106	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
107	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
108	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
109	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
110	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
111	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
112	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
113	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
114	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
115	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
116	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
117	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
118	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
119	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
120	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
121	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
122	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
123	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
124	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
125	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
126	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
127	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
128	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
129	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
130	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
131	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
132	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
133	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
134	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
135	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
136	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
137	0	1.4e-05	1	2	0.036	0.054	0	0	0	0.043	0.04
138	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
139	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
140	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
141	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
142	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
143	0.00057	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
144	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
145	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
146	0	1	6.1e-05	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
147	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
148	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
149	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
150	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
151	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
152	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
153	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
154	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
155	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
156	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
157	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
158	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
159	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
160	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
161	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
162	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
163	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
164	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
165	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
166	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
167	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
168	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
169	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
170	0.75	0.25	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
171	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
172	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
173	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
174	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
175	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
176	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
177	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
178	0.75	0.25	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
179	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
180	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
181	0	1.6e-05	1	2	0.036	0.054	0	0	0	0.043	0.04
182	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
183	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
184	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
185	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
186	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
187	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
188	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
189	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
190	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
191	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
192	0.52	0.48	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
193	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
194	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
195	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
196	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
197	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
198	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
199	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
200	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
201	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
202	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
203	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
204	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
205	0	0.24	0.76	2	0.036	0.054	0	0	0	0.043	0.04
206	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
207	0	0.00013	1	2	0.036	0.054	0	0	0	0.043	0.04
208	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
209	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
210	0	3.9e-05	1	2	0.036	0.054	0	0	0	0.043	0.04
211	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
212	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
213	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
214	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
215	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
216	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
217	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
218	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
219	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
220	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
221	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
222	0	1.9e-05	1	2	0.036	0.054	0	0	0	0.043	0.04
223	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
224	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
225	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
226	0	0.028	0.97	2	0.036	0.054	0	0	0	0.043	0.04
227	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
228	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
229	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
230	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
231	0.00035	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
232	1	0.00012	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
233	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
234	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
235	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
236	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
237	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
238	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
239	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
240	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
241	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
242	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
243	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
244	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
245	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
246	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
247	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
248	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
249	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
250	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
251	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
252	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
253	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
254	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
255	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
256	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
257	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
258	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
259	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
260	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
261	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
262	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
263	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
264	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
265	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
266	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
267	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
268	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
269	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
270	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
271	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
272	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
273	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
274	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
275	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
276	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
277	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
278	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
279	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
280	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
281	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
282	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
283	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
284	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
285	0.7	0.3	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
286	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
287	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
288	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
289	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
290	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
291	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
292	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
293	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
294	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
295	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
296	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
297	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
298	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
299	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
300	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
301	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
302	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
303	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
304	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
305	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
306	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
307	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
308	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
309	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
310	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
311	0	7.6e-05	1	2	0.036	0.054	0	0	0	0.043	0.04
312	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
313	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
314	2.2e-06	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
315	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
316	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
317	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
318	1	0.001	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
319	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
320	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
321	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
322	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
323	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
324	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
325	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
326	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
327	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
328	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
329	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
330	0	4.5e-05	1	2	0.036	0.054	0	0	0	0.043	0.04
331	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
332	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
333	0	7.3e-06	1	2	0.036	0.054	0	0	0	0.043	0.04
334	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
335	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
336	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
337	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
338	0.67	0.33	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
339	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
340	0	0.00078	1	2	0.036	0.054	0	0	0	0.043	0.04
341	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
342	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
343	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
344	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
345	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
346	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
347	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
348	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
349	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
350	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
351	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
352	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
353	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
354	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
355	1	0.00057	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
356	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
357	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
358	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
359	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
360	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
361	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
362	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
363	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
364	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
365	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
366	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
367	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
368	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
369	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
370	1	0.0029	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
371	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
372	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
373	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
374	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
375	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
376	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
377	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
378	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
379	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
