SNV	cluster0	cluster1	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6
83	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
84	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
85	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
86	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
87	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
88	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
89	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
90	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
91	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
92	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
93	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
94	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
95	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
96	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
97	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
98	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
99	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
100	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
101	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
102	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
103	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
104	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
105	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
106	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
107	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
108	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
109	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
110	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
111	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
112	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
113	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
114	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
115	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
116	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
117	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
118	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
119	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
120	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
121	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
122	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
123	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
124	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
125	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
126	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
127	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
128	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
129	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
130	0.99	0.013	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
131	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
132	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
133	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
134	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
135	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
136	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
137	0.061	0.94	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
138	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
139	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
140	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
141	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
142	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
143	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
144	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
145	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
146	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
147	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
148	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
149	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
150	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
151	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
152	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
153	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
154	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
155	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
156	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
157	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
158	1	0.00039	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
159	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
160	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
161	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
162	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
163	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
164	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
165	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
166	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
167	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
168	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
169	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
170	0.25	0.75	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
171	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
172	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
173	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
174	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
175	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
176	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
177	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
178	0.25	0.75	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
179	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
180	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
181	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
182	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
183	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
184	0.25	0.75	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
185	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
186	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
187	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
188	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
189	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
190	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
191	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
192	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
193	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
194	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
195	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
196	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
197	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
198	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
199	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
200	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
201	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
202	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
203	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
204	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
205	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
206	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
207	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
208	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
209	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
210	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
211	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
212	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
213	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
214	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
215	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
216	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
217	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
218	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
219	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
220	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
221	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
222	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
223	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
224	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
225	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
226	0.36	0.64	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
227	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
228	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
229	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
230	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
231	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
232	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
233	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
234	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
235	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
236	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
237	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
238	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
239	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
240	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
241	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
242	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
243	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
244	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
245	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
246	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
247	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
248	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
249	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
250	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
251	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
252	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
253	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
254	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
255	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
256	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
257	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
258	0.00019	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
259	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
260	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
261	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
262	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
263	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
264	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
265	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
266	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
267	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
268	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
269	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
270	0.00065	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
271	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
272	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
273	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
274	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
275	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
276	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
277	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
278	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
279	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
280	0.027	0.97	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
281	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
282	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
283	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
284	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
285	0.36	0.64	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
286	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
287	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
288	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
289	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
290	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
291	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
292	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
293	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
294	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
295	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
296	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
297	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
298	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
299	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
300	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
301	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
302	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
303	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
304	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
305	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
306	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
307	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
308	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
309	0.37	0.63	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
310	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
311	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
312	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
313	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
314	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
315	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
316	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
317	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
318	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
319	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
320	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
321	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
322	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
323	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
324	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
325	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
326	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
327	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
328	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
329	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
330	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
331	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
332	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
333	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
334	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
335	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
336	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
337	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
338	0.33	0.67	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
339	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
340	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
341	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
342	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
343	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
344	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
345	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
346	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
347	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
348	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
349	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
350	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
351	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
352	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
353	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
354	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
355	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
356	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
357	1	1.4e-05	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
358	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
359	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
360	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
361	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
362	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
363	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
364	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
365	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
366	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
367	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
368	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
369	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
370	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
371	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
372	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
373	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
374	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
375	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
376	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
377	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
378	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
379	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
380	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
381	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
382	0.19	0.81	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
