SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
16	0	0	0	0	0	0.061	0	0.061	7.5e-06	0.061	0.31	0	0.061	0.31	0	0	0.067	0	0.061	0	10	0.26
17	0.00081	0	0	0	0	0.058	0.00081	0.058	0.017	0.058	0.31	0	0.058	0.31	8.1e-06	0.00081	0.064	0	0.058	0	10	0.26
18	0	0	0	0	0	0.025	0	0.025	0	0.025	0.42	0	0.025	0.42	0	0	0.028	0	0.025	0	10	0.26
19	0	0	0	0	0	0.022	0	0.022	0	0.022	0.43	0	0.022	0.43	0	0	0.024	0	0.022	0	10	0.26
20	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	1.5e-06	0	0	0	0	0.25	2	0
21	0.00015	0	0	0	0	0	0.00015	0	1.8e-06	0	0	0	0	0	1	0.00015	0	0	0	0	14	0.058
22	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	4.2e-05	0	0	0	0	0.25	2	0
23	0	0	0	0	0	0.016	0	0.016	0	0.016	0.45	0	0.016	0.45	0	0	0.018	0	0.016	0	10	0.26
24	0.025	0	0	0	0	6.1e-05	0.025	6.1e-05	0.026	6.1e-05	4e-05	0	6.1e-05	4e-05	0.9	0.025	6.8e-05	0	6.1e-05	0	14	0.058
25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
26	0	0	0	0	0	0.013	0	0.013	0	0.013	0.46	0	0.013	0.46	0	0	0.014	0	0.013	0	10	0.26
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.058
28	0	0	0	0	0	0.047	0	0.047	1.3e-06	0.047	0.36	0	0.047	0.36	0	0	0.052	0	0.047	0	10	0.26
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	1
30	0.26	0	0	0	0	0	0.26	0	0.19	0	0	0	0	0	0.047	0.26	1.1e-06	0	0	0	0	0.12
31	4.6e-05	0	0	0	0	0	4.6e-05	0	0	0	0	0	0	0	1	4.6e-05	0	0	0	0	14	0.058
32	0	0	0	0	0	0.018	0	0.018	0	0.018	0.44	0	0.018	0.44	0	0	0.02	0	0.018	0	10	0.26
33	0.06	0	0	0	0	0.011	0.06	0.011	0.16	0.011	0.026	0	0.011	0.026	0.54	0.06	0.013	0	0.011	0	14	0.058
34	0.13	0	0	0	0	0.00089	0.13	0.00089	0.61	0.00089	0.00017	0	0.00089	0.00017	0.00045	0.13	0.00098	0	0.00089	0	8	0.14
35	0	0	0	0	0	0.014	0	0.014	1.7e-06	0.014	0.46	0	0.014	0.46	0	0	0.015	0	0.014	0	10	0.26
36	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0.25	2	0
37	0	0	0	0	0	0.033	0	0.033	0	0.033	0.4	0	0.033	0.4	0	0	0.036	0	0.033	0	10	0.26
38	7.1e-06	0	0	0	0	0.088	7.1e-06	0.088	0.003	0.088	0.23	0	0.088	0.23	0	7.1e-06	0.097	0	0.088	0	10	0.26
39	0.16	0	0	0	0	0.0025	0.16	0.0025	0.39	0.0025	0.0016	0	0.0025	0.0016	0.12	0.16	0.0027	0	0.0025	0	8	0.14
40	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
41	0	0	0	0	0	0.058	0	0.058	2.8e-06	0.058	0.32	0	0.058	0.32	0	0	0.063	0	0.058	0	10	0.26
42	0.00014	0	0	0	0	0.033	0.00014	0.033	0.0025	0.033	0.4	0	0.033	0.4	1.5e-05	0.00014	0.036	7.1e-05	0.033	0	10	0.26
43	0.0049	0	0	0	0	0.064	0.0049	0.064	0.056	0.064	0.27	0	0.064	0.27	0.00033	0.0049	0.07	0	0.064	0	10	0.26
44	0.003	0	0	0	0	0.061	0.003	0.061	0.039	0.061	0.29	0	0.061	0.29	0.00016	0.003	0.067	0	0.061	0	10	0.26
45	0.0012	0	0	0	0	0	0.0012	0	6.5e-05	0	0	0	0	0	1	0.0012	0	0	0	0	14	0.058
46	0	0	0	0	0	0.022	0	0.022	8.8e-05	0.022	0.43	0	0.022	0.43	0	0	0.024	0	0.022	0	10	0.26
47	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	2.4e-06	0	0	0	0	0.25	2	0
48	0	0	0	0	0	0.056	0	0.056	8.6e-05	0.056	0.33	0	0.056	0.33	0	0	0.062	0	0.056	0	10	0.26
49	0	0	0	0	0	0.024	0	0.024	1.1e-05	0.024	0.43	0	0.024	0.43	0	0	0.027	0	0.024	0	10	0.26
50	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
51	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	1.1e-05	0	0	0	0	0.25	2	0
52	0.00037	0	0	0	0	0.06	0.00037	0.06	0.012	0.06	0.31	0	0.06	0.31	0	0.00037	0.066	0	0.06	0	10	0.26
53	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
54	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	1.2e-06	0	0	0	0	0.25	2	0
55	0.018	0	0	0	0	0.068	0.018	0.068	0.39	0.068	0.071	0	0.068	0.071	4.7e-06	0.018	0.075	0	0.068	0	8	0.14
56	0	0	0	0	0	0.03	0	0.03	1.7e-05	0.03	0.41	0	0.03	0.41	0	0	0.033	0	0.03	0	10	0.26
57	0.00076	0	0	0	0	0	0.00076	0	2.5e-05	0	0	0	0	0	1	0.00076	0	0	0	0	14	0.058
58	5.3e-05	0	0	0	0	0.07	5.3e-05	0.07	0.0055	0.07	0.28	0	0.07	0.28	0	5.3e-05	0.078	0	0.07	0	10	0.26
59	0.0002	0	0	0	0	0.071	0.0002	0.071	0.012	0.071	0.28	0	0.071	0.28	0	0.0002	0.078	0	0.071	0	10	0.26
60	0	0	0	0	0	0.022	0	0.022	8.3e-06	0.022	0.43	0	0.022	0.43	0	0	0.024	0	0.022	0	10	0.26
61	0.014	0	0	0	0	8.3e-06	0.014	8.3e-06	0.01	8.3e-06	3.8e-06	0	8.3e-06	3.8e-06	0.95	0.014	9.1e-06	0	8.3e-06	0	14	0.058
62	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0.25	2	0
63	0	0	0	0	0	0.11	0	0.11	0.00038	0.11	0.17	0	0.11	0.17	0	0	0.12	0	0.11	0	10	0.26
64	2.4e-06	0	0	0	0	0.11	2.4e-06	0.11	0.0033	0.11	0.15	0	0.11	0.15	0	2.4e-06	0.12	0	0.11	0	10	0.26
65	0	0	0	0	0	0.14	0	0.14	0.0032	0.14	0.075	0	0.14	0.075	0	0	0.15	0	0.14	0	16	0.23
66	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
67	0	0	0	0	0	0.099	0	0.099	0	0.099	0.2	0	0.099	0.2	0	0	0.11	0	0.099	0	10	0.26
68	0	0	0	0	0	0.029	0	0.029	6.2e-05	0.029	0.41	0	0.029	0.41	0	0	0.031	0	0.029	0	10	0.26
69	0	0	0	0	0	0.079	0	0.079	0.00012	0.079	0.26	0	0.079	0.26	0	0	0.087	0	0.079	0	10	0.26
70	3.2e-05	0	0	0	0	0.052	3.2e-05	0.052	0.0024	0.052	0.34	0	0.052	0.34	0	3.2e-05	0.057	0	0.052	0	10	0.26
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.058
72	0	0	0	0	0	0.022	0	0.022	0	0.022	0.43	0	0.022	0.43	0	0	0.024	0	0.022	0	10	0.26
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.058
74	0	0	0	0	0	0.071	0	0.071	0.00038	0.071	0.28	0	0.071	0.28	0	0	0.078	0	0.071	0	10	0.26
75	0.0015	0	0	0	0	0	0.0015	0	0.00015	0	0	0	0	0	1	0.0015	0	0	0	0	14	0.058
76	0	0	0	0	0	0.063	0	0.063	6.9e-06	0.063	0.31	0	0.063	0.31	0	0	0.07	0	0.063	0	10	0.26
77	1.8e-05	0	0	0	0	0	1.8e-05	0	0	0	0	0	0	0	1	1.8e-05	0	0	0	0	14	0.058
78	0	0	0	0	0	0.016	0	0.016	0	0.016	0.45	0	0.016	0.45	0	0	0.018	0	0.016	0	10	0.26
79	0	0	0	0	0	0.076	0	0.076	0.00018	0.076	0.27	0	0.076	0.27	0	0	0.083	0	0.076	0	10	0.26
80	0	0	0	0	0	0.073	0	0.073	0.00059	0.073	0.28	0	0.073	0.28	0	0	0.08	0	0.073	0	10	0.26
81	0	0	0	0	0	0.022	0	0.022	0	0.022	0.43	0	0.022	0.43	0	0	0.024	0	0.022	0	10	0.26
82	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
83	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
84	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	1.9e-06	0	0	0	0	0.25	2	0
85	6.1e-06	0	0	0	0	0.064	6.1e-06	0.064	0.0015	0.064	0.3	0	0.064	0.3	0	6.1e-06	0.071	0	0.064	0	10	0.26
86	0	0	0	0	0	0.02	0	0.02	0	0.02	0.44	0	0.02	0.44	0	0	0.022	0	0.02	0	10	0.26
87	0.014	0	0	0	0	0.07	0.014	0.07	0.15	0.07	0.19	0	0.07	0.19	0.0005	0.014	0.077	0	0.07	0	10	0.26
88	0.00062	0	0	0	0	0.05	0.00062	0.05	0.011	0.05	0.34	0	0.05	0.34	1.7e-05	0.00062	0.055	0	0.05	0	10	0.26
89	0	0	0	0	0	0.034	0	0.034	0.00011	0.034	0.4	0	0.034	0.4	0	0	0.038	0	0.034	0	10	0.26
90	0	0	0	0	0	0.021	0	0.021	1.1e-06	0.021	0.44	0	0.021	0.44	0	0	0.023	0	0.021	0	10	0.26
91	2.1e-05	0	0	0	0	0.052	2.1e-05	0.052	0.0019	0.052	0.34	0	0.052	0.34	0	2.1e-05	0.058	0	0.052	0	10	0.26
92	1e-05	0	0	0	0	0.036	1e-05	0.036	0.0007	0.036	0.39	0	0.036	0.39	0	1e-05	0.039	0	0.036	0	10	0.26
93	0	0	0	0	0	0.042	0	0.042	1.8e-05	0.042	0.37	0	0.042	0.37	0	0	0.047	0	0.042	0	10	0.26
94	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
95	2.2e-05	0	0	0	0	0.067	2.2e-05	0.067	0.0032	0.067	0.29	0	0.067	0.29	0	2.2e-05	0.074	0	0.067	0	10	0.26
96	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
97	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	4.6e-06	0	0	0	0	0.25	2	0
98	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	1.8e-06	0	0	0	0	0.25	2	0
99	0	0	0	0	0	0.064	0	0.064	2e-05	0.064	0.31	0	0.064	0.31	0	0	0.07	0	0.064	0	10	0.26
100	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
101	9.9e-06	0	0	0	0	0	9.9e-06	0	0	0	0	0	0	0	1	9.9e-06	0	0	0	0	14	0.058
102	0.018	0	0	0	0	0	0.018	0	0.007	0	0	0	0	0	0.94	0.018	0	0	0	0	14	0.058
103	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
104	0.0021	0	0	0	0	0	0.0021	0	0.00019	0	0	0	0	0	0.99	0.0021	0	0	0	0	14	0.058
105	0.00045	0	0	0	0	0.1	0.00045	0.1	0.042	0.1	0.17	0	0.1	0.17	0	0.00045	0.11	0	0.1	0	10	0.26
