SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0
50	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
51	0	0.25	0	0	0	0	0.25	1.1e-05	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
52	0	0	0.071	0.079	0.31	0.071	0	0	0.071	0.00028	0.00028	0	0.071	0	0.012	0.00028	0	0.00028	0.31	4	0.26
53	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
54	0	0.25	0	0	0	0	0.25	1.2e-06	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
55	0	0	0.081	0.09	0.071	0.081	0	4.7e-06	0.081	0.014	0.014	0	0.081	0	0.39	0.014	0	0.014	0.071	14	0.14
56	0	0	0.036	0.04	0.41	0.036	0	0	0.036	0	0	0	0.036	0	1.7e-05	0	0	0	0.41	4	0.26
57	0	0	0	0	0	0	0	1	0	0.00057	0.00057	0	0	0	2.5e-05	0.00057	0	0.00057	0	7	0.058
58	0	0	0.084	0.093	0.28	0.084	0	0	0.084	4e-05	4e-05	0	0.084	0	0.0055	4e-05	0	4e-05	0.28	4	0.26
59	0	0	0.085	0.094	0.28	0.085	0	0	0.085	0.00015	0.00015	0	0.085	0	0.012	0.00015	0	0.00015	0.28	4	0.26
60	0	0	0.027	0.029	0.43	0.027	0	0	0.027	0	0	0	0.027	0	8.3e-06	0	0	0	0.43	4	0.26
61	0	0	9.9e-06	1.1e-05	3.8e-06	9.9e-06	0	0.95	9.9e-06	0.01	0.01	0	9.9e-06	0	0.01	0.01	0	0.01	3.8e-06	7	0.058
62	0	0.25	0	0	0	0	0.25	0.0016	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
63	0	0	0.13	0.14	0.17	0.13	0	0	0.13	0	0	0	0.13	0	0.00038	0	0	0	0.17	4	0.26
64	0	0	0.13	0.15	0.15	0.13	0	0	0.13	1.8e-06	1.8e-06	0	0.13	0	0.0033	1.8e-06	0	1.8e-06	0.15	4	0.26
65	0	0	0.17	0.18	0.075	0.17	0	0	0.17	0	0	0	0.17	0	0.0032	0	0	0	0.075	3	0.23
66	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
67	0	0	0.12	0.13	0.2	0.12	0	0	0.12	0	0	0	0.12	0	0	0	0	0	0.2	4	0.26
68	0	0	0.034	0.038	0.41	0.034	0	0	0.034	0	0	0	0.034	0	6.2e-05	0	0	0	0.41	4	0.26
69	0	0	0.094	0.1	0.26	0.094	0	0	0.094	0	0	0	0.094	0	0.00012	0	0	0	0.26	4	0.26
70	0	0	0.062	0.069	0.34	0.062	0	0	0.062	2.4e-05	2.4e-05	0	0.062	0	0.0024	2.4e-05	0	2.4e-05	0.34	4	0.26
71	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.058
72	0	0	0.026	0.029	0.43	0.026	0	0	0.026	0	0	0	0.026	0	0	0	0	0	0.43	4	0.26
73	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.058
74	0	0	0.084	0.093	0.28	0.084	0	0	0.084	0	0	0	0.084	0	0.00038	0	0	0	0.28	4	0.26
75	0	0	0	0	0	0	0	1	0	0.0011	0.0011	0	0	0	0.00015	0.0011	0	0.0011	0	7	0.058
76	0	0	0.076	0.084	0.31	0.076	0	0	0.076	0	0	0	0.076	0	6.9e-06	0	0	0	0.31	4	0.26
77	0	0	0	0	0	0	0	1	0	1.4e-05	1.4e-05	0	0	0	0	1.4e-05	0	1.4e-05	0	7	0.058
78	0	0	0.019	0.021	0.45	0.019	0	0	0.019	0	0	0	0.019	0	0	0	0	0	0.45	4	0.26
79	0	0	0.091	0.1	0.27	0.091	0	0	0.091	0	0	0	0.091	0	0.00018	0	0	0	0.27	4	0.26
80	0	0	0.087	0.096	0.28	0.087	0	0	0.087	0	0	0	0.087	0	0.00059	0	0	0	0.28	4	0.26
81	0	0	0.027	0.029	0.43	0.027	0	0	0.027	0	0	0	0.027	0	0	0	0	0	0.43	4	0.26
82	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
83	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
84	0	0.25	0	0	0	0	0.25	1.9e-06	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
85	0	0	0.077	0.085	0.3	0.077	0	0	0.077	4.6e-06	4.6e-06	0	0.077	0	0.0015	4.6e-06	0	4.6e-06	0.3	4	0.26
86	0	0	0.024	0.026	0.44	0.024	0	0	0.024	0	0	0	0.024	0	0	0	0	0	0.44	4	0.26
87	0	0	0.084	0.092	0.19	0.084	0	0.0005	0.084	0.011	0.011	0	0.084	0	0.15	0.011	0	0.011	0.19	4	0.26
88	0	0	0.06	0.066	0.34	0.06	0	1.7e-05	0.06	0.00046	0.00046	0	0.06	0	0.011	0.00046	0	0.00046	0.34	4	0.26
89	0	0	0.041	0.045	0.4	0.041	0	0	0.041	0	0	0	0.041	0	0.00011	0	0	0	0.4	4	0.26
90	0	0	0.025	0.027	0.44	0.025	0	0	0.025	0	0	0	0.025	0	1.1e-06	0	0	0	0.44	4	0.26
91	0	0	0.063	0.069	0.34	0.063	0	0	0.063	1.6e-05	1.6e-05	0	0.063	0	0.0019	1.6e-05	0	1.6e-05	0.34	4	0.26
92	0	0	0.043	0.047	0.39	0.043	0	0	0.043	7.5e-06	7.5e-06	0	0.043	0	0.0007	7.5e-06	0	7.5e-06	0.39	4	0.26
93	0	0	0.051	0.056	0.37	0.051	0	0	0.051	0	0	0	0.051	0	1.8e-05	0	0	0	0.37	4	0.26
94	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
95	0	0	0.08	0.089	0.29	0.08	0	0	0.08	1.7e-05	1.7e-05	0	0.08	0	0.0032	1.7e-05	0	1.7e-05	0.29	4	0.26
96	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
97	0	0.25	0	0	0	0	0.25	4.6e-06	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
98	0	0.25	0	0	0	0	0.25	1.8e-06	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
99	0	0	0.076	0.084	0.31	0.076	0	0	0.076	0	0	0	0.076	0	2e-05	0	0	0	0.31	4	0.26
100	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
101	0	0	0	0	0	0	0	1	0	7.4e-06	7.4e-06	0	0	0	0	7.4e-06	0	7.4e-06	0	7	0.058
102	0	0	0	0	0	0	0	0.94	0	0.014	0.014	0	0	0	0.007	0.014	0	0.014	0	7	0.058
103	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0
104	0	0	0	0	0	0	0	0.99	0	0.0016	0.0016	0	0	0	0.00019	0.0016	0	0.0016	0	7	0.058
105	0	0	0.12	0.13	0.17	0.12	0	0	0.12	0.00034	0.00034	0	0.12	0	0.042	0.00034	0	0.00034	0.17	4	0.26
