SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0
37	1.2e-06	4.5e-06	0	1.2e-06	0	0	4.6e-06	0	0.43	0.55	0.0065	0.00035	0.0049	0	0	0	9	0.35
38	0.49	0.001	0	0.49	0.0025	0.0025	0.001	0.00017	0	0	0.00039	0	0.0003	0.0042	0	1.3e-05	0	0.61
39	0	0	0	0	0	0	0	0	0	1.7e-06	0	0.7	0	0	0.3	0	11	0.13
40	8.5e-06	2.5e-05	0	8.5e-06	0	0	2.5e-05	0	0.58	0.38	0.022	0	0.017	0	0	0	8	0.39
41	0.48	0.0036	0	0.48	0.0013	0.0013	0.0037	0.00049	0.00048	1.4e-05	0.012	0	0.0091	0.0032	0	8.3e-06	0	0.61
42	0	0	0	0	0	0	0	0	5e-06	4.9e-05	0	1	0	0	4.2e-05	0	11	0.13
43	0.29	0.0097	0	0.29	0.00015	0.00015	0.0099	3.6e-06	0.083	0.011	0.17	0	0.13	8.6e-05	0	2.1e-06	0	0.61
44	4.2e-06	0	0.64	4.2e-06	0	0	0	0	0.00018	0.00017	2.5e-05	0.089	1.9e-05	0	0.27	0	2	0
45	0.45	0.0034	0	0.45	0.0024	0.0024	0.0035	0.024	0.0036	0.00038	0.019	0	0.014	0.022	0	1e-05	0	0.61
46	0.33	0.019	0	0.33	1.7e-05	1.7e-05	0.02	0	0.0034	2.7e-05	0.17	0	0.12	0	0	0	0	0.61
47	0.38	0.021	0	0.38	1.2e-05	1.2e-05	0.022	0	0.00067	1.8e-06	0.12	0	0.088	0	0	0	0	0.61
48	0.46	0.0037	0	0.46	0.0021	0.0021	0.0038	0.011	0.0036	0.00034	0.021	0	0.016	0.015	0	9.4e-06	0	0.61
49	0.0073	0.0029	0	0.0073	0	0	0.0029	0	0.4	0.048	0.3	0	0.23	0	0	0	8	0.39
50	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4.8e-05	0	11	0.13
51	0.43	0.0016	0	0.43	0.0043	0.0043	0.0016	0.073	0.00014	5.5e-06	0.0035	0	0.0027	0.058	0	1.3e-05	0	0.61
52	0.018	0.014	0	0.018	0	0	0.015	0	0.0051	3e-06	0.53	0	0.4	0	0	0	10	0.47
53	0.46	0.013	0	0.46	3.3e-05	3.3e-05	0.013	0	6.6e-05	0	0.033	0	0.025	0	0	1.7e-06	0	0.61
54	0	0	0	0	0	0	0	0	0	1.3e-06	0	1	0	0	0	0	11	0.13
55	0.093	0.013	0	0.093	2.3e-06	2.3e-06	0.014	0	0.077	0.0027	0.4	0	0.3	0	0	0	10	0.47
56	0.49	0.0066	0	0.49	3.1e-05	3.1e-05	0.0067	0	0	0	0.0034	0	0.0026	0	0	1.9e-06	0	0.61
57	0.19	0.014	0	0.19	1.7e-05	1.7e-05	0.014	0	0.062	0.0031	0.3	0	0.22	0	0	0	10	0.47
58	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.9e-05	0	2	0
59	0.42	0.0085	0	0.42	0.0003	0.0003	0.0087	5.3e-06	0.0079	0.00038	0.071	0	0.053	0.00017	0	3.8e-06	0	0.61
60	0.44	0.0075	0	0.44	0.00041	0.00041	0.0077	1.3e-05	0.0053	0.00024	0.054	0	0.041	0.00031	0	4.4e-06	0	0.61
61	0.37	0.0058	0	0.37	0.00011	0.00011	0.0059	3.3e-06	0.07	0.0075	0.093	0	0.07	6.6e-05	0	1.4e-06	0	0.61
62	0.45	0.0026	0	0.45	0.003	0.003	0.0026	0.032	0.00092	6.1e-05	0.0098	0	0.0074	0.031	0	1.1e-05	0	0.61
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.043
64	0	0	0	0	0	0	0	0	0.00026	0.00085	1.5e-06	1	1.1e-06	0	0.00059	0	11	0.13
65	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
66	0.37	0.0061	0	0.37	9.1e-05	9.1e-05	0.0062	1.9e-06	0.072	0.0072	0.1	0	0.075	4.8e-05	0	1.3e-06	0	0.61
67	0	0	0.85	0	0	0	0	0	0	0	0	0.0066	0	0	0.14	0	2	0
68	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	1	0	14	0.043
69	0.04	0.0095	0	0.04	0	0	0.0097	0	0.12	0.0048	0.44	0	0.33	0	0	0	10	0.47
70	0.5	0.0011	0	0.5	0.0017	0.0017	0.0012	2.2e-05	0	0	0.00039	0	0.0003	0.0014	0	1.1e-05	0	0.61
71	0.23	0.022	0	0.23	5.4e-06	5.4e-06	0.022	0	0.0086	7.6e-05	0.28	0	0.21	0	0	0	10	0.47
72	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
73	0.24	0.017	0	0.24	1.5e-05	1.5e-05	0.017	0	0.022	0.00049	0.27	0	0.2	0	0	0	10	0.47
74	0.49	0.00048	0	0.49	0.0019	0.0019	0.00049	0.00097	0	0	0.00022	0	0.00017	0.0069	0	7.7e-06	0	0.61
75	0.44	0.0073	0	0.44	4.5e-05	4.5e-05	0.0074	0	0.0048	7.8e-05	0.059	0	0.044	4.1e-06	0	1.1e-06	0	0.61
76	0	0	0	0	0	0	0	0	0.012	0.02	0.00029	0.97	0.00022	0	0.00018	0	11	0.13
77	0	0	0	0	0	0	0	0	5.2e-06	3.5e-05	0	1	0	0	0.0019	0	11	0.13
78	0	0	0	0	0	0	0	0	0	0	0	0.97	0	0	0.032	0	11	0.13
79	0.12	0.016	0	0.12	2.6e-06	2.6e-06	0.017	0	0.039	0.00083	0.39	0	0.29	0	0	0	10	0.47
80	0	0	0	0	0	0	0	0	0	3.8e-06	0	0.99	0	0	0.009	0	11	0.13
81	0.49	0.001	0	0.49	0.0033	0.0033	0.001	0.00091	0	0	0.0005	0	0.00038	0.0096	0	1.5e-05	0	0.61
82	0.41	0.021	0	0.41	1e-05	1e-05	0.021	0	0.00018	0	0.079	0	0.06	0	0	0	0	0.61
83	0	0	0	0	0	0	0	0	0.00014	0.00041	1.2e-06	0.99	0	0	0.007	0	11	0.13
84	0.48	0.0081	0	0.48	9.8e-05	9.8e-05	0.0083	0	4.8e-05	0	0.018	0	0.013	3.6e-06	0	2.7e-06	0	0.61
85	0.44	0.001	0	0.44	0.0055	0.0055	0.001	0.04	7e-06	0	0.00095	0	0.00071	0.059	0	1.6e-05	0	0.61
86	0.49	0.00055	0	0.49	0.0044	0.0044	0.00056	0.00049	0	0	9.6e-05	0	7.3e-05	0.01	0	1.8e-05	0	0.61
87	0.46	0.0083	0	0.46	0.00021	0.00021	0.0085	0	0.0011	1.7e-05	0.041	0	0.031	4.5e-05	0	3.5e-06	0	0.61
88	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
89	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
90	0.0098	0	0	0.0098	0.024	0.024	0	0.05	0	0	0	0	0	0.88	0	8.8e-06	13	0.78
91	0.49	0.0012	0	0.49	0.0027	0.0027	0.0013	0.00055	1.3e-06	0	0.00076	0	0.00057	0.0067	0	1.3e-05	0	0.61
92	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
93	0.48	0.0028	0	0.48	0.0021	0.0021	0.0029	0.0025	0.00027	8e-06	0.0077	0	0.0058	0.0086	0	1e-05	0	0.61
94	0.45	0.011	0	0.45	8.6e-05	8.6e-05	0.011	0	0.00053	3.5e-06	0.047	0	0.035	4.4e-06	0	2.4e-06	0	0.61
95	0	0	0	0	0	0	0	0	0	0	0	0.85	0	0	0.15	0	11	0.13
96	0.47	0.0085	0	0.47	0.00014	0.00014	0.0087	0	0.00027	1.7e-06	0.029	0	0.022	1.2e-05	0	3e-06	0	0.61
97	0.5	0.0019	0	0.5	0.00039	0.00039	0.0019	0	0	0	0.00054	0	0.0004	3e-05	0	6e-06	0	0.61
98	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00024	0	11	0.13
99	0.085	0.0068	0	0.085	1.2e-05	1.2e-05	0.007	0	0.29	0.053	0.27	0	0.2	1.7e-06	0	0	8	0.39
100	0.21	0.016	0	0.21	1.3e-05	1.3e-05	0.016	0	0.035	0.0011	0.29	0	0.22	0	0	0	10	0.47
101	0.5	0	0	0.5	0.0011	0.0011	0	0.00012	0	0	0	0	0	0.0016	0	7.7e-06	0	0.61
102	0.48	3.9e-05	0	0.48	0.014	0.014	4e-05	3.6e-05	0	0	0	0	0	0.013	0	4.2e-05	0	0.61
103	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.7e-06	0	11	0.13
104	0	0	0	0	0	0	0	0	0.0004	0.00064	1.4e-05	0.82	1.1e-05	0	0.18	0	11	0.13
105	0.45	0.0088	0	0.45	0.0002	0.0002	0.009	0	0.0015	2.4e-05	0.047	0	0.035	3.9e-05	0	3.3e-06	0	0.61
106	0.47	0.0046	0	0.47	0.0013	0.0013	0.0047	0.0013	0.0034	0.00024	0.027	0	0.02	0.0045	0	7.7e-06	0	0.61
107	0.42	0.019	0	0.42	1.5e-06	1.5e-06	0.019	0	0.00011	0	0.071	0	0.054	0	0	0	0	0.61
108	0.0037	0.0012	0	0.0037	0	0	0.0012	0	0.56	0.16	0.16	0	0.12	0	0	0	8	0.39
109	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.2e-06	0	11	0.13
110	0	0	0	0	0	0	0	0	0.19	0.81	3e-05	0	2.2e-05	0	0	0	9	0.35
111	0.47	0.0097	0	0.47	8.2e-05	8.2e-05	0.0099	0	0.00014	0	0.029	0	0.021	2.9e-06	0	2.5e-06	0	0.61
112	0.44	0.0064	0	0.44	0.00069	0.00069	0.0065	0.00018	0.009	0.0007	0.051	0	0.039	0.0012	0	5.5e-06	0	0.61
113	0.47	0.0034	0	0.47	0.00032	0.00032	0.0034	4.7e-05	0.0049	0.00025	0.023	0	0.017	0.00045	0	2.8e-06	0	0.61
114	0.47	0.00034	0	0.47	0.008	0.008	0.00034	0.0039	0	0	3.9e-05	0	2.9e-05	0.038	0	2.4e-05	0	0.61
115	0.36	2.5e-05	0	0.36	0.031	0.031	2.6e-05	0.01	0	0	0	0	0	0.21	0	4.8e-05	0	0.61
116	0.025	2e-06	0	0.025	0.0063	0.0063	2e-06	0.54	0	0	0	0	0	0.4	0	4.9e-06	7	0.87
117	0.4	0.013	0	0.4	6.5e-05	6.5e-05	0.014	0	0.0029	3.9e-05	0.097	0	0.073	3.5e-06	0	1.9e-06	0	0.61
118	0.081	0.011	0	0.081	2.8e-06	2.8e-06	0.011	0	0.13	0.0073	0.39	0	0.29	0	0	0	10	0.47
119	0.5	0.0025	0	0.5	0.00021	0.00021	0.0025	0	0	0	0.00081	0	0.00061	7e-06	0	4.6e-06	0	0.61
120	0.06	8.9e-06	0	0.06	0.0086	0.0086	9.1e-06	0.47	0	0	0	0	0	0.39	0	8.6e-06	7	0.87
121	0.062	0.039	0	0.062	0	0	0.04	0	0.00041	0	0.45	0	0.34	0	0	0	10	0.47
122	0.33	0.017	0	0.33	2.6e-05	2.6e-05	0.018	0	0.0057	7.1e-05	0.17	0	0.13	0	0	1.1e-06	0	0.61
123	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
124	0.39	0.0092	0	0.39	2.6e-05	2.6e-05	0.0094	0	0.014	0.00029	0.11	0	0.08	1.5e-06	0	0	0	0.61
125	0	0	0	0	0	0	0	0	0.00064	0.00095	2.7e-05	0.84	2e-05	0	0.16	0	11	0.13
126	0.46	0.00058	0	0.46	0.007	0.007	0.00059	0.018	0	0	0.00021	0	0.00015	0.056	0	2e-05	0	0.61
127	0	0	0	0	0	0	0	0.87	0	0	0	5.6e-05	0	0.13	0	0	7	0.87
128	0	0	0	0	0	0	0	0.29	0	0	0	0.00076	0	0.71	0	0	13	0.78
129	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00024	0	2	0
130	0	0	0	0	0	0	0	0	1.4e-05	0.00023	0	1	0	0	0	0	11	0.13
131	0.48	0.0034	0	0.48	0.0014	0.0014	0.0035	0.00041	0.0003	7.3e-06	0.01	0	0.0076	0.0031	0	8.5e-06	0	0.61
132	0.49	0.0056	0	0.49	3.8e-05	3.8e-05	0.0057	0	0	0	0.0024	0	0.0018	0	0	2.1e-06	0	0.61
133	3.8e-06	0	0	3.8e-06	0	0	0	0	0.00084	0.00095	6.7e-05	0.57	5e-05	0	0.42	0	11	0.13
134	0.5	0.0031	0	0.5	0.00017	0.00017	0.0031	0	0	0	0.0013	0	0.00097	4.9e-06	0	4.1e-06	0	0.61
135	0	0	0	0	0	0	0	0	0.00013	0.00074	0	1	0	0	1.6e-05	0	11	0.13
136	0.47	0.0046	0	0.47	0.0011	0.0011	0.0047	0.00048	0.0018	8.9e-05	0.023	0	0.017	0.0027	0	7.3e-06	0	0.61
137	0.48	0.0027	0	0.48	0.0021	0.0021	0.0028	0.0024	0.00023	6.4e-06	0.0072	0	0.0054	0.0085	0	1e-05	0	0.61
138	0.0007	0	0	0.0007	0.00081	0.00081	0	0.81	0	0	0	0	0	0.19	0	0	7	0.87
139	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
140	8.1e-06	3.6e-06	0	8.1e-06	0	0	3.6e-06	0	0.027	0.037	0.0011	0.93	0.00081	0	0.00028	0	11	0.13
141	0	0	0	0	0	0	0	0	0	0	0	0.97	0	0	0.028	0	11	0.13
142	0	0	0.97	0	0	0	0	0	0	0	0	3.7e-05	0	0	0.028	0	2	0
143	0.48	0.0068	0	0.48	0.00016	0.00016	0.007	0	6e-05	0	0.015	0	0.011	1.2e-05	0	3.4e-06	0	0.61
144	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	2	0
145	0.47	0.012	0	0.47	2.4e-05	2.4e-05	0.012	0	1e-05	0	0.019	0	0.014	0	0	1.5e-06	0	0.61
146	0.24	0.026	0	0.24	2.8e-06	2.8e-06	0.027	0	0.0029	1e-05	0.27	0	0.2	0	0	0	10	0.47
147	0.0039	0.0055	0	0.0039	0	0	0.0056	0	0.059	0.00054	0.53	0	0.4	0	0	0	10	0.47
148	0.39	0.028	0	0.39	3.4e-06	3.4e-06	0.029	0	7.1e-05	0	0.091	0	0.068	0	0	0	0	0.61
149	0.44	0.016	0	0.44	1.8e-05	1.8e-05	0.017	0	9.5e-05	0	0.049	0	0.037	0	0	1.2e-06	0	0.61
150	0.43	0.00037	0	0.43	0.0038	0.0038	0.00038	0.073	2.7e-06	0	0.00027	0	0.0002	0.063	0	9.3e-06	0	0.61
151	0.36	0.009	0	0.36	0.00028	0.00028	0.0092	1.5e-05	0.043	0.0048	0.12	0	0.093	0.00024	0	3.2e-06	0	0.61
152	0.19	0.011	0	0.19	3.2e-05	3.2e-05	0.011	0	0.12	0.012	0.27	0	0.2	4.1e-06	0	0	10	0.47
153	0.29	0.0097	0	0.29	0.00015	0.00015	0.0099	3.6e-06	0.083	0.011	0.17	0	0.13	8.6e-05	0	2.1e-06	0	0.61
154	0	0	0.84	0	0	0	0	0	0	0	0	0.0084	0	0	0.15	0	2	0
155	0.017	3.8e-06	0	0.017	0.0026	0.0026	3.9e-06	0.75	0	0	0	0	0	0.21	0	2.3e-06	7	0.87
156	0	0	0	0	0	0	0	0	4.2e-05	0.00015	0	0.99	0	0	0.01	0	11	0.13
157	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
158	0	0	0	0	0	0	0	0	0	1.6e-06	0	0.99	0	0	0.0059	0	11	0.13
159	0.43	0.0082	0	0.43	0.00035	0.00035	0.0083	9.1e-06	0.0081	0.00041	0.067	0	0.051	0.00023	0	4e-06	0	0.61
160	0.24	0.033	0	0.24	1.2e-06	1.2e-06	0.034	0	0.00089	1.1e-06	0.26	0	0.19	0	0	0	10	0.47
161	0.49	0.0044	0	0.49	0.0005	0.0005	0.0045	2.8e-06	8e-05	0	0.0096	0	0.0072	0.00021	0	5.7e-06	0	0.61
162	0	0	0	0	0	0	0	0	2.7e-05	0.00013	0	1	0	0	0.0012	0	11	0.13
163	0.058	0.018	0	0.058	0	0	0.019	0	0.015	8.6e-05	0.48	0	0.36	0	0	0	10	0.47
164	0.49	0.0047	0	0.49	0.00018	0.00018	0.0048	0	5.3e-06	0	0.0053	0	0.004	1.1e-05	0	3.9e-06	0	0.61
165	0.14	0.0082	0	0.14	3.1e-05	3.1e-05	0.0084	0	0.23	0.039	0.26	0	0.19	7e-06	0	0	10	0.47
166	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
167	0.49	0.0018	0	0.49	0.0016	0.0016	0.0018	0.00011	4.2e-06	0	0.0016	0	0.0012	0.0023	0	1e-05	0	0.61
168	0	0	0	0	0	0	0	0	0.0017	0.0047	1.3e-05	0.99	9.9e-06	0	7.1e-05	0	11	0.13
169	0	0	0	0	0	0	0	0	0	0	0	0.89	0	0	0.11	0	11	0.13
170	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0.02	0	11	0.13
171	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
172	0.46	0.02	0	0.46	4.4e-06	4.4e-06	0.02	0	2.4e-06	0	0.024	0	0.018	0	0	0	0	0.61
173	0.47	0.0032	0	0.47	0.0022	0.0022	0.0033	0.0071	0.0011	6.1e-05	0.013	0	0.0097	0.013	0	1e-05	0	0.61
174	0.0056	0.0036	0	0.0056	0	0	0.0037	0	0.27	0.015	0.4	0	0.3	0	0	0	10	0.47
175	0.046	0.015	0	0.046	0	0	0.015	0	0.026	0.00023	0.49	0	0.37	0	0	0	10	0.47
176	0.47	0.0059	0	0.47	0.00041	0.00041	0.006	3.3e-06	0.00049	7.3e-06	0.022	0	0.016	0.00019	0	4.9e-06	0	0.61
177	0.0078	0.0025	0	0.0078	0	0	0.0026	0	0.45	0.074	0.26	0	0.19	0	0	0	8	0.39
178	0.08	0.021	0	0.08	0	0	0.022	0	0.0097	4.4e-05	0.45	0	0.34	0	0	0	10	0.47
179	0.17	0.013	0	0.17	1.9e-05	1.9e-05	0.013	0	0.091	0.0061	0.3	0	0.23	1.2e-06	0	0	10	0.47
180	0.22	0.012	0	0.22	3.6e-05	3.6e-05	0.013	0	0.076	0.0055	0.26	0	0.19	3.9e-06	0	0	10	0.47
181	0.33	0.032	0	0.33	2.1e-06	2.1e-06	0.033	0	0.00027	0	0.16	0	0.12	0	0	0	0	0.61
182	0	0	0	0	0	0	0	0	0.053	0.13	0.00038	0.81	0.00029	0	0	0	11	0.13
183	0.47	0.014	0	0.47	1.5e-05	1.5e-05	0.014	0	9.7e-06	0	0.023	0	0.017	0	0	1.2e-06	0	0.61
184	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0033	0	11	0.13
185	0.22	0.022	0	0.22	4.3e-06	4.3e-06	0.023	0	0.008	6.3e-05	0.29	0	0.22	0	0	0	10	0.47
186	0.5	0.00029	0	0.5	0.0027	0.0027	0.0003	2.3e-06	0	0	9.2e-06	0	6.9e-06	0.001	0	1.7e-05	0	0.61
187	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0.13
188	0.33	0.023	0	0.33	8.3e-06	8.3e-06	0.024	0	0.0015	5.2e-06	0.17	0	0.12	0	0	0	0	0.61
189	0	0	0	0	0	0	0	0	0	1.8e-06	0	1	0	0	0.00062	0	11	0.13
190	0	0	0	0	0	0	0	0	0.00071	0.0025	1.7e-06	1	1.3e-06	0	2.4e-05	0	11	0.13
191	0.49	0.001	0	0.49	0.0016	0.0016	0.0011	0.0056	0.0001	2.3e-06	0.0021	0	0.0016	0.011	0	6.3e-06	0	0.61
192	0.43	0.00062	0	0.43	0.0028	0.0028	0.00064	0.075	4.8e-05	0	0.001	0	0.00077	0.048	0	7.7e-06	0	0.61
193	0.41	0.0041	0	0.41	0.0003	0.0003	0.0042	0.00017	0.056	0.0093	0.056	0	0.042	0.00067	0	2.4e-06	0	0.61
194	0.46	0.0033	0	0.46	0.00043	0.00043	0.0034	0.00028	0.013	0.0013	0.029	0	0.022	0.0011	0	3.1e-06	0	0.61
195	0.18	0	0	0.18	0.0057	0.0057	0	0.43	0	0	0	0	0	0.19	0	1e-05	7	0.87
196	0.0037	0.0014	0	0.0037	0	0	0.0014	0	0.57	0.05	0.21	0	0.16	0	0	0	8	0.39
197	0.19	0.016	0	0.19	0	0	0.017	0	0.023	0.00017	0.32	0	0.24	0	0	0	10	0.47
198	0.49	0	0	0.49	0.0024	0.0024	0	0.00078	0	0	0	0	0	0.007	0	1.2e-05	0	0.61
199	0.42	0.0085	0	0.42	3e-05	3e-05	0.0087	0	0.0062	9.3e-05	0.077	0	0.058	1.8e-06	0	0	0	0.61
200	0.5	0.00096	0	0.5	0.00094	0.00094	0.00098	0.00018	8.3e-06	0	0.001	0	0.00078	0.002	0	5.3e-06	0	0.61
201	0.48	0.0014	0	0.48	0.0015	0.0015	0.0014	0.017	0.0011	7.4e-05	0.0055	0	0.0042	0.015	0	5.8e-06	0	0.61
202	0.39	0.0042	0	0.39	0.00027	0.00027	0.0042	0.00016	0.078	0.015	0.063	3.8e-06	0.048	0.00061	0	2.2e-06	0	0.61
203	0.45	0.0044	0	0.45	0.0002	0.0002	0.0045	1.1e-05	0.012	0.00068	0.04	0	0.03	0.00017	0	2.2e-06	0	0.61
204	0.33	0	0	0.33	0.0053	0.0053	0	0.22	0	0	0	0	0	0.12	0	1.3e-05	0	0.61
205	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00027	0	2	0
206	0.48	0.0015	0	0.48	0.0013	0.0013	0.0015	0.0072	0.00086	4.7e-05	0.0056	0	0.0042	0.0098	0	5.5e-06	0	0.61
207	0.44	0.0034	0	0.44	0.00047	0.00047	0.0034	0.00071	0.031	0.0049	0.037	0	0.028	0.0017	0	3.1e-06	0	0.61
208	0.5	0.0016	0	0.5	0.00016	0.00016	0.0016	0	0	0	0.0012	0	0.00087	1.9e-05	0	2.5e-06	0	0.61
209	0.47	0.0035	0	0.47	0.0003	0.0003	0.0036	3.1e-05	0.0046	0.00022	0.023	0	0.018	0.00036	0	2.7e-06	0	0.61
210	0.49	0.0024	0	0.49	0.00057	0.00057	0.0024	0.00027	0.0016	7.1e-05	0.011	0	0.0085	0.0014	0	3.8e-06	0	0.61
211	0.48	0	0	0.48	0.0021	0.0021	0	0.013	0	0	0	0	0	0.016	0	9.7e-06	0	0.61
212	0.5	0.0015	0	0.5	0.00019	0.00019	0.0015	0	0	0	0.001	0	0.00075	2.9e-05	0	2.8e-06	0	0.61
213	0.5	0	0	0.5	0.0017	0.0017	0	7.7e-06	0	0	0	0	0	0.001	0	1.1e-05	0	0.61
