SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0
67	0	0	0	0.85	0	0	0	0.14	0.0067	0	0	0	3	0
68	0	0	0	0	0	0	0	1	0.0014	0	0	0	7	0.043
69	0.023	0.041	0	0	0.73	0.17	1.6e-06	0	0	0	0.041	0	4	0.47
70	0.0026	0.5	1.7e-05	0	0.00064	0	0.0057	0	0	0.0003	0.5	0	1	0.61
71	0.052	0.23	0	0	0.47	0.012	1.8e-05	0	0	0	0.23	0	4	0.47
72	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
73	0.041	0.24	1.1e-06	0	0.44	0.03	5e-05	0	0	0	0.24	0	4	0.47
74	0.0011	0.49	1.2e-05	0	0.00036	0	0.0064	0	0	0.004	0.49	1.3e-05	1	0.61
75	0.017	0.44	1.7e-06	0	0.096	0.0066	0.00015	0	0	0	0.44	0	1	0.61
76	1.4e-06	0	0	0	0.00047	0.017	0	0.00017	0.98	0	0	0	8	0.13
77	0	0	0	0	0	7e-06	0	0.0019	1	0	0	0	8	0.13
78	0	0	0	0	0	0	0	0.031	0.97	0	0	0	8	0.13
79	0.04	0.13	0	0	0.65	0.055	8.9e-06	0	0	0	0.13	0	4	0.47
80	0	0	0	0	0	0	0	0.0088	0.99	0	0	0	8	0.13
81	0.0024	0.49	2.2e-05	0	0.00081	0	0.011	0	0	0.0047	0.49	6.3e-06	1	0.61
82	0.049	0.41	1.4e-06	0	0.13	0.00025	3.5e-05	0	0	0	0.41	0	1	0.61
83	0	0	0	0	1.9e-06	0.00019	0	0.0068	0.99	0	0	0	8	0.13
84	0.019	0.48	4.2e-06	0	0.028	6.6e-05	0.00033	0	0	0	0.48	0	1	0.61
85	0.0024	0.45	2.5e-05	0	0.0016	9.7e-06	0.019	0	0	0.072	0.45	0.0039	1	0.61
86	0.0013	0.49	2.7e-05	0	0.00016	0	0.015	0	0	0.0038	0.49	1.1e-06	1	0.61
87	0.02	0.46	5.3e-06	0	0.066	0.0015	0.00071	0	0	6e-06	0.46	0	1	0.61
88	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
89	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
90	0	0.017	2.3e-05	0	0	0	0.14	0	0	0.83	0.017	2.1e-05	9	0.83
91	0.0029	0.49	2e-05	0	0.0012	1.8e-06	0.0091	0	0	0.0031	0.49	3.4e-06	1	0.61
92	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
93	0.0065	0.48	1.5e-05	0	0.013	0.00037	0.0069	0	0	0.0068	0.48	0.00011	1	0.61
94	0.026	0.45	3.6e-06	0	0.076	0.00072	0.00029	0	0	0	0.45	0	1	0.61
95	0	0	0	0	0	0	0	0.14	0.86	0	0	0	8	0.13
96	0.02	0.47	4.6e-06	0	0.047	0.00036	0.00046	0	0	0	0.47	0	1	0.61
97	0.0043	0.5	9.1e-06	0	0.00087	0	0.0013	0	0	1.5e-06	0.5	0	1	0.61
98	0	0	0	0	0	0	0	0.00023	1	0	0	0	8	0.13
99	0.016	0.083	0	0	0.43	0.39	4.1e-05	0	0	0	0.083	0	4	0.47
100	0.038	0.21	0	0	0.49	0.049	4.6e-05	0	0	0	0.21	0	4	0.47
101	0	0.5	1.2e-05	0	0	0	0.0036	0	0	0.00068	0.5	6.7e-05	1	0.61
102	9e-05	0.48	6.4e-05	0	0	0	0.047	0	0	0.0015	0.48	0	1	0.61
103	0	0	0	0	0	0	0	1.6e-06	1	0	0	0	8	0.13
104	0	0	0	0	2.3e-05	0.00054	0	0.18	0.82	0	0	0	8	0.13
105	0.021	0.45	5.1e-06	0	0.076	0.002	0.00065	0	0	5.2e-06	0.45	0	1	0.61
106	0.011	0.47	1.2e-05	0	0.043	0.0047	0.0043	0	0	0.0035	0.47	7.6e-05	1	0.61
107	0.044	0.42	0	0	0.12	0.00015	4.9e-06	0	0	0	0.42	0	1	0.61
108	0.0027	0.0036	0	0	0.25	0.74	0	0	0	0	0.0036	0	5	0.39
109	0	0	0	0	0	0	0	1.2e-06	1	0	0	0	8	0.13
110	0	0	0	0	0.00019	1	0	0	0	0	0	0	5	0.39
111	0.023	0.47	3.7e-06	0	0.046	0.00019	0.00027	0	0	0	0.47	0	1	0.61
112	0.015	0.44	8.4e-06	0	0.083	0.012	0.0023	0	0	0.00067	0.44	4.3e-06	1	0.61
113	0.0079	0.47	4.3e-06	0	0.037	0.0067	0.0011	0	0	0.00021	0.47	0	1	0.61
114	0.00079	0.48	3.6e-05	0	6.4e-05	0	0.027	0	0	0.021	0.48	2.1e-05	1	0.61
115	6.5e-05	0.39	8e-05	0	0	0	0.12	0	0	0.1	0.39	9.5e-06	1	0.61
116	5.2e-06	0.028	8.3e-06	0	0	0	0.024	0	0	0.88	0.028	0.042	9	0.83
117	0.032	0.4	2.9e-06	0	0.16	0.004	0.00022	0	0	0	0.4	0	1	0.61
118	0.026	0.082	0	0	0.63	0.18	9.5e-06	0	0	0	0.082	0	4	0.47
119	0.0058	0.5	6.9e-06	0	0.0013	0	0.0007	0	0	0	0.5	0	1	0.61
120	2.3e-05	0.068	1.5e-05	0	0	0	0.032	0	0	0.79	0.068	0.04	9	0.83
121	0.095	0.065	0	0	0.77	0.00058	0	0	0	0	0.065	0	4	0.47
122	0.041	0.34	1.7e-06	0	0.27	0.0079	8.7e-05	0	0	0	0.34	0	1	0.61
123	0	0	0	1	0	0	0	0	0	0	0	0	3	0
124	0.022	0.39	1.2e-06	0	0.17	0.019	8.6e-05	0	0	0	0.39	0	1	0.61
125	0	0	0	0	4.3e-05	0.00086	0	0.16	0.84	0	0	0	8	0.13
126	0.0014	0.46	3e-05	0	0.00034	0	0.024	0	0	0.05	0.46	0.00052	1	0.61
127	0	0	0	0	0	0	0	0	1.3e-05	1	0	0	9	0.83
128	0	0	0	0	0	0	0	0	0.00012	1	0	0	9	0.83
129	0	0	0	1	0	0	0	0.00023	0	0	0	0	3	0
130	0	0	0	0	0	1.9e-05	0	0	1	0	0	0	8	0.13
131	0.008	0.48	1.3e-05	0	0.016	0.00041	0.0045	0	0	0.0017	0.48	7.2e-06	1	0.61
132	0.013	0.49	3.2e-06	0	0.0039	0	0.00013	0	0	0	0.49	0	1	0.61
133	1.3e-06	3.8e-06	0	0	0.00011	0.0011	0	0.42	0.58	0	3.8e-06	0	8	0.13
134	0.0072	0.5	6.2e-06	0	0.0021	0	0.00057	0	0	0	0.5	0	1	0.61
135	0	0	0	0	0	0.00018	0	1.5e-05	1	0	0	0	8	0.13
136	0.011	0.47	1.1e-05	0	0.037	0.0025	0.0037	0	0	0.0017	0.47	1.4e-05	1	0.61
137	0.0064	0.48	1.6e-05	0	0.012	0.00032	0.0069	0	0	0.0066	0.48	0.0001	1	0.61
138	0	0.00084	0	0	0	0	0.0033	0	0	0.81	0.00084	0.18	9	0.83
139	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
140	8.4e-06	8.2e-06	0	0	0.0018	0.038	0	0.00028	0.96	0	8.2e-06	0	8	0.13
141	0	0	0	0	0	0	0	0.027	0.97	0	0	0	8	0.13
142	0	0	0	0.97	0	0	0	0.028	3.8e-05	0	0	0	3	0
143	0.016	0.48	5.1e-06	0	0.024	8.1e-05	0.00053	0	0	0	0.48	0	1	0.61
144	0	0	0	1	0	0	0	0.0036	0	0	0	0	3	0
145	0.028	0.47	2.3e-06	0	0.03	1.4e-05	7.9e-05	0	0	0	0.47	0	1	0.61
146	0.063	0.25	0	0	0.44	0.004	9.7e-06	0	0	0	0.25	0	4	0.47
147	0.014	0.0041	0	0	0.89	0.084	0	0	0	0	0.0041	0	4	0.47
148	0.066	0.39	0	0	0.15	9.7e-05	1.1e-05	0	0	0	0.39	0	1	0.61
149	0.038	0.44	1.9e-06	0	0.08	0.00013	6.1e-05	0	0	0	0.44	0	1	0.61
150	0.00088	0.44	1.4e-05	0	0.00044	3.8e-06	0.013	0	0	0.1	0.44	0.014	1	0.61
151	0.021	0.36	4.8e-06	0	0.2	0.058	0.00092	0	0	8.8e-05	0.36	0	1	0.61
152	0.026	0.19	1.2e-06	0	0.44	0.16	0.00011	0	0	0	0.19	0	4	0.47
153	0.023	0.29	3.2e-06	0	0.28	0.11	0.00051	0	0	2.6e-05	0.29	0	1	0.61
154	0	0	0	0.84	0	0	0	0.15	0.0085	0	0	0	3	0
155	9.6e-06	0.019	3.8e-06	0	0	0	0.0092	0	0	0.66	0.019	0.29	9	0.83
156	0	0	0	0	0	5.6e-05	0	0.0098	0.99	0	0	0	8	0.13
157	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
158	0	0	0	0	0	0	0	0.0058	0.99	0	0	0	8	0.13
159	0.019	0.43	6.1e-06	0	0.11	0.011	0.0012	0	0	6.9e-05	0.43	0	1	0.61
160	0.079	0.25	0	0	0.43	0.0012	4.1e-06	0	0	0	0.25	0	4	0.47
161	0.01	0.49	8.6e-06	0	0.016	0.00011	0.0017	0	0	4e-05	0.49	0	1	0.61
162	0	0	0	0	0	3.6e-05	0	0.0011	1	0	0	0	8	0.13
163	0.045	0.061	0	0	0.81	0.021	0	0	0	0	0.061	0	4	0.47
164	0.011	0.49	5.9e-06	0	0.0085	7.2e-06	0.00061	0	0	0	0.49	0	1	0.61
165	0.019	0.13	0	0	0.41	0.3	0.0001	0	0	1.3e-06	0.13	0	4	0.47
166	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
167	0.0042	0.49	1.6e-05	0	0.0026	5.8e-06	0.0055	0	0	0.00079	0.49	0	1	0.61
168	0	0	0	0	2.1e-05	0.0023	0	7e-05	1	0	0	0	8	0.13
169	0	0	0	0	0	0	0	0.11	0.89	0	0	0	8	0.13
170	0	0	0	0	0	0	0	0.019	0.98	0	0	0	8	0.13
171	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
172	0.046	0.46	1.1e-06	0	0.038	3.3e-06	1.5e-05	0	0	0	0.46	0	1	0.61
173	0.0075	0.47	1.5e-05	0	0.021	0.0015	0.0074	0	0	0.014	0.47	0.00077	1	0.61
174	0.0081	0.0054	0	0	0.63	0.35	0	0	0	0	0.0054	0	4	0.47
175	0.037	0.049	0	0	0.83	0.038	0	0	0	0	0.049	0	4	0.47
176	0.014	0.47	7.4e-06	0	0.035	0.00066	0.0014	0	0	3.9e-05	0.47	0	1	0.61
177	0.0055	0.0074	0	0	0.39	0.59	0	0	0	0	0.0074	0	5	0.39
178	0.052	0.084	0	0	0.77	0.014	0	0	0	0	0.084	0	4	0.47
179	0.029	0.18	0	0	0.49	0.13	6.3e-05	0	0	0	0.18	0	4	0.47
180	0.029	0.22	1.5e-06	0	0.42	0.1	0.00012	0	0	0	0.22	0	4	0.47
181	0.076	0.33	0	0	0.26	0.00037	7.2e-06	0	0	0	0.33	0	1	0.61
182	0	0	0	0	0.00069	0.081	0	0	0.92	0	0	0	8	0.13
183	0.033	0.47	1.9e-06	0	0.037	1.3e-05	5.1e-05	0	0	0	0.47	0	1	0.61
184	0	0	0	0	0	0	0	0.0032	1	0	0	0	8	0.13
185	0.054	0.22	0	0	0.49	0.011	1.5e-05	0	0	0	0.22	0	4	0.47
186	0.00068	0.5	2.5e-05	0	1.5e-05	0	0.0091	0	0	9.6e-05	0.5	0	1	0.61
187	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
188	0.055	0.34	1.1e-06	0	0.27	0.002	2.8e-05	0	0	0	0.34	0	1	0.61
189	0	0	0	0	0	0	0	0.00061	1	0	0	0	8	0.13
190	0	0	0	0	2.7e-06	0.00096	0	2.4e-05	1	0	0	0	8	0.13
191	0.0024	0.49	9.5e-06	0	0.0035	0.00014	0.0053	0	0	0.011	0.49	0.00052	1	0.61
192	0.0015	0.44	1.2e-05	0	0.0017	6.7e-05	0.0095	0	0	0.085	0.44	0.026	1	0.61
193	0.0095	0.41	3.6e-06	0	0.09	0.077	0.00099	0	0	0.00046	0.41	9.8e-06	1	0.61
194	0.0077	0.46	4.7e-06	0	0.047	0.018	0.0014	0	0	0.00078	0.46	1.5e-05	1	0.61
195	0	0.19	1.6e-05	0	0	0	0.02	0	0	0.44	0.19	0.16	9	0.83
196	0.0028	0.0033	0	0	0.31	0.69	0	0	0	0	0.0033	0	5	0.39
197	0.039	0.19	0	0	0.54	0.032	3.2e-06	0	0	0	0.19	0	4	0.47
198	0	0.49	1.8e-05	0	0	0	0.008	0	0	0.0037	0.49	8.3e-06	1	0.61
199	0.02	0.42	1.4e-06	0	0.13	0.0085	0.0001	0	0	0	0.42	0	1	0.61
200	0.0023	0.5	8.1e-06	0	0.0017	1.1e-05	0.0031	0	0	0.00093	0.5	1.8e-06	1	0.61
201	0.0033	0.48	8.8e-06	0	0.009	0.0015	0.0051	0	0	0.022	0.48	0.0045	1	0.61
202	0.0096	0.39	3.3e-06	0	0.1	0.11	0.0009	0	3.9e-06	0.00042	0.39	9.8e-06	1	0.61
203	0.01	0.45	3.3e-06	0	0.065	0.016	0.00067	0	0	6.2e-05	0.45	0	1	0.61
204	0	0.33	2e-05	0	0	0	0.018	0	0	0.23	0.33	0.082	1	0.61
205	0	0	0	1	0	0	0	0.00027	0	0	0	0	3	0
206	0.0035	0.48	8.3e-06	0	0.0091	0.0012	0.0044	0	0	0.012	0.48	0.0012	1	0.61
207	0.0078	0.44	4.7e-06	0	0.06	0.042	0.0016	0	0	0.0015	0.44	7.5e-05	1	0.61
208	0.0038	0.5	3.9e-06	0	0.0019	0	0.00053	0	0	1.5e-06	0.5	0	1	0.61
209	0.0081	0.47	4.1e-06	0	0.038	0.0063	0.00099	0	0	0.00015	0.47	0	1	0.61
210	0.0055	0.49	5.7e-06	0	0.018	0.0022	0.0019	0	0	0.00089	0.49	9.4e-06	1	0.61
211	0	0.48	1.5e-05	0	0	0	0.0072	0	0	0.02	0.48	0.0038	1	0.61
212	0.0034	0.5	4.2e-06	0	0.0016	0	0.00064	0	0	2.6e-06	0.5	0	1	0.61
213	0	0.5	1.7e-05	0	0	0	0.0056	0	0	0.00017	0.5	0	1	0.61
214	0.0022	0.49	9.1e-06	0	0.002	2.7e-05	0.0043	0	0	0.0033	0.49	2.9e-05	1	0.61
215	0	0	0	0	0	0	0	1	7.5e-06	0	0	0	7	0.043
216	0.0033	0.48	8.7e-06	0	0.0087	0.0013	0.005	0	0	0.018	0.48	0.003	1	0.61
217	0	0	0	0	0	0	0	1	0.00026	0	0	0	7	0.043
218	2.7e-05	7.4e-06	0	0	0.019	0.98	0	0	0	0	7.4e-06	0	5	0.39
219	0	0	0	0.8	0	0	0	0.18	0.016	0	0	0	3	0
220	0.0051	0.5	3.2e-06	0	0.0035	4.6e-06	0.00037	0	0	0	0.5	0	1	0.61
221	0.015	0.31	1.5e-06	0	0.2	0.16	0.0002	0	0	5.9e-06	0.31	0	1	0.61
222	0.0048	0.5	3e-06	0	0.0024	0	0.0003	0	0	0	0.5	0	1	0.61
223	0.0063	0.47	5.7e-06	0	0.032	0.01	0.0021	0	0	0.0022	0.47	8.8e-05	1	0.61
224	0.0025	0.49	9e-06	0	0.0033	9.3e-05	0.0044	0	0	0.0056	0.49	0.00012	1	0.61
225	0	0.5	1e-05	0	0	0	0.0027	0	0	0.00045	0.5	0.00034	1	0.61
226	0.0066	0.45	5.6e-06	0	0.045	0.032	0.0023	0	3.5e-06	0.0045	0.45	0.00057	1	0.61
227	0.0015	0.5	9.6e-06	0	0.00068	0	0.0043	0	0	0.0015	0.5	2.6e-06	1	0.61
228	0	0.46	1.8e-05	0	0	0	0.012	0	0	0.056	0.46	0.0092	1	0.61
229	0	0.5	1.3e-05	0	0	0	0.0037	0	0	0.00023	0.5	1.1e-06	1	0.61
230	0.0034	0.48	8.5e-06	0	0.0085	0.0011	0.0046	0	0	0.013	0.48	0.0014	1	0.61
231	0.0095	0.39	3.4e-06	0	0.1	0.11	0.00093	0	7.7e-06	0.00049	0.39	1.3e-05	1	0.61
232	0.012	0.47	2.5e-06	0	0.047	0.0026	0.00032	0	0	3.1e-06	0.47	0	1	0.61
233	0.00026	0.36	1.9e-05	0	2.9e-05	0	0.024	0	0	0.24	0.36	0.017	1	0.61
234	0.0019	0.5	8.7e-06	0	0.0011	4.8e-06	0.0036	0	0	0.0011	0.5	2e-06	1	0.61
235	0.0038	0.49	6.9e-06	0	0.0076	0.00037	0.0026	0	0	0.0015	0.49	1.4e-05	1	0.61
236	0.026	0.036	0	0	0.84	0.067	0	0	0	0	0.036	0	4	0.47
237	0.01	0.48	2.8e-06	0	0.033	0.0013	0.00038	0	0	3.9e-06	0.48	0	1	0.61
238	0.0044	0.5	2.6e-06	0	0.0014	0	0.0002	0	0	0	0.5	0	1	0.61
239	0	0	0	0.99	0	0	0	0.0053	0	0	0	0	3	0
240	0.029	0.46	0	0	0.043	2.5e-05	1e-05	0	0	0	0.46	0	1	0.61
241	0	0	0	0.85	0	0	0	0.14	0.007	0	0	0	3	0
242	0	0	0	0	0	0	0	1	4.8e-05	0	0	0	7	0.043
243	0.0038	0.5	1.8e-06	0	0.00032	0	6.3e-05	0	0	0	0.5	0	1	0.61
244	0.011	0.47	2.7e-06	0	0.047	0.0033	0.00039	0	0	6e-06	0.47	0	1	0.61
245	0.0037	0.49	7.7e-06	0	0.0092	0.00089	0.0035	0	0	0.0052	0.49	0.00022	1	0.61
246	0.0096	0.45	3.7e-06	0	0.064	0.022	0.00087	0	0	0.00016	0.45	0	1	0.61
247	0.0001	0	0	0	0.16	0.84	0	0	0	0	0	0	5	0.39
248	0.0011	0.46	1.4e-05	0	0.00065	6.7e-06	0.011	0	0	0.06	0.46	0.0058	1	0.61
249	0.0023	0.49	9.2e-06	0	0.0026	5.6e-05	0.0047	0	0	0.0055	0.49	0.0001	1	0.61
250	0	0.5	1.7e-05	0	0	0	0.006	0	0	0.00032	0.5	0	1	0.61
251	0	0	0	0	0	0	0	1	0	0	0	0	7	0.043
252	0.011	0.47	2.9e-06	0	0.044	0.0032	0.00044	0	0	9.1e-06	0.47	0	1	0.61
253	0	0.052	1.4e-05	0	0	0	0.037	0	0	0.85	0.052	0.0098	9	0.83
254	0.01	0.41	3.2e-06	0	0.097	0.064	0.00076	0	0	0.00018	0.41	1.5e-06	1	0.61
255	4.7e-05	5e-05	0	0	0.015	0.82	0	0	0.16	0	5e-05	0	5	0.39
256	0	0	0	0	0.00017	1	0	0	0	0	0	0	5	0.39
257	0	0	0	0	0	0	0	1	0.00032	0	0	0	7	0.043
258	0.0085	0.49	7.7e-06	0	0.0061	6.6e-06	0.0011	0	0	4.2e-06	0.49	0	1	0.61
259	0.015	0.34	6.7e-06	0	0.17	0.13	0.0022	2.4e-06	0.0031	0.0026	0.34	0.00021	1	0.61
260	0.02	0.091	0	0	0.5	0.3	2.9e-05	0	0	0	0.091	0	4	0.47
261	0	2.1e-06	0	0.65	2.4e-05	0.00017	0	0.27	0.081	0	2.1e-06	0	3	0
262	0	0	0	0	0	0	0	1	3.9e-05	0	0	0	7	0.043
263	0.012	0.48	2.2e-06	0	0.03	0.00043	0.0002	0	0	0	0.48	0	1	0.61
264	0	0	0	0.96	0	0	0	0.043	0.00014	0	0	0	3	0
265	0	0	0	0	0	0	0	0.98	0.017	0	0	0	7	0.043
266	0.0051	0.49	1.4e-05	0	0.0039	1.2e-05	0.0045	0	0	0.00051	0.49	0	1	0.61
267	0.036	0.21	0	0	0.49	0.065	5.2e-05	0	0	0	0.21	0	4	0.47
268	0.012	0.45	1.1e-05	0	0.06	0.011	0.0044	0	0	0.0051	0.45	0.00023	1	0.61
269	0	0	0	0.94	0	0	0	0.06	0.00039	0	0	0	3	0
270	0.011	0.47	1.1e-05	0	0.044	0.0046	0.0041	0	0	0.0029	0.47	5e-05	1	0.61
271	0	0	0	1	0	0	0	9.3e-05	0	0	0	0	3	0
272	0.028	0.45	3e-06	0	0.063	0.00024	0.00017	0	0	0	0.45	0	1	0.61
273	0.0092	0.49	2.7e-06	0	0.02	0.00026	0.00031	0	0	1.2e-06	0.49	0	1	0.61
274	0.00053	0.5	1.3e-05	0	3.2e-05	0	0.0056	0	0	0.00042	0.5	0	1	0.61
275	0.012	0.46	1e-05	0	0.05	0.0045	0.0032	0	0	0.0013	0.46	9.7e-06	1	0.61
276	0.0052	0.016	0	0	0.28	0.69	4.2e-06	0	1.9e-05	0	0.016	0	5	0.39
277	0.024	0.37	1e-06	0	0.21	0.023	6.5e-05	0	0	0	0.37	0	1	0.61
278	0.015	0.39	2e-06	0	0.15	0.063	0.00028	0	0	8.1e-06	0.39	0	1	0.61
279	0.0053	0.48	6.6e-06	0	0.024	0.0076	0.0029	0	0	0.0055	0.48	0.00049	1	0.61
280	0.018	0.38	1.5e-06	0	0.18	0.049	0.00016	0	0	1.3e-06	0.38	0	1	0.61
281	0.0055	0.48	6.2e-06	0	0.024	0.0059	0.0024	0	0	0.0028	0.48	0.00012	1	0.61
282	0.029	0.39	0	0	0.19	0.0063	3.1e-05	0	0	0	0.39	0	1	0.61
283	0.019	0.43	1.5e-06	0	0.12	0.0082	0.00012	0	0	0	0.43	0	1	0.61
