SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0
104	0	0	0	0	1.1e-05	0	0	0	0.00064	0.82	0.18	0	0.0004	1.5e-05	9	0.13
105	0.9	0.0092	0	0.00039	0.035	3.9e-05	0	0.0097	2.4e-05	0	0	4.7e-06	0.0015	0.047	0	0.61
106	0.93	0.0048	0	0.0026	0.02	0.0045	0.0013	0.0051	0.00024	0	0	1.1e-05	0.0034	0.027	0	0.61
107	0.84	0.019	0	2.9e-06	0.052	0	0	0.02	0	0	0	0	0.00011	0.072	0	0.61
108	0.0074	0.0012	0	0	0.12	0	0	0.0013	0.16	0	0	0	0.56	0.16	12	0.39
109	0	0	0	0	0	0	0	0	0	1	1.2e-06	0	0	0	9	0.13
110	0	0	0	0	2.2e-05	0	0	0	0.81	0	0	0	0.19	3e-05	8	0.35
111	0.93	0.01	0	0.00016	0.021	2.9e-06	0	0.011	0	0	0	3.5e-06	0.00014	0.029	0	0.61
112	0.88	0.0067	0	0.0014	0.038	0.0012	0.00018	0.007	0.0007	0	0	7.9e-06	0.009	0.052	0	0.61
113	0.95	0.0035	0	0.00064	0.017	0.00045	4.7e-05	0.0037	0.00025	0	0	4e-06	0.0049	0.023	0	0.61
114	0.94	0.00035	0	0.016	2.9e-05	0.038	0.0039	0.00037	0	0	0	3.3e-05	0	3.9e-05	0	0.61
115	0.71	2.6e-05	0	0.062	0	0.22	0.01	2.8e-05	0	0	0	6.8e-05	0	0	0	0.61
116	0.051	2.1e-06	0	0.013	0	0.4	0.54	2.2e-06	0	0	0	7e-06	0	0	6	0.87
117	0.8	0.014	0	0.00013	0.071	3.5e-06	0	0.015	3.9e-05	0	0	2.7e-06	0.003	0.097	0	0.61
118	0.16	0.011	0	5.6e-06	0.29	0	0	0.012	0.0073	0	0	0	0.13	0.39	13	0.47
119	0.99	0.0026	0	0.00042	0.0006	7e-06	0	0.0027	0	0	0	6.5e-06	0	0.00081	0	0.61
120	0.12	9.3e-06	0	0.017	0	0.39	0.47	9.8e-06	0	0	0	1.2e-05	0	0	6	0.87
121	0.12	0.04	0	0	0.33	0	0	0.042	0	0	0	0	0.00041	0.46	13	0.47
122	0.67	0.018	0	5.1e-05	0.12	0	0	0.019	7e-05	0	0	1.6e-06	0.0057	0.17	0	0.61
123	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
124	0.78	0.0096	0	5.1e-05	0.079	1.5e-06	0	0.01	0.00029	0	0	1.1e-06	0.014	0.11	0	0.61
125	0	0	0	0	2e-05	0	0	0	0.00095	0.84	0.16	0	0.00064	2.7e-05	9	0.13
126	0.91	0.00061	0	0.014	0.00015	0.056	0.018	0.00064	0	0	0	2.8e-05	0	0.00021	0	0.61
127	0	0	0	0	0	0.13	0.87	0	0	5.6e-05	0	0	0	0	6	0.87
128	0	0	0	0	0	0.71	0.29	0	0	0.00076	0	0	0	0	5	0.78
129	0	0	1	0	0	0	0	0	0	0	0.00024	0	0	0	2	0
130	0	0	0	0	0	0	0	0	0.00023	1	0	0	1.4e-05	0	9	0.13
131	0.97	0.0036	0	0.0027	0.0074	0.0031	0.00041	0.0038	7.3e-06	0	0	1.2e-05	0.0003	0.01	0	0.61
132	0.98	0.0058	0	7.5e-05	0.0018	0	0	0.0061	0	0	0	3e-06	0	0.0024	0	0.61
133	7.6e-06	0	0	0	4.9e-05	0	0	0	0.00095	0.57	0.42	0	0.00084	6.8e-05	9	0.13
134	0.99	0.0032	0	0.00034	0.00095	4.9e-06	0	0.0034	0	0	0	5.8e-06	0	0.0013	0	0.61
135	0	0	0	0	0	0	0	0	0.00074	1	1.6e-05	0	0.00013	0	9	0.13
136	0.94	0.0048	0	0.0022	0.017	0.0027	0.00048	0.005	8.8e-05	0	0	1e-05	0.0018	0.023	0	0.61
137	0.97	0.0029	0	0.0041	0.0053	0.0085	0.0024	0.003	6.4e-06	0	0	1.5e-05	0.00023	0.0073	0	0.61
138	0.0014	0	0	0.0016	0	0.19	0.81	0	0	0	0	0	0	0	6	0.87
139	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
140	1.6e-05	3.7e-06	0	0	0.00079	0	0	3.9e-06	0.036	0.93	0.00028	0	0.027	0.0011	9	0.13
141	0	0	0	0	0	0	0	0	0	0.97	0.028	0	0	0	9	0.13
142	0	0	0.97	0	0	0	0	0	0	3.7e-05	0.028	0	0	0	2	0
143	0.96	0.0071	0	0.00031	0.011	1.2e-05	0	0.0075	0	0	0	4.8e-06	6e-05	0.015	0	0.61
144	0	0	1	0	0	0	0	0	0	0	0.0036	0	0	0	2	0
145	0.94	0.012	0	4.7e-05	0.014	0	0	0.013	0	0	0	2.1e-06	1e-05	0.019	0	0.61
146	0.48	0.028	0	5.6e-06	0.2	0	0	0.029	1e-05	0	0	0	0.0029	0.27	0	0.61
147	0.0078	0.0058	0	0	0.39	0	0	0.0061	0.00054	0	0	0	0.059	0.53	13	0.47
148	0.78	0.029	0	6.7e-06	0.067	0	0	0.031	0	0	0	0	7.1e-05	0.091	0	0.61
149	0.88	0.017	0	3.6e-05	0.036	0	0	0.018	0	0	0	1.8e-06	9.5e-05	0.05	0	0.61
150	0.86	0.00039	0	0.0076	0.0002	0.063	0.073	0.00041	0	0	0	1.3e-05	2.7e-06	0.00027	0	0.61
151	0.72	0.0094	0	0.00055	0.091	0.00024	1.5e-05	0.0098	0.0048	0	0	4.5e-06	0.043	0.12	0	0.61
152	0.37	0.012	0	6.3e-05	0.2	4.1e-06	0	0.012	0.012	0	0	1.2e-06	0.12	0.27	0	0.61
153	0.58	0.01	0	0.0003	0.13	8.6e-05	3.6e-06	0.011	0.011	0	0	3e-06	0.084	0.18	0	0.61
154	0	0	0.84	0	0	0	0	0	0	0.0084	0.15	0	0	0	2	0
155	0.035	4e-06	0	0.0051	0	0.21	0.75	4.2e-06	0	0	0	3.3e-06	0	0	6	0.87
156	0	0	0	0	0	0	0	0	0.00015	0.99	0.01	0	4.2e-05	0	9	0.13
157	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
158	0	0	0	0	0	0	0	0	1.6e-06	0.99	0.0059	0	0	0	9	0.13
159	0.86	0.0085	0	0.00068	0.05	0.00023	9.1e-06	0.009	0.00041	0	0	5.7e-06	0.0081	0.068	0	0.61
160	0.48	0.034	0	2.4e-06	0.19	0	0	0.036	1.1e-06	0	0	0	0.00089	0.26	0	0.61
161	0.97	0.0046	0	0.001	0.0071	0.00021	2.8e-06	0.0048	0	0	0	8e-06	8e-05	0.0097	0	0.61
162	0	0	0	0	0	0	0	0	0.00013	1	0.0012	0	2.7e-05	0	9	0.13
163	0.12	0.019	0	0	0.35	0	0	0.02	8.6e-05	0	0	0	0.015	0.48	13	0.47
164	0.98	0.0049	0	0.00036	0.0039	1.1e-05	0	0.0052	0	0	0	5.5e-06	5.3e-06	0.0053	0	0.61
165	0.27	0.0086	0	6.1e-05	0.19	7e-06	0	0.009	0.039	0	0	0	0.23	0.26	0	0.61
166	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
167	0.99	0.0019	0	0.0033	0.0012	0.0023	0.00011	0.002	0	0	0	1.5e-05	4.3e-06	0.0016	0	0.61
168	0	0	0	0	9.7e-06	0	0	0	0.0047	0.99	7.1e-05	0	0.0017	1.3e-05	9	0.13
169	0	0	0	0	0	0	0	0	0	0.89	0.11	0	0	0	9	0.13
170	0	0	0	0	0	0	0	0	0	0.98	0.02	0	0	0	9	0.13
171	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
172	0.92	0.02	0	8.7e-06	0.017	0	0	0.021	0	0	0	1e-06	2.4e-06	0.024	0	0.61
173	0.94	0.0033	0	0.0044	0.0095	0.013	0.0071	0.0035	6.1e-05	0	0	1.4e-05	0.0011	0.013	0	0.61
174	0.011	0.0038	0	0	0.29	0	0	0.0039	0.015	0	0	0	0.27	0.4	13	0.47
175	0.092	0.016	0	0	0.36	0	0	0.017	0.00023	0	0	0	0.026	0.49	13	0.47
176	0.95	0.0062	0	0.00082	0.016	0.00019	3.3e-06	0.0065	7.3e-06	0	0	7e-06	0.00049	0.022	0	0.61
177	0.016	0.0026	0	0	0.19	0	0	0.0028	0.074	0	0	0	0.46	0.26	12	0.39
178	0.16	0.022	0	0	0.33	0	0	0.023	4.4e-05	0	0	0	0.0097	0.45	13	0.47
179	0.35	0.013	0	3.7e-05	0.22	1.2e-06	0	0.014	0.0061	0	0	0	0.092	0.3	0	0.61
180	0.44	0.013	0	7.2e-05	0.19	4e-06	0	0.014	0.0055	0	0	1.4e-06	0.077	0.26	0	0.61
181	0.65	0.034	0	4.2e-06	0.12	0	0	0.035	0	0	0	0	0.00027	0.16	0	0.61
182	0	0	0	0	0.00028	0	0	0	0.13	0.81	0	0	0.054	0.00038	9	0.13
183	0.93	0.015	0	3e-05	0.017	0	0	0.015	0	0	0	1.8e-06	9.7e-06	0.023	0	0.61
184	0	0	0	0	0	0	0	0	0	1	0.0033	0	0	0	9	0.13
185	0.43	0.023	0	8.5e-06	0.22	0	0	0.024	6.3e-05	0	0	0	0.008	0.3	0	0.61
186	0.99	0.0003	0	0.0054	6.8e-06	0.001	2.3e-06	0.00032	0	0	0	2.4e-05	0	9.3e-06	0	0.61
187	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.13
188	0.66	0.024	0	1.6e-05	0.12	0	0	0.025	5.2e-06	0	0	0	0.0015	0.17	0	0.61
189	0	0	0	0	0	0	0	0	1.8e-06	1	0.00062	0	0	0	9	0.13
190	0	0	0	0	1.3e-06	0	0	0	0.0025	1	2.4e-05	0	0.00072	1.7e-06	9	0.13
191	0.97	0.0011	0	0.0031	0.0016	0.011	0.0056	0.0011	2.3e-06	0	0	8.9e-06	0.0001	0.0022	0	0.61
192	0.87	0.00065	0	0.0056	0.00075	0.048	0.075	0.00068	0	0	0	1.1e-05	4.9e-05	0.001	0	0.61
193	0.83	0.0043	0	0.00059	0.041	0.00067	0.00017	0.0045	0.0093	0	0	3.4e-06	0.057	0.056	0	0.61
194	0.93	0.0034	0	0.00086	0.021	0.0011	0.00028	0.0036	0.0013	0	0	4.4e-06	0.013	0.029	0	0.61
195	0.37	0	0	0.011	0	0.19	0.43	0	0	0	0	1.5e-05	0	0	6	0.87
196	0.0074	0.0014	0	0	0.16	0	0	0.0015	0.05	0	0	0	0.57	0.21	12	0.39
197	0.38	0.017	0	1.9e-06	0.24	0	0	0.018	0.00017	0	0	0	0.023	0.33	0	0.61
198	0.99	0	0	0.0048	0	0.007	0.00078	0	0	0	0	1.7e-05	0	0	0	0.61
199	0.84	0.0089	0	6e-05	0.057	1.8e-06	0	0.0093	9.3e-05	0	0	1.3e-06	0.0062	0.077	0	0.61
200	0.99	0.001	0	0.0019	0.00076	0.002	0.00018	0.0011	0	0	0	7.6e-06	8.3e-06	0.001	0	0.61
201	0.95	0.0015	0	0.003	0.0041	0.015	0.017	0.0015	7.3e-05	0	0	8.3e-06	0.0011	0.0056	0	0.61
202	0.79	0.0043	0	0.00054	0.047	0.00061	0.00016	0.0046	0.015	3.8e-06	0	3.1e-06	0.078	0.064	0	0.61
203	0.91	0.0046	0	0.0004	0.03	0.00017	1.1e-05	0.0049	0.00068	0	0	3.1e-06	0.012	0.04	0	0.61
204	0.65	0	0	0.011	0	0.12	0.22	0	0	0	0	1.8e-05	0	0	0	0.61
205	0	0	1	0	0	0	0	0	0	0	0.00027	0	0	0	2	0
206	0.97	0.0016	0	0.0026	0.0041	0.0098	0.0072	0.0016	4.7e-05	0	0	7.8e-06	0.00086	0.0056	0	0.61
207	0.89	0.0035	0	0.00094	0.027	0.0017	0.00071	0.0037	0.0049	0	0	4.4e-06	0.031	0.037	0	0.61
208	0.99	0.0017	0	0.00032	0.00086	1.9e-05	0	0.0018	0	0	0	3.6e-06	0	0.0012	0	0.61
209	0.95	0.0036	0	0.00059	0.017	0.00036	3.1e-05	0.0038	0.00022	0	0	3.9e-06	0.0046	0.024	0	0.61
210	0.97	0.0025	0	0.0011	0.0083	0.0014	0.00027	0.0026	7e-05	0	0	5.3e-06	0.0016	0.011	0	0.61
211	0.97	0	0	0.0042	0	0.016	0.013	0	0	0	0	1.4e-05	0	0	0	0.61
212	0.99	0.0015	0	0.00038	0.00074	2.9e-05	0	0.0016	0	0	0	3.9e-06	0	0.001	0	0.61
213	1	0	0	0.0033	0	0.001	7.7e-06	0	0	0	0	1.6e-05	0	0	0	0.61
214	0.99	0.00098	0	0.0025	0.00092	0.0048	0.001	0.001	0	0	0	8.5e-06	2e-05	0.0013	0	0.61
215	0	0	0	0	0	0	0	0	0	7.3e-06	1	0	0	0	10	0.043
216	0.96	0.0015	0	0.0029	0.004	0.014	0.013	0.0015	5.7e-05	0	0	8.2e-06	0.00094	0.0054	0	0.61
217	0	0	0	0	0	0	0	0	0	0.00025	1	0	0	0	10	0.043
218	1.2e-05	1e-05	0	0	0.0072	0	0	1e-05	0.4	0	0	0	0.59	0.0098	12	0.39
219	0	0	0.8	0	0	0	0	0	0	0.016	0.18	0	0	0	2	0
220	0.99	0.0023	0	0.00022	0.0016	9.8e-06	0	0.0024	0	0	0	3e-06	3.4e-06	0.0022	0	0.61
221	0.63	0.0067	0	0.00012	0.094	2.4e-05	0	0.007	0.013	0	0	1.4e-06	0.12	0.13	0	0.61
222	0.99	0.0021	0	0.00018	0.0011	4.7e-06	0	0.0022	0	0	0	2.8e-06	0	0.0015	0	0.61
223	0.95	0.0028	0	0.0013	0.014	0.0025	0.00097	0.0029	0.00072	0	0	5.3e-06	0.0077	0.02	0	0.61
224	0.98	0.0011	0	0.0026	0.0015	0.0066	0.0022	0.0012	0	0	0	8.4e-06	6.9e-05	0.002	0	0.61
225	1	0	0	0.0016	0	0.0011	9e-05	0	0	0	0	9.4e-06	0	0	0	0.61
226	0.91	0.003	0	0.0014	0.021	0.0039	0.0028	0.0031	0.004	3.4e-06	0	5.3e-06	0.024	0.028	0	0.61
227	0.99	0.00069	0	0.0025	0.00031	0.0031	0.0003	0.00073	0	0	0	9e-06	0	0.00043	0	0.61
228	0.91	0	0	0.0068	0	0.038	0.041	0	0	0	0	1.7e-05	0	0	0	0.61
229	1	0	0	0.0022	0	0.00094	2e-05	0	0	0	0	1.2e-05	0	0	0	0.61
230	0.97	0.0015	0	0.0027	0.0039	0.011	0.0082	0.0016	4.1e-05	0	0	8e-06	0.00078	0.0053	0	0.61
231	0.78	0.0043	0	0.00056	0.046	0.00068	0.00019	0.0045	0.016	7.6e-06	0	3.2e-06	0.08	0.063	0	0.61
232	0.94	0.0052	0	0.00019	0.021	2.1e-05	0	0.0055	3e-05	0	0	2.4e-06	0.0019	0.029	0	0.61
233	0.69	0.00011	0	0.014	1.2e-05	0.15	0.15	0.00011	0	0	0	1.7e-05	0	1.7e-05	0	0.61
234	0.99	0.00085	0	0.0021	0.0005	0.0024	0.00022	0.00089	0	0	0	8.2e-06	3.6e-06	0.00069	0	0.61
235	0.98	0.0017	0	0.0016	0.0035	0.0023	0.00044	0.0018	6.4e-06	0	0	6.4e-06	0.00027	0.0047	0	0.61
236	0.069	0.011	0	0	0.36	0	0	0.012	0.00027	0	0	0	0.047	0.5	13	0.47
237	0.95	0.0046	0	0.00022	0.015	2.6e-05	0	0.0048	1.2e-05	0	0	2.6e-06	0.00094	0.021	0	0.61
238	0.99	0.002	0	0.00012	0.00063	1.3e-06	0	0.0021	0	0	0	2.5e-06	0	0.00086	0	0.61
239	0	0	0.99	0	0	0	0	0	0	0	0.0053	0	0	0	2	0
240	0.93	0.013	0	6e-06	0.02	0	0	0.013	0	0	0	0	1.9e-05	0.027	0	0.61
241	0	0	0.85	0	0	0	0	0	0	0.0069	0.14	0	0	0	2	0
242	0	0	0	0	0	0	0	0	0	4.7e-05	1	0	0	0	10	0.043
