SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0
56	0.7	0.3	0.0033	0	0	0	0.15
57	0.83	0.17	0	0	0	0	0.15
58	0.97	0.0012	0.03	0	0	0	0.15
59	0.93	0.067	0.0018	0	0	0	0.15
60	4.9e-05	1	0	0	0	1	0.23
61	0.29	8.5e-05	0.64	0	0.067	2	0.1
62	0.8	0.011	0.18	0	0.0028	0	0.15
63	0.13	0.87	0	0	0	1	0.23
64	0.83	0.049	0.12	0	0.0028	0	0.15
65	0.98	0.015	0.0085	0	0	0	0.15
66	0.83	0.062	0.1	0	0.0021	0	0.15
67	1	0.0019	0.0023	0	0	0	0.15
68	0.77	0.16	0.062	0	0.00023	0	0.15
69	0.0023	0	0.043	0	0.95	4	0.05
70	0.85	0.017	0.13	0	0.001	0	0.15
71	0.86	0.035	0.1	0	0.00081	0	0.15
72	0.85	0.13	0.027	0	2.6e-05	0	0.15
73	0.98	0.00088	0.016	0	0	0	0.15
74	0.15	0.47	0.32	0	0.053	1	0.23
75	0.18	0.82	0.0012	1.4e-05	0	1	0.23
76	0.19	0.81	0.00083	0	0	1	0.23
77	0.96	0.0094	0.035	0	0	0	0.15
78	0.94	0.041	0.021	0	0	0	0.15
79	0.64	0.35	0.0067	4.7e-06	1.3e-05	0	0.15
80	0.87	0.061	0.071	0	0.00041	0	0.15
81	0.84	0.14	0.017	0	4e-06	0	0.15
82	0.77	0.18	0.047	0	0.00072	0	0.15
83	0.57	0.43	0.00023	0	0	0	0.15
84	0.56	0.44	8.2e-05	0	0	0	0.15
85	1	0.0023	0.00031	0	0	0	0.15
86	0.53	0.46	0.0014	0.0034	4.2e-06	0	0.15
87	0.48	0.52	0.00055	0	0	1	0.23
88	0.53	0.47	1.7e-05	0	0	0	0.15
89	0.86	0.14	9.6e-05	0	0	0	0.15
90	0.87	0.11	0.028	0	2e-05	0	0.15
91	0.91	0.085	0.003	0	0	0	0.15
92	0.61	0.39	0.0021	0	0	0	0.15
93	0.98	0.018	3.1e-05	0	0	0	0.15
94	0.13	0	0.86	0	0.01	2	0.1
95	0.29	0.71	0	0	0	1	0.23
96	0.81	0.0094	0.18	0	0.002	0	0.15
97	0.69	0.3	0.0073	0	0	0	0.15
98	0.95	0.014	0.036	0	2.7e-06	0	0.15
99	0.78	0.22	0	0	0	0	0.15
100	0.98	0.017	0	0	0	0	0.15
101	0.0028	0	0.15	0	0.85	4	0.05
102	0.92	0.079	0.00013	0	0	0	0.15
103	0.64	0.36	8.8e-05	0	0	0	0.15
104	0.85	0.11	0.039	0	1.4e-05	0	0.15
105	0.16	0.84	1.7e-05	0	0	1	0.23
106	0.06	0.94	0	0	0	1	0.23
107	0.059	0.94	0	0	0	1	0.23
108	0.48	0.52	0.0024	0	0	1	0.23
109	0.97	0.018	0.012	0	0	0	0.15
110	0.021	0.98	0	0	0	1	0.23
111	0.039	0.96	5.7e-06	0	0	1	0.23
112	0.84	0.16	0.00077	0	0	0	0.15
113	0.046	0.95	3.7e-05	1.1e-06	0	1	0.23
114	0.92	0.03	0.054	0	7.7e-06	0	0.15
115	0.7	0.29	0.0073	0	0	0	0.15
116	0.54	0.46	0.00012	0	0	0	0.15
117	0.2	0.8	1.5e-06	0	0	1	0.23
118	0.72	0.27	0.0022	0	0	0	0.15
119	0.94	0.064	2.4e-05	0	0	0	0.15
120	0.0036	1	0	0	0	1	0.23
121	0.78	0.14	0.082	0	0.00054	0	0.15
122	0.39	0.61	4e-05	0	0	1	0.23
123	0.56	0.44	0.0053	0	0	0	0.15
124	0.66	0.0022	0.33	0	0.0017	0	0.15
125	0.95	0.051	0.0001	0	0	0	0.15
126	0.9	0.091	0.013	0	0	0	0.15
127	0.99	0.0069	0.0025	0	0	0	0.15
128	0.63	0.35	0.013	0	3e-06	0	0.15
129	0.52	0.0049	0.44	0	0.04	0	0.15
130	0.2	0.8	0.0017	2.2e-05	0	1	0.23
131	0.91	0.089	0.0017	0	0	0	0.15
132	0.95	0.05	0.0038	0	0	0	0.15
133	0.61	0.39	2e-05	0	0	0	0.15
134	0.95	0.033	0.021	0	0	0	0.15
135	0.88	0.098	0.02	0	3.9e-06	0	0.15
136	0.58	0.42	2.6e-05	7.9e-05	0	0	0.15
137	0.79	0.17	0.034	0	0.00015	0	0.15
138	0.68	0.31	0.0084	0	3.7e-06	0	0.15
139	0.97	0.015	0.017	0	0	0	0.15
140	0.72	0.0001	0.28	0	6.2e-05	0	0.15
141	0.65	0.35	0.0066	0	5.7e-06	0	0.15
142	0.68	0.0067	0.29	0	0.021	0	0.15
143	0.84	0.16	0.0015	0	0	0	0.15
144	0.53	0.47	0.001	0	0	0	0.15
145	0.75	0.25	0	0	0	0	0.15
146	0.13	0	0.86	0	0.019	2	0.1
147	0.21	0.79	0	0	0	1	0.23
148	0.87	0.13	0.0012	0	0	0	0.15
149	0.93	0.064	0.0037	0	0	0	0.15
150	0.58	0.42	0.00019	0	0	0	0.15
151	0.54	8.3e-06	0.46	0	6.8e-05	0	0.15
152	0.92	0.065	0.012	0	0	0	0.15
153	0.95	0.00019	0.052	0	0	0	0.15
154	0.64	0.36	0.00038	0	0	0	0.15
155	0.00014	0	0.023	0	0.98	4	0.05
156	0.028	0.97	0	0	0	1	0.23
157	0.25	0.75	2.7e-06	0	0	1	0.23
158	0.98	0.023	0.0002	0	0	0	0.15
159	0.11	0.89	0	0	0	1	0.23
160	0.57	0.00018	0.43	0	0.002	0	0.15
161	0.66	7.5e-05	0.34	0	0.00013	0	0.15
162	0.84	0.16	0.00054	0	0	0	0.15
163	0.92	0.081	0.0003	0	0	0	0.15
164	0.87	0.0032	0.12	0	8.1e-05	0	0.15
165	0.44	0.56	0.00015	0	0	1	0.23
166	0.87	0.11	0.018	0	3.4e-06	0	0.15
167	0.9	0	0.1	0	0	0	0.15
168	0.95	0.019	0.026	0	0	0	0.15
169	1	0.0018	0.00064	0	0	0	0.15
170	0.9	0.07	0.033	0	2e-05	0	0.15
171	0.8	0.00028	0.2	0	4.1e-05	0	0.15
172	0.48	0.52	0	0	0	1	0.23
173	0.75	0.00073	0.24	0	0.00037	0	0.15
174	0.82	0.17	0.0014	0	0	0	0.15
175	0.94	0.002	0.058	0	0	0	0.15
176	0.58	0.42	0.00083	0	0	0	0.15
177	0.73	0.23	0.037	4.5e-06	0.00073	0	0.15
178	0.55	2.7e-06	0.45	0	1.5e-05	0	0.15
179	0.64	0.35	0.0062	0	5.3e-06	0	0.15
180	0.83	0.012	0.16	0	0.0015	0	0.15
181	0.71	0.27	0.022	0	0.00016	0	0.15
182	0.53	0.47	0.00093	0	0	0	0.15
183	0.38	0.62	9.2e-05	0	0	1	0.23
184	0	0	0.00072	0	1	4	0.05
185	0.65	0.00059	0.35	0	0.00043	0	0.15
186	0.42	1e-05	0.58	0	0.00012	2	0.1
187	0.17	0.83	0	0	0	1	0.23
188	0.97	0.00038	0.026	0	0	0	0.15
189	0.3	0	0.7	0	0	2	0.1
190	0.43	0.00019	0.57	0	0.0041	2	0.1
191	0.51	2.3e-05	0.49	0	7.1e-05	0	0.15
192	0.9	0.057	0.047	0	1.1e-05	0	0.15
193	0.00093	0	1	0	0.0028	2	0.1
194	0.00044	0	0.2	0	0.8	4	0.05
195	0.092	0	0.9	0	0.0075	2	0.1
196	0.41	6.4e-05	0.58	0	0.0013	2	0.1
197	0.87	0.12	0.012	0	0	0	0.15
198	0.0023	1	0	0	0	1	0.23
199	0.87	0.089	0.039	0	1e-05	0	0.15
200	0.76	0.18	0.066	0	0.00036	0	0.15
201	0.61	0.39	8.4e-05	0	0	0	0.15
202	0.92	0.064	0.019	0	0	0	0.15
203	0.73	0.0043	0.26	0	0.00094	0	0.15
204	0.47	0.0019	0.5	0	0.031	2	0.1
205	0.8	0.027	0.16	0	0.0055	0	0.15
206	0.98	0.016	0.0036	0	0	0	0.15
207	0.85	0.003	0.15	0	3.3e-05	0	0.15
208	0.022	0.98	2.2e-06	0	0	1	0.23
209	0.87	0.11	0.026	0	2.5e-06	0	0.15
210	0.0031	0	0.82	0	0.17	2	0.1
211	0.77	0.097	0.13	0	0.0025	0	0.15
212	0.086	7.9e-06	0.73	0	0.19	2	0.1
213	0.96	0.038	0.0022	0	0	0	0.15
214	0.98	0.0069	0.013	0	0	0	0.15
215	0.7	0.3	0	0	0	0	0.15
216	0.7	0.24	0.065	0	0.00068	0	0.15
217	0.13	0.87	0.0007	0.00011	0	1	0.23
218	0.36	1.2e-06	0.64	0	2.1e-05	2	0.1
219	0.35	0.00023	0.63	0	0.02	2	0.1
220	0.66	0.016	0.31	0	0.016	0	0.15
221	0.86	0.022	0.12	0	0.00018	0	0.15
222	0.69	0.039	0.26	0	0.019	0	0.15
223	0.85	0.12	0.031	0	6.6e-06	0	0.15
224	0.067	0	0.91	0	0.019	2	0.1
225	0.86	0.08	0.063	0	6.7e-05	0	0.15
226	0.97	0.019	0.0066	0	0	0	0.15
227	0.75	0.23	0.02	0	4.3e-06	0	0.15
228	0.49	0.51	0.0026	0	0	1	0.23
229	0.78	0.21	0.011	0	0	0	0.15
230	0.57	0.0056	0.41	0	0.023	0	0.15
231	0.75	0.005	0.25	0	0.00082	0	0.15
232	0.59	3.3e-05	0.41	0	3.3e-05	0	0.15
233	0.031	0.97	0	0	0	1	0.23
234	0.83	0.083	0.09	0	0.00034	0	0.15
235	0.66	0.31	0.037	0	0.00013	0	0.15
236	0.42	0.00048	0.56	0	0.013	2	0.1
237	0.85	0.048	0.1	0	0.00022	0	0.15
238	0.42	0.58	0.00011	0	0	1	0.23
239	0.084	3e-06	0.82	0	0.1	2	0.1
240	0.96	0.0037	0.037	0	0	0	0.15
241	0.84	0.15	0.0096	0	0	0	0.15
242	0.78	0.11	0.11	0	0.0013	0	0.15
243	0.98	0.011	0.0069	0	0	0	0.15
244	0.81	0.01	0.18	0	0.0004	0	0.15
245	0.36	0.64	4.8e-05	0	0	1	0.23
246	0.74	0.017	0.24	0	0.0034	0	0.15
247	0.8	0.19	0.012	0	2.4e-06	0	0.15
248	0.78	0.22	4.6e-05	0	0	0	0.15
249	0.99	0.0072	0.00065	0	0	0	0.15
250	0.96	0.029	0.011	0	0	0	0.15
251	0.45	0.55	3.9e-05	0	0	1	0.23
252	0.68	0.32	5.1e-05	0	0	0	0.15
253	0.61	0.39	2.6e-06	0	0	0	0.15
254	0.37	0.00024	0.57	0	0.056	2	0.1
255	0.49	0.51	0	0	0	1	0.23
256	0.85	0.001	0.15	0	5.4e-05	0	0.15
257	0.96	0.018	0.024	0	0	0	0.15
258	0.88	0.017	0.1	0	0.00035	0	0.15
259	0.98	0.017	0.0014	0	0	0	0.15
260	0.00027	0	0.99	0	0.011	2	0.1
261	0.91	0.073	0.016	0	0	0	0.15
262	0.07	0.45	0.48	0	0.004	2	0.1
263	0.67	0.011	0.28	0	0.036	0	0.15
264	0.73	0.0083	0.25	0	0.011	0	0.15
265	0.59	3.9e-06	0.41	0	1.1e-05	0	0.15
266	0.65	0.35	0.0026	0	0	0	0.15
267	0.73	0.0031	0.26	0	0.0035	0	0.15
268	0.95	0.017	0.037	0	3.8e-06	0	0.15
269	0.84	0.13	0.023	0	1.4e-05	0	0.15
270	1	0.00019	0.0047	0	0	0	0.15
271	0.54	0.46	2.8e-05	0	0	0	0.15
272	0.96	0.041	0	0	0	0	0.15
273	0.83	0.022	0.15	0	0.0024	0	0.15
274	0.77	0.23	0	0	0	0	0.15
275	0.68	0.32	0.0008	0	0	0	0.15
276	0.47	0.53	0.00035	0	0	1	0.23
277	0.73	0.27	0	0	0	0	0.15
278	0.77	0.22	0.0092	0	0	0	0.15
279	0.23	0.77	0	0	0	1	0.23
280	0.23	0.77	1.1e-05	0	0	1	0.23
281	0.78	0.003	0.22	0	0.0013	0	0.15
282	0.84	0.16	7.2e-05	0	0	0	0.15
283	0.98	0.02	0.0035	0	0	0	0.15
284	0.93	0.073	0.0016	0	0	0	0.15
285	0.061	0.94	0	0	0	1	0.23
286	0.85	0.15	0.00088	0	0	0	0.15
287	0.81	0.19	0	0	0	0	0.15
288	0.46	0.54	0	0.00044	0	1	0.23
289	0.51	0.49	3.8e-05	0	0	0	0.15
290	0.91	0.088	0.0039	0	0	0	0.15
291	0.95	0.0027	0.049	0	0	0	0.15
292	0.83	0.16	0.013	0	0	0	0.15
293	0.81	0.17	0.024	0	2.9e-05	0	0.15
294	0.62	0.37	0.0042	0	0	0	0.15
295	0.7	0.0023	0.29	0	0.0044	0	0.15
296	0.75	0.25	3.9e-05	0	0	0	0.15
297	0.4	0.6	0	0	0	1	0.23
298	0.86	0.14	0.00052	0	0	0	0.15
299	0.57	0.43	0	0	0	0	0.15
300	0.7	0.29	0.0042	1.6e-06	2.8e-06	0	0.15
301	0.78	0.19	0.028	0	5.8e-05	0	0.15
302	0.99	0.0024	0.0047	0	0	0	0.15
303	0.96	0.035	0.0013	0	0	0	0.15
304	0.72	0.28	2e-05	0	0	0	0.15
305	0.51	3.9e-06	0.49	0	1.7e-05	0	0.15
306	0.83	0.1	0.065	0	0.00034	0	0.15
307	0.99	0.0075	0.00082	0	0	0	0.15
308	0.84	0.11	0.049	0	0.0001	0	0.15
309	0.91	0.088	0.0066	0	0	0	0.15
310	0.91	0.011	0.076	0	2.1e-05	0	0.15
311	0.82	0.17	0.015	0	0	0	0.15
312	0.81	0.14	0.049	0	0.00021	0	0.15
313	0.68	0.32	0.00036	6.5e-06	0	0	0.15
314	0.6	0.4	0.00089	0	0	0	0.15
315	0.76	0.24	0	0	0	0	0.15
316	0.98	3.7e-05	0.017	0	0	0	0.15
317	0.8	0.088	0.11	0	0.0023	0	0.15
318	0.85	0.019	0.13	0	0.00054	0	0.15
319	0.96	0.0052	0.032	0	0	0	0.15
320	0.81	0.19	0	0	0	0	0.15
321	0.55	0.45	1.1e-05	0.0002	0	0	0.15
322	0.53	0.47	0	2.3e-05	0	0	0.15
323	0.84	0.16	0	0	0	0	0.15
324	0.93	0.065	0	0	0	0	0.15
325	0.63	0.37	0	0	0	0	0.15
326	0.37	0.63	0	0	0	1	0.23
327	0.94	0.0002	0.056	0	0	0	0.15
328	0.4	0.6	0	0	0	1	0.23
329	0.98	1.3e-05	0.016	0	0	0	0.15
330	0.73	0.27	0	0	0	0	0.15
331	0.21	0.79	0	0	0	1	0.23
332	0.89	0.11	0.0023	0	0	0	0.15
333	0.74	0.26	0.0062	0	0	0	0.15
334	0.64	0.36	0.0016	0	0	0	0.15
335	0.77	0.23	0	0	0	0	0.15
336	0.00041	0	0.19	0	0.81	4	0.05
337	0.68	0.32	0	0	0	0	0.15
338	0.48	0.52	0	0	0	1	0.23
339	0.87	0.13	0	0	0	0	0.15
340	0.88	0.12	0.00037	0	0	0	0.15
341	0.92	0.084	0	0	0	0	0.15
342	0.93	0.0055	0.06	0	2.9e-06	0	0.15
343	0.98	3.3e-05	0.018	0	0	0	0.15
344	0.86	0.028	0.11	0	0.00036	0	0.15
345	0.8	0.18	0.015	0	2.4e-06	0	0.15
346	0.074	0.93	0	0	0	1	0.23
347	0.68	0.32	0.00015	3.1e-06	0	0	0.15
348	0.93	0.051	0.02	0	0	0	0.15
349	0.25	0.75	0.0012	0	0	1	0.23
350	0.69	0.0009	0.3	0	0.0003	0	0.15
351	0.77	0.18	0.051	0	0.00012	0	0.15
352	0.68	0.32	1.9e-05	2.9e-06	0	0	0.15
353	0.74	0.25	0.01	0	2.7e-06	0	0.15
354	0.82	0.14	0.037	0	6.5e-05	0	0.15
355	0.91	0.0047	0.085	0	1.1e-05	0	0.15
356	0.89	0.11	0	0	0	0	0.15
357	0.67	0.32	0.00062	0	0	0	0.15
358	0.94	0.058	0	0	0	0	0.15
359	0.96	0.012	0.025	0	0	0	0.15
360	0.72	0.28	0.0009	0	0	0	0.15
361	0.94	0.055	0.00093	0	0	0	0.15
362	0.65	0.33	0.012	0.00054	0.00013	0	0.15
363	0.89	0.047	0.062	0	6.2e-05	0	0.15
364	0.76	0.0038	0.23	0	0.00099	0	0.15
365	0.62	0.38	6.5e-05	0	0	0	0.15
366	0.96	0.037	0.0077	0	0	0	0.15
367	0.66	0.34	0.00064	0	0	0	0.15
368	0.82	0.08	0.097	0	0.00053	0	0.15
369	0.56	0.44	0.00057	0	0	0	0.15
370	0.76	0.13	0.11	0	0.0024	0	0.15
371	0.75	0.25	2.3e-06	7.9e-06	0	0	0.15
372	0.13	0.48	0.36	0	0.032	1	0.23
373	0.81	0.19	0	9.3e-06	0	0	0.15
374	0.23	0.77	0	0	0	1	0.23
375	0.79	0.21	0.0086	0	0	0	0.15
376	0.82	0.17	0.0083	0	0	0	0.15
377	0.16	0.84	0	0	0	1	0.23
378	0.47	0.53	7.5e-05	0	0	1	0.23
379	0.26	0.74	5.8e-06	0	0	1	0.23
380	0.75	0.057	0.19	0	0.00026	0	0.15
381	0.94	0.061	0.002	0	0	0	0.15
382	0.77	0.092	0.14	0	0.0016	0	0.15
383	0.78	0.21	0.013	0	0	0	0.15
384	0.83	0.049	0.13	0	0.00027	0	0.15
385	0.65	0.35	0.001	0	0	0	0.15
386	0.96	0.036	0	0	0	0	0.15
387	0.67	0.0067	0.31	0	0.012	0	0.15
388	0.8	0.16	0.041	0	0.00029	0	0.15
389	0.77	0.13	0.094	0	0.0069	0	0.15
390	0.84	0.019	0.14	0	0.0016	0	0.15
391	0.6	0.4	0.00015	0	0	0	0.15
392	0.0016	0	0.46	0	0.54	4	0.05
393	0.91	0.087	0.0069	0	0	0	0.15
394	0.86	0.14	0	0	0	0	0.15
395	0.45	7.6e-06	0.55	0	0.00029	2	0.1
396	0.085	0	0.91	0	0.00066	2	0.1
397	0.95	0.0074	0.041	0	0	0	0.15
398	0.87	0.00097	0.12	0	1.9e-05	0	0.15
399	0.99	0.0046	0.0027	0	0	0	0.15
400	0.83	0.11	0.059	0	0.00054	0	0.15
401	0.0064	0.99	0	0	0	1	0.23
402	0.39	0.61	3.8e-06	0	0	1	0.23
403	0.91	0.083	0.0063	0	0	0	0.15
404	0.71	0.29	0.00069	0	0	0	0.15
405	0.62	0.38	0.0006	0	0	0	0.15
406	0.7	0.3	0.0017	0	0	0	0.15
407	0.79	0.044	0.15	0	0.0092	0	0.15
408	0.95	0.035	0.013	0	0	0	0.15
409	0.99	0.0059	0.0032	0	0	0	0.15
410	0.59	0	0.41	0	2.4e-06	0	0.15
411	0.75	0.25	0.003	0	0	0	0.15
412	0.41	0.59	3.8e-06	0	0	1	0.23
413	0.32	0.68	5.4e-05	0	0	1	0.23
414	0.27	0.73	0	0	0	1	0.23
415	0.27	0.73	8e-06	0	0	1	0.23
416	0.56	0.44	3.4e-06	0	0	0	0.15
417	0.98	0.00095	0.02	0	0	0	0.15
418	0.97	0.019	0.0062	0	0	0	0.15
419	0.81	0.18	0.0085	0	0	0	0.15
420	0.62	0.38	0.0073	0.00034	5.1e-05	0	0.15
421	0.85	0.15	7.5e-05	0	0	0	0.15
422	0.71	8.9e-05	0.29	0	7e-05	0	0.15
423	0.94	0.06	0.0016	0	0	0	0.15
424	0.87	0.13	0.0029	0	0	0	0.15
425	0.99	0.00062	0.0054	0	0	0	0.15
426	0.21	5.8e-05	0.63	0	0.16	2	0.1
427	0	0	0	0	1	4	0.05
428	0.62	0.38	0.0008	0	0	0	0.15
429	0.86	0.14	0.00011	0	0	0	0.15
430	0.87	0.11	0.024	0	1.1e-05	0	0.15
431	0.88	0.12	0.0063	0	0	0	0.15
432	0.19	0.0004	0.39	0	0.42	4	0.05
433	0.087	0.91	0	0	0	1	0.23
434	0.27	0.73	3.3e-06	0	0	1	0.23
435	0.99	0.00091	0.01	0	0	0	0.15
436	0.95	0.046	0.004	0	0	0	0.15
437	0.038	0.96	0	0	0	1	0.23
438	0.95	0.05	2.7e-05	0	0	0	0.15
439	0.81	0.19	0.00062	0	0	0	0.15
440	0.55	0.45	0.0011	0	0	0	0.15
441	0.6	0.39	0.0027	0	0	0	0.15
442	0.97	0.018	0.015	0	0	0	0.15
443	0.35	0.63	2.6e-06	0.02	0	1	0.23
444	0.12	0	0.87	0	0.0017	2	0.1
445	0.66	0.34	0.008	0	1.1e-05	0	0.15
446	0.58	0.42	5.2e-05	0	0	0	0.15
447	0.99	0.005	0.00011	0	0	0	0.15
448	0.76	0.00061	0.24	0	0.00026	0	0.15
449	0.64	0.36	0.00087	0	0	0	0.15
450	0.38	0.62	3.4e-05	0	0	1	0.23
451	0.89	0.00039	0.11	0	3.3e-06	0	0.15
452	0.96	0.036	3.3e-06	0	0	0	0.15
453	0.21	0.00016	0.52	0	0.27	2	0.1
454	0.86	0.14	3.9e-05	0	0	0	0.15
455	0.44	0.56	4.2e-05	0	0	1	0.23
456	0.7	0.0011	0.3	0	0.0019	0	0.15
457	0.95	0.044	0.0024	0	0	0	0.15
458	0.053	0.95	3.9e-06	0	0	1	0.23
459	0.84	0.16	0.00016	0	0	0	0.15
460	0.46	0.52	0.023	0.00021	0.00018	1	0.23
461	0.02	0.98	0	0	0	1	0.23
462	0.16	0.84	0.00047	0	0	1	0.23
463	0.83	0.16	0.017	0	5.9e-06	0	0.15
464	0.1	0.9	0	0	0	1	0.23
465	0.011	0.99	0	0	0	1	0.23
466	0.034	0.97	3.3e-06	0	0	1	0.23
467	0.0013	1	0	0	0	1	0.23
468	0.14	0.86	5.7e-05	0	0	1	0.23
469	0.0093	0.99	0	0	0	1	0.23
470	0.0019	1	0	0	0	1	0.23
471	0.65	0.35	1.6e-06	0	0	0	0.15
472	0.045	0.95	0	0	0	1	0.23
473	0.97	0.00022	0.033	0	0	0	0.15
474	0.014	0.99	0	0	0	1	0.23
475	0.011	0.99	0	0	0	1	0.23
476	0.36	0.64	9.1e-05	0	0	1	0.23
477	0.97	0.027	0.0012	0	0	0	0.15
478	0.99	0.0091	0.0016	0	0	0	0.15
479	0.82	0.15	0.031	0	6.4e-05	0	0.15
480	0.95	0.048	0.0036	0	0	0	0.15
481	0.3	0.7	0.00069	0	0	1	0.23
482	0.00011	1	0	0	0	1	0.23
483	0.85	0.11	0.033	0	7.4e-06	0	0.15
484	0.24	0.76	1.8e-06	0	0	1	0.23
485	0.084	1.8e-06	0.86	0	0.06	2	0.1
486	0.46	0.54	2.6e-05	0	0	1	0.23
487	0.2	0.8	0.0005	0	0	1	0.23
488	0.79	0.21	0.00091	0	0	0	0.15
489	0.59	0.41	1.2e-05	0	0	0	0.15
490	0.68	0.32	0	0	0	0	0.15
491	0.01	0.96	3.7e-06	0.029	0	1	0.23
492	0.14	0.86	3.4e-05	0	0	1	0.23
493	0.24	0.76	0.00011	0	0	1	0.23
494	0.77	0.1	0.13	0	0.0024	0	0.15
495	0.81	0.15	0.034	0	0.0001	0	0.15
496	0.91	0.016	0.078	0	1.6e-05	0	0.15
497	0.23	3.6e-05	0.75	0	0.024	2	0.1
498	0.071	0.93	4.9e-05	0	0	1	0.23
499	0.61	0.39	0.0021	0	0	0	0.15
500	1.6e-06	1	0	0	0	1	0.23
501	0.79	0.16	0.052	2.6e-06	0.00033	0	0.15
502	0.61	0.39	7.2e-06	0	0	0	0.15
503	0.96	0.043	0	0	0	0	0.15
504	0.99	0.0037	0.0027	0	0	0	0.15
505	0.55	0.45	0.00072	0	0	0	0.15
506	0.82	0.16	0.026	0	3.3e-05	0	0.15
507	0.59	0.41	0	3.3e-06	0	0	0.15
508	0.85	0.12	0.025	0	1.6e-05	0	0.15
509	0.56	0.44	0.0016	0	0	0	0.15
510	0.68	0.00045	0.32	0	0.00094	0	0.15
511	0.79	0.21	0.0023	0	0	0	0.15
512	0.029	0	0.92	0	0.05	2	0.1
513	0.44	0.00033	0.53	0	0.031	2	0.1
514	0.96	0.027	0.014	0	0	0	0.15
515	0.89	0.099	0.015	0	0	0	0.15
516	0.53	0.47	3e-06	0	0	0	0.15
517	1	0.00027	0.0005	0	0	0	0.15
518	0.017	0	0.9	0	0.079	2	0.1
519	0.38	0.62	0.00013	0	0	1	0.23
520	0	0	0	1	0	3	0.62
521	0.99	0.0083	0.006	0	0	0	0.15
522	0.87	0.00082	0.13	0	2.9e-06	0	0.15
523	0.98	0.019	0.0021	0	0	0	0.15
524	0.7	0.3	0.0017	0	0	0	0.15
525	0.54	0.46	3.9e-05	0	0	0	0.15
526	0.0027	0	0.67	0	0.32	2	0.1
527	0.99	0.0041	0.0071	0	0	0	0.15
528	0.65	0.34	0.0074	0	6.7e-06	0	0.15
529	0.8	0.073	0.13	0	0.0012	0	0.15
530	0.17	0.83	0.00069	0	0	1	0.23
531	0.72	0.25	0.032	0	3.6e-05	0	0.15
532	0.57	0.43	2.5e-05	0	0	0	0.15
533	0.82	0.15	0.024	0	2e-05	0	0.15
534	0.83	0.0037	0.16	0	0.00036	0	0.15
535	0.46	0.54	0.00042	0	0	1	0.23
536	0.78	0.22	0.0015	0	0	0	0.15
537	0.92	0.058	0.019	0	0	0	0.15
538	0.93	0.074	0	0	0	0	0.15
