SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster	dcf0
79	0.33	0	0.0012	0.0012	0.33	0.17	0.17	0.00054	4.5e-06	4	0.15
80	0.45	0	0.019	0.019	0.45	0.03	0.03	0	0	4	0.15
81	0.43	0	0.0021	0.0021	0.43	0.068	0.067	0	0	4	0.15
82	0.4	0	0.014	0.014	0.4	0.088	0.087	6.6e-05	0	4	0.15
83	0.29	0	3e-06	3e-06	0.29	0.21	0.21	0	0	4	0.15
84	0.29	0	0	0	0.29	0.21	0.21	0	0	4	0.15
85	0.5	0	0	0	0.5	0.0011	0.0011	0	0	4	0.15
86	0.27	0	0.00026	0.00026	0.27	0.22	0.22	0.0043	0.0032	4	0.15
87	0.25	0	1.9e-05	1.9e-05	0.25	0.25	0.25	6.8e-06	0	5	0.23
88	0.27	0	0	0	0.27	0.23	0.23	0	0	4	0.15
89	0.44	0	0	0	0.44	0.065	0.064	0	0	4	0.15
90	0.44	0	0.0045	0.0045	0.44	0.051	0.051	0	0	4	0.15
91	0.46	0	9.6e-05	9.6e-05	0.46	0.04	0.04	0	0	4	0.15
92	0.31	0	0.00012	0.00012	0.31	0.19	0.19	5.7e-06	0	4	0.15
93	0.49	0	0	0	0.49	0.0084	0.0084	0	0	4	0.15
94	0.055	3.8e-06	0.45	0.45	0.055	0	0	0	0	2	0.083
95	0.15	0	0	0	0.15	0.35	0.35	0	0	5	0.23
96	0.43	0	0.065	0.065	0.43	0.0047	0.0047	0	0	4	0.15
97	0.36	0	0.00081	0.00081	0.36	0.14	0.14	1.7e-05	0	4	0.15
98	0.49	0	0.0041	0.0041	0.49	0.007	0.007	0	0	4	0.15
99	0.4	0	0	0	0.4	0.1	0.1	0	0	4	0.15
100	0.49	0	0	0	0.49	0.0082	0.0081	0	0	4	0.15
101	0.002	0	0.5	0.5	0.002	0	0	0	0	2	0.083
102	0.46	0	0	0	0.46	0.037	0.037	0	0	4	0.15
103	0.33	0	0	0	0.33	0.17	0.17	0	0	4	0.15
104	0.44	0	0.0056	0.0056	0.44	0.053	0.053	0	0	4	0.15
105	0.086	0	0	0	0.086	0.42	0.41	0	0	5	0.23
106	0.032	0	0	0	0.032	0.47	0.47	0	0	5	0.23
107	0.031	0	0	0	0.031	0.47	0.47	0	0	5	0.23
108	0.25	0	0.00013	0.00013	0.25	0.25	0.25	4.6e-06	0	5	0.23
109	0.49	0	0.0005	0.0005	0.49	0.0084	0.0083	0	0	4	0.15
110	0.011	0	0	0	0.011	0.49	0.49	0	0	5	0.23
111	0.021	0	0	0	0.021	0.48	0.48	0.00012	0	5	0.23
112	0.42	0	8.8e-06	8.8e-06	0.42	0.076	0.076	0	0	4	0.15
113	0.024	0	1.1e-06	1.1e-06	0.024	0.47	0.47	0.005	1.1e-06	5	0.23
114	0.48	0	0.0071	0.0071	0.48	0.015	0.015	0	0	4	0.15
115	0.36	0	0.0005	0.0005	0.36	0.14	0.14	0	0	4	0.15
116	0.28	0	0	0	0.28	0.22	0.22	0	0	4	0.15
117	0.11	0	0	0	0.11	0.39	0.39	0	0	5	0.23
118	0.37	0	6.3e-05	6.3e-05	0.37	0.13	0.13	0	0	4	0.15
119	0.47	0	0	0	0.47	0.03	0.03	0	0	4	0.15
120	0.0019	0	0	0	0.0019	0.5	0.5	0	0	5	0.23
121	0.41	0	0.022	0.022	0.41	0.067	0.067	3.2e-06	0	4	0.15
122	0.2	0	0	0	0.2	0.3	0.3	0	0	5	0.23
123	0.29	0	0.00039	0.00039	0.29	0.21	0.21	6.2e-06	0	4	0.15
124	0.38	2e-06	0.12	0.12	0.38	0.0012	0.0012	0	0	4	0.15
125	0.48	0	0	0	0.48	0.024	0.024	0	0	4	0.15
126	0.46	0	0.00078	0.00078	0.46	0.044	0.043	0	0	4	0.15
127	0.5	0	2.8e-05	2.8e-05	0.5	0.0033	0.0033	0	0	4	0.15
128	0.33	0	0.0016	0.0016	0.33	0.17	0.17	1.1e-05	0	4	0.15
129	0.25	2.3e-06	0.24	0.24	0.25	0.0023	0.0023	0	0	4	0.15
130	0.11	0	0.00016	0.00016	0.11	0.39	0.39	0.0034	2.2e-05	5	0.23
131	0.46	0	2.7e-05	2.7e-05	0.46	0.042	0.042	0	0	4	0.15
132	0.48	0	0.00013	0.00013	0.48	0.024	0.024	0	0	4	0.15
133	0.31	0	0	0	0.31	0.19	0.19	0.00055	0	4	0.15
134	0.48	0	0.002	0.002	0.48	0.016	0.016	0	0	4	0.15
135	0.45	0	0.0024	0.0024	0.45	0.047	0.047	0	0	4	0.15
136	0.29	0	0	0	0.29	0.2	0.2	0.0028	7.6e-05	4	0.15
137	0.41	0	0.008	0.008	0.41	0.083	0.083	1.7e-05	0	4	0.15
138	0.35	0	0.0011	0.0011	0.35	0.15	0.15	4.6e-05	0	4	0.15
139	0.49	0	0.0012	0.0012	0.49	0.0072	0.0072	0	0	4	0.15
140	0.43	0	0.065	0.065	0.43	5.8e-05	5.8e-05	0	0	4	0.15
141	0.33	0	0.00098	0.00098	0.33	0.17	0.17	0.00022	0	4	0.15
142	0.34	0	0.15	0.15	0.34	0.0032	0.0032	0	0	4	0.15
143	0.42	0	3.8e-05	3.8e-05	0.42	0.077	0.077	0	0	4	0.15
144	0.27	0	6.2e-05	6.2e-05	0.27	0.23	0.22	6.4e-05	0	4	0.15
145	0.38	0	0	0	0.38	0.12	0.12	0.0009	0	4	0.15
146	0.049	3.5e-06	0.45	0.45	0.049	0	0	0	0	2	0.083
147	0.11	0	0	0	0.11	0.39	0.39	0	0	5	0.23
148	0.44	0	2.3e-05	2.3e-05	0.44	0.062	0.062	0	0	4	0.15
149	0.47	0	0.00013	0.00013	0.47	0.03	0.03	0	0	4	0.15
150	0.3	0	1e-05	1e-05	0.3	0.2	0.2	0.00056	0	4	0.15
151	0.37	3.3e-06	0.13	0.13	0.37	5.4e-06	5.3e-06	0	0	4	0.15
152	0.47	0	0.00086	0.00086	0.47	0.031	0.031	0	0	4	0.15
153	0.5	0	0.0031	0.0031	0.5	9.2e-05	9.2e-05	0	0	4	0.15
154	0.33	0	5.9e-06	5.9e-06	0.33	0.17	0.17	0	0	4	0.15
155	0.00037	0	0.5	0.5	0.00037	0	0	0	0	2	0.083
156	0.015	0	0	0	0.015	0.49	0.48	0	0	5	0.23
157	0.13	0	0	0	0.13	0.37	0.37	0	0	5	0.23
158	0.49	0	0	0	0.49	0.011	0.011	0	0	4	0.15
159	0.057	0	0	0	0.057	0.44	0.44	0	0	5	0.23
160	0.32	2.6e-06	0.18	0.18	0.32	9.4e-05	9.4e-05	0	0	4	0.15
161	0.41	2.2e-06	0.094	0.094	0.41	4.4e-05	4.3e-05	0	0	4	0.15
162	0.42	0	7e-06	7e-06	0.42	0.077	0.076	0	0	4	0.15
163	0.46	0	2.1e-06	2.1e-06	0.46	0.038	0.038	0	0	4	0.15
164	0.47	0	0.026	0.026	0.47	0.0016	0.0016	0	0	4	0.15
165	0.23	0	2.2e-06	2.2e-06	0.23	0.27	0.27	0	0	5	0.23
166	0.45	0	0.0022	0.0022	0.45	0.053	0.052	0	0	4	0.15
167	0.5	0	0.0027	0.0027	0.5	0	0	0	0	4	0.15
168	0.49	0	0.0026	0.0026	0.49	0.0091	0.009	0	0	4	0.15
169	0.5	0	3e-06	3e-06	0.5	0.00086	0.00086	0	0	4	0.15
170	0.46	0	0.0054	0.0054	0.46	0.034	0.034	0	0	4	0.15
171	0.46	0	0.042	0.042	0.46	0.00015	0.00015	0	0	4	0.15
172	0.25	0	0	0	0.25	0.25	0.25	4.6e-05	0	5	0.23
173	0.43	0	0.072	0.072	0.43	0.00039	0.00039	0	0	4	0.15
174	0.42	0	3.5e-05	3.5e-05	0.42	0.083	0.082	0	0	4	0.15
175	0.49	0	0.0062	0.0062	0.49	0.001	0.00099	0	0	4	0.15
176	0.3	0	6.8e-05	6.8e-05	0.3	0.2	0.2	0.00047	0	4	0.15
177	0.38	0	0.012	0.012	0.38	0.11	0.11	0.00024	4.3e-06	4	0.15
178	0.39	3.4e-06	0.11	0.11	0.39	0	0	0	0	4	0.15
179	0.33	0	0.00092	0.00092	0.33	0.17	0.17	0.00024	0	4	0.15
180	0.44	0	0.054	0.054	0.44	0.0061	0.0061	0	0	4	0.15
181	0.37	0	0.0054	0.0054	0.37	0.13	0.13	0.00022	0	4	0.15
182	0.27	0	4e-05	4e-05	0.27	0.23	0.23	8.5e-06	0	4	0.15
183	0.2	0	0	0	0.2	0.3	0.3	0	0	5	0.23
184	1.3e-05	0	0.5	0.5	1.3e-05	0	0	0	0	2	0.083
185	0.39	2.2e-06	0.11	0.11	0.39	0.00034	0.00034	0	0	4	0.15
186	0.31	4.5e-06	0.19	0.19	0.31	7.1e-06	7e-06	0	0	4	0.15
187	0.087	0	0	0	0.087	0.41	0.41	0	0	5	0.23
188	0.5	0	0.0011	0.0011	0.5	0.00018	0.00018	0	0	4	0.15
189	0.34	8.3e-06	0.16	0.16	0.34	0	0	0	0	4	0.15
190	0.24	3.4e-06	0.26	0.26	0.24	0.0001	9.9e-05	0	0	2	0.083
191	0.36	3.6e-06	0.14	0.14	0.36	1.5e-05	1.5e-05	0	0	4	0.15
192	0.47	0	0.0065	0.0065	0.47	0.028	0.028	0	0	4	0.15
193	0.00022	2.5e-06	0.5	0.5	0.00022	0	0	0	0	2	0.083
194	0.00018	0	0.5	0.5	0.00018	0	0	0	0	2	0.083
195	0.041	4.2e-06	0.46	0.46	0.041	0	0	0	0	2	0.083
196	0.26	3.8e-06	0.24	0.24	0.26	3.8e-05	3.7e-05	0	0	4	0.15
197	0.44	0	0.00077	0.00077	0.44	0.056	0.055	0	0	4	0.15
198	0.0012	0	0	0	0.0012	0.5	0.5	2.4e-06	0	5	0.23
199	0.45	0	0.0054	0.0054	0.45	0.043	0.043	0	0	4	0.15
200	0.4	0	0.017	0.017	0.4	0.087	0.087	7.9e-06	0	4	0.15
201	0.31	0	0	0	0.31	0.19	0.19	0	0	4	0.15
202	0.47	0	0.0014	0.0014	0.47	0.031	0.031	0	0	4	0.15
203	0.41	1.5e-06	0.084	0.084	0.41	0.0023	0.0023	0	0	4	0.15
204	0.23	2.6e-06	0.27	0.27	0.23	0.00089	0.00088	0	0	2	0.083
205	0.42	0	0.068	0.068	0.42	0.013	0.013	0	0	4	0.15
206	0.49	0	6.1e-05	6.1e-05	0.49	0.0075	0.0075	0	0	4	0.15
207	0.47	0	0.027	0.027	0.47	0.0016	0.0016	0	0	4	0.15
208	0.012	0	0	0	0.012	0.49	0.49	0.00044	0	5	0.23
209	0.45	0	0.0028	0.0028	0.45	0.052	0.052	0	0	4	0.15
210	0.00055	1.5e-06	0.5	0.5	0.00055	0	0	0	0	2	0.083
211	0.41	0	0.047	0.047	0.41	0.048	0.048	2.4e-06	0	4	0.15
212	0.028	2.5e-06	0.47	0.47	0.028	2.5e-06	2.4e-06	0	0	2	0.083
213	0.48	0	4.8e-05	4.8e-05	0.48	0.018	0.018	0	0	4	0.15
214	0.5	0	0.00041	0.00041	0.5	0.0033	0.0033	0	0	4	0.15
215	0.36	0	0	0	0.36	0.14	0.14	0.001	0	4	0.15
216	0.37	0	0.019	0.019	0.37	0.12	0.12	4.9e-05	0	4	0.15
217	0.069	0	5.6e-05	5.6e-05	0.069	0.43	0.43	0.0075	0.0001	5	0.23
218	0.31	5.7e-06	0.19	0.19	0.31	0	0	0	0	4	0.15
219	0.17	3.2e-06	0.33	0.33	0.17	0.00011	0.00011	0	0	2	0.083
220	0.34	1.7e-06	0.15	0.15	0.34	0.0079	0.0079	0	0	4	0.15
221	0.46	0	0.028	0.028	0.46	0.011	0.011	0	0	4	0.15
222	0.35	1.4e-06	0.13	0.13	0.35	0.019	0.019	0	0	4	0.15
223	0.44	0	0.0039	0.0039	0.44	0.059	0.059	0	0	4	0.15
224	0.025	3.5e-06	0.48	0.48	0.025	0	0	0	0	2	0.083
225	0.45	0	0.012	0.012	0.45	0.039	0.039	0	0	4	0.15
226	0.49	0	0.00017	0.00017	0.49	0.0091	0.009	0	0	4	0.15
227	0.39	0	0.0024	0.0024	0.39	0.11	0.11	1.3e-06	0	4	0.15
228	0.25	0	0.00013	0.00013	0.25	0.25	0.24	4.1e-06	0	4	0.15
229	0.4	0	0.00079	0.00079	0.4	0.1	0.1	0	0	4	0.15
230	0.29	2.2e-06	0.21	0.21	0.29	0.0027	0.0026	0	0	4	0.15
231	0.42	1.4e-06	0.077	0.077	0.42	0.0027	0.0026	0	0	4	0.15
232	0.4	3e-06	0.098	0.098	0.4	2.2e-05	2.1e-05	0	0	4	0.15
233	0.016	0	0	0	0.016	0.48	0.48	0	0	5	0.23
234	0.44	0	0.023	0.023	0.44	0.041	0.041	0	0	4	0.15
235	0.34	0	0.0082	0.0082	0.34	0.15	0.15	5.9e-05	0	4	0.15
236	0.22	3e-06	0.28	0.28	0.22	0.00023	0.00023	0	0	2	0.083
237	0.45	0	0.023	0.023	0.45	0.024	0.024	0	0	4	0.15
238	0.22	0	0	0	0.22	0.28	0.28	0	0	5	0.23
239	0.027	2.8e-06	0.47	0.47	0.027	0	0	0	0	2	0.083
240	0.5	0	0.0023	0.0023	0.5	0.0018	0.0018	0	0	4	0.15
241	0.43	0	0.00058	0.00058	0.43	0.072	0.072	0	0	4	0.15
242	0.41	0	0.035	0.035	0.41	0.053	0.052	2.2e-06	0	4	0.15
243	0.49	0	0.00017	0.00017	0.49	0.0053	0.0053	0	0	4	0.15
244	0.45	1e-06	0.048	0.048	0.45	0.0054	0.0053	0	0	4	0.15
245	0.19	0	0	0	0.19	0.31	0.31	1.6e-05	0	5	0.23
246	0.4	1.3e-06	0.091	0.091	0.4	0.0086	0.0085	0	0	4	0.15
247	0.41	0	0.0014	0.0014	0.41	0.091	0.09	0	0	4	0.15
248	0.4	0	0	0	0.4	0.1	0.1	0	0	4	0.15
249	0.5	0	4.1e-06	4.1e-06	0.5	0.0034	0.0034	0	0	4	0.15
250	0.49	0	0.00067	0.00067	0.49	0.014	0.014	0	0	4	0.15
251	0.23	0	0	0	0.23	0.27	0.27	7.8e-05	0	5	0.23
252	0.35	0	0	0	0.35	0.15	0.15	0	0	4	0.15
253	0.31	0	0	0	0.31	0.19	0.19	0.00033	0	4	0.15
254	0.16	2.6e-06	0.34	0.34	0.16	0.0001	0.0001	0	0	2	0.083
255	0.25	0	0	0	0.25	0.25	0.25	2.8e-05	0	4	0.15
256	0.47	0	0.032	0.032	0.47	0.00053	0.00053	0	0	4	0.15
257	0.49	0	0.0021	0.0021	0.49	0.0086	0.0085	0	0	4	0.15
258	0.46	0	0.028	0.028	0.46	0.0085	0.0085	0	0	4	0.15
259	0.49	0	1.8e-05	1.8e-05	0.49	0.0082	0.0081	0	0	4	0.15
260	4e-05	0	0.5	0.5	4e-05	0	0	0	0	2	0.083
261	0.46	0	0.0016	0.0016	0.46	0.035	0.035	0	0	4	0.15
262	0.034	2.4e-06	0.26	0.26	0.034	0.2	0.2	0	0	2	0.083
263	0.33	0	0.16	0.16	0.33	0.0052	0.0051	0	0	4	0.15
264	0.38	0	0.12	0.12	0.38	0.004	0.004	0	0	4	0.15
265	0.41	3e-06	0.088	0.088	0.41	2.6e-06	2.6e-06	0	0	4	0.15
266	0.33	0	0.00015	0.00015	0.33	0.17	0.17	3.4e-06	0	4	0.15
267	0.39	0	0.11	0.11	0.39	0.0016	0.0016	0	0	4	0.15
268	0.49	0	0.0045	0.0045	0.49	0.0083	0.0083	0	0	4	0.15
269	0.43	0	0.0035	0.0035	0.43	0.065	0.065	0	0	4	0.15
270	0.5	0	5.2e-05	5.2e-05	0.5	9e-05	8.9e-05	0	0	4	0.15
271	0.28	0	0	0	0.28	0.22	0.22	0	0	4	0.15
272	0.48	0	0	0	0.48	0.019	0.019	0.0016	0	4	0.15
273	0.44	0	0.053	0.053	0.44	0.011	0.011	0	0	4	0.15
274	0.39	0	0	0	0.39	0.11	0.11	0.0017	0	4	0.15
275	0.35	0	1.9e-05	1.9e-05	0.35	0.15	0.15	0	0	4	0.15
276	0.24	0	1.3e-05	1.3e-05	0.24	0.26	0.26	4e-05	0	5	0.23
277	0.37	0	0	0	0.37	0.13	0.13	0	0	4	0.15
278	0.4	0	0.00093	0.00093	0.4	0.1	0.1	0	0	4	0.15
279	0.12	0	0	0	0.12	0.38	0.38	0	0	5	0.23
280	0.12	0	0	0	0.12	0.38	0.38	0	0	5	0.23
281	0.42	0	0.075	0.075	0.42	0.0016	0.0015	0	0	4	0.15
282	0.42	0	0	0	0.42	0.075	0.075	0	0	4	0.15
283	0.49	0	8.6e-05	8.6e-05	0.49	0.0093	0.0092	0	0	4	0.15
284	0.47	0	3.3e-05	3.3e-05	0.47	0.034	0.034	0	0	4	0.15
285	0.033	0	0	0	0.033	0.47	0.47	0	0	5	0.23
286	0.43	0	1.5e-05	1.5e-05	0.43	0.073	0.072	0	0	4	0.15
287	0.41	0	0	0	0.41	0.089	0.089	8.3e-06	0	4	0.15
288	0.23	0	0	0	0.23	0.26	0.26	0.0057	0.00042	5	0.23
289	0.27	0	0	0	0.27	0.24	0.23	0	0	4	0.15
290	0.46	0	0.00015	0.00015	0.46	0.042	0.042	0	0	4	0.15
291	0.49	0	0.0049	0.0049	0.49	0.0013	0.0013	0	0	4	0.15
292	0.42	0	0.0014	0.0014	0.42	0.076	0.076	0	0	4	0.15
293	0.42	0	0.0042	0.0042	0.42	0.081	0.08	5e-06	0	4	0.15
294	0.32	0	0.0005	0.0005	0.32	0.18	0.18	0.00016	0	4	0.15
295	0.37	0	0.12	0.12	0.37	0.0012	0.0012	0	0	4	0.15
296	0.38	0	0	0	0.38	0.12	0.12	0	0	4	0.15
297	0.21	0	0	0	0.21	0.29	0.29	1.2e-05	0	5	0.23
298	0.43	0	6.3e-06	6.3e-06	0.43	0.068	0.068	0	0	4	0.15
299	0.29	0	0	0	0.29	0.21	0.21	0.0019	0	4	0.15
300	0.36	0	0.00057	0.00057	0.36	0.14	0.14	0.00038	1.5e-06	4	0.15
301	0.4	0	0.0052	0.0052	0.4	0.092	0.092	4e-05	0	4	0.15
302	0.5	0	7.1e-05	7.1e-05	0.5	0.0011	0.0011	0	0	4	0.15
303	0.48	0	1.5e-05	1.5e-05	0.48	0.017	0.016	0	0	4	0.15
304	0.36	0	0	0	0.36	0.14	0.13	0.00062	0	4	0.15
305	0.38	3.9e-06	0.12	0.12	0.38	2.7e-06	2.7e-06	0	0	4	0.15
306	0.43	0	0.016	0.016	0.43	0.051	0.051	6.3e-06	0	4	0.15
307	0.5	0	5e-06	5e-06	0.5	0.0035	0.0035	0	0	4	0.15
308	0.44	0	0.01	0.01	0.44	0.053	0.053	3.3e-06	0	4	0.15
309	0.46	0	0.0003	0.0003	0.46	0.042	0.042	0	0	4	0.15
310	0.48	0	0.012	0.012	0.48	0.0057	0.0056	0	0	4	0.15
311	0.42	0	0.0015	0.0015	0.42	0.08	0.08	1.6e-06	0	4	0.15
312	0.42	0	0.011	0.011	0.42	0.067	0.066	1.6e-05	0	4	0.15
313	0.34	0	3e-05	3e-05	0.34	0.16	0.15	0.00083	6.2e-06	4	0.15
314	0.31	0	2.4e-05	2.4e-05	0.31	0.19	0.19	1e-06	0	4	0.15
315	0.38	0	0	0	0.38	0.12	0.12	4.7e-05	0	4	0.15
316	0.5	0	0.00025	0.00025	0.5	1.7e-05	1.7e-05	0	0	4	0.15
317	0.42	0	0.036	0.036	0.42	0.043	0.043	1.1e-05	0	4	0.15
318	0.45	0	0.036	0.036	0.45	0.0098	0.0098	0	0	4	0.15
319	0.5	0	0.0022	0.0022	0.5	0.0025	0.0025	0	0	4	0.15
320	0.41	0	0	0	0.41	0.089	0.089	0.00069	0	4	0.15
321	0.28	0	0	0	0.28	0.22	0.22	0.0024	0.00019	4	0.15
322	0.27	0	0	0	0.27	0.23	0.23	0.0023	2.2e-05	4	0.15
323	0.42	0	0	0	0.42	0.078	0.077	0.00034	0	4	0.15
324	0.47	0	0	0	0.47	0.031	0.031	2.6e-05	0	4	0.15
325	0.32	0	0	0	0.32	0.18	0.17	0.0015	0	4	0.15
326	0.19	0	0	0	0.19	0.31	0.31	0.0028	0	5	0.23
327	0.5	0	0.0029	0.0029	0.5	9.7e-05	9.6e-05	0	0	4	0.15
328	0.21	0	0	0	0.21	0.29	0.29	1.1e-06	0	5	0.23
329	0.5	0	0.00018	0.00018	0.5	6.2e-06	6.1e-06	0	0	4	0.15
330	0.37	0	0	0	0.37	0.13	0.13	0.0011	0	4	0.15
331	0.11	0	0	0	0.11	0.39	0.39	0	0	5	0.23
332	0.45	0	5.4e-05	5.4e-05	0.45	0.05	0.05	0.00038	0	4	0.15
333	0.38	0	0.00046	0.00046	0.38	0.12	0.12	4.3e-06	0	4	0.15
334	0.33	0	9.1e-05	9.1e-05	0.33	0.18	0.17	3e-05	0	4	0.15
335	0.39	0	0	0	0.39	0.11	0.11	0.00027	0	4	0.15
336	0.00017	0	0.5	0.5	0.00017	0	0	0	0	2	0.083
337	0.35	0	0	0	0.35	0.15	0.15	0.0012	0	4	0.15
338	0.25	0	0	0	0.25	0.25	0.25	0.0024	0	5	0.23
