SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
18	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
19	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
20	0	0	1	0	0	0	0	0	0	0	0	2	0.59	0.68	0.49	0.45	0.51
21	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
22	0.49	0	0.004	1.7e-05	0	0	0.49	0	0	0.013	0	0	0.59	0.68	0.49	0.34	0.51
23	0.47	0	0.0014	9.2e-05	0	0	0.47	0	0	0.05	0	0	0.59	0.68	0.49	0.34	0.51
24	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
25	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
26	0	0	0	0	0.0099	0	0	0.99	0.00021	0	0	7	0	0	0.49	0.038	0
27	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
28	0.47	0	0.065	2.4e-06	0	0	0.47	0	0	0.0024	0	0	0.59	0.68	0.49	0.34	0.51
29	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
30	0	0	0	0	0	0	0	0	1	0	0	8	0	0.036	0.054	0.076	0
31	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
32	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
33	0.46	0	0.085	3.6e-05	0	0	0.46	0	0	0.0018	0	0	0.59	0.68	0.49	0.34	0.51
34	0.45	5.3e-05	0.057	0.0041	0	0	0.45	0	0	0.041	0	0	0.59	0.68	0.49	0.34	0.51
35	0.44	0	0.023	4.6e-05	0	0	0.44	0	0	0.092	0	0	0.59	0.68	0.49	0.34	0.51
36	0.42	0	0.17	1.2e-05	0	0	0.42	0	0	0.0017	0	0	0.59	0.68	0.49	0.34	0.51
37	0.44	0	0.013	0.0018	0	0	0.44	0	0	0.1	0	0	0.59	0.68	0.49	0.34	0.51
38	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
39	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
40	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
41	0.46	1.3e-06	0.065	1.7e-05	0	0	0.46	0	0	0.02	0	0	0.59	0.68	0.49	0.34	0.51
42	0	0	0	0	0	1	0	0	0	0	0	5	0.046	0	0	0.34	0
43	0	0	1.6e-05	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
44	0.5	7.8e-06	0.0044	0	0	0	0.5	0	0	3.7e-06	0	0	0.59	0.68	0.49	0.34	0.51
45	0.45	0	0.091	0.00017	0	0	0.45	0	0	0.0087	0	0	0.59	0.68	0.49	0.34	0.51
46	0	0	0	0	0	1	0	0	0.0019	0	0	5	0.046	0	0	0.34	0
47	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
48	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
49	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
50	0.37	0	0.26	0	0	0	0.37	0	0	0.00085	0	0	0.59	0.68	0.49	0.34	0.51
51	0.5	0	6e-05	0	0	0	0.5	0	0	2.9e-05	0	0	0.59	0.68	0.49	0.34	0.51
52	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
53	0	0	0	0	0.0016	0	0	1	0	0	0	7	0	0	0.49	0.038	0
54	0	0	0	0	5.5e-06	0	0	1	0	0	0	7	0	0	0.49	0.038	0
55	0	0	0	0	0	0	0	0	1	0	0	8	0	0.036	0.054	0.076	0
56	0.2	0	0.029	0.34	0	0	0.2	0	0	0.22	0	3	0.59	0.72	0.89	0.45	0.51
57	0.5	0	0.0062	0	0	0	0.5	0	0	0.0016	0	0	0.59	0.68	0.49	0.34	0.51
58	0.00063	0	0	1	0	0	0.00063	0	0	2.6e-06	0	3	0.59	0.72	0.89	0.45	0.51
59	0.48	0	0.035	0	0	0	0.48	0	0	0.00065	0	0	0.59	0.68	0.49	0.34	0.51
60	0.24	0	0.4	0	0	0	0.24	0	0	0.12	0	2	0.59	0.68	0.49	0.45	0.51
61	0.47	0	0.056	0	0	0	0.47	0	0	0.00015	0	0	0.59	0.68	0.49	0.34	0.51
62	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
63	0.48	0	0.04	2.7e-06	0	0	0.48	0	0	0.0059	0	0	0.59	0.68	0.49	0.34	0.51
64	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
65	0.49	0	0.028	0	0	0	0.49	0	0	2.2e-05	0	0	0.59	0.68	0.49	0.34	0.51
66	0.45	0	0.097	0	0	0	0.45	0	0	0.0017	0	0	0.59	0.68	0.49	0.34	0.51
67	0.38	5.3e-05	0.22	0.00026	0	0	0.38	0	0	0.0093	0	0	0.59	0.68	0.49	0.34	0.51
68	0	0	0	0	1.2e-05	0	0	1	0	0	0	7	0	0	0.49	0.038	0
69	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
70	0.5	0	0	0	0	0	0.5	0.0077	0	0	0	0	0.59	0.68	0.49	0.34	0.51
71	0	0	0	0	0	1	0	0	0.00011	0	0	5	0.046	0	0	0.34	0
72	0.26	0	0.0008	0	0	0	0.26	0	0	0.48	0	9	0.59	0.68	0.6	0.34	0.62
73	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
74	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0.49	0.34	1
75	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
76	0.31	0	0.39	0	0	0	0.31	0	0	0.00024	0	2	0.59	0.68	0.49	0.45	0.51
77	0.36	0	0.017	0	0	0	0.36	0	0	0.26	0	0	0.59	0.68	0.49	0.34	0.51
78	0.46	0	0.068	7.7e-06	0	0	0.46	0	0	0.0037	0	0	0.59	0.68	0.49	0.34	0.51
79	0.25	0	0.016	0.41	0	0	0.25	0	0	0.068	0	3	0.59	0.72	0.89	0.45	0.51
80	0	0	0	0	0	0	0	0	1	0	0	8	0	0.036	0.054	0.076	0
81	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
82	0.063	0	0	0	0	0	0.063	0	0	0	0.87	10	0.41	0.32	0.054	0.076	0.38
83	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
84	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
85	0.5	0	2.8e-05	0	0	0	0.5	0	0	2.5e-06	0	0	0.59	0.68	0.49	0.34	0.51
86	0.47	0.00025	0.049	8.1e-06	0	0	0.47	0	0	0.017	0	0	0.59	0.68	0.49	0.34	0.51
87	0	0	0	0	0	2.8e-06	0	0	1	0	0	8	0	0.036	0.054	0.076	0
88	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
89	0.47	0	0.051	4.7e-06	0	0	0.47	0	0	0.0027	0	0	0.59	0.68	0.49	0.34	0.51
90	0.49	0	0.011	3.6e-06	0	0	0.49	0	0	0.0064	0	0	0.59	0.68	0.49	0.34	0.51
91	0.48	0	0.0037	6.6e-06	0	0	0.48	0	0	0.029	0	0	0.59	0.68	0.49	0.34	0.51
92	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
93	0	0	0	0	0	0	0	0	1	0	0	8	0	0.036	0.054	0.076	0
94	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
95	0.43	0	0.13	0	0	0	0.43	0	0	0.0042	0	0	0.59	0.68	0.49	0.34	0.51
96	0.49	0	0.017	0	0	0	0.49	0	0	0.00033	0	0	0.59	0.68	0.49	0.34	0.51
97	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
98	0	0	0	0	0	0.37	0	0	0.63	0	0	8	0	0.036	0.054	0.076	0
99	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
100	0.48	0	0	0	0	0	0.48	0	0	0	0.04	0	0.59	0.68	0.49	0.34	0.51
101	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
102	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
103	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
104	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
105	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
106	0.47	0	0.05	0.0024	0	0	0.47	0	0	0.0065	0	0	0.59	0.68	0.49	0.34	0.51
107	0	0	0	0	0	0	0	0	1	0	0	8	0	0.036	0.054	0.076	0
108	0.37	0	0.069	9.8e-06	0	0	0.37	0	0	0.19	0	0	0.59	0.68	0.49	0.34	0.51
109	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
110	0.44	1.1e-06	0.12	1.4e-05	0	0	0.44	0	0	0.0085	0	0	0.59	0.68	0.49	0.34	0.51
111	0.42	0	0.15	3.8e-06	0	0	0.42	0	0	0.0074	0	0	0.59	0.68	0.49	0.34	0.51
112	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
113	0.5	0	0.00013	0	0	0	0.5	0	0	4.4e-05	0	0	0.59	0.68	0.49	0.34	0.51
114	0	0	0	0	0	1	0	0	4.5e-05	0	0	5	0.046	0	0	0.34	0
115	0.027	0	0.0023	0	0	0	0.027	0	0	0.94	0	9	0.59	0.68	0.6	0.34	0.62
116	3.3e-05	0	0	0	0	0	3.3e-05	0	1	0	0	8	0	0.036	0.054	0.076	0
117	0.49	0	0.024	0	0	0.00084	0.49	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
118	0.43	0	0.14	0	0	0.0011	0.43	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
119	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
120	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
121	0	0	0	0	0	0	0	0	0	1	0	9	0.59	0.68	0.6	0.34	0.62
122	0	9.1e-06	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
123	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
124	0.48	5.1e-06	0.04	0	0	0	0.48	0	0	0.0088	0	0	0.59	0.68	0.49	0.34	0.51
125	0.26	0	0.21	0.0032	0	0	0.26	0	0	0.27	0	9	0.59	0.68	0.6	0.34	0.62
126	0.48	0	0.0072	0	0	0	0.48	0	0	0.036	0	0	0.59	0.68	0.49	0.34	0.51
127	0	0	0	0	0	1	0	0	0	0	0	5	0.046	0	0	0.34	0
128	0.42	0	0.14	8.7e-06	0	0	0.42	0	0	0.014	0	0	0.59	0.68	0.49	0.34	0.51
129	0	0	0	1	0	0	0	0	0	0	0	3	0.59	0.72	0.89	0.45	0.51
130	0	0	0	0	0	0.012	0	0	0.99	0	0	8	0	0.036	0.054	0.076	0
131	0.065	0	0	0	0	0	0.065	0	0	0	0.87	10	0.41	0.32	0.054	0.076	0.38
132	0.33	0	0.32	0	0	0	0.33	0	0	0.018	0	0	0.59	0.68	0.49	0.34	0.51
133	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
134	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
135	0.35	0	0.23	0	0	0	0.35	0	0	0.065	0	0	0.59	0.68	0.49	0.34	0.51
136	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
137	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
138	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
139	0.49	0	0.0061	0	0	0	0.49	0	0	0.011	0	0	0.59	0.68	0.49	0.34	0.51
140	0	0	0	1	0	0	0	0	0	4e-05	0	3	0.59	0.72	0.89	0.45	0.51
141	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
142	0	0	0	0	0	0.49	0	0	0.51	0	0	8	0	0.036	0.054	0.076	0
143	0.43	0	0.13	0	0	0	0.43	0	0	0.0016	0	0	0.59	0.68	0.49	0.34	0.51
144	0	0	0	0	0.017	0	0	0.98	6e-05	0	0	7	0	0	0.49	0.038	0
145	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
146	7.7e-06	1	0	0	0	0	7.7e-06	0	0	0	0	1	1	1	0.49	0.34	1
147	0.5	0	0.00031	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
148	0.48	0	0.023	0	0	0	0.48	0	0	0.024	0	0	0.59	0.68	0.49	0.34	0.51
149	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
150	0.28	0	0.42	0.014	0	0	0.28	0	0	0.0076	0	2	0.59	0.68	0.49	0.45	0.51
151	0.15	0	0.064	0.45	0	0	0.15	0	0	0.19	0	3	0.59	0.72	0.89	0.45	0.51
152	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
153	0.47	0	0.017	0.0034	0	0	0.47	0	0	0.05	0	0	0.59	0.68	0.49	0.34	0.51
154	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
155	0.5	0	5.5e-05	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
156	0.48	0	0.0018	0.00013	0	0	0.48	0	0	0.041	0	0	0.59	0.68	0.49	0.34	0.51
157	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
158	0	0	0	0	0	0	0	0	1	0	0	8	0	0.036	0.054	0.076	0
159	0.43	0	0.0081	0.00034	0	0	0.43	0	0	0.13	0	0	0.59	0.68	0.49	0.34	0.51
160	0.5	0	0.0029	0	0	0	0.5	0	0	0.00014	0	0	0.59	0.68	0.49	0.34	0.51
161	0.48	0	0.035	0	0	0	0.48	0	0	0.00082	0	0	0.59	0.68	0.49	0.34	0.51
162	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
163	0.01	0	0.00012	0.89	0	0	0.01	0	0	0.089	0	3	0.59	0.72	0.89	0.45	0.51
164	2.2e-05	0	3.4e-06	1	0	0	2.2e-05	0	0	9.7e-05	0	3	0.59	0.72	0.89	0.45	0.51
165	7.4e-06	0	0	0	0	0	7.4e-06	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
166	0.41	0	0.069	7.1e-06	0	0	0.41	0	0	0.11	0	0	0.59	0.68	0.49	0.34	0.51
167	0.052	0	0.9	0	0	0	0.052	0	0	0	0	2	0.59	0.68	0.49	0.45	0.51
168	0	0	0	0	0.0031	1	0	0	0	0	0	5	0.046	0	0	0.34	0
169	0.45	0	0.064	0	0	0	0.45	0	0	0.041	0	0	0.59	0.68	0.49	0.34	0.51
170	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
171	0	0	0	0	3.1e-05	0	0	0	1	0	0	8	0	0.036	0.054	0.076	0
172	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
173	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
174	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
175	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
176	0	0	0	0	0.00015	0	0	0	1	0	0	8	0	0.036	0.054	0.076	0
177	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
178	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
179	0.5	0	9.8e-05	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
180	0.5	0	0.00033	0	0	0	0.5	3.5e-06	0	0	0	0	0.59	0.68	0.49	0.34	0.51
181	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
182	0	0	0	0	0	0	0	0	1	0.0002	0	8	0	0.036	0.054	0.076	0
183	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
184	0.47	0.02	0.022	0.0002	0	0	0.47	0	0	0.028	0	0	0.59	0.68	0.49	0.34	0.51
185	0	0	0	1	0	0	0	0	0	0	0	3	0.59	0.72	0.89	0.45	0.51
186	0.5	0.0005	2.6e-06	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
187	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
188	0	0	0	1	0	0	0	0	0	0	0	3	0.59	0.72	0.89	0.45	0.51
189	0.48	0.038	0.0011	0	0	0	0.48	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
190	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
191	0	0	0	0	0	0.98	0	0.011	0.012	0	0	5	0.046	0	0	0.34	0
192	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
193	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
194	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
195	0.49	0	0.027	0	0	0	0.49	0	0	2.3e-06	0	0	0.59	0.68	0.49	0.34	0.51
196	0	0	0	0	0	0	0	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
197	0.43	0	0.08	0.0023	0	0	0.43	0	0	0.053	0	0	0.59	0.68	0.49	0.34	0.51
198	0.49	0	0.00033	5.1e-06	0	0	0.49	0	0	0.016	0	0	0.59	0.68	0.49	0.34	0.51
199	0	0	0	0	0	1	0	0	0	0	0	5	0.046	0	0	0.34	0
200	0.49	0	0.016	0	0	0	0.49	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
201	0	0	0	0	0	0.0032	0	0	1	0	0	8	0	0.036	0.054	0.076	0
202	0	0	0	0	0	1	0	0	0	0	0	5	0.046	0	0	0.34	0
203	2.5e-05	0	0	0	0	0	2.5e-05	0	0	0	1	10	0.41	0.32	0.054	0.076	0.38
204	0.5	2.1e-05	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
205	0.42	1.5e-06	0.043	0.083	0	0	0.42	0	0	0.029	0	0	0.59	0.68	0.49	0.34	0.51
206	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
207	0	0	0	0	1	0	0	0	0	0	0	4	0.046	0.036	0.22	0.038	0.054
208	0.0018	0	1	0	0	0	0.0018	0	0	2.2e-06	0	2	0.59	0.68	0.49	0.45	0.51
209	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
210	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0.49	0.038	0
