SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
146	0.98	0	0	0	0	0	0	0	2.9e-05	0	0.00089	0.016	0	0	0	0	0.0011	0	0	0	0	0.43	0.4	0.81	0.37	0.35
147	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0.071	0.062	0	0
148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.091	0	0	0.041	0
149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0.14
150	0	0	0	1.7e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.41	0.071	0.16	0.16	0.31
151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.41	0.071	0.16	0.16	0.31
152	0.39	0	0	0	0	0	0	0	0	0	0.0015	0.58	0	0	0	0	0.035	0	0	0	11	0.43	0.52	1	0.37	0.35
153	0.0027	0	0	0	0	0	0	0	1.6e-06	0	0.58	0.42	0	0	0	0	0	0	0	0	10	0.41	0.44	1	0.4	0.31
154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.41	0.071	0.16	0.16	0.31
155	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
156	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
157	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
158	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.41	0.071	0.16	0.16	0.31
160	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
161	0	0	0	0.0041	0	0	0	0	0	0	0.012	0	0	0	0	0	0.98	0	0	0	16	0.41	0.32	0.72	0.4	0.31
162	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.41	0.071	0.16	0.16	0.31
163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.41	0.071	0.16	0.16	0.31
164	0	0	0	0.00023	0	0	0	0	0	0	6.4e-06	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
165	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	16	0.41	0.32	0.72	0.4	0.31
166	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
168	0.2	0	0	0	0	0	0	0	0.0018	0	0.23	0.56	0	0	0	0	1.4e-05	0	0	0	11	0.43	0.52	1	0.37	0.35
169	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
170	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0.071	0.062	0	0
171	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.046	0.14	0.72	0.041	0.31
172	0.0076	0	0	0	0	0	0	0	5.2e-06	0	0.35	0.64	0	0	0	0	2e-06	0	0	0	11	0.43	0.52	1	0.37	0.35
173	0.64	0	0	0	0	0	0	0	0.19	0	0.089	0.074	0	0	0	0	0.015	0	0	2.7e-06	0	0.43	0.4	0.81	0.37	0.35
174	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
175	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0.093	0	0
176	0.21	0	0	0	0	0	0	0	0.042	0	4.9e-05	0	0	0	0	0	0.75	0	0	0.0019	16	0.41	0.32	0.72	0.4	0.31
177	0.1	0	0	0	0	0	0	0	0.81	0	6.6e-06	0	0	0	0	0	0.091	0	0	7.8e-05	8	0.41	0.44	0.72	0.6	0.61
178	0.85	0	0	0	0	0	0	0	0.11	0	0.0013	0.00056	0	0	0	0	0.041	0	0	2.2e-06	0	0.43	0.4	0.81	0.37	0.35
179	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
180	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0.071	0.062	0	0
181	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
182	0.51	0	0	0.00086	0	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	0	0.43	0.4	0.81	0.37	0.35
183	0.25	0	0	0	0	0	0	0	0.0042	0	0.014	0.00082	0	0	0	0	0.59	0	0	0.14	16	0.41	0.32	0.72	0.4	0.31
184	0.041	0	0	0	0	0	0	0	0.0004	0	6.6e-06	0	0	0	0	0	0.83	0	0	0.13	16	0.41	0.32	0.72	0.4	0.31
185	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
186	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
187	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.046	0.14	0.72	0.041	0.31
188	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.11	0.12	0	0
189	0	0	0	0	0.6	0	0	0.4	0	0.00013	0	0	0	0	0	0	0	0	0	0	4	0	0	0.093	0	0
190	0.28	0	0	0.011	0	0	0	0	0	0	0.022	0.011	0	0	0	0	0.61	0.0023	0	0.059	16	0.41	0.32	0.72	0.4	0.31
191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.091	0	0	0.041	0
192	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
193	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
194	0.00014	0	0	0	0	0	0	0	8.5e-06	0	0	0	0	0	0	0	0.6	0	0	0.4	16	0.41	0.32	0.72	0.4	0.31
195	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
196	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
197	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.041	0.034
198	0.16	0	0	0	0	0	0	0	0.013	0	0.017	0.007	0	0	0	0	0.81	0	0	0	16	0.41	0.32	0.72	0.4	0.31
199	0	0	0	1e-05	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.046	0.14	0.72	0.041	0.31
200	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.41	0.44	0.72	0.6	0.61
201	0.17	0	3e-05	0	0	0	0	0	0.21	0	0.0023	0.0012	0	0	0	0	0.61	0	0	0	16	0.41	0.32	0.72	0.4	0.31
202	2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0.72	0.4	0.31
