SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0
32	0.053	0.00026	0.053	0.099	0.00019	0	0	0.053	0.23	0.00043	0.12	0.053	0	0.053	0.12	0.12	0.053	0.00043	0	8	0.25
33	0.062	0.054	0.062	0.12	0.04	0	0	0.062	0.00016	0.0059	0.13	0.062	0	0.062	0.13	0.13	0.062	0.0059	0	10	0.18
34	0.06	0.074	0.06	0.11	0.055	0	0	0.06	0.0033	0.0052	0.13	0.06	0.00014	0.06	0.13	0.13	0.06	0.0052	0.00014	10	0.18
35	0.048	0.17	0.048	0.089	0.12	0	0	0.048	7.5e-05	0.008	0.1	0.048	2.2e-05	0.048	0.1	0.1	0.048	0.008	2.2e-05	1	0.14
36	0.052	0.13	0.052	0.097	0.098	0	0	0.052	7.8e-05	0.0077	0.11	0.052	1.5e-06	0.052	0.11	0.11	0.052	0.0077	1.5e-06	1	0.14
37	0.054	0.12	0.054	0.1	0.088	0	0	0.054	0.00037	0.0068	0.12	0.054	3.8e-05	0.054	0.12	0.12	0.054	0.0068	3.8e-05	1	0.14
38	0.062	0.057	0.062	0.11	0.042	0	0	0.062	0.00011	0.0061	0.13	0.062	0	0.062	0.13	0.13	0.062	0.0061	0	10	0.18
39	0.065	0.00095	0.065	0.12	0.0007	0	0	0.065	0.058	0.00088	0.14	0.065	0	0.065	0.14	0.14	0.065	0.00088	0	10	0.18
40	0.068	0.0088	0.068	0.13	0.0065	0	0	0.068	0.00098	0.0028	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0028	0	10	0.18
41	0.051	0.15	0.051	0.094	0.11	0	0	0.051	6e-05	0.008	0.11	0.051	2.1e-06	0.051	0.11	0.11	0.051	0.008	2.1e-06	1	0.14
42	0.061	0.065	0.061	0.11	0.048	0	0	0.061	0.00074	0.0056	0.13	0.061	0	0.061	0.13	0.13	0.061	0.0056	0	10	0.18
43	0.024	0.36	0.024	0.045	0.27	0	0	0.024	3.4e-06	0.0082	0.052	0.024	0.0016	0.024	0.052	0.052	0.024	0.0082	0.0016	1	0.14
44	0.064	0.039	0.064	0.12	0.029	0	0	0.064	0.0059	0.0042	0.14	0.064	2.2e-06	0.064	0.14	0.14	0.064	0.0042	2.2e-06	10	0.18
45	0.057	0.095	0.057	0.11	0.07	0	0	0.057	0.00066	0.0062	0.12	0.057	1.8e-05	0.057	0.12	0.12	0.057	0.0062	1.8e-05	10	0.18
46	0.057	0.097	0.057	0.11	0.071	0	0	0.057	2.6e-05	0.0078	0.12	0.057	0	0.057	0.12	0.12	0.057	0.0078	0	10	0.18
47	0.068	0.0075	0.068	0.13	0.0055	0	0	0.068	0.0078	0.0023	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0023	0	10	0.18
48	0.068	0.0058	0.068	0.13	0.0042	0	0	0.068	0.0046	0.0021	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0021	0	10	0.18
49	0.065	0.033	0.065	0.12	0.024	0	0	0.065	0.0017	0.0043	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0043	0	10	0.18
50	0.069	0.0015	0.069	0.13	0.0011	0	0	0.069	0.0071	0.0013	0.15	0.069	0	0.069	0.15	0.15	0.069	0.0013	0	10	0.18
51	0.066	0.024	0.066	0.12	0.018	0	0	0.066	5.9e-05	0.0048	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0048	0	10	0.18
52	0.04	0.23	0.04	0.075	0.17	0	0	0.04	4.8e-05	0.0082	0.087	0.04	0.00047	0.04	0.087	0.087	0.04	0.0082	0.00047	1	0.14
53	0.066	0.025	0.066	0.12	0.018	0	0	0.066	0.0012	0.004	0.14	0.066	0	0.066	0.14	0.14	0.066	0.004	0	10	0.18
54	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0
55	0.069	0.0054	0.069	0.13	0.004	0	0	0.069	1.3e-05	0.0031	0.15	0.069	0	0.069	0.15	0.15	0.069	0.0031	0	10	0.18
56	0.054	0.12	0.054	0.1	0.086	0	0	0.054	9.6e-05	0.0074	0.12	0.054	0	0.054	0.12	0.12	0.054	0.0074	0	10	0.18
57	0.063	0.047	0.063	0.12	0.034	0	0	0.063	0.0019	0.0047	0.14	0.063	0	0.063	0.14	0.14	0.063	0.0047	0	10	0.18
58	0.063	0.046	0.063	0.12	0.034	0	0	0.063	0.00018	0.0056	0.14	0.063	0	0.063	0.14	0.14	0.063	0.0056	0	10	0.18
59	0.068	0.0053	0.068	0.13	0.0039	0	0	0.068	0.011	0.0019	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0019	0	10	0.18
60	0.06	0.075	0.06	0.11	0.055	0	0	0.06	0.00025	0.0063	0.13	0.06	0	0.06	0.13	0.13	0.06	0.0063	0	10	0.18
61	0.061	0.065	0.061	0.11	0.048	0	0	0.061	0.0027	0.0051	0.13	0.061	2.1e-05	0.061	0.13	0.13	0.061	0.0051	2.1e-05	10	0.18
62	0.011	0.48	0.011	0.02	0.35	0	0	0.011	0	0.0067	0.024	0.011	0.0013	0.011	0.024	0.024	0.011	0.0067	0.0013	1	0.14
63	0.068	0.011	0.068	0.13	0.0078	0	0	0.068	0.0025	0.0028	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0028	0	10	0.18
64	0.068	0.0099	0.068	0.13	0.0073	0	0	0.068	0.00054	0.003	0.15	0.068	0	0.068	0.15	0.15	0.068	0.003	0	10	0.18
65	0.02	0.4	0.02	0.036	0.3	0	0	0.02	1.3e-06	0.0078	0.042	0.02	0.0023	0.02	0.042	0.042	0.02	0.0078	0.0023	1	0.14
66	0.067	0.018	0.067	0.12	0.013	0	0	0.067	0.0028	0.0033	0.14	0.067	0	0.067	0.14	0.14	0.067	0.0033	0	10	0.18
67	0.029	0.33	0.029	0.053	0.24	0	0	0.029	1.4e-06	0.0094	0.062	0.029	1.1e-05	0.029	0.062	0.062	0.029	0.0094	1.1e-05	1	0.14
68	0.064	0.042	0.064	0.12	0.031	0	0	0.064	0.0024	0.0045	0.14	0.064	0	0.064	0.14	0.14	0.064	0.0045	0	10	0.18
69	0.044	0.2	0.044	0.082	0.15	0	0	0.044	0.00023	0.0074	0.096	0.044	0.0044	0.044	0.096	0.096	0.044	0.0074	0.0044	1	0.14
70	0.067	0.014	0.067	0.13	0.01	0	0	0.067	0.002	0.0031	0.15	0.067	0	0.067	0.15	0.15	0.067	0.0031	0	10	0.18
71	0.066	0.023	0.066	0.12	0.017	0	0	0.066	0.0033	0.0036	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0036	0	10	0.18
72	0.0051	0.53	0.0051	0.0095	0.39	0	0	0.0051	0	0.0052	0.011	0.0051	0.00044	0.0051	0.011	0.011	0.0051	0.0052	0.00044	1	0.14
73	0.057	0.1	0.057	0.1	0.074	0	0	0.057	0.00058	0.0048	0.12	0.057	0.0012	0.057	0.12	0.12	0.057	0.0048	0.0012	10	0.18
74	0.065	0.027	0.065	0.12	0.02	0	0	0.065	0.011	0.0035	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0035	0	10	0.18
75	0.046	0.19	0.046	0.085	0.14	0	0	0.046	1.6e-05	0.0089	0.1	0.046	0	0.046	0.1	0.1	0.046	0.0089	0	1	0.14
76	0.056	0.1	0.056	0.1	0.075	0	0	0.056	2.9e-05	0.0078	0.12	0.056	0	0.056	0.12	0.12	0.056	0.0078	0	10	0.18
77	0.051	0.13	0.051	0.095	0.096	0	0	0.051	0.00046	0.0051	0.11	0.051	0.013	0.051	0.11	0.11	0.051	0.0051	0.013	1	0.14
78	0.05	0.16	0.05	0.092	0.12	0	0	0.05	8.2e-05	0.0079	0.11	0.05	1.2e-05	0.05	0.11	0.11	0.05	0.0079	1.2e-05	1	0.14
79	0.035	0.26	0.035	0.064	0.19	0	0	0.035	7e-05	0.0076	0.075	0.035	0.016	0.035	0.075	0.075	0.035	0.0076	0.016	1	0.14
80	0.049	0.16	0.049	0.091	0.12	0	0	0.049	7.5e-05	0.0079	0.11	0.049	1.3e-05	0.049	0.11	0.11	0.049	0.0079	1.3e-05	1	0.14
81	0.066	0.022	0.066	0.12	0.016	0	0	0.066	0.0046	0.0035	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0035	0	10	0.18
82	0.048	0.17	0.048	0.09	0.12	0	0	0.048	7.9e-05	0.0079	0.1	0.048	2e-05	0.048	0.1	0.1	0.048	0.0079	2e-05	1	0.14
83	0.053	0.12	0.053	0.099	0.092	0	0	0.053	3.8e-05	0.008	0.12	0.053	0	0.053	0.12	0.12	0.053	0.008	0	1	0.14
84	0.067	0.013	0.067	0.13	0.0093	0	0	0.067	0.0038	0.0029	0.15	0.067	0	0.067	0.15	0.15	0.067	0.0029	0	10	0.18
85	0.062	0.053	0.062	0.12	0.039	0	0	0.062	0.0017	0.005	0.14	0.062	0	0.062	0.14	0.14	0.062	0.005	0	10	0.18
86	0.065	0.032	0.065	0.12	0.024	0	0	0.065	0.0025	0.0041	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0041	0	10	0.18
87	0.066	0.026	0.066	0.12	0.019	0	0	0.066	0.0018	0.0039	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0039	0	10	0.18
88	0.065	0.034	0.065	0.12	0.025	0	0	0.065	0.0029	0.0042	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0042	0	10	0.18
89	0.062	0.06	0.062	0.11	0.044	0	0	0.062	0.00092	0.0041	0.13	0.062	2.5e-05	0.062	0.13	0.13	0.062	0.0041	2.5e-05	10	0.18
90	0.054	0.12	0.054	0.099	0.092	0	0	0.054	0.00029	0.007	0.12	0.054	3.1e-05	0.054	0.12	0.12	0.054	0.007	3.1e-05	1	0.14
91	0.046	0.19	0.046	0.085	0.14	0	0	0.046	0.00013	0.0077	0.099	0.046	0.0004	0.046	0.099	0.099	0.046	0.0077	0.0004	1	0.14
92	0.0096	0.4	0.0096	0.018	0.3	0	0	0.0096	0	0.0052	0.021	0.0096	0.078	0.0096	0.021	0.021	0.0096	0.0052	0.078	1	0.14
93	0.026	0.35	0.026	0.049	0.26	0	0	0.026	1.1e-06	0.0092	0.057	0.026	2.3e-05	0.026	0.057	0.057	0.026	0.0092	2.3e-05	1	0.14
94	0.066	0.021	0.066	0.12	0.016	0	0	0.066	0.00084	0.0039	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0039	0	10	0.18
95	0.069	0.0037	0.069	0.13	0.0027	0	0	0.069	0.0062	0.0018	0.15	0.069	0	0.069	0.15	0.15	0.069	0.0018	0	10	0.18
96	0.06	0.075	0.06	0.11	0.055	0	0	0.06	0.0009	0.0057	0.13	0.06	3.8e-06	0.06	0.13	0.13	0.06	0.0057	3.8e-06	10	0.18
97	0.068	0.011	0.068	0.13	0.008	0	0	0.068	0.00051	0.0031	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0031	0	10	0.18
98	0.067	0.012	0.067	0.13	0.0089	0	0	0.067	0.0053	0.0028	0.15	0.067	0	0.067	0.15	0.15	0.067	0.0028	0	10	0.18
99	0.06	0.074	0.06	0.11	0.054	0	0	0.06	0.00084	0.0044	0.13	0.06	0.00014	0.06	0.13	0.13	0.06	0.0044	0.00014	10	0.18
100	0.063	0.049	0.063	0.12	0.036	0	0	0.063	0.0027	0.0035	0.14	0.063	0.00013	0.063	0.14	0.14	0.063	0.0035	0.00013	10	0.18
101	0.053	0.13	0.053	0.099	0.092	0	0	0.053	0.00012	0.0074	0.12	0.053	2.5e-06	0.053	0.12	0.12	0.053	0.0074	2.5e-06	1	0.14
102	0.067	0.014	0.067	0.12	0.011	0	0	0.067	0.003	0.0031	0.15	0.067	0	0.067	0.15	0.15	0.067	0.0031	0	10	0.18
103	0.065	0.029	0.065	0.12	0.022	0	0	0.065	0.00096	0.0043	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0043	0	10	0.18
104	0.065	0.031	0.065	0.12	0.022	0	0	0.065	0.0028	0.004	0.14	0.065	0	0.065	0.14	0.14	0.065	0.004	0	10	0.18
105	0.063	0.048	0.063	0.12	0.036	0	0	0.063	2.7e-05	0.0064	0.14	0.063	0	0.063	0.14	0.14	0.063	0.0064	0	10	0.18
106	0.035	0.27	0.035	0.066	0.2	0	0	0.035	0	0.011	0.077	0.035	0	0.035	0.077	0.077	0.035	0.011	0	1	0.14
107	0.068	0.0068	0.068	0.13	0.005	0	0	0.068	0.0012	0.0025	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0025	0	10	0.18
108	0.069	0.0032	0.069	0.13	0.0023	0	0	0.069	0.0064	0.0017	0.15	0.069	0	0.069	0.15	0.15	0.069	0.0017	0	10	0.18
109	0.062	0.057	0.062	0.12	0.042	0	0	0.062	7.1e-05	0.0048	0.13	0.062	0	0.062	0.13	0.13	0.062	0.0048	0	10	0.18
110	0.066	0.026	0.066	0.12	0.019	0	0	0.066	0.0035	0.0037	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0037	0	10	0.18
111	0.052	0.14	0.052	0.096	0.1	0	0	0.052	1.6e-06	0.01	0.11	0.052	0	0.052	0.11	0.11	0.052	0.01	0	1	0.14
112	0.065	0.031	0.065	0.12	0.023	0	0	0.065	0.0084	0.0037	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0037	0	10	0.18
113	0.057	0.099	0.057	0.11	0.073	0	0	0.057	0.00041	0.0065	0.12	0.057	6.8e-06	0.057	0.12	0.12	0.057	0.0065	6.8e-06	10	0.18
114	0.067	0.01	0.067	0.12	0.0075	0	0	0.067	0.015	0.0024	0.15	0.067	0	0.067	0.15	0.15	0.067	0.0024	0	10	0.18
115	0.058	0.089	0.058	0.11	0.066	0	0	0.058	0.0013	0.0059	0.13	0.058	5.9e-05	0.058	0.13	0.13	0.058	0.0059	5.9e-05	10	0.18
116	0.065	0.034	0.065	0.12	0.025	0	0	0.065	9.3e-05	0.0052	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0052	0	10	0.18
117	0.064	0.041	0.064	0.12	0.03	0	0	0.064	0.00048	0.005	0.14	0.064	0	0.064	0.14	0.14	0.064	0.005	0	10	0.18
118	0.065	0.029	0.065	0.12	0.021	0	0	0.065	0.014	0.0035	0.14	0.065	1.7e-06	0.065	0.14	0.14	0.065	0.0035	1.7e-06	10	0.18
119	0.067	0.01	0.067	0.13	0.0074	0	0	0.067	0.0084	0.0025	0.15	0.067	0	0.067	0.15	0.15	0.067	0.0025	0	10	0.18
120	0.045	0.19	0.045	0.084	0.14	0	0	0.045	0.0001	0.0075	0.098	0.045	0.002	0.045	0.098	0.098	0.045	0.0075	0.002	1	0.14
121	0.055	0.11	0.055	0.1	0.084	0	0	0.055	0.00037	0.0068	0.12	0.055	2.3e-05	0.055	0.12	0.12	0.055	0.0068	2.3e-05	10	0.18
122	0.062	0.056	0.062	0.12	0.041	0	0	0.062	0.0033	0.0048	0.13	0.062	9.2e-06	0.062	0.13	0.13	0.062	0.0048	9.2e-06	10	0.18
123	0.06	0.075	0.06	0.11	0.055	0	0	0.06	0.00029	0.0062	0.13	0.06	0	0.06	0.13	0.13	0.06	0.0062	0	10	0.18
124	0.068	0.009	0.068	0.13	0.0066	0	0	0.068	0.0012	0.0028	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0028	0	10	0.18
125	0.068	0.0054	0.068	0.13	0.004	0	0	0.068	0.014	0.0019	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0019	0	10	0.18
126	0.064	0.036	0.064	0.12	0.026	0	0	0.064	0.01	0.0039	0.14	0.064	4.8e-06	0.064	0.14	0.14	0.064	0.0039	4.8e-06	10	0.18
127	0.044	0.21	0.044	0.081	0.15	0	0	0.044	7.4e-05	0.008	0.094	0.044	0.00029	0.044	0.094	0.094	0.044	0.008	0.00029	1	0.14
128	0.053	0.13	0.053	0.098	0.096	0	0	0.053	0.0002	0.0072	0.11	0.053	1.8e-05	0.053	0.11	0.11	0.053	0.0072	1.8e-05	1	0.14
129	0.029	0.32	0.029	0.054	0.24	0	0	0.029	9.1e-06	0.0083	0.063	0.029	0.0017	0.029	0.063	0.063	0.029	0.0083	0.0017	1	0.14
130	0.048	0.17	0.048	0.09	0.12	0	0	0.048	1.5e-05	0.0088	0.1	0.048	0	0.048	0.1	0.1	0.048	0.0088	0	1	0.14
131	0.055	0.11	0.055	0.1	0.084	0	0	0.055	6.1e-05	0.0076	0.12	0.055	0	0.055	0.12	0.12	0.055	0.0076	0	10	0.18
132	0.044	0.2	0.044	0.082	0.15	0	0	0.044	3e-05	0.0085	0.096	0.044	1.4e-05	0.044	0.096	0.096	0.044	0.0085	1.4e-05	1	0.14
133	0.045	0.19	0.045	0.084	0.14	0	0	0.045	5.7e-06	0.0095	0.098	0.045	0	0.045	0.098	0.098	0.045	0.0095	0	1	0.14
134	0.065	0.035	0.065	0.12	0.025	0	0	0.065	0.00089	0.0045	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0045	0	10	0.18
135	0.063	0.047	0.063	0.12	0.034	0	0	0.063	0.0019	0.0047	0.14	0.063	0	0.063	0.14	0.14	0.063	0.0047	0	10	0.18
136	0.062	0.057	0.062	0.12	0.042	0	0	0.062	0.00066	0.0052	0.13	0.062	0	0.062	0.13	0.13	0.062	0.0052	0	10	0.18
137	0.065	0.03	0.065	0.12	0.022	0	0	0.065	7.3e-05	0.0049	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0049	0	10	0.18
138	0.067	0.013	0.067	0.13	0.0094	0	0	0.067	0.0054	0.0028	0.15	0.067	0	0.067	0.15	0.15	0.067	0.0028	0	10	0.18
139	0.0066	0.44	0.0066	0.012	0.32	0	0	0.0066	0	0.0046	0.014	0.0066	0.07	0.0066	0.014	0.014	0.0066	0.0046	0.07	1	0.14
140	0.04	0.23	0.04	0.075	0.17	0	0	0.04	7.9e-05	0.0079	0.087	0.04	0.002	0.04	0.087	0.087	0.04	0.0079	0.002	1	0.14
141	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	12	0.06
142	0.048	0.17	0.048	0.089	0.13	0	0	0.048	8.3e-05	0.0079	0.1	0.048	3.2e-05	0.048	0.1	0.1	0.048	0.0079	3.2e-05	1	0.14
143	0.068	0.013	0.068	0.13	0.0097	0	0	0.068	0.0014	0.0031	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0031	0	10	0.18
144	0.067	0.015	0.067	0.12	0.011	0	0	0.067	0.0041	0.003	0.15	0.067	0	0.067	0.15	0.15	0.067	0.003	0	10	0.18
145	0.055	0.11	0.055	0.1	0.083	0	0	0.055	0.00074	0.0064	0.12	0.055	0.00013	0.055	0.12	0.12	0.055	0.0064	0.00013	10	0.18
146	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0
147	0.011	0.46	0.011	0.021	0.34	0	0	0.011	0	0.0064	0.025	0.011	0.0097	0.011	0.025	0.025	0.011	0.0064	0.0097	1	0.14
148	0.061	0.063	0.061	0.11	0.046	0	0	0.061	7e-06	0.0076	0.13	0.061	0	0.061	0.13	0.13	0.061	0.0076	0	10	0.18
149	0.051	0.14	0.051	0.095	0.1	0	0	0.051	0.0005	0.0069	0.11	0.051	0.00061	0.051	0.11	0.11	0.051	0.0069	0.00061	1	0.14
150	0.065	0.032	0.065	0.12	0.023	0	0	0.065	0.0013	0.0043	0.14	0.065	0	0.065	0.14	0.14	0.065	0.0043	0	10	0.18
151	0.066	0.026	0.066	0.12	0.019	0	0	0.066	0.00035	0.0042	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0042	0	10	0.18
152	0.067	0.017	0.067	0.12	0.012	0	0	0.067	8e-05	0.0041	0.15	0.067	0	0.067	0.15	0.15	0.067	0.0041	0	10	0.18
153	0.037	0.25	0.037	0.069	0.19	0	0	0.037	0	0.012	0.081	0.037	0	0.037	0.081	0.081	0.037	0.012	0	1	0.14
154	0.032	0.3	0.032	0.06	0.22	0	0	0.032	0	0.01	0.07	0.032	0	0.032	0.07	0.07	0.032	0.01	0	1	0.14
155	0.026	0.35	0.026	0.048	0.26	0	0	0.026	1.2e-06	0.0091	0.056	0.026	3.5e-05	0.026	0.056	0.056	0.026	0.0091	3.5e-05	1	0.14
156	0.061	0.063	0.061	0.11	0.046	0	0	0.061	0.00025	0.0059	0.13	0.061	0	0.061	0.13	0.13	0.061	0.0059	0	10	0.18
157	0.068	0.011	0.068	0.13	0.0083	0	0	0.068	0.0009	0.0031	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0031	0	10	0.18
158	0.068	0.0059	0.068	0.13	0.0043	0	0	0.068	0.0057	0.0021	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0021	0	10	0.18
159	0.055	0.11	0.055	0.1	0.082	0	0	0.055	3e-05	0.0079	0.12	0.055	0	0.055	0.12	0.12	0.055	0.0079	0	10	0.18
160	0.066	0.021	0.066	0.12	0.015	0	0	0.066	0.0058	0.0034	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0034	0	10	0.18
161	0.051	0.14	0.051	0.095	0.11	0	0	0.051	0.00029	0.0071	0.11	0.051	0.00015	0.051	0.11	0.11	0.051	0.0071	0.00015	1	0.14
162	0.07	0	0.07	0.13	0	0	0	0.07	0.0019	0	0.15	0.07	0	0.07	0.15	0.15	0.07	0	0	10	0.18
163	0.061	0.062	0.061	0.11	0.045	0	0	0.061	0.0043	0.0049	0.13	0.061	5.4e-05	0.061	0.13	0.13	0.061	0.0049	5.4e-05	10	0.18
164	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	12	0.06
165	0.069	0	0.069	0.13	0	0	0	0.069	0.011	0	0.15	0.069	0	0.069	0.15	0.15	0.069	0	0	10	0.18
166	0.066	0.0046	0.066	0.12	0.0034	0	0	0.066	0.047	0.0016	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0016	0	10	0.18
167	0.057	0.099	0.057	0.11	0.073	0	0	0.057	0.00019	0.0068	0.12	0.057	0	0.057	0.12	0.12	0.057	0.0068	0	10	0.18
168	0.068	0.0062	0.068	0.13	0.0046	0	0	0.068	0.0045	0.0022	0.15	0.068	0	0.068	0.15	0.15	0.068	0.0022	0	10	0.18
169	0.048	0.17	0.048	0.09	0.12	0	0	0.048	0.00014	0.0076	0.1	0.048	0.00013	0.048	0.1	0.1	0.048	0.0076	0.00013	1	0.14
