SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0
106	1e-06	0	0.022	0.48	0	0.49	5	0.14
107	0.002	0	0.0055	0.98	0	0.013	3	0.18
108	0.01	0	0.0037	0.98	0	0.0061	3	0.18
109	0.00011	0	0.011	0.88	0	0.11	3	0.18
110	0.0055	0	0.0083	0.94	0	0.049	3	0.18
111	2.5e-06	0	0.022	0.73	0	0.25	3	0.18
112	0.013	0	0.0083	0.92	0	0.059	3	0.18
113	0.00063	0	0.014	0.8	0	0.19	3	0.18
114	0.024	0	0.0053	0.95	0	0.019	3	0.18
115	0.002	0	0.013	0.82	0	0.17	3	0.18
116	0.00015	0	0.012	0.92	0	0.064	3	0.18
117	0.00075	0	0.011	0.91	0	0.079	3	0.18
118	0.022	0	0.0077	0.92	0	0.054	3	0.18
119	0.013	0	0.0056	0.96	0	0.019	3	0.18
120	0.00016	3.2e-06	0.016	0.63	0	0.36	3	0.18
121	0.00057	0	0.015	0.77	0	0.21	3	0.18
122	0.0051	0	0.011	0.88	0	0.11	3	0.18
123	0.00045	0	0.014	0.84	0	0.14	3	0.18
124	0.0019	0	0.0061	0.97	0	0.017	3	0.18
125	0.022	0	0.0042	0.96	0	0.01	3	0.18
126	0.016	0	0.0085	0.91	0	0.068	3	0.18
127	0.00011	0	0.017	0.6	0	0.38	3	0.18
128	0.00031	0	0.016	0.74	0	0.24	3	0.18
129	1.4e-05	0	0.018	0.39	0	0.59	5	0.14
130	2.3e-05	0	0.019	0.67	0	0.31	3	0.18
131	9.5e-05	0	0.017	0.77	0	0.22	3	0.18
132	4.6e-05	0	0.018	0.61	0	0.37	3	0.18
133	8.8e-06	0	0.02	0.63	0	0.35	3	0.18
134	0.0014	0	0.01	0.92	0	0.066	3	0.18
135	0.003	0	0.01	0.9	0	0.089	3	0.18
136	0.001	0	0.011	0.88	0	0.11	3	0.18
137	0.00012	0	0.011	0.93	0	0.057	3	0.18
138	0.0086	0	0.0063	0.96	0	0.024	3	0.18
139	0	3.8e-06	0.011	0.1	0	0.89	5	0.14
140	0.00012	0	0.017	0.55	0	0.43	3	0.18
141	0	1	0	0	0	0	1	0.02
142	0.00013	0	0.017	0.67	0	0.32	3	0.18
143	0.0023	0	0.007	0.97	0	0.025	3	0.18
144	0.0065	0	0.0067	0.96	0	0.028	3	0.18
145	0.0011	0	0.014	0.77	0	0.21	3	0.18
146	0	1	0	0	0	0	1	0.02
147	0	0	0.013	0.15	0	0.83	5	0.14
148	1.1e-05	0	0.017	0.86	0	0.12	3	0.18
149	0.00078	0	0.015	0.72	0	0.27	3	0.18
150	0.0021	0	0.0095	0.93	0	0.061	3	0.18
151	0.00055	0	0.0093	0.94	0	0.049	3	0.18
152	0.00013	0	0.0092	0.96	0	0.032	3	0.18
153	0	0	0.025	0.51	0	0.46	3	0.18
154	0	0	0.022	0.44	0	0.54	5	0.14
155	1.8e-06	0	0.019	0.35	0	0.63	5	0.14
156	0.0004	0	0.013	0.87	0	0.12	3	0.18
157	0.0014	0	0.0068	0.97	0	0.022	3	0.18
158	0.009	0	0.0047	0.98	0	0.011	3	0.18
159	4.7e-05	0	0.017	0.77	0	0.21	3	0.18
160	0.0092	0	0.0074	0.94	0	0.04	3	0.18
161	0.00045	0	0.016	0.72	0	0.27	3	0.18
162	0.003	0	0	1	0	0	3	0.18
163	0.0068	0	0.011	0.87	0	0.12	3	0.18
164	0	1	0	0	0	0	1	0.02
165	0.018	0	0	0.98	0	0	3	0.18
166	0.073	0	0.0035	0.92	0	0.0086	3	0.18
167	0.0003	0	0.015	0.8	0	0.19	3	0.18
168	0.0072	0	0.0049	0.98	0	0.012	3	0.18
169	0.00022	0	0.016	0.67	0	0.31	3	0.18
170	0.001	0	0.012	0.88	0	0.11	3	0.18
171	6.7e-06	0	0.021	0.56	0	0.42	3	0.18
172	0.0011	0	0.013	0.85	0	0.14	3	0.18
173	0.00062	0	0.012	0.9	0	0.091	3	0.18
174	0.002	0	0.012	0.85	0	0.14	3	0.18
175	0.00037	0	0.015	0.8	0	0.19	3	0.18
176	1.4e-05	0	0.018	0.83	0	0.16	3	0.18
177	0.00022	0	0.014	0.86	0	0.12	3	0.18
178	0.00082	0	0.011	0.9	0	0.085	3	0.18
179	0.00088	0	0.013	0.85	0	0.13	3	0.18
180	0.0011	0	0.013	0.86	0	0.13	3	0.18
181	0.00024	0	0.012	0.92	0	0.073	3	0.18
182	0.0016	0	0.011	0.88	0	0.11	3	0.18
183	0.0089	0	0.004	0.98	0	0.007	3	0.18
184	0.00016	0	0.015	0.82	0	0.17	3	0.18
185	0.00014	0	0.017	0.73	0	0.26	3	0.18
186	7.9e-05	0	0.017	0.66	0	0.33	3	0.18
187	0.0025	0	0.011	0.85	0	0.13	3	0.18
188	0.0069	0	7.5e-06	0.99	0	1e-05	3	0.18
189	0.0089	0	0.0001	0.99	5.1e-06	0.00029	3	0.18
190	0.0016	0	0.012	0.85	0	0.13	3	0.18
191	0.0003	0	0.011	0.92	0	0.071	3	0.18
192	0.0019	0	0.0046	0.98	0	0.0089	3	0.18
193	0.0046	0	0	1	0	0	3	0.18
194	0.0032	0	0	1	0	0	3	0.18
195	0.018	0	0.0029	0.97	0	0.0041	3	0.18
196	0.043	0	0.002	0.95	0	0.0027	3	0.18
197	0	0	0.027	0.61	0	0.36	3	0.18
198	4.5e-05	0	0.013	0.91	0	0.081	3	0.18
199	0.0077	0	0.0052	0.95	0	0.039	3	0.18
200	0.0015	0	0.0048	0.98	0	0.0095	3	0.18
201	0.013	0	0.0012	0.98	0	0.0035	3	0.18
202	1.4e-05	0.00046	0.016	0.36	0	0.62	5	0.14
203	5.2e-05	0	0.017	0.69	0	0.29	3	0.18
204	0.0001	0	0.015	0.79	0	0.19	3	0.18
205	0.0005	0	0.014	0.78	0	0.2	3	0.18
206	0.018	0	0	0.98	8e-06	0	3	0.18
207	0.016	0	0	0.98	0	0	3	0.18
208	0.0015	0	0.0086	0.89	0	0.099	3	0.18
209	0.002	0	0.0084	0.89	0	0.096	3	0.18
210	0.0064	0	0.0058	0.95	0	0.041	3	0.18
211	0.0014	0	0.0088	0.94	0	0.051	3	0.18
212	0.0068	0	0.0082	0.94	0	0.05	3	0.18
213	9e-05	0	0.017	0.54	0	0.45	3	0.18
214	0.0077	0	0.0087	0.92	0	0.06	3	0.18
215	0.006	0	0.0095	0.91	0	0.077	3	0.18
216	0.00094	0	0.012	0.87	0	0.12	3	0.18
217	0.0014	0	0.011	0.9	0	0.084	3	0.18
218	0.00013	0	0.017	0.73	0	0.25	3	0.18
219	0	1	0	0	0	0	1	0.02
220	0.00018	0	0.017	0.66	0	0.32	3	0.18
221	6.4e-05	0	0.016	0.82	0	0.16	3	0.18
222	0.00028	0	0.0097	0.94	0	0.049	3	0.18
223	0.0002	5.9e-06	0.017	0.58	0	0.4	3	0.18
224	0	0	0.017	0.17	0	0.81	5	0.14
225	6.4e-05	0	0.011	0.89	0	0.099	3	0.18
226	0	0.00013	0	1	0	0	3	0.18
227	0.00079	0	0.014	0.79	0	0.2	3	0.18
228	0.003	0	0.0084	0.89	0	0.1	3	0.18
229	0.0023	0	0.012	0.87	0	0.12	3	0.18
230	0.12	0	0.0039	0.87	0.00012	0.013	3	0.18
231	1.5e-05	0	0.019	0.47	0	0.51	5	0.14
232	1.1e-05	0	0.02	0.6	0	0.38	3	0.18
233	0.012	0	0.007	0.95	0	0.035	3	0.18
234	6.2e-05	0.0022	0.016	0.42	0	0.56	5	0.14
235	0	1	0	0	0	0	1	0.02
236	0.0011	0	0.014	0.76	0	0.22	3	0.18
237	7.8e-05	0	0.016	0.82	0	0.16	3	0.18
238	0.0029	0	0.0069	0.96	0	0.025	3	0.18
239	0.00087	0	0.014	0.79	0	0.19	3	0.18
240	0.26	0	0.00097	0.73	0	0.00053	3	0.18
241	0	1	0	0	0	0	1	0.02
242	0.0042	0	0.0071	0.92	0	0.071	3	0.18
243	0.0012	0	0	1	0	0	3	0.18
244	0.00024	0	0.011	0.84	0	0.15	3	0.18
245	0.00054	0	0	1	0	0	3	0.18
246	3.3e-05	0	0.014	0.68	0	0.3	3	0.18
247	0.00037	4.6e-06	0.012	0.75	0	0.24	3	0.18
248	0.0002	0	0.012	0.8	0	0.19	3	0.18
249	9.2e-06	0	0.015	0.47	0	0.52	5	0.14
250	0.0001	2.3e-06	0.013	0.64	0	0.34	3	0.18
251	0.012	0	0.0041	0.96	0	0.025	3	0.18
252	4.3e-06	0	0.016	0.67	0	0.32	3	0.18
253	0.0013	0	0.0087	0.89	0	0.1	3	0.18
254	0.0018	0	0.0093	0.85	0	0.13	3	0.18
255	0.00054	0	0.0054	0.97	0	0.02	3	0.18
256	0.0027	2.1e-06	0.0086	0.87	0	0.12	3	0.18
257	0	0	0.017	0.76	0	0.23	3	0.18
258	0.002	0	0.0069	0.97	0	0.024	3	0.18
259	0.00094	0	0.012	0.88	0	0.11	3	0.18
260	0.0038	0	0.0074	0.91	0	0.075	3	0.18
261	0.0036	0	0.007	0.93	0	0.062	3	0.18
262	0.005	0	0	0.99	0.00051	0	3	0.18
263	0.00042	0	0.0081	0.93	0	0.062	3	0.18
264	0.0014	0	0.014	0.79	0	0.19	3	0.18
265	0.0014	0	0.0074	0.93	0	0.06	3	0.18
266	0.017	0	0	0.98	0	0	3	0.18
267	0.0018	0	0.0086	0.89	0	0.1	3	0.18
268	0.013	0	0.0039	0.97	0	0.016	3	0.18
269	0.002	0	0.0072	0.93	0	0.059	3	0.18
270	0.019	0	0	0.98	0	0	3	0.18
271	0.095	0	0.00044	0.9	0	0.00035	3	0.18
272	0.0012	0	0.0088	0.89	0	0.099	3	0.18
273	0.014	0	0.00019	0.99	0	0.00043	3	0.18
274	7.2e-05	0	0.014	0.62	0	0.37	3	0.18
275	0.0021	0	0.0083	0.9	0	0.094	3	0.18
276	0.00015	0	0.013	0.69	0	0.29	3	0.18
277	0.0033	0	0.012	0.86	0	0.13	3	0.18
278	0.00012	0	0.017	0.61	0	0.38	3	0.18
279	0.0012	0	0.013	0.85	0	0.14	3	0.18
280	0.00092	0	0.014	0.79	0	0.2	3	0.18
281	9.1e-06	0	0.014	0.92	0	0.067	3	0.18
282	0.00032	2.8e-06	0.016	0.63	0	0.35	3	0.18
283	0.0059	0	0.01	0.89	0	0.093	3	0.18
284	0.00011	0	0.017	0.76	0	0.22	3	0.18
285	0.012	0	0.005	0.95	0	0.031	3	0.18
286	6.4e-05	0	0.011	0.87	0	0.12	3	0.18
287	0.00017	0	0.0084	0.93	0	0.058	3	0.18
288	0.00077	0	0.012	0.78	0	0.21	3	0.18
289	0.0018	0	0.013	0.7	0	0.29	3	0.18
290	0.00067	0	0.0098	0.86	0	0.13	3	0.18
291	0.00036	0	0.01	0.87	0	0.12	3	0.18
292	0.0011	0	0.0095	0.86	0	0.13	3	0.18
293	0.0014	0	0.014	0.59	0	0.4	3	0.18
294	0.00016	0	0.0086	0.93	0	0.061	3	0.18
295	0.021	5.7e-06	0.014	0.39	0	0.58	5	0.14
296	1.2e-05	0	0.013	0.85	0	0.13	3	0.18
297	0.33	0	0.00098	0.67	0	0.00068	3	0.18
298	0.0014	0	0.012	0.85	0	0.13	3	0.18
299	8.7e-05	0	0.018	0.65	0	0.33	3	0.18
300	0.013	0	0.0063	0.95	0	0.027	3	0.18
301	0.00054	0	0.011	0.92	0	0.072	3	0.18
302	0.00069	0	0.011	0.91	0	0.082	3	0.18
303	1.1e-06	0	0.022	0.45	0	0.53	5	0.14
304	0.0001	0	0.017	0.71	0	0.28	3	0.18
305	0.00066	0	0.014	0.8	0	0.18	3	0.18
306	0.00021	5.5e-06	0.017	0.59	0	0.4	3	0.18
307	0.00097	0	0.014	0.78	0	0.2	3	0.18
308	0.003	0	0.0092	0.93	0	0.058	3	0.18
309	0.00029	0	0.013	0.88	0	0.11	3	0.18
310	0.015	0	0.0049	0.97	0	0.014	3	0.18
311	0.00016	0	0.017	0.66	0	0.32	3	0.18
312	2.8e-05	0	0.016	0.87	0	0.12	3	0.18
313	2e-05	0	0.019	0.67	0	0.31	3	0.18
314	0.0013	0	0.011	0.9	0	0.092	3	0.18
315	0.012	0	0.0044	0.96	0	0.026	3	0.18
316	0.0001	0	0.015	0.85	0	0.14	3	0.18
317	0.0012	0	0.014	0.76	0	0.23	3	0.18
318	0	1	0	0	0	1.8e-06	1	0.02
319	0.004	0	0.0075	0.91	0	0.078	3	0.18
320	0.0045	0	0	1	0	0	3	0.18
321	0.00027	0	0	1	0	0	3	0.18
322	0.0081	0	9.9e-06	0.99	0	1.3e-05	3	0.18
323	0.00065	0	0.0062	0.96	0	0.031	3	0.18
324	0.00032	0	0.01	0.94	0	0.053	3	0.18
325	0.96	0	9e-06	0.037	0	0	0	0.25
326	0.015	0	0.0073	0.94	0	0.042	3	0.18
327	0.051	0	0.0054	0.92	0	0.025	3	0.18
328	0.00066	0	0	0.00025	1	0	4	0.68
329	0.0046	0	0.0079	0.95	0	0.041	3	0.18
330	0.00055	0	0.014	0.82	0	0.16	3	0.18
331	0.0054	0	0	0.99	0	0	3	0.18
332	4.2e-05	0	0.018	0.52	0	0.46	3	0.18
333	0.0021	3.6e-05	0.014	0.76	0	0.22	3	0.18
334	0.0043	0	0.0084	0.94	0	0.048	3	0.18
335	0.012	0	0.0024	0.98	0	0.0042	3	0.18
336	5.6e-05	0	0.013	0.78	0	0.21	3	0.18
337	0.0013	2.1e-05	0.014	0.73	0	0.26	3	0.18
338	0.0052	0	0.0053	0.96	0	0.03	3	0.18
339	0.00072	0	0.013	0.83	0	0.15	3	0.18
340	3.4e-05	0	0.013	0.92	0	0.07	3	0.18
341	0.00011	0	0.012	0.91	0	0.075	3	0.18
342	0	0	0.0072	0.025	0	0.97	5	0.14
343	0.00017	0	0.013	0.9	0	0.087	3	0.18
344	2.2e-06	0	0.021	0.44	0	0.54	5	0.14
345	0.00023	0	0.012	0.92	0	0.071	3	0.18
346	0.00037	0	0.012	0.9	0	0.086	3	0.18
347	0.00072	0	0.014	0.81	0	0.18	3	0.18
348	0.00091	0	0.0092	0.88	0	0.11	3	0.18
349	0.00095	0	0.01	0.83	0	0.16	3	0.18
350	0.00047	0	0.017	0.68	0	0.31	3	0.18
351	7.3e-05	0	0.013	0.77	0	0.21	3	0.18
352	1.8e-05	0	0.011	0.91	0	0.082	3	0.18
353	9e-05	0	0.012	0.82	0	0.16	3	0.18
354	0.00094	0	0.0086	0.9	0	0.089	3	0.18
355	0.0069	0	0.0063	0.93	0	0.052	3	0.18
356	6.3e-05	0	0.011	0.88	0	0.11	3	0.18
357	3.8e-05	0	0.014	0.77	0	0.22	3	0.18
358	0.0031	0	0.0085	0.88	0	0.11	3	0.18
359	0.0051	0.00041	0.011	0.76	0	0.23	3	0.18
360	1.7e-05	0	0.017	0.56	0	0.43	3	0.18
361	0.00017	0	0.014	0.69	0	0.3	3	0.18
362	0.0059	0	0.0046	0.97	0	0.021	3	0.18
363	0.0061	0.0012	0.011	0.76	0	0.22	3	0.18
364	2.6e-05	0	0.017	0.37	0	0.62	5	0.14
365	1.5e-05	0	0.013	0.86	0	0.13	3	0.18
366	0.0015	0	0.0079	0.91	0	0.076	3	0.18
367	4.9e-06	0	0.015	0.76	0	0.22	3	0.18
368	0	5.1e-05	0	1	0	0	3	0.18
369	1.7e-05	0.0087	0	0.99	0	0	3	0.18
370	8e-05	0	0.013	0.76	0	0.23	3	0.18
371	0.001	0	0.0029	0.99	0	0.0044	3	0.18
372	0.0011	0	0.0095	0.94	0	0.054	3	0.18
373	0.0014	0	0.014	0.78	0	0.2	3	0.18
374	0.0049	0	0.0085	0.93	0	0.052	3	0.18
375	0.012	0	0.0085	0.92	0	0.062	3	0.18
376	7.7e-06	0	0.02	0.57	0	0.41	3	0.18
377	0.0034	0	0.011	0.88	0	0.11	3	0.18
378	0.002	0	0.013	0.83	0	0.16	3	0.18
379	0.0075	3.5e-06	0.011	0.85	0	0.13	3	0.18
380	0.00027	0	0.011	0.93	0	0.058	3	0.18
381	0	0	0.014	0.1	0	0.89	5	0.14
382	0.0023	0	0.0078	0.95	0	0.035	3	0.18
383	0.00014	0	0.017	0.69	0	0.29	3	0.18
384	0.003	0	0.01	0.9	0	0.084	3	0.18
385	0.0041	0	0.012	0.83	0	0.15	3	0.18
386	0	1	0	0	0	0	1	0.02
387	0.0039	2.9e-06	0.012	0.82	0	0.17	3	0.18
388	0.00072	0	0.013	0.83	0	0.15	3	0.18
389	0.11	0	0.0035	0.88	0	0.01	3	0.18
390	0.00018	0	0.015	0.81	0	0.18	3	0.18
391	1.3e-05	0	0.019	0.5	0	0.48	3	0.18
392	0.00064	0	0.011	0.9	0	0.085	3	0.18
393	0.00044	0	0.014	0.83	0	0.15	3	0.18
394	2.3e-05	3.1e-05	0.017	0.37	0	0.61	5	0.14
395	0.002	0	0.0097	0.93	0	0.063	3	0.18
396	0.013	0	0.0074	0.94	0	0.042	3	0.18
397	0.00093	0	0.011	0.91	0	0.08	3	0.18
398	0.00038	0	0.016	0.7	0	0.29	3	0.18
399	0.024	0	0.0049	0.96	0	0.016	3	0.18
400	2.8e-05	0	0.019	0.71	0	0.27	3	0.18
401	0.00038	0	0.016	0.7	0	0.29	3	0.18
402	0.00032	0	0.016	0.66	0	0.33	3	0.18
403	0.00029	0	0.016	0.63	0	0.35	3	0.18
404	4.3e-06	0	0.021	0.66	0	0.32	3	0.18
405	0.00071	0	0.013	0.86	0	0.13	3	0.18
406	0.0001	0	0.017	0.71	0	0.28	3	0.18
407	0.0001	0	0.017	0.72	0	0.27	3	0.18
408	0.00014	0	0.014	0.68	0	0.3	3	0.18
409	0.0002	0	0.014	0.67	0	0.32	3	0.18
410	2e-05	0	0.018	0.78	0	0.2	3	0.18
411	0.0024	0	0.007	0.96	0	0.026	3	0.18
412	0.0071	0	0.0096	0.9	0	0.08	3	0.18
413	0.00016	0	0.012	0.9	0	0.083	3	0.18
414	0.0042	0	0.009	0.93	0	0.059	3	0.18
415	4.8e-06	0	0.013	0.94	0	0.049	3	0.18
416	0.00025	0	0.015	0.79	0	0.19	3	0.18
417	0.0012	0	0.008	0.96	0	0.033	3	0.18
418	9.4e-05	0	0.014	0.87	0	0.12	3	0.18
419	0.0032	0	0.0071	0.93	0	0.064	3	0.18
420	3.8e-05	0	0.017	0.54	0	0.45	3	0.18
421	0.00014	0	0.014	0.87	0	0.12	3	0.18
422	1.6e-05	0	0.02	0.62	0	0.36	3	0.18
423	0.00012	0	0.017	0.65	0	0.34	3	0.18
424	5.7e-06	0	0.02	0.51	0	0.46	3	0.18
425	0.0061	0	0.0086	0.93	0	0.056	3	0.18
426	0.00062	0	0.0064	0.98	0	0.016	3	0.18
427	0.0026	0	0.0058	0.98	0	0.016	3	0.18
428	0.0031	0	0.008	0.9	0	0.089	3	0.18
429	0.0027	0	0.013	0.65	0	0.33	3	0.18
430	0.023	0	0.0066	0.93	0	0.036	3	0.18
431	0.00029	0	0.012	0.76	0	0.23	3	0.18
432	7.6e-06	0	0.018	0.39	0	0.6	5	0.14
433	0.0015	0	0.0076	0.92	0	0.066	3	0.18
434	2.4e-05	0	0.015	0.7	0	0.29	3	0.18
435	0	0.0012	0	1	0	0	3	0.18
436	0.00029	0	0.012	0.79	0	0.2	3	0.18
437	0.00071	0	0.007	0.95	0	0.045	3	0.18
438	0.017	0.00059	0.013	0.58	0	0.39	3	0.18
439	0.00011	0	0.013	0.73	0	0.25	3	0.18
440	0.00018	0	0.01	0.89	0	0.1	3	0.18
441	0.0037	4.5e-06	0.013	0.67	0	0.31	3	0.18
442	0.00089	0	0.01	0.92	0	0.064	3	0.18
443	0.00019	0	0.012	0.8	0	0.19	3	0.18
444	0.0046	0	0.0047	0.97	0	0.021	3	0.18
445	0.00017	0	0.016	0.72	0	0.26	3	0.18
446	4.7e-05	0	0.018	0.58	0	0.41	3	0.18
447	0.0011	0	0.0078	0.96	0	0.03	3	0.18
448	0.006	0	0.0041	0.98	0	0.0071	3	0.18
449	1.6e-06	0	0.017	0.91	0	0.078	3	0.18
450	0.00092	0	0.01	0.93	0	0.063	3	0.18
451	0.0036	0	0.0049	0.98	0	0.011	3	0.18
452	3.4e-05	0	0.019	0.58	0	0.4	3	0.18
453	1.3e-05	0	0.02	0.68	0	0.3	3	0.18
454	0.00022	0	0.015	0.8	0	0.19	3	0.18
455	0.00015	0	0.012	0.91	0	0.08	3	0.18
456	0.0049	0	0.0076	0.95	0	0.037	3	0.18
457	5.4e-06	0	0.021	0.62	0	0.36	3	0.18
458	0.015	0	0.0087	0.91	0	0.071	3	0.18
459	0.002	2.3e-06	0.013	0.78	0	0.21	3	0.18
460	0.0003	0	0.016	0.71	0	0.27	3	0.18
461	0.004	0	0.01	0.9	0	0.083	3	0.18
462	0.019	0	0.0056	0.95	0	0.021	3	0.18
463	0.008	0	0.0086	0.92	0	0.059	3	0.18
464	0	0	0.02	0.27	0	0.71	5	0.14
465	0.017	0	0.0055	0.96	0	0.019	3	0.18
466	0.0001	0	0.017	0.63	0	0.35	3	0.18
467	0.0095	0	0.0082	0.93	0	0.054	3	0.18
468	0.0011	0	0.014	0.8	0	0.18	3	0.18
469	0.00021	0	0.015	0.81	0	0.18	3	0.18
470	0.0049	0	0.0073	0.91	0	0.075	3	0.18
471	0	0	0	0	1	0	4	0.68
472	0.00023	0	0.0093	0.91	0	0.083	3	0.18
473	0.0047	0	0.0068	0.93	0	0.059	3	0.18
474	0.0011	0	0.012	0.75	0	0.23	3	0.18
