SNV	cluster0	cluster	dcf0
157	1	0	0.18
158	1	0	0.18
159	1	0	0.18
160	1	0	0.18
161	1	0	0.18
162	1	0	0.18
163	1	0	0.18
164	1	0	0.18
165	1	0	0.18
166	1	0	0.18
167	1	0	0.18
168	1	0	0.18
169	1	0	0.18
170	1	0	0.18
171	1	0	0.18
172	1	0	0.18
173	1	0	0.18
174	1	0	0.18
175	1	0	0.18
176	1	0	0.18
177	1	0	0.18
178	1	0	0.18
179	1	0	0.18
180	1	0	0.18
181	1	0	0.18
182	1	0	0.18
183	1	0	0.18
184	1	0	0.18
185	1	0	0.18
186	1	0	0.18
187	1	0	0.18
188	1	0	0.18
189	1	0	0.18
190	1	0	0.18
191	1	0	0.18
192	1	0	0.18
193	1	0	0.18
194	1	0	0.18
195	1	0	0.18
196	1	0	0.18
197	1	0	0.18
198	1	0	0.18
199	1	0	0.18
200	1	0	0.18
201	1	0	0.18
202	1	0	0.18
203	1	0	0.18
204	1	0	0.18
205	1	0	0.18
206	1	0	0.18
207	1	0	0.18
208	1	0	0.18
209	1	0	0.18
210	1	0	0.18
211	1	0	0.18
212	1	0	0.18
213	1	0	0.18
214	1	0	0.18
215	1	0	0.18
216	1	0	0.18
217	1	0	0.18
218	1	0	0.18
219	1	0	0.18
220	1	0	0.18
221	1	0	0.18
222	1	0	0.18
223	1	0	0.18
224	1	0	0.18
225	1	0	0.18
226	1	0	0.18
227	1	0	0.18
228	1	0	0.18
229	1	0	0.18
230	1	0	0.18
231	1	0	0.18
232	1	0	0.18
233	1	0	0.18
234	1	0	0.18
235	1	0	0.18
236	1	0	0.18
237	1	0	0.18
238	1	0	0.18
239	1	0	0.18
240	1	0	0.18
241	1	0	0.18
242	1	0	0.18
243	1	0	0.18
244	1	0	0.18
245	1	0	0.18
246	1	0	0.18
247	1	0	0.18
248	1	0	0.18
249	1	0	0.18
250	1	0	0.18
251	1	0	0.18
252	1	0	0.18
253	1	0	0.18
254	1	0	0.18
255	1	0	0.18
256	1	0	0.18
257	1	0	0.18
258	1	0	0.18
259	1	0	0.18
260	1	0	0.18
261	1	0	0.18
262	1	0	0.18
263	1	0	0.18
264	1	0	0.18
265	1	0	0.18
266	1	0	0.18
267	1	0	0.18
268	1	0	0.18
269	1	0	0.18
270	1	0	0.18
271	1	0	0.18
272	1	0	0.18
273	1	0	0.18
274	1	0	0.18
275	1	0	0.18
276	1	0	0.18
277	1	0	0.18
278	1	0	0.18
279	1	0	0.18
280	1	0	0.18
281	1	0	0.18
282	1	0	0.18
283	1	0	0.18
284	1	0	0.18
285	1	0	0.18
286	1	0	0.18
287	1	0	0.18
288	1	0	0.18
289	1	0	0.18
290	1	0	0.18
291	1	0	0.18
292	1	0	0.18
293	1	0	0.18
294	1	0	0.18
295	1	0	0.18
296	1	0	0.18
297	1	0	0.18
298	1	0	0.18
299	1	0	0.18
300	1	0	0.18
301	1	0	0.18
302	1	0	0.18
303	1	0	0.18
304	1	0	0.18
305	1	0	0.18
306	1	0	0.18
307	1	0	0.18
308	1	0	0.18
309	1	0	0.18
310	1	0	0.18
311	1	0	0.18
312	1	0	0.18
313	1	0	0.18
314	1	0	0.18
315	1	0	0.18
316	1	0	0.18
317	1	0	0.18
318	1	0	0.18
319	1	0	0.18
320	1	0	0.18
321	1	0	0.18
322	1	0	0.18
323	1	0	0.18
324	1	0	0.18
325	1	0	0.18
326	1	0	0.18
327	1	0	0.18
328	1	0	0.18
329	1	0	0.18
330	1	0	0.18
331	1	0	0.18
332	1	0	0.18
333	1	0	0.18
334	1	0	0.18
335	1	0	0.18
336	1	0	0.18
337	1	0	0.18
338	1	0	0.18
339	1	0	0.18
340	1	0	0.18
341	1	0	0.18
342	1	0	0.18
343	1	0	0.18
344	1	0	0.18
345	1	0	0.18
346	1	0	0.18
347	1	0	0.18
348	1	0	0.18
349	1	0	0.18
350	1	0	0.18
351	1	0	0.18
352	1	0	0.18
353	1	0	0.18
354	1	0	0.18
355	1	0	0.18
356	1	0	0.18
357	1	0	0.18
358	1	0	0.18
359	1	0	0.18
360	1	0	0.18
361	1	0	0.18
362	1	0	0.18
363	1	0	0.18
364	1	0	0.18
365	1	0	0.18
366	1	0	0.18
367	1	0	0.18
368	1	0	0.18
369	1	0	0.18
370	1	0	0.18
371	1	0	0.18
372	1	0	0.18
373	1	0	0.18
374	1	0	0.18
375	1	0	0.18
376	1	0	0.18
377	1	0	0.18
378	1	0	0.18
379	1	0	0.18
380	1	0	0.18
381	1	0	0.18
382	1	0	0.18
383	1	0	0.18
384	1	0	0.18
385	1	0	0.18
386	1	0	0.18
387	1	0	0.18
388	1	0	0.18
389	1	0	0.18
390	1	0	0.18
391	1	0	0.18
392	1	0	0.18
393	1	0	0.18
394	1	0	0.18
395	1	0	0.18
396	1	0	0.18
397	1	0	0.18
398	1	0	0.18
399	1	0	0.18
400	1	0	0.18
401	1	0	0.18
402	1	0	0.18
403	1	0	0.18
404	1	0	0.18
405	1	0	0.18
406	1	0	0.18
407	1	0	0.18
408	1	0	0.18
409	1	0	0.18
410	1	0	0.18
411	1	0	0.18
412	1	0	0.18
413	1	0	0.18
414	1	0	0.18
415	1	0	0.18
416	1	0	0.18
417	1	0	0.18
418	1	0	0.18
419	1	0	0.18
420	1	0	0.18
421	1	0	0.18
422	1	0	0.18
423	1	0	0.18
424	1	0	0.18
425	1	0	0.18
426	1	0	0.18
427	1	0	0.18
428	1	0	0.18
429	1	0	0.18
430	1	0	0.18
431	1	0	0.18
432	1	0	0.18
433	1	0	0.18
434	1	0	0.18
435	1	0	0.18
436	1	0	0.18
437	1	0	0.18
438	1	0	0.18
439	1	0	0.18
440	1	0	0.18
441	1	0	0.18
442	1	0	0.18
443	1	0	0.18
444	1	0	0.18
445	1	0	0.18
446	1	0	0.18
447	1	0	0.18
448	1	0	0.18
449	1	0	0.18
450	1	0	0.18
451	1	0	0.18
452	1	0	0.18
453	1	0	0.18
454	1	0	0.18
455	1	0	0.18
456	1	0	0.18
457	1	0	0.18
458	1	0	0.18
459	1	0	0.18
460	1	0	0.18
461	1	0	0.18
462	1	0	0.18
463	1	0	0.18
464	1	0	0.18
465	1	0	0.18
466	1	0	0.18
467	1	0	0.18
468	1	0	0.18
469	1	0	0.18
470	1	0	0.18
471	1	0	0.18
472	1	0	0.18
473	1	0	0.18
474	1	0	0.18
475	1	0	0.18
476	1	0	0.18
477	1	0	0.18
478	1	0	0.18
479	1	0	0.18
480	1	0	0.18
481	1	0	0.18
482	1	0	0.18
483	1	0	0.18
484	1	0	0.18
485	1	0	0.18
486	1	0	0.18
487	1	0	0.18
488	1	0	0.18
489	1	0	0.18
490	1	0	0.18
491	1	0	0.18
492	1	0	0.18
493	1	0	0.18
494	1	0	0.18
495	1	0	0.18
496	1	0	0.18
497	1	0	0.18
498	1	0	0.18
499	1	0	0.18
500	1	0	0.18
501	1	0	0.18
502	1	0	0.18
503	1	0	0.18
504	1	0	0.18
505	1	0	0.18
506	1	0	0.18
507	1	0	0.18
508	1	0	0.18
509	1	0	0.18
510	1	0	0.18
511	1	0	0.18
512	1	0	0.18
513	1	0	0.18
514	1	0	0.18
515	1	0	0.18
516	1	0	0.18
517	1	0	0.18
518	1	0	0.18
519	1	0	0.18
520	1	0	0.18
521	1	0	0.18
522	1	0	0.18
523	1	0	0.18
524	1	0	0.18
525	1	0	0.18
526	1	0	0.18
527	1	0	0.18
528	1	0	0.18
529	1	0	0.18
530	1	0	0.18
531	1	0	0.18
532	1	0	0.18
533	1	0	0.18
534	1	0	0.18
535	1	0	0.18
536	1	0	0.18
537	1	0	0.18
538	1	0	0.18
539	1	0	0.18
540	1	0	0.18
541	1	0	0.18
542	1	0	0.18
543	1	0	0.18
544	1	0	0.18
545	1	0	0.18
546	1	0	0.18
547	1	0	0.18
548	1	0	0.18
549	1	0	0.18
550	1	0	0.18
551	1	0	0.18
552	1	0	0.18
553	1	0	0.18
554	1	0	0.18
555	1	0	0.18
556	1	0	0.18
557	1	0	0.18
558	1	0	0.18
559	1	0	0.18
560	1	0	0.18
561	1	0	0.18
562	1	0	0.18
563	1	0	0.18
564	1	0	0.18
565	1	0	0.18
566	1	0	0.18
567	1	0	0.18
568	1	0	0.18
569	1	0	0.18
570	1	0	0.18
571	1	0	0.18
572	1	0	0.18
573	1	0	0.18
574	1	0	0.18
575	1	0	0.18
576	1	0	0.18
577	1	0	0.18
578	1	0	0.18
579	1	0	0.18
580	1	0	0.18
581	1	0	0.18
582	1	0	0.18
583	1	0	0.18
584	1	0	0.18
585	1	0	0.18
586	1	0	0.18
587	1	0	0.18
588	1	0	0.18
589	1	0	0.18
590	1	0	0.18
591	1	0	0.18
592	1	0	0.18
593	1	0	0.18
594	1	0	0.18
595	1	0	0.18
596	1	0	0.18
597	1	0	0.18
598	1	0	0.18
599	1	0	0.18
600	1	0	0.18
601	1	0	0.18
602	1	0	0.18
603	1	0	0.18
604	1	0	0.18
605	1	0	0.18
606	1	0	0.18
607	1	0	0.18
608	1	0	0.18
609	1	0	0.18
610	1	0	0.18
611	1	0	0.18
612	1	0	0.18
613	1	0	0.18
614	1	0	0.18
615	1	0	0.18
616	1	0	0.18
617	1	0	0.18
618	1	0	0.18
619	1	0	0.18
620	1	0	0.18
621	1	0	0.18
622	1	0	0.18
623	1	0	0.18
624	1	0	0.18
625	1	0	0.18
626	1	0	0.18
627	1	0	0.18
628	1	0	0.18
629	1	0	0.18
630	1	0	0.18
631	1	0	0.18
632	1	0	0.18
633	1	0	0.18
634	1	0	0.18
635	1	0	0.18
636	1	0	0.18
637	1	0	0.18
638	1	0	0.18
639	1	0	0.18
640	1	0	0.18
641	1	0	0.18
642	1	0	0.18
643	1	0	0.18
644	1	0	0.18
645	1	0	0.18
646	1	0	0.18
647	1	0	0.18
648	1	0	0.18
649	1	0	0.18
650	1	0	0.18
651	1	0	0.18
652	1	0	0.18
653	1	0	0.18
654	1	0	0.18
655	1	0	0.18
656	1	0	0.18
657	1	0	0.18
658	1	0	0.18
659	1	0	0.18
660	1	0	0.18
661	1	0	0.18
662	1	0	0.18
663	1	0	0.18
664	1	0	0.18
665	1	0	0.18
666	1	0	0.18
667	1	0	0.18
668	1	0	0.18
669	1	0	0.18
670	1	0	0.18
671	1	0	0.18
672	1	0	0.18
673	1	0	0.18
674	1	0	0.18
675	1	0	0.18
676	1	0	0.18
677	1	0	0.18
678	1	0	0.18
679	1	0	0.18
680	1	0	0.18
681	1	0	0.18
682	1	0	0.18
683	1	0	0.18
684	1	0	0.18
685	1	0	0.18
686	1	0	0.18
687	1	0	0.18
688	1	0	0.18
689	1	0	0.18
690	1	0	0.18
691	1	0	0.18
692	1	0	0.18
693	1	0	0.18
694	1	0	0.18
695	1	0	0.18
696	1	0	0.18
697	1	0	0.18
698	1	0	0.18
699	1	0	0.18
700	1	0	0.18
701	1	0	0.18
702	1	0	0.18
703	1	0	0.18
704	1	0	0.18
705	1	0	0.18
706	1	0	0.18
707	1	0	0.18
708	1	0	0.18
709	1	0	0.18
710	1	0	0.18
711	1	0	0.18
712	1	0	0.18
713	1	0	0.18
714	1	0	0.18
715	1	0	0.18
716	1	0	0.18
717	1	0	0.18
718	1	0	0.18
719	1	0	0.18
720	1	0	0.18
721	1	0	0.18
722	1	0	0.18
723	1	0	0.18
724	1	0	0.18
725	1	0	0.18
726	1	0	0.18
727	1	0	0.18
728	1	0	0.18
729	1	0	0.18
730	1	0	0.18
731	1	0	0.18
732	1	0	0.18
733	1	0	0.18
734	1	0	0.18
735	1	0	0.18
736	1	0	0.18
737	1	0	0.18
738	1	0	0.18
739	1	0	0.18
740	1	0	0.18
741	1	0	0.18
742	1	0	0.18
743	1	0	0.18
744	1	0	0.18
745	1	0	0.18
746	1	0	0.18
747	1	0	0.18
748	1	0	0.18
749	1	0	0.18
750	1	0	0.18
751	1	0	0.18
752	1	0	0.18
753	1	0	0.18
754	1	0	0.18
755	1	0	0.18
756	1	0	0.18
757	1	0	0.18
758	1	0	0.18
759	1	0	0.18
760	1	0	0.18
761	1	0	0.18
762	1	0	0.18
763	1	0	0.18
764	1	0	0.18
765	1	0	0.18
766	1	0	0.18
767	1	0	0.18
768	1	0	0.18
769	1	0	0.18
770	1	0	0.18
771	1	0	0.18
772	1	0	0.18
773	1	0	0.18
774	1	0	0.18
775	1	0	0.18
776	1	0	0.18
777	1	0	0.18
778	1	0	0.18
779	1	0	0.18
780	1	0	0.18
781	1	0	0.18
782	1	0	0.18
783	1	0	0.18
784	1	0	0.18
785	1	0	0.18
786	1	0	0.18
787	1	0	0.18
788	1	0	0.18
789	1	0	0.18
790	1	0	0.18
791	1	0	0.18
792	1	0	0.18
793	1	0	0.18
794	1	0	0.18
795	1	0	0.18
796	1	0	0.18
797	1	0	0.18
798	1	0	0.18
799	1	0	0.18
800	1	0	0.18
801	1	0	0.18
802	1	0	0.18
803	1	0	0.18
804	1	0	0.18
805	1	0	0.18
806	1	0	0.18
807	1	0	0.18
808	1	0	0.18
809	1	0	0.18
810	1	0	0.18
811	1	0	0.18
812	1	0	0.18
813	1	0	0.18
814	1	0	0.18
815	1	0	0.18
816	1	0	0.18
817	1	0	0.18
818	1	0	0.18
819	1	0	0.18
820	1	0	0.18
821	1	0	0.18
822	1	0	0.18
823	1	0	0.18
824	1	0	0.18
825	1	0	0.18
826	1	0	0.18
827	1	0	0.18
828	1	0	0.18
829	1	0	0.18
830	1	0	0.18
831	1	0	0.18
832	1	0	0.18
833	1	0	0.18
834	1	0	0.18
835	1	0	0.18
836	1	0	0.18
837	1	0	0.18
838	1	0	0.18
839	1	0	0.18
840	1	0	0.18
841	1	0	0.18
842	1	0	0.18
843	1	0	0.18
844	1	0	0.18
845	1	0	0.18
846	1	0	0.18
847	1	0	0.18
848	1	0	0.18
849	1	0	0.18
850	1	0	0.18
851	1	0	0.18
852	1	0	0.18
853	1	0	0.18
854	1	0	0.18
855	1	0	0.18
856	1	0	0.18
857	1	0	0.18
858	1	0	0.18
859	1	0	0.18
860	1	0	0.18
861	1	0	0.18
862	1	0	0.18
863	1	0	0.18
864	1	0	0.18
865	1	0	0.18
866	1	0	0.18
867	1	0	0.18
868	1	0	0.18
869	1	0	0.18
870	1	0	0.18
871	1	0	0.18
872	1	0	0.18
873	1	0	0.18
874	1	0	0.18
875	1	0	0.18
876	1	0	0.18
877	1	0	0.18
878	1	0	0.18
879	1	0	0.18
880	1	0	0.18
881	1	0	0.18
882	1	0	0.18
883	1	0	0.18
884	1	0	0.18
885	1	0	0.18
886	1	0	0.18
887	1	0	0.18
888	1	0	0.18
889	1	0	0.18
890	1	0	0.18
891	1	0	0.18
892	1	0	0.18
893	1	0	0.18
894	1	0	0.18
895	1	0	0.18
896	1	0	0.18
897	1	0	0.18
898	1	0	0.18
899	1	0	0.18
900	1	0	0.18
901	1	0	0.18
902	1	0	0.18
903	1	0	0.18
904	1	0	0.18
905	1	0	0.18
906	1	0	0.18
907	1	0	0.18
908	1	0	0.18
909	1	0	0.18
910	1	0	0.18
911	1	0	0.18
912	1	0	0.18
913	1	0	0.18
914	1	0	0.18
915	1	0	0.18
916	1	0	0.18
917	1	0	0.18
918	1	0	0.18
919	1	0	0.18
920	1	0	0.18
921	1	0	0.18
922	1	0	0.18
923	1	0	0.18
924	1	0	0.18
925	1	0	0.18
926	1	0	0.18
927	1	0	0.18
928	1	0	0.18
929	1	0	0.18
930	1	0	0.18
931	1	0	0.18
932	1	0	0.18
933	1	0	0.18
934	1	0	0.18
935	1	0	0.18
936	1	0	0.18
937	1	0	0.18
938	1	0	0.18
939	1	0	0.18
940	1	0	0.18
941	1	0	0.18
942	1	0	0.18
943	1	0	0.18
944	1	0	0.18
945	1	0	0.18
946	1	0	0.18
947	1	0	0.18
948	1	0	0.18
949	1	0	0.18
950	1	0	0.18
951	1	0	0.18
952	1	0	0.18
953	1	0	0.18
954	1	0	0.18
955	1	0	0.18
956	1	0	0.18
957	1	0	0.18
958	1	0	0.18
959	1	0	0.18
960	1	0	0.18
961	1	0	0.18
962	1	0	0.18
963	1	0	0.18
964	1	0	0.18
965	1	0	0.18
966	1	0	0.18
967	1	0	0.18
968	1	0	0.18
969	1	0	0.18
970	1	0	0.18
971	1	0	0.18
972	1	0	0.18
973	1	0	0.18
974	1	0	0.18
975	1	0	0.18
976	1	0	0.18
977	1	0	0.18
978	1	0	0.18
979	1	0	0.18
980	1	0	0.18
981	1	0	0.18
982	1	0	0.18
983	1	0	0.18
984	1	0	0.18
985	1	0	0.18
986	1	0	0.18
987	1	0	0.18
988	1	0	0.18
989	1	0	0.18
990	1	0	0.18
991	1	0	0.18
992	1	0	0.18
993	1	0	0.18
994	1	0	0.18
995	1	0	0.18
996	1	0	0.18
997	1	0	0.18
998	1	0	0.18
999	1	0	0.18
1000	1	0	0.18
1001	1	0	0.18
1002	1	0	0.18
1003	1	0	0.18
1004	1	0	0.18
1005	1	0	0.18
1006	1	0	0.18
1007	1	0	0.18
1008	1	0	0.18
1009	1	0	0.18
1010	1	0	0.18
1011	1	0	0.18
1012	1	0	0.18
1013	1	0	0.18
1014	1	0	0.18
1015	1	0	0.18
1016	1	0	0.18
1017	1	0	0.18
1018	1	0	0.18
1019	1	0	0.18
1020	1	0	0.18
1021	1	0	0.18
1022	1	0	0.18
1023	1	0	0.18
1024	1	0	0.18
1025	1	0	0.18
1026	1	0	0.18
1027	1	0	0.18
1028	1	0	0.18
