SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4e-05	0	1	17	0
55	0.12	0.26	0.002	0.0015	0.12	0.12	0.26	0.0015	0	0.12	0.0015	0.0015	0.0015	0.0015	0.0015	0	0	0	1	0.18
56	0.091	0.2	0.0046	0.032	0.091	0.091	0.2	0.032	0	0.091	0.032	0.032	0.032	0.032	0.032	0	0	0	1	0.18
57	0.11	0.24	0.003	0.013	0.11	0.11	0.24	0.013	0	0.11	0.013	0.013	0.013	0.013	0.013	0	0	0	1	0.18
58	0.11	0.24	0.0035	0.013	0.11	0.11	0.24	0.013	0	0.11	0.013	0.013	0.013	0.013	0.013	0	0	0	1	0.18
59	0.12	0.26	0.0012	0.0015	0.12	0.12	0.26	0.0015	0	0.12	0.0015	0.0015	0.0015	0.0015	0.0015	0	0	0	1	0.18
60	0.1	0.22	0.004	0.021	0.1	0.1	0.22	0.021	0	0.1	0.021	0.021	0.021	0.021	0.021	0	0	0	1	0.18
61	0.1	0.23	0.0032	0.018	0.1	0.1	0.23	0.018	0	0.1	0.018	0.018	0.018	0.018	0.018	0	0	0	1	0.18
62	0.017	0.038	0.0039	0.12	0.017	0.017	0.038	0.12	0	0.017	0.12	0.12	0.12	0.12	0.12	0	0	0	3	0.14
63	0.12	0.26	0.0018	0.003	0.12	0.12	0.26	0.003	0	0.12	0.003	0.003	0.003	0.003	0.003	0	0	0	1	0.18
64	0.12	0.26	0.0019	0.0028	0.12	0.12	0.26	0.0028	0	0.12	0.0028	0.0028	0.0028	0.0028	0.0028	0	0	0	1	0.18
65	0.031	0.069	0.0046	0.1	0.031	0.031	0.069	0.1	0	0.031	0.1	0.1	0.1	0.1	0.1	0	0	0	3	0.14
66	0.11	0.25	0.0021	0.005	0.11	0.11	0.25	0.005	0	0.11	0.005	0.005	0.005	0.005	0.005	0	0	0	1	0.18
67	0.046	0.1	0.0056	0.087	0.046	0.046	0.1	0.087	0	0.046	0.087	0.087	0.087	0.087	0.087	0	0	0	1	0.18
68	0.11	0.24	0.0029	0.012	0.11	0.11	0.24	0.012	0	0.11	0.012	0.012	0.012	0.012	0.012	0	0	0	1	0.18
69	0.073	0.16	0.0046	0.054	0.073	0.073	0.16	0.054	0	0.073	0.054	0.054	0.054	0.054	0.054	1e-05	0	0	1	0.18
70	0.11	0.26	0.002	0.0038	0.11	0.11	0.26	0.0038	0	0.11	0.0038	0.0038	0.0038	0.0038	0.0038	0	0	0	1	0.18
71	0.11	0.25	0.0023	0.0065	0.11	0.11	0.25	0.0065	0	0.11	0.0065	0.0065	0.0065	0.0065	0.0065	0	0	0	1	0.18
72	0.0078	0.017	0.003	0.13	0.0078	0.0078	0.017	0.13	0	0.0078	0.13	0.13	0.13	0.13	0.13	0	0	0	3	0.14
73	0.094	0.21	0.003	0.028	0.094	0.094	0.21	0.028	0	0.094	0.028	0.028	0.028	0.028	0.028	4.2e-06	0	0	1	0.18
74	0.11	0.25	0.0022	0.0076	0.11	0.11	0.25	0.0076	0	0.11	0.0076	0.0076	0.0076	0.0076	0.0076	0	0	0	1	0.18
75	0.076	0.17	0.0055	0.05	0.076	0.076	0.17	0.05	0	0.076	0.05	0.05	0.05	0.05	0.05	0	0	0	1	0.18
76	0.094	0.21	0.0049	0.028	0.094	0.094	0.21	0.028	0	0.094	0.028	0.028	0.028	0.028	0.028	0	0	0	1	0.18
77	0.087	0.2	0.0032	0.037	0.087	0.087	0.2	0.037	0	0.087	0.037	0.037	0.037	0.037	0.037	0.002	0	0	1	0.18
78	0.082	0.18	0.0049	0.043	0.082	0.082	0.18	0.043	0	0.082	0.043	0.043	0.043	0.043	0.043	0	0	0	1	0.18
79	0.058	0.13	0.0047	0.072	0.058	0.058	0.13	0.072	0	0.058	0.072	0.072	0.072	0.072	0.072	6.1e-05	0	0	1	0.18
80	0.081	0.18	0.0049	0.044	0.081	0.081	0.18	0.044	0	0.081	0.044	0.044	0.044	0.044	0.044	0	0	0	1	0.18
81	0.11	0.25	0.0022	0.0062	0.11	0.11	0.25	0.0062	0	0.11	0.0062	0.0062	0.0062	0.0062	0.0062	0	0	0	1	0.18
82	0.08	0.18	0.0049	0.045	0.08	0.08	0.18	0.045	0	0.08	0.045	0.045	0.045	0.045	0.045	0	0	0	1	0.18
83	0.089	0.2	0.005	0.034	0.089	0.089	0.2	0.034	0	0.089	0.034	0.034	0.034	0.034	0.034	0	0	0	1	0.18
84	0.11	0.26	0.0018	0.0036	0.11	0.11	0.26	0.0036	0	0.11	0.0036	0.0036	0.0036	0.0036	0.0036	0	0	0	1	0.18
85	0.11	0.24	0.0032	0.015	0.11	0.11	0.24	0.015	0	0.11	0.015	0.015	0.015	0.015	0.015	0	0	0	1	0.18
86	0.11	0.25	0.0026	0.0091	0.11	0.11	0.25	0.0091	0	0.11	0.0091	0.0091	0.0091	0.0091	0.0091	0	0	0	1	0.18
87	0.11	0.25	0.0025	0.0072	0.11	0.11	0.25	0.0072	0	0.11	0.0072	0.0072	0.0072	0.0072	0.0072	0	0	0	1	0.18
88	0.11	0.25	0.0026	0.0095	0.11	0.11	0.25	0.0095	0	0.11	0.0095	0.0095	0.0095	0.0095	0.0095	0	0	0	1	0.18
89	0.1	0.23	0.0026	0.017	0.1	0.1	0.23	0.017	0	0.1	0.017	0.017	0.017	0.017	0.017	0	0	0	1	0.18
90	0.089	0.2	0.0044	0.034	0.089	0.089	0.2	0.034	0	0.089	0.034	0.034	0.034	0.034	0.034	0	0	0	1	0.18
91	0.075	0.17	0.0048	0.051	0.075	0.075	0.17	0.051	0	0.075	0.051	0.051	0.051	0.051	0.051	0	0	0	1	0.18
92	0.018	0.039	0.0036	0.12	0.018	0.018	0.039	0.12	0	0.018	0.12	0.12	0.12	0.12	0.12	9.1e-06	0	0	3	0.14
93	0.042	0.094	0.0055	0.091	0.042	0.042	0.094	0.091	0	0.042	0.091	0.091	0.091	0.091	0.091	0	0	0	1	0.18
94	0.11	0.25	0.0025	0.006	0.11	0.11	0.25	0.006	0	0.11	0.006	0.006	0.006	0.006	0.006	0	0	0	1	0.18
95	0.12	0.26	0.0011	0.0011	0.12	0.12	0.26	0.0011	0	0.12	0.0011	0.0011	0.0011	0.0011	0.0011	0	0	0	1	0.18
96	0.1	0.23	0.0036	0.021	0.1	0.1	0.23	0.021	0	0.1	0.021	0.021	0.021	0.021	0.021	0	0	0	1	0.18
97	0.11	0.26	0.002	0.0031	0.11	0.11	0.26	0.0031	0	0.11	0.0031	0.0031	0.0031	0.0031	0.0031	0	0	0	1	0.18
98	0.11	0.26	0.0018	0.0034	0.11	0.11	0.26	0.0034	0	0.11	0.0034	0.0034	0.0034	0.0034	0.0034	0	0	0	1	0.18
99	0.1	0.23	0.0027	0.02	0.1	0.1	0.23	0.02	0	0.1	0.02	0.02	0.02	0.02	0.02	0	0	0	1	0.18
100	0.11	0.24	0.0022	0.014	0.11	0.11	0.24	0.014	0	0.11	0.014	0.014	0.014	0.014	0.014	0	0	0	1	0.18
101	0.089	0.2	0.0046	0.034	0.089	0.089	0.2	0.034	0	0.089	0.034	0.034	0.034	0.034	0.034	0	0	0	1	0.18
102	0.11	0.26	0.002	0.004	0.11	0.11	0.26	0.004	0	0.11	0.004	0.004	0.004	0.004	0.004	0	0	0	1	0.18
103	0.11	0.25	0.0027	0.0082	0.11	0.11	0.25	0.0082	0	0.11	0.0082	0.0082	0.0082	0.0082	0.0082	0	0	0	1	0.18
104	0.11	0.25	0.0026	0.0086	0.11	0.11	0.25	0.0086	0	0.11	0.0086	0.0086	0.0086	0.0086	0.0086	0	0	0	1	0.18
105	0.11	0.24	0.004	0.013	0.11	0.11	0.24	0.013	0	0.11	0.013	0.013	0.013	0.013	0.013	0	0	0	1	0.18
106	0.057	0.13	0.0064	0.073	0.057	0.057	0.13	0.073	0	0.057	0.073	0.073	0.073	0.073	0.073	0	0	0	1	0.18
107	0.12	0.26	0.0016	0.0019	0.12	0.12	0.26	0.0019	0	0.12	0.0019	0.0019	0.0019	0.0019	0.0019	0	0	0	1	0.18
108	0.12	0.26	0.0011	0.0009	0.12	0.12	0.26	0.0009	0	0.12	0.0009	0.0009	0.0009	0.0009	0.0009	0	0	0	1	0.18
109	0.1	0.23	0.003	0.016	0.1	0.1	0.23	0.016	0	0.1	0.016	0.016	0.016	0.016	0.016	0	0	0	1	0.18
110	0.11	0.25	0.0024	0.0072	0.11	0.11	0.25	0.0072	0	0.11	0.0072	0.0072	0.0072	0.0072	0.0072	0	0	0	1	0.18
111	0.086	0.19	0.0062	0.037	0.086	0.086	0.19	0.037	0	0.086	0.037	0.037	0.037	0.037	0.037	0	0	0	1	0.18
112	0.11	0.25	0.0024	0.0087	0.11	0.11	0.25	0.0087	0	0.11	0.0087	0.0087	0.0087	0.0087	0.0087	0	0	0	1	0.18
113	0.095	0.21	0.0041	0.027	0.095	0.095	0.21	0.027	0	0.095	0.027	0.027	0.027	0.027	0.027	0	0	0	1	0.18
114	0.12	0.26	0.0016	0.0029	0.12	0.12	0.26	0.0029	0	0.12	0.0029	0.0029	0.0029	0.0029	0.0029	0	0	0	1	0.18
115	0.097	0.22	0.0037	0.025	0.097	0.097	0.22	0.025	0	0.097	0.025	0.025	0.025	0.025	0.025	0	0	0	1	0.18
116	0.11	0.25	0.0033	0.0095	0.11	0.11	0.25	0.0095	0	0.11	0.0095	0.0095	0.0095	0.0095	0.0095	0	0	0	1	0.18
117	0.11	0.24	0.0032	0.012	0.11	0.11	0.24	0.012	0	0.11	0.012	0.012	0.012	0.012	0.012	0	0	0	1	0.18
118	0.11	0.25	0.0023	0.0082	0.11	0.11	0.25	0.0082	0	0.11	0.0082	0.0082	0.0082	0.0082	0.0082	0	0	0	1	0.18
119	0.12	0.26	0.0016	0.0029	0.12	0.12	0.26	0.0029	0	0.12	0.0029	0.0029	0.0029	0.0029	0.0029	0	0	0	1	0.18
120	0.074	0.17	0.0046	0.052	0.074	0.074	0.17	0.052	0	0.074	0.052	0.052	0.052	0.052	0.052	0	0	0	1	0.18
121	0.091	0.2	0.0042	0.032	0.091	0.091	0.2	0.032	0	0.091	0.032	0.032	0.032	0.032	0.032	0	0	0	1	0.18
122	0.1	0.23	0.0031	0.016	0.1	0.1	0.23	0.016	0	0.1	0.016	0.016	0.016	0.016	0.016	0	0	0	1	0.18
123	0.1	0.23	0.0039	0.021	0.1	0.1	0.23	0.021	0	0.1	0.021	0.021	0.021	0.021	0.021	0	0	0	1	0.18
124	0.12	0.26	0.0018	0.0025	0.12	0.12	0.26	0.0025	0	0.12	0.0025	0.0025	0.0025	0.0025	0.0025	0	0	0	1	0.18
125	0.12	0.26	0.0012	0.0015	0.12	0.12	0.26	0.0015	0	0.12	0.0015	0.0015	0.0015	0.0015	0.0015	0	0	0	1	0.18
126	0.11	0.25	0.0025	0.01	0.11	0.11	0.25	0.01	0	0.11	0.01	0.01	0.01	0.01	0.01	0	0	0	1	0.18
127	0.071	0.16	0.0049	0.056	0.071	0.071	0.16	0.056	0	0.071	0.056	0.056	0.056	0.056	0.056	0	0	0	1	0.18
128	0.088	0.2	0.0045	0.036	0.088	0.088	0.2	0.036	0	0.088	0.036	0.036	0.036	0.036	0.036	0	0	0	1	0.18
129	0.046	0.1	0.005	0.086	0.046	0.046	0.1	0.086	0	0.046	0.086	0.086	0.086	0.086	0.086	0	0	0	1	0.18
130	0.08	0.18	0.0055	0.045	0.08	0.08	0.18	0.045	0	0.08	0.045	0.045	0.045	0.045	0.045	0	0	0	1	0.18
131	0.091	0.2	0.0048	0.032	0.091	0.091	0.2	0.032	0	0.091	0.032	0.032	0.032	0.032	0.032	0	0	0	1	0.18
132	0.073	0.16	0.0052	0.054	0.073	0.073	0.16	0.054	0	0.073	0.054	0.054	0.054	0.054	0.054	0	0	0	1	0.18
133	0.074	0.17	0.0059	0.052	0.074	0.074	0.17	0.052	0	0.074	0.052	0.052	0.052	0.052	0.052	0	0	0	1	0.18
134	0.11	0.25	0.0029	0.0097	0.11	0.11	0.25	0.0097	0	0.11	0.0097	0.0097	0.0097	0.0097	0.0097	0	0	0	1	0.18
135	0.11	0.24	0.003	0.013	0.11	0.11	0.24	0.013	0	0.11	0.013	0.013	0.013	0.013	0.013	0	0	0	1	0.18
136	0.1	0.23	0.0033	0.016	0.1	0.1	0.23	0.016	0	0.1	0.016	0.016	0.016	0.016	0.016	0	0	0	1	0.18
137	0.11	0.25	0.0031	0.0085	0.11	0.11	0.25	0.0085	0	0.11	0.0085	0.0085	0.0085	0.0085	0.0085	0	0	0	1	0.18
138	0.11	0.26	0.0018	0.0036	0.11	0.11	0.26	0.0036	0	0.11	0.0036	0.0036	0.0036	0.0036	0.0036	0	0	0	1	0.18
139	0.012	0.026	0.0031	0.13	0.012	0.012	0.026	0.13	0	0.012	0.13	0.13	0.13	0.13	0.13	0	0	0	3	0.14
140	0.065	0.15	0.0048	0.063	0.065	0.065	0.15	0.063	0	0.065	0.063	0.063	0.063	0.063	0.063	0	0	0	1	0.18
141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0.02
142	0.079	0.18	0.0049	0.046	0.079	0.079	0.18	0.046	0	0.079	0.046	0.046	0.046	0.046	0.046	0	0	0	1	0.18
143	0.11	0.26	0.002	0.0037	0.11	0.11	0.26	0.0037	0	0.11	0.0037	0.0037	0.0037	0.0037	0.0037	0	0	0	1	0.18
144	0.11	0.26	0.0019	0.0042	0.11	0.11	0.26	0.0042	0	0.11	0.0042	0.0042	0.0042	0.0042	0.0042	0	0	0	1	0.18
145	0.092	0.21	0.004	0.031	0.092	0.092	0.21	0.031	0	0.092	0.031	0.031	0.031	0.031	0.031	0	0	0	1	0.18
146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041	0	1	17	0
147	0.018	0.04	0.0038	0.12	0.018	0.018	0.04	0.12	0	0.018	0.12	0.12	0.12	0.12	0.12	0	0	0	3	0.14
148	0.1	0.23	0.0048	0.018	0.1	0.1	0.23	0.018	0	0.1	0.018	0.018	0.018	0.018	0.018	0	0	0	1	0.18
149	0.085	0.19	0.0043	0.039	0.085	0.085	0.19	0.039	0	0.085	0.039	0.039	0.039	0.039	0.039	0	0	0	1	0.18
150	0.11	0.25	0.0027	0.0089	0.11	0.11	0.25	0.0089	0	0.11	0.0089	0.0089	0.0089	0.0089	0.0089	0	0	0	1	0.18
151	0.11	0.25	0.0027	0.0073	0.11	0.11	0.25	0.0073	0	0.11	0.0073	0.0073	0.0073	0.0073	0.0073	0	0	0	1	0.18
152	0.11	0.26	0.0026	0.0047	0.11	0.11	0.26	0.0047	0	0.11	0.0047	0.0047	0.0047	0.0047	0.0047	0	0	0	1	0.18
153	0.061	0.14	0.0072	0.068	0.061	0.061	0.14	0.068	0	0.061	0.068	0.068	0.068	0.068	0.068	0	0	0	1	0.18
154	0.052	0.12	0.0063	0.079	0.052	0.052	0.12	0.079	0	0.052	0.079	0.079	0.079	0.079	0.079	0	0	0	1	0.18
155	0.041	0.092	0.0054	0.092	0.041	0.041	0.092	0.092	0	0.041	0.092	0.092	0.092	0.092	0.092	0	0	0	3	0.14
156	0.1	0.23	0.0038	0.017	0.1	0.1	0.23	0.017	0	0.1	0.017	0.017	0.017	0.017	0.017	0	0	0	1	0.18
157	0.11	0.26	0.0019	0.0032	0.11	0.11	0.26	0.0032	0	0.11	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	1	0.18
158	0.12	0.26	0.0014	0.0017	0.12	0.12	0.26	0.0017	0	0.12	0.0017	0.0017	0.0017	0.0017	0.0017	0	0	0	1	0.18
159	0.092	0.21	0.005	0.031	0.092	0.092	0.21	0.031	0	0.092	0.031	0.031	0.031	0.031	0.031	0	0	0	1	0.18
160	0.11	0.25	0.0021	0.0059	0.11	0.11	0.25	0.0059	0	0.11	0.0059	0.0059	0.0059	0.0059	0.0059	0	0	0	1	0.18
161	0.085	0.19	0.0044	0.04	0.085	0.085	0.19	0.04	0	0.085	0.04	0.04	0.04	0.04	0.04	0	0	0	1	0.18
162	0.12	0.26	0	0	0.12	0.12	0.26	0	0	0.12	0	0	0	0	0	0	0	0	1	0.18
163	0.1	0.23	0.0031	0.017	0.1	0.1	0.23	0.017	0	0.1	0.017	0.017	0.017	0.017	0.017	0	0	0	1	0.18
164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0.02
165	0.12	0.26	0	0	0.12	0.12	0.26	0	0	0.12	0	0	0	0	0	0	0	0	1	0.18
166	0.12	0.26	0.0011	0.0014	0.12	0.12	0.26	0.0014	0	0.12	0.0014	0.0014	0.0014	0.0014	0.0014	0	0	0	1	0.18
167	0.095	0.21	0.0043	0.027	0.095	0.095	0.21	0.027	0	0.095	0.027	0.027	0.027	0.027	0.027	0	0	0	1	0.18
168	0.12	0.26	0.0014	0.0018	0.12	0.12	0.26	0.0018	0	0.12	0.0018	0.0018	0.0018	0.0018	0.0018	0	0	0	1	0.18
169	0.079	0.18	0.0047	0.046	0.079	0.079	0.18	0.046	0	0.079	0.046	0.046	0.046	0.046	0.046	0	0	0	1	0.18
170	0.1	0.23	0.0034	0.016	0.1	0.1	0.23	0.016	0	0.1	0.016	0.016	0.016	0.016	0.016	0	0	0	1	0.18
171	0.066	0.15	0.0059	0.062	0.066	0.066	0.15	0.062	0	0.066	0.062	0.062	0.062	0.062	0.062	0	0	0	1	0.18
172	0.1	0.23	0.0037	0.02	0.1	0.1	0.23	0.02	0	0.1	0.02	0.02	0.02	0.02	0.02	0	0	0	1	0.18
173	0.11	0.24	0.0034	0.013	0.11	0.11	0.24	0.013	0	0.11	0.013	0.013	0.013	0.013	0.013	0	0	0	1	0.18
174	0.1	0.23	0.0035	0.02	0.1	0.1	0.23	0.02	0	0.1	0.02	0.02	0.02	0.02	0.02	0	0	0	1	0.18
175	0.094	0.21	0.0042	0.028	0.094	0.094	0.21	0.028	0	0.094	0.028	0.028	0.028	0.028	0.028	0	0	0	1	0.18
176	0.098	0.22	0.0051	0.023	0.098	0.098	0.22	0.023	0	0.098	0.023	0.023	0.023	0.023	0.023	0	0	0	1	0.18
177	0.1	0.23	0.0039	0.018	0.1	0.1	0.23	0.018	0	0.1	0.018	0.018	0.018	0.018	0.018	0	0	0	1	0.18
178	0.11	0.24	0.0032	0.013	0.11	0.11	0.24	0.013	0	0.11	0.013	0.013	0.013	0.013	0.013	0	0	0	1	0.18
179	0.1	0.23	0.0037	0.019	0.1	0.1	0.23	0.019	0	0.1	0.019	0.019	0.019	0.019	0.019	0	0	0	1	0.18
180	0.1	0.23	0.0036	0.019	0.1	0.1	0.23	0.019	0	0.1	0.019	0.019	0.019	0.019	0.019	0	0	0	1	0.18
181	0.11	0.24	0.0033	0.011	0.11	0.11	0.24	0.011	0	0.11	0.011	0.011	0.011	0.011	0.011	0	0	0	1	0.18
182	0.1	0.23	0.0032	0.017	0.1	0.1	0.23	0.017	0	0.1	0.017	0.017	0.017	0.017	0.017	0	0	0	1	0.18
183	0.12	0.26	0.0011	0.001	0.12	0.12	0.26	0.001	0	0.12	0.001	0.001	0.001	0.001	0.001	0	0	0	1	0.18
184	0.097	0.22	0.0044	0.025	0.097	0.097	0.22	0.025	0	0.097	0.025	0.025	0.025	0.025	0.025	0	0	0	1	0.18
185	0.086	0.19	0.0048	0.038	0.086	0.086	0.19	0.038	0	0.086	0.038	0.038	0.038	0.038	0.038	0	0	0	1	0.18
