SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6
26	0.0044	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
27	0	0	0.00042	1	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
28	0.072	0	0.93	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
29	0.14	0	0.86	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
30	0	0	0.96	0.036	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
31	0.17	0	0.83	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
32	0	0	1	7.1e-05	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
33	0	0	0.015	0.98	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
34	0	0	1	0.0016	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
35	0	0	1	2.8e-05	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
36	0.074	0	0.93	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
37	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
38	0.24	0	0.76	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
39	0.79	0	0.21	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
40	0.88	0	0.12	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
41	0.43	0	0.57	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
42	0.00098	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
43	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
44	0.061	0	0.94	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
45	0.87	0	0.13	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
46	0.21	0	0.79	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
47	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
48	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
49	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
50	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
51	0	0	1	0.00091	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
52	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
53	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
54	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
55	0.0024	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
56	0	0	0.68	0.32	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
57	0.035	0	0.96	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
58	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
59	0.99	0	0.0078	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
60	0	0	0.01	0.99	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
61	0.32	0	0.68	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
62	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
63	0.00015	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
64	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
65	0.053	0	0.95	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
66	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
67	0	0	0.99	0.0075	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
68	0.0014	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
69	0.01	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
70	1	0	0	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
71	0.37	0	0.63	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
72	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
73	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
74	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
75	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
76	1	0	0.00058	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
77	7.9e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
78	0.016	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
79	1	0	0	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
80	0.19	0	0.81	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
81	0	0	0.077	0.92	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
82	0.84	0	0.16	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
83	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
84	0.37	0	0.63	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
85	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
86	0.022	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
87	0	0	0.65	0.35	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
88	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
89	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
90	0.95	0	0.049	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
91	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
92	0.075	0	0.93	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
93	0.0078	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
94	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
95	0.00028	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
96	0.0091	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
97	1	0	1.1e-05	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
98	0.058	0	0.94	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
99	1.4e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
100	1	0	0	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
101	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
102	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
103	0.026	0	0.97	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
104	0.00035	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
105	0.0033	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
106	0	7.3e-05	0	1	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
107	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
108	0.0051	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
109	0.014	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
110	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
111	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
112	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
113	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
114	0.82	0	0.18	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
115	0.00027	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
116	0.026	0	0.97	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
117	0.8	0	0.2	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
118	0.00054	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
119	0.00015	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
120	3.5e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
121	0.21	0	0.79	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
122	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
123	0.039	0	0.96	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
124	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
125	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
126	0.0022	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
127	0.0041	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
128	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
129	9.2e-06	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
130	0.068	0	0.93	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
131	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
132	0.017	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
133	0.16	0	0.84	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
134	1.1e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
135	0.02	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
136	0	0	0.028	0.97	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
137	0	0	1	0.0006	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
138	0	0	1	0.0013	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
139	0.81	0	0.19	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
140	0	0	1	0.00024	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
141	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
142	0.015	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
143	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
144	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
145	0	0	1	7.8e-06	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
146	0	0	0.97	0.031	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
147	0.0061	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
148	0	0	0.44	0.56	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
149	0.00038	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
150	0.0042	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
151	0.003	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
152	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
153	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
154	0.0049	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
155	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
156	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
157	6.9e-06	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
158	0.0009	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
159	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
160	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
161	0.0001	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
162	0	0	1	0.00014	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
163	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
164	0.00019	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
165	0.022	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
166	0.00012	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
167	0	0	0.97	0.034	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
168	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
169	0.0019	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
170	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
171	2.6e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
172	0.071	0	0.93	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
173	0.26	0	0.74	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
174	0.00012	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
175	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
176	0	1	0	0.0011	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
177	0.84	0	0.16	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
178	0.0091	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
179	0.023	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
180	0.16	0	0.84	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
181	0.82	0	0.18	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
182	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
183	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
184	2e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
185	0	0.00011	0.0021	1	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
186	0.012	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
187	0.031	0	0.97	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
188	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
189	0	0	0.84	0.16	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
190	0	0	1	0.00015	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
191	0	0	0.24	0.76	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
192	0	0	0.98	0.019	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
193	0.0063	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
194	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
195	0.072	0	0.93	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
196	0	0	1	0.0042	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
197	0	0	1	0.00089	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
198	0.94	0	0.061	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
199	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
200	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
201	0	0	0.95	0.047	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
202	3.1e-06	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
203	0.0054	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
204	0	1.1e-06	0.53	0.47	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
205	2.6e-06	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
206	0	0	1	0.0048	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
207	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
208	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
209	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
210	0.012	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
211	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
212	0.00015	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
213	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
214	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
215	0	0	0.0065	0.99	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
216	0.017	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
217	0.00015	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
218	0.21	0	0.79	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
219	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
220	0	0	0.93	0.065	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
221	0.0013	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
222	0	0	1	0.00072	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
223	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
224	0	0	1	3.2e-05	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
225	0.98	0	0.023	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
226	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
227	0	0	0.83	0.17	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
228	4.1e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
229	0	0	1	0.00096	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
230	0	0	1	0.00027	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
231	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
232	0	0	1	0.0042	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
233	0.0064	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
234	0	0	0.99	0.0064	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
235	0	0	0.51	0.49	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
236	0	0	0.86	0.14	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
237	0.00056	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
238	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
239	0.99	0	0.0072	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
240	0	0	0.12	0.88	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
241	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
242	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
243	0.0021	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
244	0	0	0.00047	1	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
245	0	0	0.94	0.059	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
246	0	0	0.63	0.37	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
247	0.87	0	0.13	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
248	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
249	0.00047	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
250	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
251	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
252	0	0	0.88	0.12	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
253	0.033	0	0.97	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
254	4.7e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
255	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
256	0.019	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
257	1.1e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
258	0.014	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
259	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
260	0	0	0.022	0.98	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
261	0.017	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
262	1.6e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
263	1.3e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
264	0.00069	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
265	0.014	0	0.99	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
266	0.88	0	0.12	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
267	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
268	1	0	2.1e-05	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
269	0.11	0	0.89	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
270	1	0	0	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
271	5e-06	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
272	0	0	0.0027	1	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
273	5.5e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
274	0	0	0.96	0.036	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
275	0.097	0	0.9	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
276	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
277	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
278	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
279	0.69	0	0.31	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
280	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
281	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
282	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
283	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
284	0.001	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
285	0	0	0.0014	1	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
286	0.0002	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
287	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
288	0.00012	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
289	0.19	0	0.81	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
290	1	0	0	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
291	0	0	1	0.00071	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
292	0	0	1	0.0027	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
293	1.9e-05	0	1	4.1e-05	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
294	0.0001	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
295	0.02	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
296	0.031	0	0.97	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
297	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
298	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
299	1	0	0	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
300	0.0035	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
301	2.5e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
302	0.022	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
303	3.1e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
304	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
305	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
306	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
307	0	0.0005	0.013	0.99	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
308	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
309	0	0	0.097	0.9	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
310	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
311	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
312	0.00033	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
313	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
314	0.1	0	0.9	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
315	0	0	1	7.6e-05	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
316	0.93	0	0.071	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
317	1	0	0.0035	0	0	0.28	0.62	0.31	0.47	0.47	0.59	0.66
318	0	0	1	2.7e-05	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
319	0.00088	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
320	6.4e-06	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
321	0.021	0	0.98	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
322	0.044	0	0.96	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
323	0	0	0.92	0.078	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
