SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6
74	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
75	0.00011	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
76	1	0.00035	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
77	1	0.0048	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
78	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
79	0.46	0.54	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
80	0.99	0.01	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
81	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
82	0.84	0.16	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
83	1	0.00014	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
84	0.024	0.98	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
85	1	0.00054	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
86	0.84	0.16	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
87	1	5.7e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
88	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
89	1	0.0019	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
90	0.74	0.26	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
91	1	0.00038	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
92	0.95	0.045	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
93	0.53	0.47	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
94	0.91	0.086	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
95	0.99	0.012	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
96	1	0.00037	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
97	1	3e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
98	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
99	0.99	0.012	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
100	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
101	1	0.00086	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
102	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
103	1	0.0031	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
104	0.8	0.2	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
105	1	0.00019	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
106	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
107	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
108	0.018	0.98	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
109	0.98	0.016	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
110	1	0.00033	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
111	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
112	0.96	0.036	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
113	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
114	0.91	0.086	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
115	1	4.3e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
116	1	0.0015	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
117	0.032	0.97	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
118	0.73	0.27	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
119	0.14	0.86	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
120	1	0.0012	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
121	1	0.00022	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
122	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
123	0.77	0.23	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
124	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
125	0.96	0.04	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
126	1	1.7e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
127	0.77	0.23	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
128	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
129	0.0041	1	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
130	0.99	0.0051	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
131	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
132	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
133	0.99	0.0079	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
134	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
135	0.96	0.035	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
136	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
137	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
138	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
139	1	0.00055	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
140	1	0.0041	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
141	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
142	1	0.0045	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
143	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
144	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
145	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
146	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
147	1	5.8e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
148	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
149	0.86	0.14	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
150	1	0.0002	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
151	1	0.00067	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
152	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
153	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
154	0.98	0.017	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
155	0.99	0.012	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
156	1	9.6e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
157	1	0.00052	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
158	1	0.00012	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
159	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
160	0.99	0.0051	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
161	1	0.00018	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
162	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
163	1	2.1e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
164	1	6.5e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
165	0.99	0.006	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
166	0.56	0.44	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
167	1	1.5e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
168	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
169	1	0.0024	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
170	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
171	1	0.0013	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
172	0.95	0.047	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
173	0.97	0.033	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
174	1	0.0011	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
175	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
176	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
177	0.021	0.98	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
178	0.99	0.007	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
179	0.99	0.008	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
180	1	0.0036	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
181	0.27	0.73	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
182	0.99	0.0054	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
183	0.13	0.87	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
184	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
185	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
186	1	0.0031	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
187	0.99	0.0076	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
188	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
189	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
190	1	0.00049	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
191	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
192	1	6.6e-06	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
193	0.86	0.14	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
194	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
195	0.53	0.47	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
196	0.98	0.021	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
197	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
198	1	0.0013	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
199	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
200	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
201	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
202	1	0.0014	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
203	0.69	0.31	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
204	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
205	0.99	0.012	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
206	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
207	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
208	1	0.00049	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
209	1	0.0002	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
210	1	3.3e-06	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
211	1	0.002	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
212	1	9.6e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
213	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
214	1	0.00015	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
215	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
216	0.75	0.25	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
217	1	0.00015	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
218	0.99	0.01	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
219	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
220	1	0.00072	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
221	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
222	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
223	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
224	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
225	0.98	0.016	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
226	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
227	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
228	1	0.0022	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
229	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
230	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
231	0.23	0	0.77	2	0.087	0.08	0.093	0	0.17	0	0.079
232	0.99	0.012	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
233	0.31	0.69	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
234	1	7e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
235	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
236	1	0.00087	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
237	0.25	0.75	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
238	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
239	1	0.0026	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
240	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
241	0.22	0.78	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
242	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
243	0.59	0.41	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
244	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
245	1	0.00073	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
246	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
247	1	0.0018	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
248	1	0.0004	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
249	0.94	0.063	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
250	0.75	0.25	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
251	1	0.00087	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
252	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
253	0.99	0.0087	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
254	0.93	0.071	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
255	0.057	0.94	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
256	0.37	0.63	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
257	0.98	0.023	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
258	0.63	0.37	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
259	0.13	0.87	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
260	1	2.2e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
261	0.96	0.036	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
262	0.016	0.98	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
263	0.12	0.88	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
264	0.83	0.17	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
265	0.99	0.0059	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
266	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
267	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
268	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
269	1	4.5e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
270	1	1.6e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
271	1	0.00056	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
272	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
273	1	0.0003	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
274	1	3e-06	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
275	0.99	0.0079	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
276	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
277	1	2.8e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
278	1	0.0013	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
279	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
280	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
281	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
282	0.98	0.024	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
283	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
284	0.99	0.014	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
285	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
286	1	0.00023	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
287	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
288	0.99	0.0066	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
289	1	6.4e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
290	1	0.0017	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
291	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
292	1	0.005	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
293	0.76	0.24	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
294	1	0.00013	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
295	1	0.00037	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
296	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
297	1	0.00035	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
298	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
299	0.92	0.08	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
300	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
301	1	6.9e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
302	0.99	0.0075	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
303	0.96	0.043	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
304	1	0.0043	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
305	0.98	0.022	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
306	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
307	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
308	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
309	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
310	1	4.7e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
311	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
312	1	0.0024	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
313	0	0	1	2	0.087	0.08	0.093	0	0.17	0	0.079
314	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
315	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
316	1	1.1e-06	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
317	1	1.3e-05	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
318	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
319	0.49	0.51	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
320	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
321	1	0.0034	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
322	0.99	0.0085	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
323	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
324	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
325	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
326	0.036	0.96	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
327	0.69	0.31	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
328	0.5	0.5	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
329	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
330	0.6	0.4	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
331	1	0	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
332	0.93	0.07	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
333	0.61	0.39	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
334	0.99	0.0098	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
335	1	0.0013	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
336	0.0026	1	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
337	0.12	0.88	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
338	0.34	0.66	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
339	0.81	0.19	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
340	0.92	0.081	0	0	0.22	0.28	0.16	0.19	0.23	0.23	0.29
341	0.34	0.66	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
342	0.49	0.51	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
343	0.48	0.52	0	1	0.22	0.43	0.24	0.33	0.35	0.41	0.43
