SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
163	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
164	0	0.86	0	0.12	0.02	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
165	0	0	1	0	0	0	0	0	2	0.053	0.029	0.064	0.14	0.026	0.54
166	0	0.98	0	0.015	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
167	0	0.96	0	5.4e-05	0.036	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
168	0	1	0	0.00067	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
169	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
170	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
171	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
172	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
173	0	0	0	0	0	0	1	0	6	1	0.51	0.38	0.22	0.4	0.54
174	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
175	0	1	0	1.3e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
176	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
177	0	0.81	0	0.16	0.037	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
178	0	0.47	0	0.53	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
179	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
180	0	0.074	0	0.93	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
181	0	0.82	0	0.18	0.00038	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
182	0	0.99	0	0.0084	0.00012	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
183	0	1	0	1.2e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
184	0	1	0	0	0.0023	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
185	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
186	0	0.87	0	0.13	0.00042	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
187	0	0.95	0	0.025	0.025	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
188	0.99	0.0072	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
189	0	0.055	0	0.95	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
190	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
191	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
192	0	1	0	0.0023	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
193	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
194	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
195	0	0.99	0	0.0061	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
196	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
197	0	0	0	0	0	0	1	0	6	1	0.51	0.38	0.22	0.4	0.54
198	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
199	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
200	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
201	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
202	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
203	0	0.88	0	0.071	0.049	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
204	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
205	0	0.35	0	0.65	4.1e-05	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
206	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
207	0	1	0	0.0018	0.00076	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
208	0	1	0	2.4e-05	4.8e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
209	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
210	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
211	0	0	0	1	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
212	0	1	0	0	6.3e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
213	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
214	0	1	0	7.3e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
215	0	0.73	0	0.26	0.002	0	0.00033	0	1	0.52	0.26	0.29	0.14	0.23	0.54
216	0	0.98	0	0.025	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
217	0	0.99	0	0.0089	0.00021	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
218	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
219	0	1	0	4.3e-06	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
220	0	1	0	0.0016	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
221	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
222	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
223	0	0.91	0	0.00095	0.089	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
224	0	0.87	0	0.13	0.00033	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
225	0	0.77	0	0.23	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
226	0	0	1	0	0	0	0	0	2	0.053	0.029	0.064	0.14	0.026	0.54
227	0	1	0	0.0011	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
228	0	1	0	0.00019	0.0012	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
229	0	0.97	0	0.026	3.9e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
230	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
231	0	1	0	0.003	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
232	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
233	0	1	0	1.4e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
234	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
235	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
236	0	0.4	0	0.6	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
237	0	0.91	0	0.092	0.002	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
238	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
239	0	1	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
240	0	0.35	0	0.65	0.0026	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
241	0	1	0	0.00054	0.0019	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
242	0	0.98	0	0.021	0.00036	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
243	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
244	0	0.9	0	0.099	0.0015	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
245	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
246	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
247	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
248	0	1	0	2.3e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
249	0	0.96	0	0.038	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
250	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
251	0	0.77	0	0.23	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
252	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
253	0	0.94	0	0.059	0.0018	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
254	0	0	1	0	0	0	0	0	2	0.053	0.029	0.064	0.14	0.026	0.54
255	0	0.99	0	0.014	0.00068	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
256	0	0	1	0	0	0	0	0	2	0.053	0.029	0.064	0.14	0.026	0.54
257	0	1	0	0.00068	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
258	0	0.97	0	0.033	9e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
259	0	1	0	0.00087	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
260	0	0	1	0	0	0	0	0	2	0.053	0.029	0.064	0.14	0.026	0.54
261	0	0.67	0	0.33	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
262	0	1	0	9.7e-05	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
263	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
264	0	0.0068	0	0.99	0	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
265	0	0.97	0	0	0.033	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
266	0	0.39	0	0.61	0.0011	0	0	0	3	0.57	0.31	0.29	0.14	0.29	0.54
267	0	0.99	0	0.0027	0.011	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
268	0	0.86	0	0.092	0.051	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
269	0	0.92	0	0.079	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
270	0	1	0	2.3e-06	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
271	0	0.93	0	0.074	6.4e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
272	0	0.99	0	0.0088	3.8e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
273	0	1	0	0.0012	8.7e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
274	0	1	0	0.00061	1.6e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
275	0	0	1	0	0	0	0	0	2	0.053	0.029	0.064	0.14	0.026	0.54
276	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
277	0	0.87	0	0.11	0.022	0	0.0001	0	1	0.52	0.26	0.29	0.14	0.23	0.54
278	0	0.99	0	0.012	0.00024	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
279	0	0	1	0	0	0	0	0	2	0.053	0.029	0.064	0.14	0.026	0.54
280	0	0.95	0	0.05	2e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
281	0	0.97	0	0.026	4e-06	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
282	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
283	0	1	0	0.00087	3.2e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
284	0	0.92	0	0.042	0.036	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
285	0	1	0	0.004	2.2e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
286	0	0.98	0	0.019	0.00041	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
287	0	1	0	7.4e-06	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
288	0	0	1	0	0	0	0	0	2	0.053	0.029	0.064	0.14	0.026	0.54
289	0	0	0	0	0	1	0	0	5	0	0	0.097	0.031	0.077	0
290	1	0	0	0	0	0	0	0	0	0.16	0.058	0.064	0.031	0.026	0.051
291	0	0	8.5e-06	0	0	0	0	1	7	0	0	0	0	0	0.54
292	0	1	0	3e-06	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
293	0	0.89	0	0.1	0.0048	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
294	0	0.74	0	0.02	0.24	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
295	0	0.99	0	0.0057	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
