SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0
90	0.4	0.028	0.054	0.045	0.025	0.4	0	0	0	0	0.045	2.8e-05	0	0.14
91	0	0	0	0	0	0	0	0	0	1	0	0	9	0.016
92	0.44	0.013	0.059	0.02	0.011	0.44	0	0.00072	0.00072	0	0.02	0.002	0	0.14
93	0.41	0.014	0.055	0.023	0.013	0.41	0	0	0	0	0.023	0.057	0	0.14
94	0.45	0.0056	0.062	0.0088	0.005	0.45	0	0.00049	0.00049	0	0.0088	0.00015	0	0.14
95	0.46	0.0028	0.063	0.0044	0.0025	0.46	0	9.4e-05	9.4e-05	0	0.0044	8.3e-06	0	0.14
96	0.47	0.0005	0.063	0.00079	0.00044	0.47	0	3.7e-05	3.7e-05	0	0.00079	0	0	0.14
97	0.41	0.027	0.055	0.042	0.024	0.41	0	2.8e-06	2.8e-06	0	0.042	0.00039	0	0.14
98	0.47	2.5e-05	0.063	3.9e-05	2.2e-05	0.47	0	0.0033	0.0033	0	3.9e-05	0	0	0.14
99	0.39	0.031	0.053	0.048	0.027	0.39	0	1.6e-05	1.6e-05	0	0.048	0.014	0	0.14
100	0.38	0.033	0.052	0.052	0.029	0.38	0	8.3e-06	8.3e-06	0	0.052	0.013	0	0.14
101	0.3	0.072	0.04	0.11	0.064	0.3	0	0	0	0	0.11	0.0044	0	0.14
102	0.41	0.026	0.055	0.041	0.023	0.41	0	2.2e-05	2.2e-05	0	0.041	0.0018	0	0.14
103	0.46	0.001	0.062	0.0016	0.00091	0.46	0	0.0064	0.0064	0	0.0016	1e-05	0	0.14
104	0.4	0.028	0.054	0.044	0.025	0.4	0	4.5e-05	4.5e-05	0	0.044	0.0058	0	0.14
105	0.46	0.0039	0.062	0.0061	0.0034	0.46	0	5.7e-05	5.7e-05	0	0.0061	1.4e-05	0	0.14
106	0.47	0.00071	0.063	0.0011	0.00063	0.47	0	0	0	0	0.0011	0	0	0.14
107	0.41	0.024	0.056	0.037	0.021	0.41	0	3.3e-06	3.3e-06	0	0.037	0.00029	0	0.14
108	0.4	0.026	0.054	0.041	0.023	0.4	0	0	0	0	0.041	0.023	0	0.14
109	0.4	0.026	0.055	0.04	0.023	0.4	0	9.2e-05	9.2e-05	0	0.04	0.0077	0	0.14
110	0.47	0.00051	0.063	0.00081	0.00045	0.47	0	0	0	0	0.00081	0	0	0.14
111	0.46	0.0035	0.062	0.0055	0.0031	0.46	0	0.00016	0.00016	0	0.0055	2.2e-05	0	0.14
112	0.26	0.086	0.036	0.14	0.076	0.26	0	0	0	0	0.14	0.0042	0	0.14
113	0.46	0.0033	0.062	0.0052	0.0029	0.46	0	0.00028	0.00028	0	0.0052	2.6e-05	0	0.14
114	0.3	0.07	0.041	0.11	0.062	0.3	0	0	0	0	0.11	2.5e-05	0	0.14
115	0.39	0.022	0.053	0.035	0.02	0.39	0	0	0	0	0.035	0.058	0	0.14
116	0.37	0.042	0.05	0.066	0.037	0.37	0	0	0	0	0.066	7e-05	0	0.14
117	0.22	0.1	0.03	0.16	0.092	0.22	0	0	0	0	0.16	0.0029	0	0.14
118	0.3	0.071	0.04	0.11	0.063	0.3	0	0	0	0	0.11	0.0073	0	0.14
119	0.44	0.011	0.06	0.018	0.01	0.44	0	0	0	0	0.018	0	0	0.14
120	0.43	0.017	0.058	0.027	0.015	0.43	0	0	0	0	0.027	4.3e-06	0	0.14
121	0.31	0.069	0.041	0.11	0.061	0.31	0	0	0	0	0.11	0.00011	0	0.14
122	0.38	0.036	0.052	0.056	0.032	0.38	0	8.9e-06	8.9e-06	0	0.056	0.0087	0	0.14
123	0.47	0.00036	0.063	0.00056	0.00032	0.47	0	0	0	0	0.00056	0	0	0.14
124	0.37	0.042	0.05	0.067	0.038	0.37	0	2e-06	2e-06	0	0.067	0.0018	0	0.14
125	0.017	0.18	0.0023	0.28	0.16	0.017	0	0	0	0	0.28	0.061	3	0.22
126	0.45	0.00033	0.06	0.00052	0.00029	0.45	0	0.023	0.023	3.3e-05	0.00052	1.5e-06	0	0.14
127	0.45	0.0074	0.061	0.012	0.0066	0.45	0	0	0	0	0.012	3.6e-06	0	0.14
128	0.45	0.0071	0.061	0.011	0.0063	0.45	0	0	0	0	0.011	0	0	0.14
129	0.46	0.001	0.062	0.0016	0.00091	0.46	0	0.01	0.01	6.6e-06	0.0016	1.4e-05	0	0.14
130	0.42	0.022	0.056	0.035	0.02	0.42	0	4.4e-06	4.4e-06	0	0.035	0.0003	0	0.14
131	0.4	0.03	0.054	0.048	0.027	0.4	0	0	0	0	0.048	3.8e-05	0	0.14
132	0.46	0.0017	0.063	0.0027	0.0015	0.46	0	0	0	0	0.0027	0	0	0.14
133	0.45	0.007	0.061	0.011	0.0062	0.45	0	4.9e-06	4.9e-06	0	0.011	1.3e-05	0	0.14
134	0.31	0.066	0.042	0.1	0.059	0.31	0	0	0	0	0.1	0.00043	0	0.14
135	0.39	0.03	0.052	0.048	0.027	0.39	0	0	0	0	0.048	0.02	0	0.14
136	0.4	0.028	0.055	0.044	0.025	0.4	0	0	0	0	0.044	4.7e-06	0	0.14
137	0.4	0.031	0.054	0.049	0.027	0.4	0	0	0	0	0.049	0.00024	0	0.14
138	0.4	0.028	0.055	0.044	0.025	0.4	0	6.7e-06	6.7e-06	0	0.044	0.00085	0	0.14
139	0.44	0.01	0.06	0.016	0.0091	0.44	0	0.0012	0.0012	0	0.016	0.0014	0	0.14
140	0.43	0.018	0.058	0.028	0.016	0.43	0	3.8e-05	3.8e-05	0	0.028	0.00068	0	0.14
141	0.38	0.031	0.052	0.048	0.027	0.38	0	0	0	0	0.048	0.034	0	0.14
142	0.45	0.0066	0.061	0.01	0.0058	0.45	0	0.0014	0.0014	0	0.01	0.00047	0	0.14
143	0.41	0.022	0.056	0.035	0.02	0.41	0	0.00025	0.00025	0	0.035	0.0081	0	0.14
144	0.47	0.0012	0.063	0.0019	0.0011	0.47	0	1.9e-05	1.9e-05	0	0.0019	0	0	0.14
145	0.32	0.061	0.044	0.097	0.054	0.32	0	0	0	0	0.097	0.00085	0	0.14
146	0.46	0.0028	0.063	0.0044	0.0025	0.46	0	0	0	0	0.0044	0	0	0.14
147	0.091	0.16	0.012	0.25	0.14	0.091	0	0	0	0	0.25	0.00039	3	0.22
148	0.43	0.018	0.058	0.029	0.016	0.43	0	6.9e-06	6.9e-06	0	0.029	0.00023	0	0.14
149	0.29	0.067	0.039	0.11	0.059	0.29	0	0	0	0	0.11	0.053	0	0.14
150	0.38	0.036	0.052	0.056	0.032	0.38	0	0	0	0	0.056	0.00011	0	0.14
151	0.37	0.042	0.05	0.065	0.037	0.37	0	0	0	0	0.065	0.011	0	0.14
152	0.098	0.16	0.013	0.25	0.14	0.098	0	0	0	0	0.25	0.00034	3	0.22
153	0.25	0.095	0.033	0.15	0.084	0.25	0	0	0	0	0.15	1.2e-05	0	0.14
154	0.46	0.0014	0.063	0.0022	0.0012	0.46	0	0.00013	0.00013	0	0.0022	0	0	0.14
155	0.44	1.8e-06	0.06	2.9e-06	1.6e-06	0.44	0	0.027	0.027	0	2.9e-06	0	0	0.14
156	0.45	0.0071	0.061	0.011	0.0063	0.45	0	0	0	0	0.011	0	0	0.14
157	0.45	0.0083	0.061	0.013	0.0073	0.45	0	0	0	0	0.013	0	0	0.14
158	0.057	0.17	0.0077	0.27	0.15	0.057	0	0	0	0	0.27	0.0003	3	0.22
159	0.46	0.0052	0.062	0.0082	0.0046	0.46	0	0.00066	0.00066	0	0.0082	0.00015	0	0.14
160	0.43	0.018	0.058	0.028	0.016	0.43	0	4.4e-06	4.4e-06	0	0.028	0.00015	0	0.14
161	0.45	0.0064	0.061	0.01	0.0057	0.45	0	0.00027	0.00027	0	0.01	0.00015	0	0.14
162	0.46	0.0048	0.062	0.0075	0.0042	0.46	0	0.00021	0.00021	0	0.0075	5.7e-05	0	0.14
163	0.46	0.0048	0.062	0.0075	0.0042	0.46	0	0.00021	0.00021	0	0.0075	5.7e-05	0	0.14
164	0.43	0.017	0.058	0.027	0.015	0.43	0	0	0	0	0.027	6.6e-05	0	0.14
165	0.4	0.027	0.055	0.043	0.024	0.4	0	0	0	0	0.043	1.6e-05	0	0.14
166	0.47	0.00037	0.063	0.00059	0.00033	0.47	0	0	0	0	0.00059	0	0	0.14
167	0.45	0.0084	0.061	0.013	0.0075	0.45	0	0	0	0	0.013	0	0	0.14
168	0.46	0.0011	0.062	0.0017	0.00094	0.46	0	0.01	0.01	6.3e-06	0.0017	1.5e-05	0	0.14
169	0.13	0.14	0.017	0.23	0.13	0.13	0	0	0	0	0.23	1.6e-05	3	0.22
170	0.46	0.0052	0.062	0.0082	0.0046	0.46	0	0.00066	0.00066	0	0.0082	0.00015	0	0.14
171	0.39	0.031	0.052	0.049	0.028	0.39	0	6.6e-06	6.6e-06	0	0.049	0.017	0	0.14
172	0.28	0.081	0.038	0.13	0.072	0.28	0	0	0	0	0.13	1.4e-05	0	0.14
173	0.46	0.0029	0.062	0.0046	0.0026	0.46	0	0.0017	0.0017	0	0.0046	6.3e-05	0	0.14
174	0.3	0.069	0.041	0.11	0.061	0.3	0	0	0	0	0.11	0.005	0	0.14
175	0.42	0.017	0.057	0.026	0.015	0.42	0	0	0	0	0.026	0.021	0	0.14
176	0.44	0.013	0.059	0.021	0.012	0.44	0	0	0	0	0.021	7.2e-06	0	0.14
177	0.42	0.021	0.057	0.034	0.019	0.42	0	0	0	0	0.034	2.9e-05	0	0.14
178	0.45	0.0067	0.061	0.011	0.0059	0.45	0	0.00033	0.00033	0	0.011	0.00019	0	0.14
179	0.16	0.13	0.022	0.2	0.11	0.16	0	0	0	0	0.2	0.00054	3	0.22
180	0.46	0.0042	0.062	0.0067	0.0038	0.46	0	0	0	0	0.0067	0	0	0.14
181	0.46	0.0025	0.063	0.004	0.0022	0.46	0	0	0	0	0.004	0	0	0.14
182	0.43	0.012	0.058	0.018	0.01	0.43	0	0	0	0	0.018	0.033	0	0.14
183	0.46	0.0032	0.062	0.005	0.0028	0.46	0	6.6e-05	6.6e-05	0	0.005	9.5e-06	0	0.14
184	0.45	0.0083	0.061	0.013	0.0073	0.45	0	0.00027	0.00027	0	0.013	0.00029	0	0.14
185	0.42	0	0.057	0	0	0.42	0	0.055	0.055	0	0	0	0	0.14
186	0.41	8.3e-06	0.056	1.3e-05	7.3e-06	0.41	0	0.057	0.057	0	1.3e-05	0	0	0.14
187	0.44	0.011	0.06	0.018	0.01	0.44	0	0.00052	0.00052	0	0.018	0.0011	0	0.14
188	0.46	0.0023	0.063	0.0036	0.002	0.46	0	0	0	0	0.0036	0	0	0.14
189	0.44	0.013	0.059	0.02	0.011	0.44	0	0.0011	0.0011	0	0.02	0.0027	0	0.14
190	0.33	0.058	0.045	0.091	0.051	0.33	0	0	0	0	0.091	0.0041	0	0.14
191	0.47	0.00033	0.063	0.00051	0.00029	0.47	0	0	0	0	0.00051	0	0	0.14
192	0.45	0.0075	0.061	0.012	0.0067	0.45	0	0.00025	0.00025	0	0.012	0.00017	0	0.14
193	0.3	0.067	0.041	0.11	0.06	0.3	0	0	0	0	0.11	0.021	0	0.14
194	0	0	0	0	0	0	0	0.00024	0.00024	1	0	0	9	0.016
195	0.37	0.042	0.05	0.067	0.038	0.37	0	0	0	0	0.067	0.00019	0	0.14
196	0.47	0.00034	0.063	0.00054	0.00031	0.47	0	0	0	0	0.00054	0	0	0.14
197	0.4	0.03	0.054	0.047	0.027	0.4	0	0	0	0	0.047	0.00012	0	0.14
198	0.091	0.15	0.012	0.24	0.13	0.091	0	0	0	0	0.24	0.042	3	0.22
199	0.25	0.09	0.034	0.14	0.08	0.25	0	0	0	0	0.14	0.004	0	0.14
200	0.41	0.027	0.055	0.042	0.024	0.41	0	3.6e-06	3.6e-06	0	0.042	0.00046	0	0.14
201	0.44	0.011	0.06	0.018	0.01	0.44	0	0	0	0	0.018	6.3e-06	0	0.14
202	0.47	9.4e-06	0.063	1.5e-05	8.4e-06	0.47	0	0	0	0	1.5e-05	0	0	0.14
203	0.47	0.0013	0.063	0.0021	0.0012	0.47	0	4.1e-06	4.1e-06	0	0.0021	0	0	0.14
204	0.18	0.12	0.025	0.19	0.11	0.18	0	0	0	0	0.19	0.0021	3	0.22
205	0.45	0.0066	0.061	0.01	0.0058	0.45	0	0.00095	0.00095	0	0.01	0.00029	0	0.14
206	0.44	0.012	0.06	0.018	0.01	0.44	0	6.3e-05	6.3e-05	0	0.018	0.00022	0	0.14
207	0.43	0.016	0.058	0.025	0.014	0.43	0	1.8e-05	1.8e-05	0	0.025	0.00023	0	0.14
208	0.43	0.016	0.058	0.026	0.014	0.43	0	3.1e-06	3.1e-06	0	0.026	7.8e-05	0	0.14
209	0.47	0.0012	0.063	0.0019	0.0011	0.47	0	0	0	0	0.0019	0	0	0.14
210	0.35	0.044	0.047	0.069	0.039	0.35	0	0	0	0	0.069	0.036	0	0.14
211	0.43	0.016	0.058	0.025	0.014	0.43	0	0.001	0.001	0	0.025	0.0038	0	0.14
212	0.28	0.078	0.038	0.12	0.069	0.28	0	0	0	0	0.12	0.0015	0	0.14
213	0.47	0.00067	0.063	0.001	0.00059	0.47	0	8.9e-06	8.9e-06	0	0.001	0	0	0.14
214	0.35	0.045	0.047	0.07	0.039	0.35	0	5.8e-06	5.8e-06	0	0.07	0.03	0	0.14
215	0.47	0.0012	0.063	0.0019	0.001	0.47	0	5.8e-06	5.8e-06	0	0.0019	0	0	0.14
216	0.46	0.0015	0.062	0.0023	0.0013	0.46	0	0.0064	0.0064	3.9e-06	0.0023	2.2e-05	0	0.14
217	0.3	0.072	0.04	0.11	0.064	0.3	0	0	0	0	0.11	0.0079	0	0.14
218	0.38	0.027	0.052	0.043	0.024	0.38	0	0	0	0	0.043	0.044	0	0.14
219	0.46	0.00014	0.062	0.00022	0.00012	0.46	0	0.011	0.011	0	0.00022	0	0	0.14
220	0.36	0.037	0.048	0.059	0.033	0.36	0	0	0	0	0.059	0.049	0	0.14
221	0.43	0.017	0.058	0.026	0.015	0.43	0	0.00019	0.00019	0	0.026	0.0013	0	0.14
222	0.25	0	0.034	0	0	0.25	0	0.24	0.24	0	0	0	0	0.14
223	0.47	0.00065	0.063	0.001	0.00058	0.47	0	6.7e-05	6.7e-05	0	0.001	0	0	0.14
224	0.4	0.028	0.054	0.044	0.025	0.4	0	2.5e-05	2.5e-05	0	0.044	0.0016	0	0.14
225	0.19	0.12	0.026	0.18	0.1	0.19	0	0	0	0	0.18	0.0017	0	0.14
226	0.35	0.045	0.047	0.071	0.04	0.35	0	7.5e-06	7.5e-06	0	0.071	0.028	0	0.14
227	0.47	0.0012	0.063	0.002	0.0011	0.47	0	4.1e-05	4.1e-05	0	0.002	0	0	0.14
228	0.42	0.019	0.057	0.03	0.017	0.42	0	0	0	0	0.03	0	0	0.14
229	0.46	0.0018	0.063	0.0028	0.0016	0.46	0	0.00023	0.00023	0	0.0028	3.7e-06	0	0.14
230	0.34	0.052	0.046	0.081	0.046	0.34	0	6.3e-06	6.3e-06	0	0.081	0.0094	0	0.14
231	0.46	0.0015	0.063	0.0024	0.0013	0.46	0	9.5e-05	9.5e-05	0	0.0024	0	0	0.14
232	0.38	0.039	0.051	0.061	0.034	0.38	0	0	0	0	0.061	3.5e-06	0	0.14
233	0.46	0.0031	0.062	0.0049	0.0028	0.46	0	0	0	0	0.0049	0	0	0.14
234	0.46	0.004	0.062	0.0064	0.0036	0.46	0	1e-05	1e-05	0	0.0064	4.2e-06	0	0.14
235	0.45	0.0067	0.061	0.011	0.006	0.45	0	0.00021	0.00021	0	0.011	0.00011	0	0.14
236	0.43	0.014	0.058	0.021	0.012	0.43	0	0.0033	0.0033	0.00023	0.021	0.0048	0	0.14
237	0.43	0.015	0.059	0.024	0.013	0.43	0	3.9e-05	3.9e-05	0	0.024	0.00034	0	0.14
238	0.46	0.0035	0.062	0.0055	0.0031	0.46	0	0	0	0	0.0055	0	0	0.14
239	0.46	0.0031	0.062	0.0049	0.0027	0.46	0	0.0022	0.0022	0	0.0049	7.1e-05	0	0.14
240	0.46	0.0017	0.063	0.0027	0.0015	0.46	0	7.3e-06	7.3e-06	0	0.0027	0	0	0.14
241	0.47	0.0009	0.063	0.0014	0.0008	0.47	0	6.7e-05	6.7e-05	0	0.0014	0	0	0.14
242	0.38	0.034	0.052	0.053	0.03	0.38	0	8e-05	8e-05	0	0.053	0.0089	0	0.14
243	0.37	0.023	0.051	0.037	0.021	0.37	0	0	0	0	0.037	0.086	0	0.14
244	0.47	0.0011	0.063	0.0017	0.00097	0.47	0	7.4e-05	7.4e-05	0	0.0017	0	0	0.14
245	0.47	0.0013	0.063	0.002	0.0011	0.47	0	0.00023	0.00023	0	0.002	0	0	0.14
246	0.33	0.057	0.045	0.089	0.05	0.33	0	0	0	0	0.089	0.0014	0	0.14
247	0.43	0.014	0.059	0.023	0.013	0.43	0	0.00011	0.00011	0	0.023	0.00057	0	0.14
248	0.42	0.019	0.057	0.03	0.017	0.42	0	0	0	0	0.03	2.6e-06	0	0.14
249	0.47	3.2e-05	0.063	5e-05	2.8e-05	0.47	0	0	0	0	5e-05	0	0	0.14
250	0.47	2.9e-05	0.063	4.5e-05	2.6e-05	0.47	0	0.0024	0.0024	0	4.5e-05	0	0	0.14
251	0.45	0.0089	0.061	0.014	0.0078	0.45	0	0.00013	0.00013	0	0.014	0.00017	0	0.14
252	0.47	0.00019	0.063	0.0003	0.00017	0.47	0	1.1e-05	1.1e-05	0	0.0003	0	0	0.14
253	0.46	0.00026	0.062	0.0004	0.00023	0.46	0	0.011	0.011	0	0.0004	0	0	0.14
254	0.4	2.1e-05	0.054	3.3e-05	1.8e-05	0.4	0	0.075	0.075	7e-05	3.3e-05	0	0	0.14
