SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
209	0	1	0	1	0.2	0.029	0.028	0.029	0.027
210	0	1	0	1	0.2	0.029	0.028	0.029	0.027
211	1	0	0	0	0.2	0.47	0.47	0.21	0.2
212	1	0	0	0	0.2	0.47	0.47	0.21	0.2
213	0	0	1	2	0	0.31	0.36	0.21	0.2
214	0	0	1	2	0	0.31	0.36	0.21	0.2
215	1	0	0	0	0.2	0.47	0.47	0.21	0.2
216	0	1	0	1	0.2	0.029	0.028	0.029	0.027
217	1	0	0	0	0.2	0.47	0.47	0.21	0.2
218	0	1	0	1	0.2	0.029	0.028	0.029	0.027
219	0	1	0	1	0.2	0.029	0.028	0.029	0.027
220	0	1	0	1	0.2	0.029	0.028	0.029	0.027
221	0.55	0	0.45	0	0.2	0.47	0.47	0.21	0.2
222	1	0	0	0	0.2	0.47	0.47	0.21	0.2
223	1	4.5e-05	0	0	0.2	0.47	0.47	0.21	0.2
224	1	0	0	0	0.2	0.47	0.47	0.21	0.2
225	0	0	1	2	0	0.31	0.36	0.21	0.2
226	0	1	0	1	0.2	0.029	0.028	0.029	0.027
227	1	0	0	0	0.2	0.47	0.47	0.21	0.2
228	1	0	1.3e-06	0	0.2	0.47	0.47	0.21	0.2
229	1	0	5.3e-06	0	0.2	0.47	0.47	0.21	0.2
230	1	0	0	0	0.2	0.47	0.47	0.21	0.2
231	1	0	0	0	0.2	0.47	0.47	0.21	0.2
232	1	0	0	0	0.2	0.47	0.47	0.21	0.2
233	1	0	0	0	0.2	0.47	0.47	0.21	0.2
234	7.5e-05	0	1	2	0	0.31	0.36	0.21	0.2
235	0	0.00091	1	2	0	0.31	0.36	0.21	0.2
236	1	0	0	0	0.2	0.47	0.47	0.21	0.2
237	1	0	0	0	0.2	0.47	0.47	0.21	0.2
238	1	0	0	0	0.2	0.47	0.47	0.21	0.2
239	1	0	0	0	0.2	0.47	0.47	0.21	0.2
240	1	0	0	0	0.2	0.47	0.47	0.21	0.2
241	1	0	0	0	0.2	0.47	0.47	0.21	0.2
242	0.039	0	0.96	2	0	0.31	0.36	0.21	0.2
243	1	0	0	0	0.2	0.47	0.47	0.21	0.2
244	0	1	0	1	0.2	0.029	0.028	0.029	0.027
245	1	0	0	0	0.2	0.47	0.47	0.21	0.2
246	0.86	0	0.14	0	0.2	0.47	0.47	0.21	0.2
247	0.0045	0	1	2	0	0.31	0.36	0.21	0.2
248	0	1	6.2e-05	1	0.2	0.029	0.028	0.029	0.027
249	0	1	0	1	0.2	0.029	0.028	0.029	0.027
250	0	1	0	1	0.2	0.029	0.028	0.029	0.027
251	1	0	0	0	0.2	0.47	0.47	0.21	0.2
252	0	1	0	1	0.2	0.029	0.028	0.029	0.027
253	0.12	0	0.88	2	0	0.31	0.36	0.21	0.2
254	1	0	0	0	0.2	0.47	0.47	0.21	0.2
255	0	1	0	1	0.2	0.029	0.028	0.029	0.027
256	0	0	1	2	0	0.31	0.36	0.21	0.2
257	0	1	0	1	0.2	0.029	0.028	0.029	0.027
258	0	0	1	2	0	0.31	0.36	0.21	0.2
259	1	0	0.00031	0	0.2	0.47	0.47	0.21	0.2
260	1	0	0.00011	0	0.2	0.47	0.47	0.21	0.2
261	0	1	0	1	0.2	0.029	0.028	0.029	0.027
262	0.029	0	0.97	2	0	0.31	0.36	0.21	0.2
263	1	0	0	0	0.2	0.47	0.47	0.21	0.2
264	0	1	0	1	0.2	0.029	0.028	0.029	0.027
265	0.81	0	0.19	0	0.2	0.47	0.47	0.21	0.2
266	1	0	0	0	0.2	0.47	0.47	0.21	0.2
267	2.6e-05	0	1	2	0	0.31	0.36	0.21	0.2
268	0	0	1	2	0	0.31	0.36	0.21	0.2
269	0	1	0	1	0.2	0.029	0.028	0.029	0.027
270	0	1	0	1	0.2	0.029	0.028	0.029	0.027
271	0	1	0	1	0.2	0.029	0.028	0.029	0.027
272	0	1	0	1	0.2	0.029	0.028	0.029	0.027
273	1	0.0015	0	0	0.2	0.47	0.47	0.21	0.2
274	0	1	0	1	0.2	0.029	0.028	0.029	0.027
275	1	0	0	0	0.2	0.47	0.47	0.21	0.2
276	1	0	0	0	0.2	0.47	0.47	0.21	0.2
277	0.99	0	0.0053	0	0.2	0.47	0.47	0.21	0.2
278	0	1	0	1	0.2	0.029	0.028	0.029	0.027
279	0	0.88	0.12	1	0.2	0.029	0.028	0.029	0.027
280	0.38	0	0.62	2	0	0.31	0.36	0.21	0.2
281	0	1	0	1	0.2	0.029	0.028	0.029	0.027
282	0	1	0	1	0.2	0.029	0.028	0.029	0.027
283	1	0	0.00021	0	0.2	0.47	0.47	0.21	0.2
284	1	0	0	0	0.2	0.47	0.47	0.21	0.2
285	1	0	0	0	0.2	0.47	0.47	0.21	0.2
286	1	0	4.9e-06	0	0.2	0.47	0.47	0.21	0.2
287	0	1	0	1	0.2	0.029	0.028	0.029	0.027
288	1	0	0	0	0.2	0.47	0.47	0.21	0.2
289	0	1	0	1	0.2	0.029	0.028	0.029	0.027
290	0	1	0	1	0.2	0.029	0.028	0.029	0.027
291	0.26	0	0.74	2	0	0.31	0.36	0.21	0.2
292	1	0	0	0	0.2	0.47	0.47	0.21	0.2
293	1	0	0.00066	0	0.2	0.47	0.47	0.21	0.2
294	1	0	0	0	0.2	0.47	0.47	0.21	0.2
295	1	0	0	0	0.2	0.47	0.47	0.21	0.2
296	0	1	0	1	0.2	0.029	0.028	0.029	0.027
297	1	0	0	0	0.2	0.47	0.47	0.21	0.2
298	0	0.98	0.022	1	0.2	0.029	0.028	0.029	0.027
299	0	1	2.9e-06	1	0.2	0.029	0.028	0.029	0.027
300	1	0	0	0	0.2	0.47	0.47	0.21	0.2
301	0	1	0	1	0.2	0.029	0.028	0.029	0.027
302	1	0	0	0	0.2	0.47	0.47	0.21	0.2
303	0	0	1	2	0	0.31	0.36	0.21	0.2
304	0	0	1	2	0	0.31	0.36	0.21	0.2
305	1	0	0	0	0.2	0.47	0.47	0.21	0.2
306	1	0	0	0	0.2	0.47	0.47	0.21	0.2
307	1	0	0	0	0.2	0.47	0.47	0.21	0.2
308	0	0	1	2	0	0.31	0.36	0.21	0.2
309	0	0	1	2	0	0.31	0.36	0.21	0.2
310	0	0.01	0.99	2	0	0.31	0.36	0.21	0.2
311	0	1	0	1	0.2	0.029	0.028	0.029	0.027
312	0	1	0	1	0.2	0.029	0.028	0.029	0.027
313	0	0	1	2	0	0.31	0.36	0.21	0.2
314	0.13	0	0.87	2	0	0.31	0.36	0.21	0.2
315	1	0	0	0	0.2	0.47	0.47	0.21	0.2
316	0	1	0	1	0.2	0.029	0.028	0.029	0.027
317	1	0	0	0	0.2	0.47	0.47	0.21	0.2
318	0.79	0	0.21	0	0.2	0.47	0.47	0.21	0.2
319	1	0	0	0	0.2	0.47	0.47	0.21	0.2
320	0	0.0011	1	2	0	0.31	0.36	0.21	0.2
321	1	0	0.00061	0	0.2	0.47	0.47	0.21	0.2
322	1	0	7.1e-05	0	0.2	0.47	0.47	0.21	0.2
323	1	0	0	0	0.2	0.47	0.47	0.21	0.2
324	0	0	1	2	0	0.31	0.36	0.21	0.2
325	0	1	0	1	0.2	0.029	0.028	0.029	0.027
326	0	0	1	2	0	0.31	0.36	0.21	0.2
327	0	0	1	2	0	0.31	0.36	0.21	0.2
328	1	0	0	0	0.2	0.47	0.47	0.21	0.2
329	0.026	0	0.97	2	0	0.31	0.36	0.21	0.2
330	0.82	0	0.18	0	0.2	0.47	0.47	0.21	0.2
331	1	0	0	0	0.2	0.47	0.47	0.21	0.2
332	0	1	0	1	0.2	0.029	0.028	0.029	0.027
333	0	0	1	2	0	0.31	0.36	0.21	0.2
334	1	0	0	0	0.2	0.47	0.47	0.21	0.2
335	1	0	0	0	0.2	0.47	0.47	0.21	0.2
336	0	0	1	2	0	0.31	0.36	0.21	0.2
337	1	0	0	0	0.2	0.47	0.47	0.21	0.2
338	0	1	0	1	0.2	0.029	0.028	0.029	0.027
339	1	0	0	0	0.2	0.47	0.47	0.21	0.2
340	0	1	0	1	0.2	0.029	0.028	0.029	0.027
341	1	0	0	0	0.2	0.47	0.47	0.21	0.2
342	0	1	0	1	0.2	0.029	0.028	0.029	0.027
343	0	0	1	2	0	0.31	0.36	0.21	0.2
344	1	0	0	0	0.2	0.47	0.47	0.21	0.2
345	1	0	0	0	0.2	0.47	0.47	0.21	0.2
346	0	1	0	1	0.2	0.029	0.028	0.029	0.027
347	1	0	0	0	0.2	0.47	0.47	0.21	0.2
348	0.0023	0	1	2	0	0.31	0.36	0.21	0.2
349	0	0	1	2	0	0.31	0.36	0.21	0.2
350	0	0	1	2	0	0.31	0.36	0.21	0.2
351	0	1	0	1	0.2	0.029	0.028	0.029	0.027
352	0	1	0	1	0.2	0.029	0.028	0.029	0.027
353	0	1	0	1	0.2	0.029	0.028	0.029	0.027
354	1	0	0	0	0.2	0.47	0.47	0.21	0.2
355	0	0.99	0.012	1	0.2	0.029	0.028	0.029	0.027
356	0	0	1	2	0	0.31	0.36	0.21	0.2
357	0	0	1	2	0	0.31	0.36	0.21	0.2
358	0	1	0	1	0.2	0.029	0.028	0.029	0.027
359	1	0	0	0	0.2	0.47	0.47	0.21	0.2
360	0	1	0	1	0.2	0.029	0.028	0.029	0.027
361	0	1	0	1	0.2	0.029	0.028	0.029	0.027
362	1	0	0	0	0.2	0.47	0.47	0.21	0.2
363	0	1	0	1	0.2	0.029	0.028	0.029	0.027
364	1	0	0	0	0.2	0.47	0.47	0.21	0.2
365	7.5e-06	0	1	2	0	0.31	0.36	0.21	0.2
366	1	0	0	0	0.2	0.47	0.47	0.21	0.2
367	0	1	0	1	0.2	0.029	0.028	0.029	0.027
368	0	1	0	1	0.2	0.029	0.028	0.029	0.027
369	0	1	2.7e-05	1	0.2	0.029	0.028	0.029	0.027
370	0	0.98	0.022	1	0.2	0.029	0.028	0.029	0.027
371	0	1	0	1	0.2	0.029	0.028	0.029	0.027
372	0	1	0	1	0.2	0.029	0.028	0.029	0.027
373	1	0	0	0	0.2	0.47	0.47	0.21	0.2
374	0	1	0	1	0.2	0.029	0.028	0.029	0.027
375	1	0	3.4e-05	0	0.2	0.47	0.47	0.21	0.2
376	1	0	0	0	0.2	0.47	0.47	0.21	0.2
377	1	0	0.00031	0	0.2	0.47	0.47	0.21	0.2
378	0	0	1	2	0	0.31	0.36	0.21	0.2
379	1	0	0	0	0.2	0.47	0.47	0.21	0.2
380	1	0	0	0	0.2	0.47	0.47	0.21	0.2
381	1	0	0	0	0.2	0.47	0.47	0.21	0.2
382	0	1	1.2e-06	1	0.2	0.029	0.028	0.029	0.027
383	0.97	0	0.033	0	0.2	0.47	0.47	0.21	0.2
384	0	0.88	0.12	1	0.2	0.029	0.028	0.029	0.027
385	1	0	0	0	0.2	0.47	0.47	0.21	0.2
386	1	0	0	0	0.2	0.47	0.47	0.21	0.2
387	1	0	0	0	0.2	0.47	0.47	0.21	0.2
388	0	1	0	1	0.2	0.029	0.028	0.029	0.027
389	0	1	0	1	0.2	0.029	0.028	0.029	0.027
390	0	0	1	2	0	0.31	0.36	0.21	0.2
391	1	0	0	0	0.2	0.47	0.47	0.21	0.2
392	0	0	1	2	0	0.31	0.36	0.21	0.2
393	0	0	1	2	0	0.31	0.36	0.21	0.2
394	1	0	0	0	0.2	0.47	0.47	0.21	0.2
395	0	0	1	2	0	0.31	0.36	0.21	0.2
396	1	0	0	0	0.2	0.47	0.47	0.21	0.2
397	1	0	0	0	0.2	0.47	0.47	0.21	0.2
398	0	0	1	2	0	0.31	0.36	0.21	0.2
399	1	0	0	0	0.2	0.47	0.47	0.21	0.2
400	0	0	1	2	0	0.31	0.36	0.21	0.2
401	0	1	0	1	0.2	0.029	0.028	0.029	0.027
402	0	1	0	1	0.2	0.029	0.028	0.029	0.027
403	1	0	0	0	0.2	0.47	0.47	0.21	0.2
404	0	1	0	1	0.2	0.029	0.028	0.029	0.027
405	0	0	1	2	0	0.31	0.36	0.21	0.2
406	0	1	0	1	0.2	0.029	0.028	0.029	0.027
407	1	0	0	0	0.2	0.47	0.47	0.21	0.2
408	1	0	0	0	0.2	0.47	0.47	0.21	0.2
409	9e-06	0	1	2	0	0.31	0.36	0.21	0.2
410	0	1	0	1	0.2	0.029	0.028	0.029	0.027
411	0	1	0	1	0.2	0.029	0.028	0.029	0.027
412	1	0	0	0	0.2	0.47	0.47	0.21	0.2
413	1	0	0	0	0.2	0.47	0.47	0.21	0.2
414	0	1	0	1	0.2	0.029	0.028	0.029	0.027
415	0	0	1	2	0	0.31	0.36	0.21	0.2
416	0	1	0	1	0.2	0.029	0.028	0.029	0.027
417	0	1	0	1	0.2	0.029	0.028	0.029	0.027
418	0	0	1	2	0	0.31	0.36	0.21	0.2
419	0	0	1	2	0	0.31	0.36	0.21	0.2
420	0	0	1	2	0	0.31	0.36	0.21	0.2
421	0	0	1	2	0	0.31	0.36	0.21	0.2
422	1	0	0	0	0.2	0.47	0.47	0.21	0.2
423	1	0	0	0	0.2	0.47	0.47	0.21	0.2
424	1	0	0	0	0.2	0.47	0.47	0.21	0.2
425	0	0	1	2	0	0.31	0.36	0.21	0.2
426	1	0	0	0	0.2	0.47	0.47	0.21	0.2
427	0	1	0	1	0.2	0.029	0.028	0.029	0.027
428	0	1	0	1	0.2	0.029	0.028	0.029	0.027
429	0	1	0	1	0.2	0.029	0.028	0.029	0.027
430	0	0	1	2	0	0.31	0.36	0.21	0.2
431	0	0	1	2	0	0.31	0.36	0.21	0.2
432	0	1	0	1	0.2	0.029	0.028	0.029	0.027
433	1	0	0	0	0.2	0.47	0.47	0.21	0.2
434	1	0	0	0	0.2	0.47	0.47	0.21	0.2
435	0	0	1	2	0	0.31	0.36	0.21	0.2
436	0	0	1	2	0	0.31	0.36	0.21	0.2
437	0	1	0	1	0.2	0.029	0.028	0.029	0.027
438	0	1	0	1	0.2	0.029	0.028	0.029	0.027
439	1	0	0	0	0.2	0.47	0.47	0.21	0.2
440	0	0	1	2	0	0.31	0.36	0.21	0.2
441	0.0073	0	0.99	2	0	0.31	0.36	0.21	0.2
442	1	0	0	0	0.2	0.47	0.47	0.21	0.2
443	0	0	1	2	0	0.31	0.36	0.21	0.2
444	0	1	0	1	0.2	0.029	0.028	0.029	0.027
445	1	0	0	0	0.2	0.47	0.47	0.21	0.2
446	1	0	0	0	0.2	0.47	0.47	0.21	0.2
447	0	1	0	1	0.2	0.029	0.028	0.029	0.027
448	0	0	1	2	0	0.31	0.36	0.21	0.2
449	0	0	1	2	0	0.31	0.36	0.21	0.2
450	1	0	0	0	0.2	0.47	0.47	0.21	0.2
451	0	0	1	2	0	0.31	0.36	0.21	0.2
452	0	1	0	1	0.2	0.029	0.028	0.029	0.027
453	0	0	1	2	0	0.31	0.36	0.21	0.2
454	1	0	0	0	0.2	0.47	0.47	0.21	0.2
455	1	0	0	0	0.2	0.47	0.47	0.21	0.2
456	0	0	1	2	0	0.31	0.36	0.21	0.2
457	0	1	0	1	0.2	0.029	0.028	0.029	0.027
458	0	0	1	2	0	0.31	0.36	0.21	0.2
459	0	1	0	1	0.2	0.029	0.028	0.029	0.027
460	0	1	0	1	0.2	0.029	0.028	0.029	0.027
