SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
17	0.12	0.00019	0.12	0.05	0.00019	0	0	0.085	0.12	0.12	0.014	0.00019	0.098	0.083	0	0.00019	0.085	0.00018	0.12	0	0	0.19
18	0.18	0	0.18	0.076	0	0	0	0.013	0.18	0.18	3.2e-05	0	0	0.012	0	0	0.013	0	0.18	0	0	0.19
19	0.18	0	0.18	0.076	0	0.0017	0.0017	0.0091	0.18	0.18	0.00057	0	1.5e-05	0.0088	0	0	0.0091	0	0.18	0	0	0.19
20	0.18	0	0.18	0.079	0	0	0	0.0015	0.18	0.18	0	0	0	0.0014	0	0	0.0015	0	0.18	0	0	0.19
21	0.18	0	0.18	0.077	0	7.2e-05	7.2e-05	0.009	0.18	0.18	0.00026	0	0	0.0087	0	0	0.009	0	0.18	0	0	0.19
22	0.17	0	0.17	0.071	0	0	0	0.032	0.17	0.17	0.00018	0	0	0.031	0	0	0.032	0	0.17	0	0	0.19
23	0.13	0.00011	0.13	0.057	0.00011	0	0	0.056	0.13	0.13	0.013	0.00011	0.1	0.055	0	0.00011	0.056	0.0001	0.13	0	0	0.19
24	0.18	0	0.18	0.077	0	0.00031	0.00031	0.0069	0.18	0.18	0.00019	0	0	0.0067	0	0	0.0069	0	0.18	0	0	0.19
25	0.16	8e-06	0.16	0.068	8e-06	0	0	0.0077	0.16	0.16	0.044	8e-06	0.075	0.0075	0	8e-06	0.0077	7.5e-06	0.16	0	0	0.19
26	0.14	6.4e-05	0.14	0.061	6.4e-05	0	0	0.039	0.14	0.14	0.015	6.4e-05	0.098	0.037	0	6.4e-05	0.039	6e-05	0.14	0	0	0.19
27	0.11	0	0.11	0.047	0	0	0	0.11	0.11	0.11	0.06	0	0.0068	0.11	0	0	0.11	0	0.11	0	7	0.26
28	0.024	0.00077	0.024	0.01	0.00077	0	0	0.17	0.024	0.024	0.27	0.00077	0.086	0.17	0	0.00077	0.17	0.00072	0.024	0	10	0.33
29	0.1	0	0.1	0.044	0	0	0	0.12	0.1	0.1	0.072	0	0.0089	0.12	0	0	0.12	0	0.1	0	7	0.26
30	0.14	4.8e-05	0.14	0.06	4.8e-05	0	0	0.03	0.14	0.14	0.081	4.8e-05	0.073	0.029	0	4.8e-05	0.03	4.5e-05	0.14	0	0	0.19
31	0.057	0.00057	0.057	0.024	0.00057	0	0	0.19	0.057	0.057	0.034	0.00057	0.076	0.19	0	0.00057	0.19	0.00053	0.057	0	7	0.26
32	0.17	0	0.17	0.074	0	0	0	0.019	0.17	0.17	3.9e-05	0	0	0.019	0	0	0.019	0	0.17	0	0	0.19
33	0.14	7.7e-05	0.14	0.06	7.7e-05	0	0	0.038	0.14	0.14	0.049	7.7e-05	0.083	0.037	0	7.7e-05	0.038	7.2e-05	0.14	0	0	0.19
34	0.18	0	0.18	0.078	0	0	0	0.0054	0.18	0.18	1.5e-05	0	0	0.0053	0	0	0.0054	0	0.18	0	0	0.19
35	0.11	0	0.11	0.049	0	0	0	0.13	0.11	0.11	0.0072	0	2.1e-05	0.12	0	0	0.13	0	0.11	0	7	0.26
36	0.14	0	0.14	0.061	0	0	0	0.077	0.14	0.14	0.0008	0	0	0.074	0	0	0.077	0	0.14	0	0	0.19
37	0.17	0	0.17	0.074	0	0.00051	0.00051	0.02	0.17	0.17	0.0028	0	0.00018	0.019	0	0	0.02	0	0.17	0	0	0.19
38	0.18	0	0.18	0.077	0	0	0	0.0094	0.18	0.18	2.8e-05	0	0	0.0091	0	0	0.0094	0	0.18	0	0	0.19
39	0.18	0	0.18	0.078	0	4.9e-06	4.9e-06	0.0019	0.18	0.18	3.3e-06	0	0	0.0019	0	0	0.0019	0	0.18	0	0	0.19
40	0.18	0	0.18	0.078	0	0	0	0.0019	0.18	0.18	0	0	0	0.0018	0	0	0.0019	0	0.18	0	0	0.19
41	0.18	0	0.18	0.078	0	0	0	0.0045	0.18	0.18	8e-06	0	0	0.0043	0	0	0.0045	0	0.18	0	0	0.19
42	0.12	0.00019	0.12	0.051	0.00019	0	0	0.081	0.12	0.12	0.017	0.00019	0.097	0.079	0	0.00019	0.081	0.00017	0.12	0	0	0.19
43	0.1	0.00031	0.1	0.043	0.00031	0	0	0.11	0.1	0.1	0.044	0.00031	0.086	0.1	0	0.00031	0.11	0.00029	0.1	0	7	0.26
44	0.085	0.00042	0.085	0.036	0.00042	0	0	0.13	0.085	0.085	0.077	0.00042	0.082	0.12	0	0.00042	0.13	0.00039	0.085	0	7	0.26
45	0.099	0.00033	0.099	0.042	0.00033	0	0	0.11	0.099	0.099	0.063	0.00033	0.084	0.1	0	0.00033	0.11	0.00031	0.099	0	7	0.26
46	0.14	0	0.14	0.062	0	4.1e-06	4.1e-06	0.066	0.14	0.14	0.023	0	0.0025	0.064	0	0	0.066	0	0.14	0	0	0.19
47	0.1	0.00026	0.1	0.044	0.00026	0	0	0.084	0.1	0.1	0.1	0.00026	0.088	0.081	0	0.00026	0.084	0.00025	0.1	0	0	0.19
48	0.12	5e-05	0.12	0.052	5e-05	0	0	0.056	0.12	0.12	0.11	5e-05	0.059	0.054	0	5e-05	0.056	4.6e-05	0.12	0	0	0.19
49	0.18	0	0.18	0.077	0	3.4e-06	3.4e-06	0.01	0.18	0.18	0.00017	0	0	0.0098	0	0	0.01	0	0.18	0	0	0.19
50	0.18	0	0.18	0.079	0	0	0	0.00023	0.18	0.18	0	0	0	0.00022	0	0	0.00023	0	0.18	0	0	0.19
51	0.06	0.00055	0.06	0.026	0.00055	0	0	0.13	0.06	0.06	0.17	0.00055	0.11	0.13	0	0.00055	0.13	0.00051	0.06	0	10	0.33
52	0.18	0	0.18	0.078	0	0	0	0.0021	0.18	0.18	0	0	0	0.002	0	0	0.0021	0	0.18	0	0	0.19
53	0.11	0.00023	0.11	0.049	0.00023	0	0	0.079	0.11	0.11	0.067	0.00023	0.082	0.076	0	0.00023	0.079	0.00021	0.11	0	0	0.19
54	0	0	0	0	0	6.2e-05	6.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0
55	0.18	0	0.18	0.076	0	3.7e-06	3.7e-06	0.013	0.18	0.18	0.00042	0	2.5e-06	0.012	0	0	0.013	0	0.18	0	0	0.19
56	0.14	0	0.14	0.062	0	0	0	0.069	0.14	0.14	0.011	0	0.00024	0.067	0	0	0.069	0	0.14	0	0	0.19
57	0.15	2.8e-05	0.15	0.066	2.8e-05	0	0	0.03	0.15	0.15	0.036	2.8e-05	0.042	0.029	0	2.8e-05	0.03	2.6e-05	0.15	0	0	0.19
58	0.081	0.00028	0.081	0.035	0.00028	0	0	0.14	0.081	0.081	0.13	0.00028	0.021	0.13	0	0.00028	0.14	0.00027	0.081	0	7	0.26
59	0.12	0.00012	0.12	0.052	0.00012	0	0	0.086	0.12	0.12	0.043	0.00012	0.041	0.083	0	0.00012	0.086	0.00012	0.12	0	0	0.19
60	0.13	9.2e-05	0.13	0.056	9.2e-05	0	0	0.07	0.13	0.13	0.036	9.2e-05	0.043	0.067	0	9.2e-05	0.07	8.6e-05	0.13	0	0	0.19
61	0.13	0.0001	0.13	0.056	0.0001	0	0	0.067	0.13	0.13	0.053	0.0001	0.043	0.065	0	0.0001	0.067	9.4e-05	0.13	0	0	0.19
62	0.02	0.00041	0.02	0.0087	0.00041	0	0	0.14	0.02	0.02	0.32	0.00041	0.15	0.14	0	0.00041	0.14	0.00039	0.02	0	10	0.33
63	0.13	0.0001	0.13	0.057	0.0001	0	0	0.061	0.13	0.13	0.066	0.0001	0.037	0.059	0	0.0001	0.061	9.6e-05	0.13	0	0	0.19
64	0.13	0.00011	0.13	0.055	0.00011	0	0	0.069	0.13	0.13	0.064	0.00011	0.038	0.067	0	0.00011	0.069	0.00011	0.13	0	0	0.19
65	0.18	0	0.18	0.077	0	6.5e-06	6.5e-06	0.0089	0.18	0.18	0.0002	0	0	0.0086	0	0	0.0089	0	0.18	0	0	0.19
66	0.15	5.1e-05	0.15	0.063	5.1e-05	0	0	0.04	0.15	0.15	0.04	5.1e-05	0.042	0.039	0	5.1e-05	0.04	4.8e-05	0.15	0	0	0.19
67	0.00097	0.00034	0.00097	0.00042	0.00034	0	0	0.096	0.00097	0.00097	0.56	0.00034	0.15	0.093	0	0.00034	0.096	0.00032	0.00097	0	10	0.33
68	0.062	0.00031	0.062	0.026	0.00031	0	0	0.19	0.062	0.062	0.071	0.00031	0.038	0.18	0	0.00031	0.19	0.00029	0.062	0	7	0.26
69	0.15	0	0.15	0.064	0	5.7e-06	5.7e-06	0.054	0.15	0.15	0.021	0	0.0026	0.052	0	0	0.054	0	0.15	0	0	0.19
70	0.13	1.1e-05	0.13	0.054	1.1e-05	0	0	0.072	0.13	0.13	0.079	1.1e-05	0.022	0.07	0	1.1e-05	0.072	1.1e-05	0.13	0	0	0.19
71	0.046	0.00038	0.046	0.02	0.00038	0	0	0.21	0.046	0.046	0.089	0.00038	0.025	0.21	0	0.00038	0.21	0.00036	0.046	0	7	0.26
72	0.18	0	0.18	0.079	0	3.8e-05	3.8e-05	1.1e-05	0.18	0.18	0	0	0	1e-05	0	0	1.1e-05	0	0.18	0	0	0.19
73	0.018	0.00047	0.018	0.0076	0.00047	0	0	0.28	0.018	0.018	0.06	0.00047	0.02	0.27	0	0.00047	0.28	0.00044	0.018	0	7	0.26
74	0.13	0.00011	0.13	0.056	0.00011	0	0	0.062	0.13	0.13	0.074	0.00011	0.032	0.06	0	0.00011	0.062	0.00011	0.13	0	0	0.19
75	0.12	0.00012	0.12	0.053	0.00012	0	0	0.086	0.12	0.12	0.032	0.00012	0.046	0.083	0	0.00012	0.086	0.00011	0.12	0	0	0.19
76	0.13	9e-05	0.13	0.056	9e-05	0	0	0.071	0.13	0.13	0.027	9e-05	0.046	0.069	0	9e-05	0.071	8.4e-05	0.13	0	0	0.19
77	0.16	0	0.16	0.07	0	0	0	0.0024	0.16	0.16	0.074	0	0.027	0.0023	0	0	0.0024	0	0.16	0	0	0.19
78	0.15	3.1e-05	0.15	0.062	3.1e-05	0	0	0.038	0.15	0.15	0.059	3.1e-05	0.037	0.037	0	3.1e-05	0.038	2.9e-05	0.15	0	0	0.19
79	0.13	7.9e-05	0.13	0.056	7.9e-05	0	0	0.065	0.13	0.13	0.061	7.9e-05	0.041	0.063	0	7.9e-05	0.065	7.4e-05	0.13	0	0	0.19
80	0.0068	0.00047	0.0068	0.0029	0.00047	0	0	0.18	0.0068	0.0068	0.37	0.00047	0.052	0.17	0	0.00047	0.18	0.00044	0.0068	0	10	0.33
81	0.094	0.00018	0.094	0.04	0.00018	0	0	0.14	0.094	0.094	0.019	0.00018	0.049	0.14	0	0.00018	0.14	0.00017	0.094	0	7	0.26
82	0.15	6.1e-05	0.15	0.065	6.1e-05	6.6e-05	6.6e-05	0.042	0.15	0.15	0.031	6.1e-05	0.026	0.041	0	6.1e-05	0.042	5.7e-05	0.15	0	0	0.19
83	0.12	9.9e-05	0.12	0.053	9.9e-05	0	0	0.089	0.12	0.12	0.01	9.9e-05	0.052	0.086	0	9.9e-05	0.089	9.3e-05	0.12	0	0	0.19
84	0.11	0	0.11	0.047	0	0	0	0.13	0.11	0.11	0.027	0	0.00059	0.12	0	0	0.13	0	0.11	0	7	0.26
85	0.13	5.9e-05	0.13	0.056	5.9e-05	2e-06	2e-06	0.067	0.13	0.13	0.062	5.9e-05	0.032	0.065	0	5.9e-05	0.067	5.5e-05	0.13	0	0	0.19
86	0.16	8.2e-06	0.16	0.069	8.2e-06	0	0	0.0025	0.16	0.16	0.087	8.2e-06	0.026	0.0025	0	8.2e-06	0.0025	7.7e-06	0.16	0	0	0.19
87	0.062	0.00033	0.062	0.027	0.00033	0	0	0.13	0.062	0.062	0.18	0.00033	0.11	0.12	0	0.00033	0.13	0.00031	0.062	0	10	0.33
88	0.021	0.0004	0.021	0.009	0.0004	0	0	0.15	0.021	0.021	0.32	0.0004	0.13	0.14	0	0.0004	0.15	0.00037	0.021	0	10	0.33
89	0.028	0.00043	0.028	0.012	0.00043	0	0	0.21	0.028	0.028	0.17	0.00043	0.032	0.21	0	0.00043	0.21	0.0004	0.028	0	7	0.26
90	0.12	0.00013	0.12	0.051	0.00013	0	0	0.08	0.12	0.12	0.065	0.00013	0.048	0.077	0	0.00013	0.08	0.00012	0.12	0	0	0.19
91	0.024	0.00047	0.024	0.01	0.00047	0	0	0.27	0.024	0.024	0.065	0.00047	0.014	0.26	0	0.00047	0.27	0.00044	0.024	0	7	0.26
92	0.098	0.00019	0.098	0.042	0.00019	0	0	0.12	0.098	0.098	0.063	0.00019	0.046	0.12	0	0.00019	0.12	0.00018	0.098	0	7	0.26
93	0.17	0	0.17	0.073	0	0	0	0.0016	0.17	0.17	0.045	0	0.029	0.0015	0	0	0.0016	0	0.17	0	0	0.19
94	0.14	9.6e-05	0.14	0.058	9.6e-05	0	0	0.051	0.14	0.14	0.076	9.6e-05	0.033	0.05	0	9.6e-05	0.051	9e-05	0.14	0	0	0.19
95	0.18	0	0.18	0.075	0	0.0021	0.0021	0.013	0.18	0.18	0.0014	0	7.1e-05	0.012	0	0	0.013	0	0.18	0	0	0.19
96	0.18	0	0.18	0.076	0	0	0	0.011	0.18	0.18	1e-05	0	0	0.01	0	0	0.011	0	0.18	0	0	0.19
97	0.12	1.1e-05	0.12	0.053	1.1e-05	0	0	0.039	0.12	0.12	0.16	1.1e-05	0.05	0.038	0	1.1e-05	0.039	1.1e-05	0.12	0	10	0.33
98	0.15	0	0.15	0.066	0	5.1e-06	5.1e-06	0.052	0.15	0.15	0.012	0	0.00079	0.051	0	0	0.052	0	0.15	0	0	0.19
99	0.16	1.7e-05	0.16	0.067	1.7e-05	0	0	0.015	0.16	0.16	0.02	1.7e-05	0.09	0.014	0	1.7e-05	0.015	1.6e-05	0.16	0	0	0.19
100	0.081	0	0.081	0.034	0	0	0	0.17	0.081	0.081	0.062	0	0.0025	0.16	0	0	0.17	0	0.081	0	7	0.26
101	0.15	0	0.15	0.064	0	0	0	0.062	0.15	0.15	0.0074	0	0.00014	0.06	0	0	0.062	0	0.15	0	0	0.19
102	0.18	0	0.18	0.078	0	0	0	0.0047	0.18	0.18	1.6e-05	0	0	0.0045	0	0	0.0047	0	0.18	0	0	0.19
103	0.17	0	0.17	0.072	0	0	0	0.03	0.17	0.17	0.0017	0	1.5e-05	0.029	0	0	0.03	0	0.17	0	0	0.19
104	0.18	0	0.18	0.078	0	6.7e-06	6.7e-06	0.0032	0.18	0.18	1.2e-05	0	0	0.0031	0	0	0.0032	0	0.18	0	0	0.19
105	0.18	0	0.18	0.079	0	0	0	0.00026	0.18	0.18	0	0	0	0.00025	0	0	0.00026	0	0.18	0	0	0.19
106	0.17	0	0.17	0.071	0	0	0	0.033	0.17	0.17	0.00014	0	0	0.032	0	0	0.033	0	0.17	0	0	0.19
107	0.17	0	0.17	0.074	0	0.031	0.031	0.00045	0.17	0.17	0	0	0	0.00044	0	0	0.00045	0	0.17	0	0	0.19
108	0.18	0	0.18	0.078	0	0.00017	0.00017	0.004	0.18	0.18	4.6e-05	0	0	0.0039	0	0	0.004	0	0.18	0	0	0.19
109	0.13	9.2e-05	0.13	0.057	9.2e-05	0	0	0.044	0.13	0.13	0.069	9.2e-05	0.077	0.043	0	9.2e-05	0.044	8.7e-05	0.13	0	0	0.19
110	0.16	1.4e-05	0.16	0.067	1.4e-05	0	0	0.011	0.16	0.16	0.046	1.4e-05	0.077	0.011	0	1.4e-05	0.011	1.3e-05	0.16	0	0	0.19
111	0.17	0	0.17	0.071	0	0	0	0.032	0.17	0.17	0.0021	0	2.7e-05	0.031	0	0	0.032	0	0.17	0	0	0.19
112	0.074	0.00049	0.074	0.032	0.00049	0	0	0.15	0.074	0.074	0.079	0.00049	0.078	0.14	0	0.00049	0.15	0.00046	0.074	0	7	0.26
113	0.18	0	0.18	0.079	0	2.2e-05	2.2e-05	0.00034	0.18	0.18	0	0	0	0.00033	0	0	0.00034	0	0.18	0	0	0.19
114	0.18	0	0.18	0.076	0	0.00065	0.00065	0.014	0.18	0.18	0.0012	0	4.3e-05	0.013	0	0	0.014	0	0.18	0	0	0.19
115	0.18	0	0.18	0.078	0	0.0011	0.0011	0.0037	0.18	0.18	6e-05	0	0	0.0036	0	0	0.0037	0	0.18	0	0	0.19
116	0.18	0	0.18	0.078	0	0	0	0.0056	0.18	0.18	3.6e-06	0	0	0.0054	0	0	0.0056	0	0.18	0	0	0.19
117	0.11	0.00025	0.11	0.047	0.00025	0	0	0.096	0.11	0.11	0.028	0.00025	0.09	0.093	0	0.00025	0.096	0.00024	0.11	0	0	0.19
118	0.17	0	0.17	0.072	0	0	0	0.031	0.17	0.17	0.00019	0	0	0.03	0	0	0.031	0	0.17	0	0	0.19
119	0.18	0	0.18	0.076	0	0.00011	0.00011	0.014	0.18	0.18	0.00079	0	1.4e-05	0.013	0	0	0.014	0	0.18	0	0	0.19
120	0.14	1.8e-05	0.14	0.059	1.8e-05	0	0	0.023	0.14	0.14	0.12	1.8e-05	0.061	0.022	0	1.8e-05	0.023	1.7e-05	0.14	0	0	0.19
121	0.13	0.00011	0.13	0.057	0.00011	0	0	0.051	0.13	0.13	0.044	0.00011	0.085	0.049	0	0.00011	0.051	0.00011	0.13	0	0	0.19
122	0.003	0.00074	0.003	0.0013	0.00074	0	0	0.076	0.003	0.003	0.42	0.00074	0.33	0.073	0	0.00074	0.076	0.00069	0.003	0	10	0.33
123	0.12	0.00018	0.12	0.052	0.00018	0	0	0.069	0.12	0.12	0.061	0.00018	0.081	0.067	0	0.00018	0.069	0.00017	0.12	0	0	0.19
124	0.16	9.1e-06	0.16	0.068	9.1e-06	0	0	0.0088	0.16	0.16	0.033	9.1e-06	0.079	0.0085	0	9.1e-06	0.0088	8.5e-06	0.16	0	0	0.19
125	0.086	0.00047	0.086	0.037	0.00047	0	0	0.09	0.086	0.086	0.14	0.00047	0.13	0.087	0	0.00047	0.09	0.00044	0.086	0	10	0.33
126	0.13	0.00011	0.13	0.055	0.00011	0	0	0.051	0.13	0.13	0.07	0.00011	0.077	0.05	0	0.00011	0.051	0.00011	0.13	0	0	0.19
127	0.12	0.00018	0.12	0.052	0.00018	0	0	0.072	0.12	0.12	0.034	0.00018	0.088	0.07	0	0.00018	0.072	0.00017	0.12	0	0	0.19
128	0.083	0.00023	0.083	0.035	0.00023	0	0	0.16	0.083	0.083	0.035	0.00023	0.044	0.15	0	0.00023	0.16	0.00021	0.083	0	7	0.26
129	0.088	0.00016	0.088	0.038	0.00016	0	0	0.16	0.088	0.088	0.0043	0.00016	0.056	0.15	0	0.00016	0.16	0.00015	0.088	0	7	0.26
130	0.14	9e-05	0.14	0.06	9e-05	0	0	0.033	0.14	0.14	0.11	9e-05	0.026	0.032	0	9e-05	0.033	8.4e-05	0.14	0	0	0.19
131	0.12	0.00016	0.12	0.051	0.00016	0	0	0.084	0.12	0.12	0.082	0.00016	0.027	0.081	0	0.00016	0.084	0.00015	0.12	0	0	0.19
132	0.14	4.7e-05	0.14	0.062	4.7e-05	0	0	0.051	0.14	0.14	0.009	4.7e-05	0.052	0.05	0	4.7e-05	0.051	4.4e-05	0.14	0	0	0.19
133	0.02	0.00041	0.02	0.0087	0.00041	0	0	0.18	0.02	0.02	0.29	0.00041	0.066	0.17	0	0.00041	0.18	0.00039	0.02	0	10	0.33
134	0.051	0.00034	0.051	0.022	0.00034	0	0	0.2	0.051	0.051	0.095	0.00034	0.035	0.19	0	0.00034	0.2	0.00032	0.051	0	7	0.26
135	0.17	6.2e-06	0.17	0.074	6.2e-06	5.8e-06	5.8e-06	0.0082	0.17	0.17	0.014	6.2e-06	0.021	0.0079	0	6.2e-06	0.0082	5.8e-06	0.17	0	0	0.19
136	0.16	2.2e-05	0.16	0.068	2.2e-05	0	0	0.024	0.16	0.16	0.027	2.2e-05	0.043	0.024	0	2.2e-05	0.024	2.1e-05	0.16	0	0	0.19
137	0.075	2.4e-06	0.075	0.032	2.4e-06	0	0	0.13	0.075	0.075	0.18	2.4e-06	0.022	0.13	0	2.4e-06	0.13	2.2e-06	0.075	0	10	0.33
138	0.13	1.1e-05	0.13	0.054	1.1e-05	0	0	0.036	0.13	0.13	0.16	1.1e-05	0.05	0.035	0	1.1e-05	0.036	9.9e-06	0.13	0	10	0.33
139	0.054	0	0.054	0.023	0	0	0	0.22	0.054	0.054	0.04	0	0.00032	0.22	0	0	0.22	0	0.054	0	7	0.26
140	0.18	0	0.18	0.077	0	0.0024	0.0024	0.0074	0.18	0.18	0.00037	0	7.8e-06	0.0072	0	0	0.0074	0	0.18	0	0	0.19
141	0.033	0	0.033	0.014	0	0	0	0.17	0.033	0.033	0.32	0	0.0058	0.16	0	0	0.17	0	0.033	0	10	0.33
142	0.06	0	0.06	0.026	0	0	0	0.22	0.06	0.06	0.012	0	1.5e-05	0.22	0	0	0.22	0	0.06	0	7	0.26
143	0.18	0	0.18	0.078	0	0	0	0.0036	0.18	0.18	8e-06	0	0	0.0035	0	0	0.0036	0	0.18	0	0	0.19
144	0.18	0	0.18	0.078	0	0	0	0.0033	0.18	0.18	2.8e-06	0	0	0.0032	0	0	0.0033	0	0.18	0	0	0.19
145	0.15	0	0.15	0.064	0	0	0	0.06	0.15	0.15	0.014	0	0.00081	0.058	0	0	0.06	0	0.15	0	0	0.19
146	0.086	0	0.086	0.037	0	0	0	0.16	0.086	0.086	0.056	0	0.0023	0.16	0	0	0.16	0	0.086	0	7	0.26
147	0.13	0.00014	0.13	0.055	0.00014	0	0	0.058	0.13	0.13	0.052	0.00014	0.083	0.056	0	0.00014	0.058	0.00013	0.13	0	0	0.19
148	0.011	0	0.011	0.0049	0	0	0	0.27	0.011	0.011	0.15	0	0.0012	0.26	0	0	0.27	0	0.011	0	7	0.26
149	0.07	0	0.07	0.03	0	0	0	0.18	0.07	0.07	0.086	0	0.0044	0.17	0	0	0.18	0	0.07	0	7	0.26
150	0.13	0	0.13	0.057	0	0	0	0.086	0.13	0.13	0.02	0	0.00085	0.084	0	0	0.086	0	0.13	0	0	0.19
151	0.14	0	0.14	0.059	0	0	0	0.082	0.14	0.14	0.011	0	0.00021	0.079	0	0	0.082	0	0.14	0	0	0.19
152	0.18	0	0.18	0.078	0	0	0	0.0033	0.18	0.18	1.4e-06	0	0	0.0031	0	0	0.0033	0	0.18	0	0	0.19
153	0.17	1.6e-06	0.17	0.071	1.6e-06	0	0	0.0038	0.17	0.17	0.054	1.6e-06	0.031	0.0037	0	1.6e-06	0.0038	1.5e-06	0.17	0	0	0.19
154	0.14	1.5e-05	0.14	0.058	1.5e-05	0	0	0.065	0.14	0.14	0.051	1.5e-05	0.017	0.063	0	1.5e-05	0.065	1.4e-05	0.14	0	0	0.19
155	0.1	0.00017	0.1	0.044	0.00017	0	0	0.12	0.1	0.1	0.032	0.00017	0.047	0.12	0	0.00017	0.12	0.00016	0.1	0	7	0.26
156	0.15	2.8e-05	0.15	0.066	2.8e-05	0	0	0.034	0.15	0.15	0.011	2.8e-05	0.05	0.033	0	2.8e-05	0.034	2.6e-05	0.15	0	0	0.19
157	0.14	0	0.14	0.059	0	0	0	0.086	0.14	0.14	0.0021	0	1.8e-06	0.083	0	0	0.086	0	0.14	0	0	0.19
158	0.13	6.9e-05	0.13	0.055	6.9e-05	0	0	0.069	0.13	0.13	0.066	6.9e-05	0.037	0.067	0	6.9e-05	0.069	6.4e-05	0.13	0	0	0.19
159	0.14	6.5e-05	0.14	0.06	6.5e-05	0	0	0.058	0.14	0.14	0.021	6.5e-05	0.047	0.056	0	6.5e-05	0.058	6.1e-05	0.14	0	0	0.19
160	0.18	0	0.18	0.077	0	0	0	0.0069	0.18	0.18	6.9e-05	0	0	0.0067	0	0	0.0069	0	0.18	0	0	0.19
161	0.071	0.00025	0.071	0.031	0.00025	0	0	0.18	0.071	0.071	0.023	0.00025	0.045	0.18	0	0.00025	0.18	0.00023	0.071	0	7	0.26
162	0.13	1.2e-05	0.13	0.055	1.2e-05	0	0	0.072	0.13	0.13	0.068	1.2e-05	0.02	0.07	0	1.2e-05	0.072	1.2e-05	0.13	0	0	0.19
163	0	0	0	0	0	3.3e-06	3.3e-06	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0
164	0.059	0.00043	0.059	0.025	0.00043	0	0	0.12	0.059	0.059	0.19	0.00043	0.14	0.11	0	0.00043	0.12	0.0004	0.059	0	10	0.33
165	0.14	5e-05	0.14	0.059	5e-05	0	0	0.054	0.14	0.14	0.058	5e-05	0.036	0.053	0	5e-05	0.054	4.7e-05	0.14	0	0	0.19
